symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
NLY,FI,MO2,financials,mortgage_reit,US0357108390,ANNALY CAPITAL MANAGEMENT IN,1,"Opera como un fideicomiso de inversión inmobiliaria hipotecaria líder, invirtiendo principalmente en valores respaldados por hipotecas de agencias para generar ingresos.","El negocio de Annaly Capital Management se centra en el tema de los Mortgage REIT, como lo demuestra su estructura como REIT y sus inversiones principalmente en activos relacionados con bienes raíces, incluidos los valores respaldados por hipotecas. La estrategia principal de la empresa implica generar ingresos para los accionistas a través de la financiación hipotecaria, con una cartera que comprende diversas inversiones relacionadas con hipotecas, como certificados de traspaso hipotecario y obligaciones hipotecarias colateralizadas. Annaly gestiona activamente su importante cartera, ejemplificada por sus importantes participaciones en Agency MBS y el despliegue estratégico de capital en el sector Agency, lo que solidifica aún más su enfoque en el negocio de Mortgage REIT.","[{'name': 'nly-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nly-Q125-10-Q.html'}, {'name': 'nly-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nly-Q225-10-Q.html'}, {'name': 'nly-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nly-Q324-10-Q.html'}, {'name': 'nly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nly-FY24-10-K.html'}]",585013481,USD,SMART,STK
AGNC,FI,MO2,financials,mortgage_reit,US00123Q1040,AGNC INVESTMENT CORP,2,"Opera como un fideicomiso de inversión inmobiliaria (REIT) hipotecario, especializado en invertir en valores respaldados por hipotecas residenciales (RMBS) de agencias y activos relacionados.","AGNC Investment Corp. está profundamente comprometida con el tema de Mortgage REIT, como lo demuestran sus operaciones comerciales principales. La empresa se identifica explícitamente como que opera para calificar como REIT según el Código de Rentas Internas y principalmente invierte en valores respaldados por hipotecas residenciales de la Agencia (RMBS) sobre una base apalancada. El enfoque de la empresa en la gestión de una cartera de estos valores, la cobertura contra el riesgo de tasas de interés y el apalancamiento de su capital para generar rendimientos, solidifica aún más su dedicación a este tema. Toda la llamada de ganancias gira en torno a las operaciones y estrategias de AGNC como un Mortgage REIT, discutiendo su cartera de valores respaldados por hipotecas de la Agencia, estrategias de gestión de riesgos y desempeño financiero.","[{'name': 'agnc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/agnc-Q225-10-Q.html'}, {'name': 'agnc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/agnc-FY24-10-K.html'}]",249963585,USD,SMART,STK
FNMA,FI,MO2,financials,mortgage_reit,US3135861090,FANNIE MAE,3,"Apoya el mercado hipotecario comprando hipotecas y emitiendo valores respaldados por hipotecas, que son vehículos de inversión críticos para las REIT hipotecarias.","La conexión de Fannie Mae con el tema de los REIT hipotecarios se deriva de su papel en la emisión y garantía de valores respaldados por hipotecas (MBS) que son comprados por inversores globales. La compañía titulariza préstamos hipotecarios originados por prestamistas en MBS de Fannie Mae, emitiendo garantías y asumiendo el riesgo crediticio. Las comisiones de garantía de estos MBS sirven como la principal fuente de ingresos para Fannie Mae. Además, la compañía transfiere el riesgo crediticio a terceros a través de la transferencia de riesgo crediticio y el seguro hipotecario.","[{'name': 'fnma-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q225-10-Q.html'}, {'name': 'fnma-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q125-10-Q.html'}]",7278,USD,SMART,STK
STWD,FI,MO2,financials,mortgage_reit,US85571B1052,STARWOOD PROPERTY TRUST INC,4,"Opera como un fideicomiso líder de inversión inmobiliaria centrado en originar, adquirir, financiar y gestionar préstamos hipotecarios comerciales y otras inversiones de deuda relacionadas con bienes raíces.","El enfoque de Starwood Property Trust en originar, adquirir, financiar y administrar préstamos hipotecarios y otras inversiones inmobiliarias resalta su participación en el tema de Mortgage REIT. La empresa opera principalmente en este sector, originando, adquiriendo y administrando hipotecas comerciales y residenciales, así como valores respaldados por hipotecas. Esto se demuestra además por la recepción repetida por parte de la empresa del premio NAREIT Gold Investor CARE en la categoría de mortgage REIT, reconociendo su compromiso con la presentación de informes financieros transparentes en este sector.","[{'name': 'stwd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stwd-Q324-10-Q.html'}, {'name': 'stwd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stwd-Q125-10-Q.html'}, {'name': 'stwd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stwd-Q225-10-Q.html'}, {'name': 'stwd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/stwd-FY24-10-K.html'}]",67418868,USD,SMART,STK
RITM,FI,MO2,financials,mortgage_reit,US64828T2015,RITHM CAPITAL CORP,5,"Opera como un actor importante dentro de la industria de REIT hipotecarios, centrándose en inversiones en activos relacionados con hipotecas.","La conexión de Rithm Capital con el tema de los REIT hipotecarios es evidente a través de su estructura y estrategias de inversión. Desde junio de 2022, Rithm Capital ha sido estructurada como un REIT administrado internamente para fines del impuesto sobre la renta federal de EE. UU., y invierte en activos relacionados con hipotecas, incluyendo MSR y RMBS. La empresa también gestiona Rithm Property Trust, un REIT hipotecario administrado externamente, y está trabajando activamente para expandirlo. Además, Rithm invierte en valores gubernamentales y respaldados por el gobierno, como los RMBS de agencia, para cubrir su cartera de MSR y cumplir con los requisitos de REIT.","[{'name': 'ritm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ritm-FY24-10-K.html'}, {'name': 'ritm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ritm-Q125-10-Q.html'}]",169688387,USD,SMART,STK
BXMT,FI,MO2,financials,mortgage_reit,US09257W1009,BLACKSTONE MORTGAGE TRU-CL A,6,"Opera como un fideicomiso de inversión inmobiliaria de hipotecas comerciales, originando y adquiriendo principalmente préstamos senior garantizados por bienes raíces comerciales de calidad institucional.","Blackstone Mortgage Trust opera principalmente como un REIT hipotecario, originando y gestionando préstamos hipotecarios comerciales, con sus operaciones estructuradas como un REIT a efectos del impuesto sobre la renta federal de EE. UU. El enfoque de la empresa implica la originación, adquisición y gestión de préstamos senior y otras inversiones de deuda u orientadas al crédito garantizadas por bienes inmuebles comerciales en América del Norte, Europa y Australia. Esto se ve aún más enfatizado por las contrataciones estratégicas de la empresa, como personas con una experiencia significativa en REIT hipotecarios, para profundizar las capacidades de su equipo de finanzas. Toda la llamada de resultados y los documentos relacionados resaltan consistentemente las operaciones y el rendimiento financiero de la empresa dentro del sector de REIT hipotecarios.","[{'name': 'bxmt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bxmt-Q225-10-Q.html'}, {'name': 'bxmt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bxmt-Q324-10-Q.html'}]",127149807,USD,SMART,STK
FMCC,FI,MO2,financials,mortgage_reit,US3134003017,FREDDIE MAC,7,"Desempeña un papel fundamental en el mercado hipotecario al comprar hipotecas y emitir valores respaldados por hipotecas, que son vehículos de inversión clave para las REIT hipotecarias.","La conexión de Freddie Mac con el tema de los Mortgage REIT (Fideicomisos de Inversión Inmobiliaria Hipotecaria) se deriva de su titulización de préstamos hipotecarios en valores garantizados relacionados con hipotecas, que luego se venden en los mercados de capitales globales. Este proceso implica la transferencia del riesgo de tasa de interés, liquidez y una parte del riesgo de crédito hipotecario a inversores externos a través de programas de transferencia de riesgo de crédito. Además, Freddie Mac invierte en préstamos hipotecarios y valores relacionados, alineándose aún más con las actividades de los Mortgage REIT que invierten en dichos valores.","[{'name': 'fmcc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmcc-Q225-10-Q.html'}, {'name': 'fmcc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fmcc-FY24-10-K.html'}]",7341,USD,SMART,STK
ABR,FI,MO2,financials,mortgage_reit,US0389231087,ARBOR REALTY TRUST INC,8,"Opera como un fideicomiso de inversión inmobiliaria hipotecaria, centrándose en activos relacionados con hipotecas.","Las operaciones de Arbor Realty Trust están significativamente entrelazadas con el tema Mortgage REIT, ya que la empresa declara explícitamente su enfoque en calificar y operar como un REIT. La empresa invierte en valores relacionados con hipotecas a través de su Structured Business, incluidos préstamos puente y préstamos mezzanine, y origina, vende y presta servicios de productos de financiamiento multifamiliares a través de agencias como Fannie Mae, Freddie Mac y Ginnie Mae. Además, Arbor Realty Trust gestiona activamente su balance a través de titulizaciones y ofertas de deuda, solidificando su posición dentro del espacio de mortgage REIT.","[{'name': 'abr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abr-Q125-10-Q.html'}, {'name': 'abr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/abr-FY24-10-K.html'}, {'name': 'abr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abr-Q324-10-Q.html'}, {'name': 'abr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abr-Q225-10-Q.html'}]",29661257,USD,SMART,STK
ARR,FI,MO2,financials,mortgage_reit,US0423157058,ARMOUR RESIDENTIAL REIT INC,9,"Se enfoca en invertir en valores respaldados por hipotecas residenciales de agencias, contribuyendo a la industria más amplia de REIT hipotecarios a través de sus operaciones comerciales principales.","ARMOUR Residential REIT se identifica explícitamente como un REIT que invierte en valores respaldados por hipotecas (MBS), con su modelo de negocio principal centrado en la gestión de una cartera apalancada de estos valores para generar ingresos. Las inversiones principales de la empresa incluyen Valores de Agencia, que son MBS emitidos o garantizados por GSEs de EE. UU., y gestiona activamente los riesgos asociados con las tasas de interés y los prepagos a través de estrategias de cobertura. Todas las discusiones de las llamadas de ganancias de ARMOUR giran en torno a sus operaciones, desempeño financiero y estrategias dentro del sector de REIT hipotecarios, lo que enfatiza aún más su enfoque en esta área. Como tal, las actividades, la composición de la cartera y los resultados financieros de la empresa se centran en el modelo de negocio de REIT hipotecarios.","[{'name': 'arr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/arr-Q125-10-Q.html'}, {'name': 'arr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/arr-FY24-10-K.html'}, {'name': 'arr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/arr-Q324-10-Q.html'}, {'name': 'arr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/arr-Q225-10-Q.html'}]",655276634,USD,SMART,STK
PMT,FI,MO2,financials,mortgage_reit,US70931T1034,PENNYMAC MORTGAGE INVESTMENT,10,"Funciona como un REIT hipotecario, dedicado principalmente a invertir y administrar una cartera de activos relacionados con hipotecas para generar ingresos.","El negocio de PennyMac Mortgage Investment Trust se centra en el tema de las REIT hipotecarias, como lo demuestran sus inversiones en activos relacionados con hipotecas, incluidos derechos de servicio hipotecario (MSR), valores respaldados por hipotecas (MBS) y acuerdos de transferencia de riesgo crediticio (CRT). La empresa se identifica como una empresa de finanzas especializadas que invierte en activos relacionados con hipotecas con el objetivo de proporcionar rendimientos a los inversores, y aprovecha su relación con PennyMac Financial Services (PFSI) para mantener una cartera constante de préstamos para inversión. PMT participa activamente en actividades de titulización, vendiendo préstamos a entidades patrocinadas por el gobierno y reteniendo inversiones en estas titulizaciones.","[{'name': 'pmt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pmt-FY24-10-K.html'}, {'name': 'pmt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pmt-Q125-10-Q.html'}, {'name': 'pmt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pmt-Q324-10-Q.html'}]",64759614,USD,SMART,STK
