industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
RE,MUL,AVB,real estate,multifamily_residential,US0534841012,AVALONBAY COMMUNITIES INC,1,"Se especializa en la propiedad, desarrollo y gestión de comunidades residenciales multifamiliares en diversos mercados.","El negocio de AvalonBay Communities se centra en el sector residencial multifamiliar, como lo demuestra su desarrollo, reurbanización, adquisición, propiedad y operación de comunidades de apartamentos multifamiliares en diversas regiones. Su cartera incluye una combinación de comunidades tipo jardín, edificios de mediana altura y comunidades de gran altura, que satisfacen una amplia gama de necesidades de los clientes. Los ingresos de la empresa se derivan principalmente de las operaciones de alquiler de apartamentos, con importantes inversiones en la construcción y adquisición de viviendas de apartamentos. Además, las llamadas de resultados y los documentos se centran en discutir su desempeño y perspectivas en el sector residencial multifamiliar, incluidas las tasas de ocupación, los ingresos por alquileres y los proyectos de desarrollo.","[{'name': 'avb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avb-Q125-10-Q.html'}, {'name': 'avb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avb-Q324-10-Q.html'}, {'name': 'avb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avb-Q225-10-Q.html'}, {'name': 'avb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/avb-FY24-10-K.html'}]",5026974,USD,SMART,STK
RE,MUL,EQR,real estate,multifamily_residential,US29476L1070,EQUITY RESIDENTIAL,2,"Se enfoca en la propiedad y operación de propiedades residenciales multifamiliares, sirviendo como un actor importante en el sector.","El negocio de Equity Residential se centra en el sector residencial multifamiliar, centrándose en la adquisición, desarrollo y gestión de propiedades de apartamentos. Este enfoque es evidente en su propiedad de una cartera significativa, que consta de cientos de propiedades con decenas de miles de unidades de apartamentos en varios estados. El rendimiento financiero de la empresa está estrechamente ligado a este sector, con operaciones residenciales que representan una parte sustancial de los ingresos totales, y persiguen activamente inversiones en activos multifamiliares, viéndolos como una ""operación de refugio seguro"" dentro del sector inmobiliario.","[{'name': 'eqr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqr-Q225-10-Q.html'}, {'name': 'eqr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eqr-FY24-10-K.html'}, {'name': 'eqr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqr-Q324-10-Q.html'}]",6917,USD,SMART,STK
RE,MUL,ESS,real estate,multifamily_residential,US2971781057,ESSEX PROPERTY TRUST INC,3,"Opera como un destacado propietario y gestor de propiedades residenciales multifamiliares, especializándose en este sector de la vivienda.","El negocio de Essex se centra en el tema de las residencias multifamiliares, ya que adquieren, desarrollan, remodelan y gestionan comunidades de apartamentos en la Costa Oeste. Con participaciones en cientos de comunidades de apartamentos en funcionamiento que comprenden decenas de miles de viviendas, el enfoque de la empresa está claramente en las propiedades multifamiliares. Las llamadas de resultados de la empresa se dedican a discutir el rendimiento, la dinámica del mercado y las estrategias de inversión relacionadas con estas propiedades, enfatizando aún más la dedicación de la empresa al sector residencial multifamiliar. Todo el equipo de Essex está dedicado a las residencias multifamiliares.","[{'name': 'ess-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ess-Q225-10-Q.html'}, {'name': 'ess-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ess-FY24-10-K.html'}, {'name': 'ess-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ess-Q324-10-Q.html'}, {'name': 'ess-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ess-Q125-10-Q.html'}]",6946,USD,SMART,STK
RE,MUL,UDR,real estate,multifamily_residential,US9026531049,UDR INC,4,"Se especializa en la propiedad, operación, adquisición y desarrollo de comunidades de apartamentos multifamiliares, sirviendo directamente a las necesidades de vivienda residencial en diversos mercados.","El negocio de UDR se centra en el sector residencial multifamiliar, ya que poseen, operan, adquieren, renuevan, desarrollan, reurbanizan, enajenan y gestionan comunidades de apartamentos multifamiliares. La totalidad de las llamadas de resultados y la información financiera de la empresa se centran en el rendimiento y las estrategias relacionadas con estas comunidades de apartamentos, con métricas clave como las tasas de ocupación y las tasas de arrendamiento siendo centrales en sus discusiones. Como REIT autoadministrado, las operaciones principales y la generación de ingresos de UDR están intrínsecamente ligadas al mercado residencial multifamiliar, lo que demuestra aún más la importancia de la temática.","[{'name': 'udr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/udr-FY24-10-K.html'}, {'name': 'udr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/udr-Q324-10-Q.html'}, {'name': 'udr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/udr-Q225-10-Q.html'}]",43274444,USD,SMART,STK
RE,MUL,CPT,real estate,multifamily_residential,US1331311027,CAMDEN PROPERTY TRUST,5,"Opera como un propietario, administrador, desarrollador y adquirente líder de comunidades residenciales multifamiliares en los Estados Unidos.","El negocio de Camden Property Trust se centra en propiedades residenciales multifamiliares, como lo demuestra su participación en la propiedad, gestión, desarrollo, reposicionamiento, reurbanización, adquisición y construcción de estas comunidades. La empresa posee intereses, opera o está desarrollando numerosas propiedades multifamiliares en los Estados Unidos, con un número significativo de apartamentos. Con un enfoque principal en propiedades residenciales multifamiliares, el rendimiento y las perspectivas futuras de la empresa están fuertemente ligados a este mercado, como lo demuestran las discusiones sobre la demanda de apartamentos, las tasas de alquiler, la ocupación y los nuevos desarrollos como Camden Village District.","[{'name': 'cpt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpt-Q225-10-Q.html'}, {'name': 'cpt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpt-Q324-10-Q.html'}, {'name': 'cpt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpt-Q125-10-Q.html'}, {'name': 'cpt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cpt-FY24-10-K.html'}]",6004,USD,SMART,STK
RE,MUL,FNMA,real estate,multifamily_residential,US3135861090,FANNIE MAE,6,"Proporciona financiación y liquidez al mercado residencial multifamiliar, apoyando el desarrollo y la preservación de opciones de vivienda asequible.","La exposición de Fannie Mae al tema de Bienes Raíces Multifamiliares es significativa, como lo demuestra su segmento de negocios Multifamiliares dedicado, que se centra en la financiación de edificios residenciales con cinco o más unidades. La compañía apoya activamente la vivienda unifamiliar y multifamiliar, y el negocio Multifamiliar juega un papel crucial en la provisión de liquidez al mercado hipotecario. La participación de Fannie Mae en este sector se ve aún más resaltada por el hecho de que posee o garantiza una parte sustancial de la deuda hipotecaria multifamiliar pendiente en los Estados Unidos, lo que demuestra su gran compromiso con la financiación de propiedades residenciales multifamiliares.","[{'name': 'fnma-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fnma-FY24-10-K.html'}, {'name': 'fnma-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q125-10-Q.html'}, {'name': 'fnma-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q225-10-Q.html'}]",7278,USD,SMART,STK
RE,MUL,CSGP,real estate,multifamily_residential,US22160N1090,COSTAR GROUP INC,7,"Proporciona datos extensos, herramientas analíticas y mercados en línea que respaldan las decisiones de inversión, arrendamiento y operativas dentro de la industria de viviendas multifamiliares.","El enfoque de CoStar Group en el tema de Residencial Multifamiliar es evidente a través del sólido desempeño y la importancia estratégica de Apartments.com, su marca insignia para la comercialización de apartamentos. Apartments.com experimentó un crecimiento sustancial de los ingresos, con un aumento del 11% en el trimestre más reciente, alcanzando los 292 millones de dólares, impulsado por un aumento en el número de propiedades listadas en la red. Este crecimiento está respaldado además por un número significativo de nuevas comunidades de apartamentos añadidas a la plataforma y un gran equipo de ventas dedicado a Apartments.com, que se acerca a una tasa de ingresos anualizada de 1.200 millones de dólares.","[{'name': 'csgp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csgp-Q125-10-Q.html'}]",6726677,USD,SMART,STK
RE,MUL,ZG,real estate,multifamily_residential,US98954M1018,ZILLOW GROUP INC - A,8,"Facilita la búsqueda y descubrimiento de propiedades residenciales multifamiliares, conectando inquilinos y compradores con listados disponibles a través de su extensa plataforma en línea.","El enfoque de Zillow en la industria de Viviendas Multifamiliares es evidente en el crecimiento de su negocio de Alquileres, donde las propiedades multifamiliares son un motor clave. Zillow Rentals incluye una amplia gama de opciones de alquiler, desde viviendas unifamiliares hasta grandes edificios multifamiliares, con más de 2 millones de anuncios de alquiler activos. Los ingresos multifamiliares de la empresa aumentaron significativamente, con ingresos un 56% interanuales y un número de propiedades un 45% interanual, alcanzando 64.000 propiedades al final del segundo trimestre, y las asociaciones estratégicas con Redfin y Realtor.com amplían aún más el alcance de Zillow en este sector.",,184072087,USD,SMART,STK
RE,MUL,MAA,real estate,multifamily_residential,US59522J1034,MID-AMERICA APARTMENT COMM,9,"Se centra en la propiedad, gestión, adquisición y desarrollo de comunidades de apartamentos multifamiliares, principalmente situadas en la región del Sunbelt de EE. UU.","La participación de MAA en el tema de Bienes Raíces Multifamiliares es significativa, ya que la empresa se identifica como un fideicomiso de inversión inmobiliaria (REIT) centrado en multifamiliares. MAA posee, opera, adquiere y desarrolla comunidades de apartamentos principalmente en las regiones del sureste, suroeste y Atlántico medio de los EE. UU. La cartera de la empresa incluye un número sustancial de comunidades de apartamentos, lo que demuestra una inversión y un enfoque operativo considerables en el sector de viviendas multifamiliares.","[{'name': 'maa-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/maa-Q225-10-Q.html'}, {'name': 'maa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/maa-Q125-10-Q.html'}, {'name': 'maa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/maa-Q324-10-Q.html'}, {'name': 'maa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/maa-FY24-10-K.html'}]",9317,USD,SMART,STK
RE,MUL,ELME,real estate,multifamily_residential,US9396531017,ELME COMMUNITIES,10,Desempeña un papel importante dentro de la industria de la vivienda residencial multifamiliar.,"Elme Communities demuestra un enfoque significativo en la industria de residencias multifamiliares, como lo demuestra su transformación estratégica en una plataforma multifamiliar enfocada. La empresa posee aproximadamente 9.400 apartamentos residenciales en las áreas metropolitanas de Washington, DC y Atlanta, con ingresos derivados principalmente del alquiler de arrendamientos operativos de estos apartamentos residenciales multifamiliares. Este compromiso se ve aún más resaltado por la venta de una cartera de 19 activos a Cortland, una empresa de inversión inmobiliaria multifamiliar, y el plan de vender sus activos multifamiliares restantes.","[{'name': 'elme-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elme-Q125-10-Q.html'}, {'name': 'elme-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elme-Q324-10-Q.html'}, {'name': 'elme-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/elme-FY24-10-K.html'}, {'name': 'elme-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elme-Q225-10-Q.html'}]",758160,USD,SMART,STK
