type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
industrial,nanotechnology_applications,US0382221051,APPLIED MATERIALS INC,1,"Proporciona equipos y experiencia de fabricación críticos, esenciales para el desarrollo y avance de aplicaciones de nanotecnología.",,266093,USD,AMAT,SMART,STK,True,,NAN
industrial,nanotechnology_applications,US5128073062,LAM RESEARCH CORP,2,"Desarrolla equipos y procesos avanzados de fabricación de obleas que son esenciales para permitir la creación y manipulación de estructuras a nanoescala, críticas para la fabricación de semiconductores y el avance de las aplicaciones de nanotecnología.","La empresa demuestra su participación en Aplicaciones de Nanotecnología a través de su competencia principal en la habilitación de aplicaciones a nanoescala. Esta competencia es crucial para fabricar dispositivos que integran nuevos materiales con un control preciso a escala atómica. La presencia global de la empresa está respaldada por su experiencia en la habilitación de aplicaciones a nanoescala, junto con química, plasma y fluidos, e ingeniería de sistemas avanzados.",732440574,USD,LRCX,SMART,STK,True,"[{'name': 'lrcx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q125-10-Q.html'}, {'name': 'lrcx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q225-10-Q.html'}]",NAN
industrial,nanotechnology_applications,KR7005930003,SAMSUNG ELECTRONICS CO LTD,3,"Impulsa avances en diversos productos electrónicos y procesos de fabricación a través de una extensa investigación, desarrollo e integración de nanotecnología.",,17382528,KRW,005930,KSE,STK,False,,NAN
industrial,nanotechnology_applications,US4581401001,INTEL CORP,4,Impulsa avances en nanotecnología a través del desarrollo y aplicación de procesos de fabricación de semiconductores de vanguardia para procesadores y circuitos integrados de alto rendimiento.,,270639,USD,INTC,SMART,STK,True,,NAN
industrial,nanotechnology_applications,US4592001014,INTL BUSINESS MACHINES CORP,5,Contribuye significativamente al avance y la aplicación de la Nanotecnología.,,8314,USD,IBM,SMART,STK,True,,NAN
industrial,nanotechnology_applications,US8835561023,THERMO FISHER SCIENTIFIC INC,6,"Proporciona instrumentos y soluciones científicas avanzadas esenciales para la investigación, el desarrollo y la caracterización de aplicaciones de nanotecnología, apoyando la innovación en diversas industrias.",,12869,USD,TMO,SMART,STK,True,,NAN
industrial,nanotechnology_applications,US26614N1028,DUPONT DE NEMOURS INC,7,Desarrolla y aplica la nanotecnología en su cartera de productos y procesos de fabricación.,,365921621,USD,DD,SMART,STK,True,,NAN
industrial,nanotechnology_applications,US88579Y1010,3M CO,8,"Desarrolla e integra materiales y procesos avanzados a nanoescala en su diversa cartera de productos, contribuyendo a innovaciones en diversas aplicaciones industriales, de atención médica y de consumo.",,9720,USD,MMM,SMART,STK,True,,NAN
industrial,nanotechnology_applications,DE000BASF111,BASF SE,9,Desarrolla y utiliza nanomateriales y nanotecnologías avanzadas para mejorar el rendimiento del producto y crear soluciones innovadoras en su diversa cartera química.,,77680640,EUR,BAS,SMART,STK,False,,NAN
industrial,nanotechnology_applications,US67066G1040,NVIDIA CORP,10,"Aprovecha la computación avanzada y la inteligencia artificial para acelerar la investigación, el diseño y la simulación en aplicaciones de nanotecnología.",,4815747,USD,NVDA,SMART,STK,True,,NAN
