type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
energy and utilities,natural_gas,US26884L1098,EQT CORP,1,"Opera como un productor independiente líder de gas natural en los Estados Unidos, desempeñando un papel fundamental en el suministro de energía a los mercados nacionales e internacionales.","El negocio de EQT se centra en el gas natural, como lo demuestran las extensas discusiones sobre sus actividades de producción, transporte, ventas y cobertura. La compañía gestiona estratégicamente sus operaciones de gas natural, como lo destaca su aumento táctico de producción en respuesta a la demanda del mercado y su decisión de reducir la producción debido a los bajos precios. El enfoque de EQT en el gas natural se ve aún más subrayado por su adquisición de Equitrans Midstream, que la ha establecido como un productor de gas natural integrado a gran escala en los Estados Unidos, y sus discusiones estratégicas con una docena de proyectos de energía propuestos en la región de los Apalaches.","[{'name': 'eqt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqt-Q225-10-Q.html'}, {'name': 'eqt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqt-Q324-10-Q.html'}, {'name': 'eqt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqt-Q125-10-Q.html'}, {'name': 'eqt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eqt-FY24-10-K.html'}]",57698865,USD,EQT,SMART,STK,True
energy and utilities,natural_gas,US16411R2085,CHENIERE ENERGY INC,2,"Desempeña un papel fundamental en el mercado global de gas natural al licuar y exportar gas natural, facilitando su transporte y distribución a los mercados energéticos internacionales.","El negocio de Cheniere se centra en el gas natural, específicamente en forma de gas natural licuado (GNL). Como el mayor productor de GNL en los Estados Unidos, y el segundo a nivel mundial, la compañía posee y opera instalaciones de licuefacción y exportación de gas natural, incluyendo gasoductos, y está expandiendo activamente sus capacidades de producción y exportación de GNL. Las operaciones de la compañía implican la licuefacción de gas natural para su transporte, su reconversión a gas natural para su uso como fuente de energía, y su venta a compañías energéticas integradas, servicios públicos y compañías de comercio de energía en todo el mundo, con la mayor parte de la materia prima obtenida de los EE. UU.","[{'name': 'lng-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lng-Q225-10-Q.html'}, {'name': 'lng-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lng-Q125-10-Q.html'}, {'name': 'lng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lng-FY24-10-K.html'}]",4728003,USD,LNG,SMART,STK,False
energy and utilities,natural_gas,US49456B1017,KINDER MORGAN INC,3,"Opera extensas tuberías e infraestructura de gas natural, facilitando el transporte, almacenamiento y procesamiento de gas natural en toda América del Norte.","Las operaciones de Kinder Morgan están significativamente entrelazadas con la industria del gas natural, como se destacó a lo largo de la llamada de resultados y las presentaciones. La empresa transporta una parte sustancial del gas natural de Estados Unidos y está estratégicamente posicionada en regiones que experimentan una alta demanda de gas de alimentación de GNL y un crecimiento de la generación eléctrica. Esto se demuestra aún más por la adquisición por parte de Kinder Morgan de activos de recolección y procesamiento de gas natural, como el sistema Outrigger Energy, y el aumento de los ingresos por ventas de gas natural. Los ejecutivos enfatizan las perspectivas positivas para el gas natural, citando la creciente demanda y los proyectos de expansión en curso de la empresa para apoyar el mercado del gas natural.","[{'name': 'kmi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kmi-FY24-10-K.html'}, {'name': 'kmi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kmi-Q324-10-Q.html'}, {'name': 'kmi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kmi-Q125-10-Q.html'}, {'name': 'kmi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kmi-Q225-10-Q.html'}]",83975037,USD,KMI,SMART,STK,True
energy and utilities,natural_gas,US9694571004,WILLIAMS COS INC,4,"Opera infraestructura esencial para la recolección, procesamiento y transporte interestatal de gas natural, apoyando la cadena de suministro de energía.","El negocio de Williams se centra en el gas natural, ya que la empresa se compromete a proporcionar infraestructura que suministra de forma segura productos de gas natural para alimentar la economía de energía limpia. La empresa enfatiza que el gas natural es la columna vertebral de una energía fiable, asequible y más limpia, y su infraestructura es esencial para satisfacer la creciente demanda en los EE. UU. y en todo el mundo. La estrategia de Williams está diseñada para maximizar las oportunidades creadas por la vasta oferta de gas natural, ya que conectan la creciente demanda de combustibles más limpios con posiciones importantes en las cuencas de suministro de gas natural, incluidos proyectos que apoyan el crecimiento en la cuenca Haynesville Shale y las expansiones de Transco.","[{'name': 'wmb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmb-Q125-10-Q.html'}, {'name': 'wmb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wmb-FY24-10-K.html'}]",13805,USD,WMB,SMART,STK,True
energy and utilities,natural_gas,US2937921078,ENTERPRISE PRODUCTS PARTNERS,5,"Opera una extensa infraestructura para la recolección, procesamiento, transporte y almacenamiento de gas natural, facilitando su entrega eficiente a los mercados.","Enterprise Products Partners está significativamente involucrada en la industria del gas natural, brindando servicios de midstream tanto a productores como a consumidores. Las operaciones de la compañía incluyen la recolección, tratamiento, procesamiento, transporte y almacenamiento de gas natural, y están expandiendo sus capacidades de recolección y procesamiento de gas natural, particularmente en las cuencas Delaware y Midland. Procesan volúmenes sustanciales de gas natural a diario y mueven cantidades significativas a través de su red de oleoductos. Además, la compañía se beneficia de la creciente producción en la cuenca Pérmica y tiene un segmento dedicado a la comercialización de gas natural.","[{'name': 'epd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/epd-Q225-10-Q.html'}, {'name': 'epd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/epd-Q125-10-Q.html'}, {'name': 'epd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/epd-FY24-10-K.html'}]",6607910,USD,EPD,SMART,STK,False
energy and utilities,natural_gas,US30231G1022,EXXON MOBIL CORP,6,"Juega un papel importante en el suministro global de energía a través de su amplia participación en la exploración, producción y distribución de gas natural.","El compromiso de ExxonMobil con la industria del gas natural es evidente a través de sus significativas actividades de producción, particularmente dentro de su negocio Upstream, donde alcanzó niveles de producción récord. El desempeño financiero de la compañía también se ve influenciado por el gas natural, como lo demuestra el impacto de las realizaciones de gas natural en las ganancias, que en ocasiones compensaron la disminución de las ganancias de los líquidos. Una parte sustancial de la producción de petróleo y gas natural de ExxonMobil proviene de activos de alto rendimiento y ventajosos, con expectativas de un mayor crecimiento en esta área. Las actividades de la compañía reflejan su papel como un importante productor en el sector del gas natural.","[{'name': 'xom-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xom-Q125-10-Q.html'}, {'name': 'xom-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xom-Q225-10-Q.html'}]",13977,USD,XOM,SMART,STK,True
energy and utilities,natural_gas,US1667641005,CHEVRON CORP,7,"Opera como un productor y proveedor significativo de gas natural, desempeñando un papel clave en las cadenas de suministro de energía globales.","El compromiso de Chevron con el tema de la industria del Gas Natural es evidente a través de sus ganancias upstream, que están estrechamente ligadas a los precios del gas natural. Las actividades de la compañía incluyen proyectos como TCO en Kazajistán, que produce gas natural junto con petróleo, y el proyecto de gas Aphrodite en Chipre, con planes de producir 800 millones de pies cúbicos de gas por día para su suministro a Egipto. Además, las operaciones de Chevron en la Cuenca Pérmica contribuyen a la producción de gas natural, y la compañía está involucrada en un proyecto de gasoducto para aumentar la capacidad de exportación en Argentina, lo que demuestra un énfasis estratégico en el gas natural.","[{'name': 'cvx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q125-10-Q.html'}]",5684,USD,CVX,SMART,STK,True
energy and utilities,natural_gas,US2057683029,COMSTOCK RESOURCES INC,8,"Se centra en la exploración y producción de gas natural, sirviendo como un proveedor importante dentro del sector energético.","El enfoque de Comstock Resources en la industria del gas natural es evidente, ya que la empresa se dedica a la adquisición, exploración, desarrollo y producción de gas natural y petróleo, con una concentración de activos en las pizarras de Haynesville y Bossier, una cuenca principal de gas natural. Los ingresos de la empresa se derivan significativamente de las ventas de gas natural, como lo demuestran los $405 millones en ventas de gas natural y petróleo en el primer trimestre de 2025 y los $344 millones en el segundo trimestre. Este énfasis está aún más respaldado por la gestión activa de la exposición a los precios del gas natural por parte de la empresa utilizando instrumentos financieros derivados y su enfoque estratégico en el crecimiento de la demanda de gas natural en la generación de energía, la IA y las materias primas para GNL.","[{'name': 'crk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crk-Q125-10-Q.html'}, {'name': 'crk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crk-Q324-10-Q.html'}, {'name': 'crk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crk-Q225-10-Q.html'}, {'name': 'crk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crk-FY24-10-K.html'}]",241891174,USD,CRK,SMART,STK,True
energy and utilities,natural_gas,US03674X1063,ANTERO RESOURCES CORP,9,"Participa en la exploración, desarrollo y producción de recursos de gas natural, desempeñando un papel importante en su suministro.","La participación de Antero Resources en el gas natural es evidente a través de varios aspectos clave de sus operaciones. La compañía se identifica como una empresa independiente de petróleo y gas natural involucrada en el desarrollo, producción, exploración y adquisición de propiedades de gas natural, con una parte significativa de sus ingresos proveniente de las ventas de gas natural. Esto se ve respaldado aún más por las estrategias de cobertura de la compañía, las discusiones sobre las tendencias de la demanda y la dinámica de precios relacionados con el gas natural, junto con su exposición líder en su sector a los precios vinculados al NYMEX y su posicionamiento estratégico para la demanda de gas natural de los centros de datos.","[{'name': 'ar-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ar-Q225-10-Q.html'}, {'name': 'ar-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ar-Q125-10-Q.html'}, {'name': 'ar-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ar-Q324-10-Q.html'}, {'name': 'ar-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ar-FY24-10-K.html'}]",135942630,USD,AR,SMART,STK,True
energy and utilities,natural_gas,US8168511090,SEMPRA,10,"Participa en el desarrollo, propiedad y operación de infraestructura crítica de gas natural, incluyendo gasoductos e instalaciones de gas natural licuado (GNL), para suministrar energía a los mercados.","La participación de Sempra en el tema de la industria del gas natural es evidente a través de sus subsidiarias, SDG&E y SoCalGas, que son centrales para sus operaciones. SDG&E proporciona servicio de gas natural al condado de San Diego, mientras que SoCalGas atiende a clientes en la mayor parte del sur de California y parte del centro de California como una empresa de distribución pública regulada de gas natural. Los ingresos de la empresa se ven significativamente afectados por los precios y volúmenes del gas natural, ya que los ingresos del gas natural para Sempra California y Sempra Infrastructure totalizaron $2,362 millones durante los tres meses finalizados el 31 de marzo de 2025.","[{'name': 'sre-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sre-Q324-10-Q.html'}, {'name': 'sre-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sre-Q225-10-Q.html'}, {'name': 'sre-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sre-Q125-10-Q.html'}, {'name': 'sre-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sre-FY24-10-K.html'}]",11020,USD,SRE,SMART,STK,True
