type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,network_security,US6974351057,PALO ALTO NETWORKS INC,1,Proporciona soluciones integrales de seguridad de red que protegen a las organizaciones de amenazas cibernéticas avanzadas y aseguran activos digitales en diversos entornos.,"Palo Alto Networks demuestra un fuerte enfoque en la seguridad de redes, ofreciendo una plataforma integral diseñada para ofrecer soluciones de confianza cero. Esta plataforma incluye firewalls de próxima generación con aprendizaje automático (ML) en hardware y software, seguridad en tiempo de ejecución con IA y un servicio de borde de acceso seguro (SASE) entregado en la nube. El compromiso de la empresa se evidencia aún más en su Strata Cloud Manager, que gestiona de forma centralizada la plataforma de seguridad de red, y su afirmación de liderar el mercado en seguridad de red, lo que constituye una parte importante de sus reservas. Además, Palo Alto Networks enfatiza una estrategia de plataforma e innovación para mejorar los resultados de seguridad para sus clientes, ofreciendo una interfaz única en varios factores de forma y suscripciones avanzadas de seguridad de confianza cero.","[{'name': 'panw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q125-10-Q.html'}, {'name': 'panw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q324-10-Q.html'}, {'name': 'panw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/panw-FY24-10-K.html'}, {'name': 'panw-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q325-10-Q.html'}]",110619459,USD,PANW,SMART,STK,True,TE_NET
technology,network_security,US34959E1091,FORTINET INC,2,"Proporciona una cartera integral de soluciones de seguridad de red, incluidos firewalls, protección de puntos finales y acceso seguro, cruciales para salvaguardar las infraestructuras digitales a nivel mundial.","Fortinet está fuertemente invertida en seguridad de red, como lo demuestra su posición de liderazgo en ciberseguridad y su enfoque en la convergencia de redes y seguridad. El Fortinet Security Fabric de la empresa abarca redes seguras, SASE unificado y operaciones de seguridad impulsadas por IA, y sus soluciones de Redes Seguras se basan en el sistema operativo FortiOS. Fortinet es reconocida como líder en el mercado de firewalls, ocupando la posición #1 en implementaciones a nivel mundial, y también está expandiendo sus capacidades en áreas como SD-WAN y seguridad OT.","[{'name': 'ftnt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ftnt-Q324-10-Q.html'}, {'name': 'ftnt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ftnt-Q225-10-Q.html'}, {'name': 'ftnt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ftnt-Q125-10-Q.html'}, {'name': 'ftnt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ftnt-FY24-10-K.html'}]",70236214,USD,FTNT,SMART,STK,True,TE_NET
technology,network_security,US17275R1023,CISCO SYSTEMS INC,3,"Ofrece tecnologías críticas de seguridad de red que protegen y gestionan entornos de red complejos, abordando las amenazas cibernéticas en evolución para empresas a nivel mundial.","El compromiso de Cisco con la Seguridad de Red es evidente a través de su categoría de productos de Seguridad, que incluye Seguridad de Red, Gestión de Identidad y Acceso, SASE, y ofertas de Inteligencia, Detección y Respuesta ante Amenazas. Los pedidos de seguridad de la empresa se han más que duplicado, impulsados por las capacidades de Splunk y la demanda de productos como su firewall renovado. Cisco se centra en integrar la seguridad profundamente en sus productos de red, y la categoría de productos de Seguridad ha experimentado aumentos sustanciales de ingresos, impulsados principalmente por las ofertas de Inteligencia, Detección y Respuesta ante Amenazas y el crecimiento de las ofertas de SASE.","[{'name': 'csco-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q125-10-Q.html'}, {'name': 'csco-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q225-10-Q.html'}, {'name': 'csco-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q325-10-Q.html'}, {'name': 'csco-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/csco-FY24-10-K.html'}]",268084,USD,CSCO,SMART,STK,True,TE_NET
technology,network_security,US98980G1022,ZSCALER INC,4,"Proporciona una plataforma nativa en la nube que asegura el acceso de usuarios y aplicaciones, permitiendo a las organizaciones transformar su infraestructura de seguridad de red.","El enfoque de Zscaler en la seguridad de red es evidente en su plataforma Zero Trust Exchange, que la empresa describe como un cambio fundamental en la arquitectura de redes y seguridad. La plataforma de la empresa permite la transformación digital segura al abordar la creciente exposición a amenazas debido a la creciente dependencia de Internet, la transformación digital y el uso de IA. Zscaler está mejorando su funcionalidad de sucursal Zero Trust con innovaciones como un dispositivo unificado para la conectividad de sucursal y la segmentación de dispositivos, así como un proxy LLM para analizar consultas de indicaciones y prevenir fugas de datos. La plataforma Zero Trust Exchange procesa una gran cantidad de tráfico de red, bloquea amenazas y aplica políticas, lo que resalta el enfoque de la empresa en asegurar las comunicaciones empresariales.","[{'name': 'zs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/zs-Q125-10-Q.html'}, {'name': 'zs-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/zs-Q325-10-Q.html'}]",310621426,USD,ZS,SMART,STK,False,TE_NET
technology,network_security,US5949181045,MICROSOFT CORP,5,"Proporciona soluciones y servicios integrales de seguridad de red, protegiendo la infraestructura en la nube, los puntos finales y los datos para empresas de todo el mundo.",,,272093,USD,MSFT,SMART,STK,True,TE_NET
technology,network_security,US22788C1053,CROWDSTRIKE HOLDINGS INC - A,6,"Proporciona protección de puntos finales y cargas de trabajo nativas de la nube, inteligencia de amenazas y operaciones de seguridad para salvaguardar a las organizaciones de amenazas cibernéticas, mejorando así la seguridad general de la red.",,,370757467,USD,CRWD,SMART,STK,True,TE_NET
technology,network_security,IL0010824113,CHECK POINT SOFTWARE TECH,7,"Desarrolla y proporciona soluciones integrales de software y hardware para proteger las redes de amenazas cibernéticas, garantizando la integridad de los datos y la disponibilidad del sistema para organizaciones de todo el mundo.","El enfoque de Check Point en la seguridad de redes es evidente a través de sus dispositivos Quantum Force y su plataforma líder para la Arquitectura de Malla Híbrida, que incluye SASE. La empresa enfatiza el papel crítico de la seguridad en un mundo hiperconectado y impulsado por la IA, integrando los motores de seguridad de Check Point dentro de sus soluciones. Esto se ve reforzado por la dedicación de la empresa a SASE, con esfuerzos continuos para escalar sus capacidades para empresas más grandes y la voluntad de considerar adquisiciones en esta área. La empresa se centra en asegurar la fuerza laboral y aprovechar activos como ThreatCloud AI.",,4172987,USD,CHKP,SMART,STK,False,TE_NET
technology,network_security,US18915M1071,CLOUDFLARE INC - CLASS A,8,"Proporciona un conjunto integral de servicios de seguridad de red, que incluyen protección DDoS, firewalls de aplicaciones web y soluciones de acceso seguro, esenciales para salvaguardar la infraestructura y los datos en línea.","El compromiso de Cloudflare con la seguridad de la red es evidente en su misión principal de construir un Internet mejor y más seguro, ofreciendo una red global que proporciona una gama de servicios de seguridad a las empresas. Esto se ve reforzado por el funcionamiento de la red de la empresa como un plano de control unificado que ofrece seguridad, rendimiento y fiabilidad en diversos entornos de aplicaciones. Las soluciones de seguridad de red de Cloudflare, como Magic Firewall, protección DDoS y Magic Transit, son componentes críticos de sus ofertas de servicios, ejemplificadas por contratos con una empresa de IA en rápido crecimiento, una empresa de servicios financieros Fortune 100, un proveedor internacional de infraestructura crítica y una agencia gubernamental. Estos contratos resaltan el enfoque de la empresa en la modernización de las posturas de seguridad con soluciones cloud-first, incluida la protección DDoS de Capa 3 y la seguridad de aplicaciones de Capa 7.","[{'name': 'net-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/net-Q125-10-Q.html'}, {'name': 'net-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/net-FY24-10-K.html'}]",382633646,USD,NET,SMART,STK,False,TE_NET
technology,network_security,US00971T1016,AKAMAI TECHNOLOGIES INC,9,"Proporciona soluciones integrales de seguridad en la nube, incluida la mitigación de DDoS y firewalls de aplicaciones web, para proteger los activos digitales y garantizar la integridad de la red para empresas a nivel mundial.",,,6220356,USD,AKAM,SMART,STK,True,TE_NET
technology,network_security,US92343E1029,VERISIGN INC,10,"Opera infraestructura crítica de Internet, incluidos registros de nombres de dominio, proporcionando servicios de seguridad fundamentales esenciales para la estabilidad y protección de la red global.",,,4173050,USD,VRSN,SMART,STK,True,TE_NET
technology,network_security,JP3637300009,TREND MICRO INC,11,Proporciona soluciones y servicios dentro del dominio de la Seguridad de Red.,,,14015793,JPY,4704,SMART,STK,False,TE_NET
technology,network_security,US6792951054,OKTA INC,12,Proporciona soluciones de gestión de identidad y acceso que son fundamentales para proteger las redes y los activos digitales de las empresas.,,,272356196,USD,OKTA,SMART,STK,True,TE_NET
technology,network_security,US3156161024,F5 INC,13,"Proporciona soluciones que aseguran aplicaciones y API, administran el acceso y protegen contra amenazas cibernéticas sofisticadas, contribuyendo a infraestructuras de seguridad de red robustas.",,,6248713,USD,FFIV,SMART,STK,True,TE_NET
technology,network_security,US4592001014,INTL BUSINESS MACHINES CORP,14,"Ofrece soluciones y servicios integrales de seguridad de red, protegiendo la infraestructura crítica y los datos de empresas a nivel mundial.",,,8314,USD,IBM,SMART,STK,True,TE_NET
technology,network_security,US0021211018,A10 NETWORKS INC,15,Proporciona servicios y soluciones de aplicaciones seguras que protegen las redes de amenazas avanzadas y garantizan la disponibilidad y el rendimiento de las aplicaciones críticas.,"El enfoque de Aten en la seguridad de redes es evidente a través de la provisión de soluciones de aplicaciones seguras destinadas a mejorar la protección cibernética y la capacidad de respuesta digital para empresas conectadas. La cartera de productos de la empresa, que incluye tanto infraestructura de red como productos de seguridad, está diseñada para abordar los desafíos de protección cibernética y proteger contra ciberataques, siendo su conjunto de seguridad conocido como A10 Defend. Sus soluciones enfatizan el alto rendimiento y la seguridad avanzada, ofreciendo una cartera integral A10 Defend que incluye protección híbrida contra DDoS, inteligencia de amenazas y protección de aplicaciones web y bots.","[{'name': 'aten-Q124-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aten-Q124-10-Q.html'}, {'name': 'aten-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aten-FY24-10-K.html'}, {'name': 'aten-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aten-Q225-10-Q.html'}]",146405187,USD,ATEN,SMART,STK,True,TE_NET
technology,network_security,US0404132054,ARISTA NETWORKS INC,16,Integra sólidas características de seguridad dentro de sus soluciones de redes en la nube para proteger datos e infraestructura en entornos empresariales y de centros de datos.,"Arista Networks enfatiza la seguridad como un componente de sus plataformas de red, destacando su entrega de disponibilidad, agilidad, automatización, análisis y seguridad a través de una pila de sistema operativo de red avanzada. El compromiso de la empresa se refleja en inversiones en aprovisionamiento sin contacto cableado e inalámbrico cognitivo, identidad de red y sensores para la mitigación de amenazas, que han sido bien recibidos por los clientes de campus. Además, las capacidades de procesamiento de borde de Arista ofrecen seguridad avanzada y filtrado de tráfico programable a escala, mientras que el ascenso de Jason Bevis a líder de ciberseguridad y CISO subraya el enfoque de la empresa en la seguridad de la red.","[{'name': 'anet-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/anet-Q125-10-Q.html'}, {'name': 'anet-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/anet-Q324-10-Q.html'}]",740948854,USD,ANET,SMART,STK,True,TE_NET
technology,network_security,US88025T1025,TENABLE HOLDINGS INC,17,Ofrece soluciones de gestión de vulnerabilidades y ciberseguridad diseñadas para mejorar la seguridad de las infraestructuras de red.,,,327422072,USD,TENB,SMART,STK,False,TE_NET
technology,network_security,US74758T3032,QUALYS INC,18,"Ofrece soluciones basadas en la nube para la gestión de vulnerabilidades y el cumplimiento normativo, contribuyendo a la evaluación de seguridad y protección de la infraestructura de red.",,,114814349,USD,QLYS,SMART,STK,True,TE_NET
technology,network_security,US5502411037,LUMEN TECHNOLOGIES INC,19,"Ofrece una gama de soluciones de seguridad de red, incluidos servicios de seguridad administrados y mitigación de DDoS, para proteger las redes y los datos empresariales.","La participación de Lumen en la Seguridad de Red es evidente a través de varias iniciativas clave. La empresa tiene como objetivo ""limitar, detectar y mitigar las vulnerabilidades de seguridad de red y datos"", lo que resalta un enfoque proactivo de la seguridad. Además, Lumen incluye la ""seguridad administrada"" dentro de su categoría ""Crecer"", lo que indica una inversión estratégica en esta área. La plataforma digital y las ofertas de NaaS de Lumen también enfatizan el acceso seguro a aplicaciones comerciales críticas, reforzando la importancia de la seguridad de red en la prestación de sus servicios.","[{'name': 'lumn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lumn-Q125-10-Q.html'}, {'name': 'lumn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lumn-Q324-10-Q.html'}, {'name': 'lumn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lumn-Q225-10-Q.html'}, {'name': 'lumn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lumn-FY24-10-K.html'}]",446613345,USD,LUMN,SMART,STK,True,TE_NET
technology,network_security,US92343V1044,VERIZON COMMUNICATIONS INC,20,Proporciona soluciones y servicios integrales de seguridad de red para salvaguardar su extensa infraestructura de telecomunicaciones y proteger los datos de los clientes de las amenazas cibernéticas en evolución.,"El enfoque de Verizon en la seguridad de la red es evidente en sus ofertas de servicios, ya que la empresa proporciona soluciones de datos, video y voz diseñadas para satisfacer las demandas de los clientes de movilidad, conectividad de red confiable y seguridad. El segmento de Negocios ofrece servicios de seguridad y redes gestionadas, lo que resalta la importancia de la seguridad de la red para Verizon. Además, Verizon considera la seguridad de su red inalámbrica un factor clave en su éxito continuo, ofreciendo soluciones de seguridad en sus redes y plataformas.","[{'name': 'vz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q225-10-Q.html'}, {'name': 'vz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vz-FY24-10-K.html'}, {'name': 'vz-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q324-10-Q.html'}]",4901,USD,VZ,SMART,STK,True,TE_NET
technology,network_security,US00191U1025,ASGN INC,21,"Apoya el tema de Seguridad de Redes proporcionando servicios especializados de consultoría de TI, soluciones de personal y experiencia en implementación.","ASGN demuestra su compromiso con la seguridad de redes a través del uso de asistentes de seguridad de redes. Estos asistentes son ejemplos de aceleradores de IA actualmente en uso, con más lanzamientos planificados. La empresa ya ha publicado varios aceleradores, incluidos asistentes de seguridad de redes, y tiene muchos más en preparación para su lanzamiento este año.",,308729732,USD,ASGN,SMART,STK,True,TE_NET
technology,network_security,US62878D1000,N-ABLE INC,22,Proporciona soluciones de gestión de TI que permiten a los proveedores de servicios gestionados supervisar y gestionar la seguridad de la red para sus clientes.,"N-able está muy involucrada en la seguridad de redes, ofreciendo una plataforma de resiliencia cibernética adaptada para pequeñas y medianas empresas, enfatizando la necesidad de resiliencia cibernética contra las amenazas cibernéticas. El compromiso de la empresa se destaca por el lanzamiento de prevención de brechas para Microsoft 365, una solución diseñada para detectar y remediar amenazas, asegurando un vector de ataque de identidad crítico. Además, la solución de operaciones de seguridad Adlumin de N-able ha recibido reconocimiento de la industria, siendo nombrada líder del mercado en MDR en los Premios Global Infosec 2025 de Cyber Defense Magazine, y el exitoso lanzamiento de XDR encabezó sus objetivos de seguridad.","[{'name': 'nabl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nabl-Q324-10-Q.html'}]",500243944,USD,NABL,SMART,STK,True,TE_NET
technology,network_security,US64115T1043,NETSCOUT SYSTEMS INC,23,Ofrece soluciones que brindan visibilidad y análisis para proteger la infraestructura de red de amenazas cibernéticas y garantizar la resiliencia operativa.,"El enfoque de NetScout en la seguridad de redes es evidente a través de la provisión de soluciones que protegen las redes de ataques y salvaguardan los servicios de negocios digitales contra interrupciones para proveedores de servicios, empresas y agencias gubernamentales. Esto se logra a través de soluciones como la detección Sightline y la mitigación TMS, que mejoran la postura de seguridad en el borde de la red y dentro de los centros de datos, como lo demuestra su relación ampliada con un proveedor líder de servicios en la nube. Las ofertas de ciberseguridad de la empresa, incluida la protección DDoS y las Soluciones de Seguridad de Red Omnis, subrayan su compromiso de garantizar la seguridad, el rendimiento y la disponibilidad de redes complejas.","[{'name': 'ntct-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ntct-Q225-10-Q.html'}, {'name': 'ntct-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ntct-Q325-10-Q.html'}]",6525674,USD,NTCT,SMART,STK,True,TE_NET
technology,network_security,US42824C1099,HEWLETT PACKARD ENTERPRISE,24,Proporciona soluciones y servicios en el dominio de la seguridad de redes.,"El enfoque de HPE en la seguridad de redes es evidente en su visión de construir un negocio de redes moderno, seguro y dirigido por IA, demostrado además por su sólida cartera de seguridad que incluye firewalls de Juniper y Secure Access Service Edge (SASE). Este compromiso se ve reforzado por la integración de soluciones de seguridad en su cartera de redes, ejemplificada por la solución completa de pila de TI para SPAR Austria Group que incorpora firewalls de Juniper. La adquisición propuesta de Juniper Networks y el crecimiento reportado en los ingresos de SASE y seguridad subrayan aún más la importancia de la seguridad de redes para las iniciativas estratégicas de HPE.","[{'name': 'hpe-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpe-Q125-10-Q.html'}]",209411798,USD,HPE,SMART,STK,True,TE_NET
technology,network_security,US1271903049,CACI INTERNATIONAL INC -CL A,25,Ofrece servicios y soluciones dentro del dominio de la Seguridad de Red.,"CACI demuestra su compromiso con la seguridad de redes a través de un aumento del gasto en la modernización de redes y aplicaciones, junto con mejoras en su postura de ciberseguridad. Esta inversión se alinea con un enfoque más amplio en el ciberespacio, el espacio y el espectro electromagnético como dominios clave para la Seguridad Nacional. La participación de la empresa se extiende a la modernización de redes, lo que refleja su papel en esta área.","[{'name': 'caci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/caci-Q125-10-Q.html'}, {'name': 'caci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/caci-Q225-10-Q.html'}]",267197,USD,CACI,SMART,STK,True,TE_NET
technology,network_security,US30226D1063,EXTREME NETWORKS INC,26,Proporciona soluciones que protegen la infraestructura de red y los datos.,"Extreme Networks está profundamente involucrada en la seguridad de redes, como lo demuestra sus soluciones de seguridad integradas dentro de su plataforma de redes en la nube. La plataforma de la empresa integra redes de IA y seguridad para reducir la complejidad, destacada por el lanzamiento de ExtremeCloud Universal ZTNA, una oferta de seguridad de red que combina la seguridad de red, aplicaciones y dispositivos en una única solución. Su tejido de red simplifica la gestión de la red y mejora la seguridad a través de funciones como la microsegmentación y el aprovisionamiento automatizado de Confianza Cero, diseñado específicamente para campus empresariales grandes. Extreme enfatiza la importancia de las conexiones seguras, ofreciendo un enfoque de seguridad en capas gestionado desde la nube.","[{'name': 'extr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/extr-Q225-10-Q.html'}, {'name': 'extr-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/extr-Q325-10-Q.html'}, {'name': 'extr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/extr-Q125-10-Q.html'}]",269087,USD,EXTR,SMART,STK,True,TE_NET
technology,network_security,US8725901040,T-MOBILE US INC,27,Proporciona infraestructura de red esencial que requiere sólidas medidas de seguridad para proteger los datos de los clientes y garantizar la integridad del servicio.,"El compromiso de T-Mobile con la seguridad de red se destaca por el lanzamiento de una 'slice' de seguridad que integra la seguridad SIM a través del núcleo de la red. Esto se ejemplifica con su producto T-SIMsecure, que ha atraído a decenas de miles de clientes SMB, particularmente aquellos que carecen de departamentos de TI sofisticados. Además, T-Mobile está utilizando 'slices' de seguridad de red con Disney Studios, permitiendo la transmisión en tiempo real desde ubicaciones remotas, y T-Mobile's T-Priority está disponible para los socorristas en una arquitectura de núcleo independiente 5G.",,125980227,USD,TMUS,SMART,STK,True,TE_NET
technology,network_security,US50155Q1004,KYNDRYL HOLDINGS INC,28,Proporciona servicios gestionados que incorporan soluciones de seguridad de red para proteger y mantener las infraestructuras de TI de los clientes.,"La participación de Kyndryl en la Seguridad de Red se demuestra a través de su equipo Kyndryl Consult, que desarrolla e implementa nuevas arquitecturas. Estas arquitecturas están diseñadas para modernizar las soluciones de resiliencia y respaldo, así como para proporcionar nueva seguridad de datos en la nube y servicios de red. Esta oferta de servicios de seguridad de red es parte de los compromisos de consultoría más amplios de Kyndryl.",,520488080,USD,KD,SMART,STK,True,TE_NET
technology,network_security,US90353W1036,UBIQUITI INC,29,Desarrolla y suministra equipos de red que incluyen capacidades de seguridad integradas para salvaguardar entornos digitales.,"Las plataformas de productos empresariales de Ubiquiti incluyen pasarelas de seguridad, sistemas de control de acceso a puertas y otros productos WLAN, junto con una plataforma de software para el control de redes. La empresa desarrolla plataformas tecnológicas para el acceso a Internet distribuido de alta capacidad, la tecnología de la información unificada y la electrónica de consumo, dirigidas a los mercados empresariales y de proveedores de servicios a través de su Comunidad Ubiquiti. Si bien las pasarelas de seguridad forman parte de sus ofertas, se mencionan junto con otros productos como infraestructura WLAN, videovigilancia y soluciones de conmutación, lo que sugiere que la seguridad de la red es un componente de un conjunto más amplio de servicios.","[{'name': 'ui-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ui-FY25-10-K.html'}, {'name': 'ui-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ui-Q325-10-Q.html'}]",379198868,USD,UI,SMART,STK,False,TE_NET
technology,network_security,US48242W1062,KBR INC,30,Incluye la Seguridad de Red como un área de su enfoque operativo.,"La participación de KBR en Seguridad de Redes se demuestra a través de sus contratos estratégicos con el Laboratorio de Investigación de la Fuerza Aérea bajo el entorno innovador de Evaluación de Amenazas de Infraestructura Cibernética (I-N-C-I-T-E). La empresa se está posicionando intencionalmente para capitalizar áreas de financiación prioritarias, incluida la ciberseguridad de la misión. Este enfoque tiene como objetivo brindar capacidades avanzadas al combatiente, impulsar el crecimiento de los ingresos y expandir los márgenes.",,41552939,USD,KBR,SMART,STK,True,TE_NET
