type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
unclassified,nuclear_power,US21037T1097,CONSTELLATION ENERGY,1,"Opera la flota más grande de plantas de energía nuclear en los Estados Unidos, proporcionando electricidad libre de carbono y desempeñando un papel fundamental en la transición energética de la nación.","El fuerte compromiso de Constellation Energy con la Energía Nuclear es evidente a través de sus sustanciales activos nucleares, que forman el componente principal de su capacidad de generación. El compromiso de la empresa se demuestra aún más a través de iniciativas estratégicas como la reactivación del Centro de Energía Limpia de Crane, una planta nuclear, y la participación activa en la adquisición de combustible nuclear. Esta dedicación se ve reforzada por la elegibilidad de la empresa para créditos fiscales de producción nuclear que se extienden hasta 2032 y su enfoque proactivo para la renovación de licencias de activos nucleares existentes, con el objetivo de operarlos hasta 2060 y más allá.","[{'name': 'ceg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ceg-Q125-10-Q.html'}, {'name': 'ceg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ceg-Q324-10-Q.html'}, {'name': 'ceg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ceg-FY24-10-K.html'}, {'name': 'ceg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ceg-Q225-10-Q.html'}]",538132976,USD,CEG,SMART,STK,True,EU_NUC
unclassified,nuclear_power,US05605H1005,BWX TECHNOLOGIES INC,2,"Desempeña un papel crucial en el sector de la energía nuclear al proporcionar componentes, combustible y servicios esenciales para reactores nucleares y aplicaciones relacionadas.","La participación de BWXT en el tema de Energía Nuclear es significativa, impulsada por su posición como proveedor líder de componentes nucleares y combustible para el Gobierno de EE. UU. y la industria comercial de energía nuclear. La empresa diseña, proyecta y fabrica componentes nucleares navales de precisión, reactores y combustible nuclear para el Programa de Propulsión Nuclear Naval del Departamento de Energía de EE. UU., y desarrolla tecnología para fuentes avanzadas de energía nuclear. BWXT también está expandiendo su capacidad y aumentando su cartera de servicios nucleares, centrándose en tecnologías nucleares como soluciones para la seguridad nacional, energía limpia y mercados finales médicos, incluyendo inversiones en energía nuclear comercial y el desarrollo de reactores modulares pequeños.","[{'name': 'bwxt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bwxt-Q225-10-Q.html'}, {'name': 'bwxt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bwxt-Q324-10-Q.html'}, {'name': 'bwxt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bwxt-Q125-10-Q.html'}, {'name': 'bwxt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bwxt-FY24-10-K.html'}]",196689572,USD,BWXT,SMART,STK,True,EU_NUC
unclassified,nuclear_power,US36828A1016,GE VERNOVA INC,3,"Desarrolla y proporciona soluciones avanzadas de energía nuclear, contribuyendo a la generación de energía limpia y confiable.","La participación de GE Vernova en la Energía Nuclear es evidente a través de varias actividades, incluido el progreso de su proyecto de reactor modular pequeño (SMR) de 300 megavatios, con la construcción en marcha en Ontario y la NRC aceptando la solicitud de TVA para construir en el sitio de Clinch River. El segmento de Energía incluye tecnologías nucleares, proporcionando una base de energía despachable, flexible, estable y confiable. Sin embargo, la empresa completó la venta de parte de sus actividades nucleares a Electricité de France S.A. (EDF), y si bien los pedidos de servicios de vapor aumentaron, apoyando extensiones y mejoras nucleares, esta actividad se equilibra con gastos adicionales para apoyar inversiones en Energía Nuclear.","[{'name': 'gev-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q324-10-Q.html'}, {'name': 'gev-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q125-10-Q.html'}, {'name': 'gev-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q225-10-Q.html'}]",691984365,USD,GEV,SMART,STK,True,EU_NUC
unclassified,nuclear_power,US67079K1007,NUSCALE POWER CORP,4,"Desarrolla e implementa tecnología de Reactores Modulares Pequeños (SMR), avanzando en la accesibilidad y aplicación de la generación de energía nuclear.","El enfoque de NuScale en la energía nuclear es evidente a través de su desarrollo y comercialización de la tecnología de Reactores Modulares Pequeños (SMR). Como única empresa de SMR con la aprobación de diseño de la Comisión Reguladora Nuclear de EE. UU. (NRC), NuScale está trabajando activamente para implementar su tecnología, incluida la preparación para la fabricación y las inversiones en la cadena de suministro. La misión de la empresa se centra en proporcionar tecnología nuclear avanzada y escalable para producir electricidad, calor y agua limpia, asociándose con empresas como ENTRA1 y RoPower para desplegar centrales eléctricas, e invirtiendo aproximadamente 2.000 millones de dólares para reducir el riesgo de licencia y operación de las centrales. Con sus sistemas de seguridad avanzados, el uso de combustible convencional y los esfuerzos continuos para preparar a la próxima generación de talento nuclear, NuScale se dedica a satisfacer las crecientes demandas energéticas mundiales con energía nuclear segura, fiable y sostenible.","[{'name': 'smr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smr-Q225-10-Q.html'}, {'name': 'smr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smr-Q125-10-Q.html'}]",559289446,USD,SMR,SMART,STK,False,EU_NUC
unclassified,nuclear_power,US8425871071,SOUTHERN CO/THE,5,"Opera instalaciones de generación de energía nuclear, desempeñando un papel clave en el suministro de electricidad confiable y libre de carbono.","La participación de Southern Company en la energía nuclear es evidente a través de las importantes inversiones de Georgia Power, incluida la puesta en servicio de las Unidades 3 y 4 de la Planta Vogtle. Estas unidades ahora se incluyen en las tarifas minoristas y contribuyen a los créditos fiscales de producción nuclear avanzada. El Plan de Recursos Integrados de 2025 de la compañía destaca aún más este compromiso a través de la inversión continua en instalaciones nucleares existentes, extensiones de vida útil de plantas y mejoras de capacidad en las Unidades 1 y 2 de la Planta Vogtle, así como en las Unidades 1 y 2 de la Planta Hatch. La energía nuclear representa una parte notable de la combinación de generación de la compañía, representando el 18% y el 20% de la generación en el segundo trimestre y año hasta la fecha de 2025, respectivamente.","[{'name': 'so-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/so-Q125-10-Q.html'}, {'name': 'so-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/so-FY24-10-K.html'}, {'name': 'so-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/so-Q324-10-Q.html'}, {'name': 'so-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/so-Q225-10-Q.html'}]",12300,USD,SO,SMART,STK,True,EU_NUC
unclassified,nuclear_power,US26441C2044,DUKE ENERGY CORP,6,"Mantiene una flota sustancial de reactores nucleares, desempeñando un papel crucial en el suministro de electricidad confiable y libre de emisiones a sus territorios de servicio.","Duke Energy enfatiza la energía nuclear como fundamental para su estrategia, operando la flota regulada más grande de plantas nucleares de la nación, con un total de 11 gigavatios. Este compromiso se ve reforzado por los esfuerzos de la empresa para extender las licencias operativas de sus instalaciones nucleares, incluida la Estación Nuclear de Oconee, que recibió la aprobación para una extensión de 20 años y está destinada a abastecer a las Carolinas hasta la década de 2050. Además, Duke Energy se beneficia de los créditos fiscales a la producción nuclear, obteniendo 500 millones de dólares el año pasado, y está explorando activamente nuevas tecnologías nucleares, incluidos los SMR, para satisfacer las crecientes demandas de energía.","[{'name': 'duk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/duk-Q125-10-Q.html'}, {'name': 'duk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/duk-Q225-10-Q.html'}, {'name': 'duk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/duk-Q324-10-Q.html'}, {'name': 'duk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/duk-FY24-10-K.html'}]",110176011,USD,DUK,SMART,STK,True,EU_NUC
unclassified,nuclear_power,CA13321L1085,CAMECO CORP,7,"Suministra uranio, una fuente de combustible crítica, esencial para la generación de energía nuclear a nivel mundial.",,,13464841,CAD,CCO,SMART,STK,False,EU_NUC
unclassified,nuclear_power,US4464131063,HUNTINGTON INGALLS INDUSTRIE,8,"Construye y mantiene buques de propulsión nuclear para la defensa naval, desempeñando un papel fundamental en el desarrollo y sostenimiento de los sistemas de propulsión nuclear.","La exposición de Huntington Ingalls Industries (HII) al tema de Energía Nuclear es significativa, principalmente a través de su segmento Newport News, que se encarga de todo el diseño, construcción, revisión, recarga de combustible, reparación y mantenimiento de buques nucleares. Los ingresos de este segmento se ven notablemente influenciados por programas como los programas de submarinos clase Columbia (SSBN 826) y clase Virginia (SSN 774). Además, el segmento Mission Technologies contribuye a través de operaciones nucleares críticas y servicios nucleares y ambientales, destacando la participación de la empresa tanto en el apoyo nuclear naval como en operaciones nucleares más amplias.","[{'name': 'hii-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hii-Q225-10-Q.html'}, {'name': 'hii-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hii-Q324-10-Q.html'}]",86033355,USD,HII,SMART,STK,True,EU_NUC
unclassified,nuclear_power,US15643U1043,CENTRUS ENERGY CORP-CLASS A,9,Proporciona combustible nuclear y servicios esenciales que sustentan la generación de energía nuclear a nivel mundial.,"Centrus Energy Corp. demuestra un fuerte enfoque en la energía nuclear, particularmente a través del enriquecimiento de uranio, como lo demuestra su segmento LEU, que representa aproximadamente el 70% de los ingresos totales de la empresa. La empresa es la única licenciataria de la NRC para la producción de HALEU y está trabajando activamente para expandir las capacidades de enriquecimiento de uranio doméstico. Centrus también está enriqueciendo uranio con tecnología de propiedad de EE. UU. y está posicionada para satisfacer las necesidades comerciales y de seguridad nacional, incluida la reducción de la dependencia de naciones extranjeras.","[{'name': 'leu-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/leu-Q125-10-Q.html'}]",168391375,USD,LEU,SMART,STK,False,EU_NUC
unclassified,nuclear_power,US3696043013,GENERAL ELECTRIC,10,"Desarrolla y proporciona tecnología, componentes y servicios avanzados de reactores nucleares, contribuyendo a la generación de energía nuclear a nivel mundial.",,,498843743,USD,GE,SMART,STK,True,EU_NUC
