type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
health,nutraceuticals,US4595061015,INTL FLAVORS & FRAGRANCES,1,"Desempeña un papel líder y crítico en la industria de Nutracéuticos, impulsando la innovación y el desarrollo dentro del sector.","La participación de IFF en la industria nutracéutica es evidente a través de su diversa oferta de productos y su presencia en el mercado. La empresa fabrica y vende productos, incluidos ingredientes naturales para la salud, que se utilizan en suplementos dietéticos, y el segmento de Salud y Biociencias presenta cepas probióticas para tales aplicaciones. IFF ha ampliado su liderazgo global para incluir ingredientes y soluciones en los mercados de Salud y Bienestar, enfatizando la nutrición, las enzimas, los cultivos, las proteínas de soja, los excipientes farmacéuticos y los probióticos. Además, el segmento de Soluciones Farmacéuticas de IFF produce excipientes utilizados tanto en productos farmacéuticos como en suplementos dietéticos, reforzando su papel en el sector nutracéutico.","[{'name': 'iff-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iff-Q225-10-Q.html'}, {'name': 'iff-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iff-Q324-10-Q.html'}, {'name': 'iff-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/iff-FY24-10-K.html'}, {'name': 'iff-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iff-Q125-10-Q.html'}]",8385,USD,IFF,SMART,STK,True,NUT
health,nutraceuticals,CH0038863350,NESTLE SA-REG,2,"Desarrolla y comercializa una amplia cartera de productos de salud y bienestar, aprovechando la ciencia nutricional para ofrecer alimentos funcionales, bebidas y suplementos que brindan beneficios específicos para la salud.",,,52238348,CHF,NESN,SMART,STK,False,NUT
health,nutraceuticals,US0028241000,ABBOTT LABORATORIES .,3,"Es un desarrollador y proveedor líder de productos nutricionales y suplementos dietéticos basados en la ciencia, que apoyan la salud y el bienestar en todas las etapas de la vida.","La participación de Abbott en el tema de los nutracéuticos se refleja en su fuerte presencia en el mercado de productos nutricionales, particularmente a través de sus marcas Ensure y Glucerna. Estas marcas se dirigen a consumidores que buscan una nutrición completa y equilibrada, con un enfoque en dietas ricas en proteínas y el control de la diabetes. El enfoque de la empresa en productos basados en la ciencia y extensiones de línea dentro de su negocio de nutrición se alinea aún más con el tema de los nutracéuticos, al igual que el crecimiento en las ventas de Nutrición Adulta en EE. UU. e Internacional impulsado por los productos Ensure y Glucerna.","[{'name': 'abt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abt-Q125-10-Q.html'}, {'name': 'abt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/abt-FY24-10-K.html'}, {'name': 'abt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abt-Q324-10-Q.html'}]",4065,USD,ABT,SMART,STK,True,NUT
health,nutraceuticals,FR0000120644,DANONE,4,"Desarrolla y comercializa productos de alimentos y bebidas con beneficios adicionales para la salud, contribuyendo activamente a la expansión y la innovación de la industria nutracéutica.",,,6579874,CHF,DAN,SMART,STK,False,NUT
health,nutraceuticals,US0394831020,ARCHER-DANIELS-MIDLAND CO,5,Desempeña un papel importante en el mercado de nutracéuticos al proporcionar ingredientes y soluciones clave para productos alimenticios y bebidas que promueven la salud.,"La participación de ADM en nutracéuticos es evidente a través de la fabricación y distribución de ingredientes y soluciones como proteínas de origen vegetal, sabores naturales, probióticos, prebióticos, enzimas y extractos botánicos. El segmento de Salud y Bienestar de la empresa demuestra un enfoque en esta área, con Biotics experimentando crecimiento en ingresos; también publicarán datos de estudios realizados para penetrar en más aplicaciones, especialmente en el área de probióticos tratados con calor. Si bien la demanda se está recuperando en las categorías de alimentos, bebidas y suplementos dietéticos, ADM se enfoca en construir sobre su cartera de oportunidades en segmentos como Sabores y Salud y Bienestar.","[{'name': 'adm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q324-10-Q.html'}, {'name': 'adm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/adm-FY24-10-K.html'}]",4165,USD,ADM,SMART,STK,True,NUT
health,nutraceuticals,DE000BAY0017,BAYER AG-REG,6,Desarrolla y comercializa una amplia gama de suplementos dietéticos y productos nutricionales destinados a promover la salud y el bienestar.,,,68598660,EUR,BAYN,SMART,STK,False,NUT
health,nutraceuticals,GB00BN7SWP63,GSK PLC,7,"Contribuye a la industria mediante el desarrollo y la comercialización de productos para la salud que ofrecen beneficios nutricionales más allá del sustento básico, como suplementos dietéticos.",,,574757089,GBP,GSK,SMART,STK,False,NUT
health,nutraceuticals,US4571871023,INGREDION INC,8,"Suministra una amplia gama de ingredientes y soluciones especializadas esenciales para el desarrollo y la producción de productos nutracéuticos, apoyando la industria de la salud y el bienestar.","La participación de Ingredion en el mercado nutracéutico es evidente a través de su segmento de Soluciones de Textura y Saludables y su enfoque en proporcionar soluciones de ingredientes innovadores que ayudan a los clientes a mantenerse al día con los ingredientes de moda. La empresa experimenta un crecimiento de dos dígitos en su cartera de aislados de proteínas y reducción de azúcar, impulsado por las tendencias de salud y bienestar y la reformulación hacia productos más saludables. Esto se ve respaldado además por el crecimiento en las carteras de soluciones de etiqueta limpia y reducción de azúcar, lo que indica un enfoque en ingredientes que proporcionan beneficios para la salud más allá de la nutrición básica.","[{'name': 'ingr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ingr-Q324-10-Q.html'}, {'name': 'ingr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ingr-Q225-10-Q.html'}, {'name': 'ingr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ingr-FY24-10-K.html'}]",107051249,USD,INGR,SMART,STK,True,NUT
health,nutraceuticals,US1713401024,CHURCH & DWIGHT CO INC,9,Se enfoca en el desarrollo y comercialización de alimentos y suplementos que mejoran la salud y ofrecen beneficios adicionales más allá de la nutrición básica.,"La participación de la empresa en la industria nutracéutica se realiza principalmente a través de sus reconocidos suplementos dietéticos en gomitas VITAFUSION® y L’IL CRITTERS®, comercializados tanto para adultos como para niños. Si bien estos suplementos dietéticos en gomitas se consideran productos de cuidado personal, la empresa se centra en la innovación, las mejoras de sabor y las estrategias de marketing para llegar a los consumidores, incluidas las iniciativas de cupones, como parte de su negocio de vitaminas en gomitas. Sin embargo, la empresa ha reconocido una disminución en las ventas netas de los suplementos dietéticos en gomitas VITAFUSION® y L’IL CRITTERS®, junto con una disminución en el consumo, lo que indica que el negocio tiene un rendimiento inferior debido a la competencia, lo que lleva a una reevaluación de su estrategia a largo plazo.","[{'name': 'chd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chd-Q225-10-Q.html'}, {'name': 'chd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/chd-FY24-10-K.html'}, {'name': 'chd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chd-Q324-10-Q.html'}, {'name': 'chd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chd-Q125-10-Q.html'}]",5651,USD,CHD,SMART,STK,True,NUT
health,nutraceuticals,US15118V2079,CELSIUS HOLDINGS INC,10,Contribuye a la industria nutracéutica a través de su desarrollo y comercialización de bebidas funcionales que brindan beneficios para la salud y el bienestar.,"Celsius está significativamente involucrado en la industria nutracéutica a través de su enfoque en productos funcionales de energía y bienestar. La empresa comercializa dos líneas de marcas principales: CELSIUS, una marca de energía funcional, y Alani Nu, una marca de productos de energía y nutrición centrada en el bienestar, que incluyen productos pre-entrenamiento, bebidas de proteínas listas para beber y suplementos dietéticos. Celsius también ofrece una línea Celsius Essentials, que presenta latas de 16 onzas enriquecidas con aminoácidos, y CELSIUS® Hydration, una línea de polvos de hidratación sin azúcar, con electrolitos.","[{'name': 'celh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/celh-Q125-10-Q.html'}, {'name': 'celh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/celh-Q225-10-Q.html'}]",71364351,USD,CELH,SMART,STK,True,NUT
