symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
FTI,EU,OFF,energy and utilities,offshore_oil,GB00BDSFG982,TECHNIPFMC PLC,1,"Juega un papel fundamental en la exploración, desarrollo y producción de recursos de petróleo en alta mar.","La participación de la empresa en el tema del petróleo en alta mar es evidente a través de sus proyectos submarinos, soluciones iEPCI y enfoque en recursos de aguas profundas, con aproximadamente 10 MMBD de nueva producción de petróleo esperada de fuentes de aguas profundas para 2040. La empresa anticipa que los mercados de alta mar y de Oriente Medio continuarán favoreciendo la inversión en operadores, particularmente con las aguas profundas atrayendo una cuota creciente del capital global. La empresa también se centra en desarrollos de petróleo y gas en alta mar, destacando oportunidades en Guyana, Surinam, Namibia, Mozambique y Chipre, y expresa confianza en la entrega de más de 10 mil millones de dólares en ingresos submarinos en 2025.","[{'name': 'fti-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fti-Q125-10-Q.html'}, {'name': 'fti-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fti-Q225-10-Q.html'}, {'name': 'fti-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fti-FY24-10-K.html'}]",262072228,USD,SMART,STK
CVX,EU,OFF,energy and utilities,offshore_oil,US1667641005,CHEVRON CORP,2,"Opera como un importante productor mundial de petróleo crudo y gas natural de extensos yacimientos marinos, utilizando tecnologías avanzadas para la exploración y el desarrollo.","Chevron demuestra su participación en Petróleo en Alta Mar a través de diversas actividades, que incluyen el inicio de la producción en el proyecto Anchor en el Golfo de México, que presenta tecnología de aguas profundas de alta presión pionera en la industria, y el inicio de operaciones de inyección de agua para mejorar la producción en los campos Jack/St. Malo y Tahití, también en el Golfo de México. Solidificando aún más esta presencia, Chevron ha extendido con éxito el campo Meji en alta mar y ha obtenido licencias de exploración en alta mar en Brasil y Egipto. El énfasis estratégico de la empresa se ve subrayado por su posición como el mayor arrendatario en el Golfo de América, un estatus amplificado por la adición de Hess, con una parte significativa de estos arrendamientos posicionados para futuras inversiones de conexión.","[{'name': 'cvx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q324-10-Q.html'}, {'name': 'cvx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q225-10-Q.html'}]",5684,USD,SMART,STK
SLB,EU,OFF,energy and utilities,offshore_oil,AN8068571086,SLB LTD,3,"Proporciona tecnologías y servicios críticos para la exploración, perforación, producción y operaciones submarinas de petróleo en alta mar, contribuyendo significativamente al desarrollo energético mundial en alta mar.","La participación de SLB en la industria del petróleo en alta mar es evidente a través de varias actividades, incluidos proyectos de ciclo largo en mercados de aguas profundas y resultados positivos impulsados por mayores ventas de sistemas de producción digital y submarina en el sector offshore. La adquisición por parte de la compañía del negocio submarino de Aker Solutions contribuyó significativamente al crecimiento de los ingresos, y mantienen una cartera constante en OneSubsea con un número significativo de proyectos offshore preparándose para su presentación. Si bien se mencionan vientos en contra en ciertos mercados offshore y retrasos en proyectos, particularmente en África subsahariana, SLB expresa confianza en el crecimiento a largo plazo del mercado offshore, respaldado por proyectos ventajosos en Europa, África y las Américas.","[{'name': 'slb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slb-Q324-10-Q.html'}, {'name': 'slb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/slb-FY24-10-K.html'}]",12200,USD,SMART,STK
XOM,EU,OFF,energy and utilities,offshore_oil,US30231G1022,EXXON MOBIL CORP,4,"Participa en extensas actividades globales de exploración, desarrollo y producción de petróleo en alta mar.",,,13977,USD,SMART,STK
RIGN,EU,OFF,energy and utilities,offshore_oil,CH0048265513,TRANSOCEAN LTD,5,"Proporciona unidades móviles de perforación mar adentro de altas especificaciones y tripulaciones para la exploración y desarrollo de reservas de petróleo y gas mar adentro, particularmente en aguas profundas y entornos hostiles.","El compromiso de Transocean con el tema del petróleo en alta mar es sustancial, ya que la empresa es un proveedor internacional líder de servicios de perforación por contrato en alta mar para pozos de petróleo y gas. Transocean opera una importante flota de unidades de perforación móvil en alta mar, especializándose en regiones técnicamente exigentes, particularmente en aguas ultraprofundas y entornos hostiles. Las perspectivas positivas de la industria de la empresa se ven reforzadas por las previsiones que indican que los hidrocarburos seguirán siendo una fuente de energía crítica, y anticipan un aumento de la inversión en actividades de exploración y desarrollo en alta mar.","[{'name': 'rig-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rig-Q125-10-Q.html'}, {'name': 'rig-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rig-FY24-10-K.html'}, {'name': 'rig-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rig-Q225-10-Q.html'}]",74201148,CHF,SMART,STK
VAL,EU,OFF,energy and utilities,offshore_oil,BMG9460G1015,VALARIS LTD,6,"Opera una flota de plataformas de perforación mar adentro, proporcionando servicios esenciales para la exploración y producción de petróleo y gas de yacimientos submarinos.","El compromiso de Valaris con el tema de la Energía Petrolera Marina es sustancial, ya que la empresa se identifica como un proveedor líder de servicios de perforación contractual marina, operando en casi todos los mercados marinos importantes en seis continentes. La empresa posee la flota de plataformas de perforación marina más grande del mundo, incluidas flotas de ultra aguas profundas y jackups premium, que son esenciales para la exploración y extracción de petróleo marino. Valaris enfatiza la importancia de la producción marina para satisfacer las necesidades energéticas mundiales y ha asegurado contratos significativos para buques de perforación en mercados clave de aguas profundas como África Occidental y el Golfo de EE. UU., agregando miles de millones a su cartera de contratos.","[{'name': 'val-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/val-Q125-10-Q.html'}, {'name': 'val-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/val-Q225-10-Q.html'}, {'name': 'val-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/val-FY24-10-K.html'}, {'name': 'val-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/val-Q324-10-Q.html'}]",488980507,USD,SMART,STK
HAL,EU,OFF,energy and utilities,offshore_oil,US4062161017,HALLIBURTON CO,7,"Proporciona una gama completa de servicios y tecnologías de perforación, completamiento y optimización de producción esenciales para la exploración y extracción de petróleo y gas en alta mar.","La participación de Halliburton en la industria petrolera en alta mar es evidente a través de su enfoque estratégico en el crecimiento internacional en los mercados terrestres y marinos. La compañía obtuvo importantes contratos en alta mar, incluido trabajo de desarrollo e intervención para Gato do Mato en Brasil, trabajo de exploración en Surinam y África Occidental, y trabajo adicional de exploración integrada en alta mar con otro importante actor en Surinam. Estos contratos integrados en alta mar utilizan las tecnologías avanzadas de Halliburton, como las terminaciones inteligentes y la tecnología de perforación direccional, lo que demuestra el compromiso y el éxito de la compañía en el espacio en alta mar, particularmente en proyectos de aguas profundas y someras.","[{'name': 'hal-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hal-FY24-10-K.html'}, {'name': 'hal-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hal-Q324-10-Q.html'}]",7890,USD,SMART,STK
BP.,EU,OFF,energy and utilities,offshore_oil,GB0007980591,BP PLC,8,"Desempeña un papel importante en la exploración, desarrollo y producción de reservas de petróleo y gas en alta mar a nivel mundial.",,,228891,GBP,SMART,STK
EQNR,EU,OFF,energy and utilities,offshore_oil,NO0010096985,EQUINOR ASA,9,"Participa significativamente en la exploración, desarrollo y producción de recursos petroleros de yacimientos marinos a nivel mundial.",,,12492456,NOK,SMART,STK
TTE,EU,OFF,energy and utilities,offshore_oil,FR0000120271,TOTALENERGIES SE,10,"Participa en la exploración, desarrollo y producción extensiva de yacimientos petrolíferos marinos.",,,29612193,EUR,SMART,STK
