symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,navigable,evidenceSources,theme_id
V,financials,open_banking_solutions,US92826C8394,VISA INC-CLASS A SHARES,1,Impulsa la evolución de las Soluciones de Banca Abierta al proporcionar infraestructura esencial para el intercambio seguro de datos y facilitar servicios financieros innovadores en una red global.,"Visa se está enfocando estratégicamente en la banca abierta, particularmente en mercados de alto potencial como Europa y América Latina, donde han desarrollado Visa Conecta en Brasil, un iniciador de pagos que se conecta con Pix a través de la tecnología Tink para el comercio electrónico. Su plataforma de banca abierta, impulsada por Tink, facilita la iniciación de pagos y los servicios de información de cuentas para vendedores y proveedores de pagos en Europa y Estados Unidos. La capacidad de Tink Pay by Bank ha sido adoptada por más de 10,000 comerciantes a través de más de 10 asociaciones europeas de PSP, y están colaborando con Adyen en Alemania para ofrecer a los clientes la opción de pagar por banco al momento de pagar.",49462172,USD,SMART,STK,True,,OPE
MA,financials,open_banking_solutions,US57636Q1040,MASTERCARD INC - A,2,"Proporciona infraestructura y tecnología esenciales para el intercambio seguro de datos, permitiendo a las instituciones financieras y a los proveedores externos desarrollar servicios innovadores dentro del ecosistema de Open Banking.","El compromiso de Mastercard con las Soluciones de Banca Abierta es evidente a través de su asociación estratégica con Deutsche Bank, destinada a expandir los pagos de cuenta a cuenta en toda Europa aprovechando las capacidades de la banca abierta. Además, Mastercard está integrando capacidades impulsadas por la banca abierta en la plataforma Galileo y combinando soluciones de identidad digital con conectividad de banca abierta para garantizar un intercambio de datos seguro. Estas iniciativas indican la participación activa y la inversión de Mastercard en soluciones de banca abierta.",38685693,USD,SMART,STK,True,,OPE
FIS,financials,open_banking_solutions,US31620M1062,FIDELITY NATIONAL INFO SERV,3,Impulsa la adopción e implementación de soluciones de banca abierta a través de sus ofertas y servicios principales de tecnología financiera para instituciones financieras.,,37866641,USD,SMART,STK,True,,OPE
ADYEN,financials,open_banking_solutions,NL0012969182,ADYEN NV,4,"Facilita transacciones financieras y el intercambio de datos sin interrupciones a través de su plataforma de pagos, contribuyendo significativamente a la expansión y adopción de soluciones de banca abierta a nivel mundial.",,321202935,EUR,SMART,STK,False,,OPE
TEMN,financials,open_banking_solutions,CH0012453913,TEMENOS AG - REG,5,"Ofrece software y plataformas bancarias centrales que permiten a las instituciones financieras adoptar la banca abierta, facilitando el intercambio seguro de datos y el desarrollo de nuevos servicios financieros.",,13832147,CHF,SMART,STK,False,,OPE
PYPL,financials,open_banking_solutions,US70450Y1038,PAYPAL HOLDINGS INC,6,"Facilita el intercambio seguro de datos y servicios financieros a través de plataformas impulsadas por API, lo que permite una integración perfecta con aplicaciones de terceros y mejora la innovación de pagos.","La empresa expresa su apoyo a la banca abierta y opera una plataforma abierta de doble cara que conecta a consumidores y comerciantes. Los cambios por parte de los bancos que comienzan a cobrar por el acceso a los datos de los consumidores son inmateriales y no afectarán a la empresa. Si bien la empresa apoya la banca abierta, no hay evidencia explícita de una solución única de banca abierta.",199169591,USD,SMART,STK,True,,OPE
INTU,financials,open_banking_solutions,US4612021034,INTUIT INC,7,Abarca Soluciones de Banca Abierta dentro de su ámbito operativo.,,270662,USD,SMART,STK,True,,OPE
JPM,financials,open_banking_solutions,US46625H1005,JPMORGAN CHASE & CO,8,"Desarrolla e integra activamente soluciones dentro del ecosistema de Open Banking, facilitando el intercambio seguro de datos y la colaboración con aplicaciones financieras de terceros para mejorar las experiencias de los clientes y la innovación.","La participación de JPMorgan en la banca abierta se centra en permitir a los clientes compartir su información bajo condiciones específicas, incluyendo transparencia, límites de tiempo y restricciones de remarketing. La compañía reconoce los costos asociados con la configuración de API y la garantía de protección del sistema, abogando por una implementación cuidadosa y segura. JPMorgan también busca claridad sobre los cambios de responsabilidad relacionados con estafas y fraudes, particularmente con la CFPB manteniendo en suspenso la banca abierta.",1520593,USD,SMART,STK,True,,OPE
NU,financials,open_banking_solutions,KYG6683N1034,NU HOLDINGS LTD/CAYMAN ISL-A,9,Refleja un área operativa clave dentro de las Soluciones de Banca Abierta.,"La posición de Nubank como líder en consentimiento de finanzas abiertas destaca su compromiso con las soluciones de banca abierta. La empresa se identifica como líder en esta área, lo que indica un compromiso con la interoperabilidad y el intercambio de datos dentro de la industria financiera. Esta posición de liderazgo en el consentimiento de finanzas abiertas subraya la inversión y el enfoque de Nubank en los conceptos de banca abierta.",531212348,USD,SMART,STK,False,,OPE
ACIW,financials,open_banking_solutions,US0044981019,ACI WORLDWIDE INC,10,Ofrece un conjunto de soluciones que empoderan a las instituciones financieras para adoptar la banca abierta al facilitar el intercambio seguro de datos impulsado por API y servicios de pago innovadores.,"ACI reconoce el creciente impulso global de la banca abierta, particularmente en los Estados Unidos, donde la demanda del mercado y la innovación tecnológica están impulsando cambios. La empresa se está posicionando para capitalizar estas tendencias, especialmente la creciente adopción de Request to Pay (RTP), aprovechando su software de pagos en tiempo real y las relaciones establecidas con bancos, comerciantes y emisores de facturas. ACI cree que está en una posición única para ofrecer servicios que aprovechen su software de pagos en tiempo real y su conectividad global en el panorama de pagos en evolución. Esta alineación estratégica permite a ACI ofrecer opciones de pago más dinámicas y flexibles.",45427720,USD,SMART,STK,True,"[{'name': 'aciw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aciw-Q225-10-Q.html'}, {'name': 'aciw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aciw-Q125-10-Q.html'}, {'name': 'aciw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aciw-FY24-10-K.html'}]",OPE
AXP,financials,open_banking_solutions,US0258161092,AMERICAN EXPRESS CO,11,Contribuye al tema de la industria de Soluciones de Banca Abierta.,,4721,USD,SMART,STK,True,,OPE
QTWO,financials,open_banking_solutions,US74736L1098,Q2 HOLDINGS INC,12,Ofrece Soluciones de Banca Abierta como parte de su plataforma de banca digital más amplia.,"El compromiso de Q2 con las Soluciones de Banca Abierta es evidente a través de su Innovation Studio, que es una piedra angular de su plataforma. El Innovation Studio, una plataforma tecnológica abierta basada en API y SDK, facilita la integración de diversas soluciones y permite un ecosistema de asociaciones, lo que permite el diseño, desarrollo y distribución de productos innovadores e integraciones en la plataforma de banca digital de Q2. Además, Q2 ofrece un producto de integración ERP directa, que permite a las instituciones integrar la funcionalidad de banca digital de Q2 directamente en los sistemas ERP de sus clientes, colocando a Q2 en el centro de los flujos de trabajo de conciliación comercial.",146392474,USD,SMART,STK,True,"[{'name': 'qtwo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/qtwo-FY24-10-K.html'}]",OPE
ALKT,financials,open_banking_solutions,US01644J1088,ALKAMI TECHNOLOGY INC,13,Ofrece plataformas de banca digital que permiten a las instituciones financieras integrar y aprovechar soluciones de banca abierta.,"El compromiso de Alkami con las Soluciones de Banca Abierta es evidente a través de inversiones y asociaciones estratégicas. La adquisición de MANTL, una empresa centrada en la apertura y el registro de cuentas, demuestra un compromiso con esta área, enfatizado aún más por la colaboración de MANTL con Plaid para ofrecer capacidades de agregación de cuentas, verificación y enriquecimiento de datos dentro de las plataformas de banca en línea y registro de Alkami. Alkami está asignando inversión en I+D a soluciones de banca abierta, incluyendo registro, funcionalidad minorista y comercial, experiencia de usuario y personalización. La empresa ve la banca abierta como una oportunidad para que los clientes con la tecnología adecuada ganen cuota de mercado, y MANTL opera como una marca independiente para permanecer abierta al trabajar con otros proveedores de tecnología.",481480681,USD,SMART,STK,False,,OPE
DLO,financials,open_banking_solutions,KYG290181018,DLOCAL LTD,14,"Tiene una exposición al tema de ""Soluciones de Banca Abierta"".","La conexión de dLocal con las Soluciones de Banca Abierta se refleja en la contratación de Guillermo López Pérez como nuevo Director Financiero, quien anteriormente ocupó puestos en Tink, un proveedor líder europeo de banca abierta, como destacó Pedro Arnt. Si bien dLocal no ofrece directamente soluciones de banca abierta, la contratación de un ejecutivo con experiencia en este campo señala una exposición indirecta y un posible interés futuro. El interés de la compañía en las soluciones de banca abierta está indicado por esta contratación estratégica.",494184570,USD,SMART,STK,False,,OPE
