type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
technology,operating_systems,US5949181045,MICROSOFT CORP,1,"Desarrolla y distribuye Windows, un sistema operativo ampliamente adoptado que forma un componente central de su ecosistema de productos y potencia una parte significativa de los dispositivos de computación personal a nivel mundial.","El compromiso de Microsoft con el tema de los Sistemas Operativos es evidente a través de su producto estrella, Windows, y el hardware relacionado. La compañía está estratégicamente posicionada con Windows 11 y Copilot+ PCs a medida que finaliza el soporte de Windows 10, enfatizando la seguridad y el valor de la IA para los clientes. Esto se ve respaldado además por el crecimiento de los ingresos de Windows OEM, junto con las ventas de licencias de Windows Pro y no Pro, dispositivos de primera mano como Surface y HoloLens, y accesorios para PC. La inclusión de la parte de la nube de Windows Commercial dentro de las suscripciones de Microsoft 365 Commercial también demuestra la continua importancia de los sistemas operativos para el negocio de Microsoft.","[{'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}, {'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}, {'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}, {'name': 'msft-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/msft-FY25-10-K.html'}]",272093,USD,MSFT,SMART,STK,True
technology,operating_systems,US0378331005,APPLE INC,2,"Desarrolla y mantiene un conjunto de sistemas operativos propietarios, incluidos iOS, macOS, watchOS y tvOS, que potencian su diverso ecosistema de dispositivos.","La participación de Apple en el tema de los Sistemas Operativos se ve subrayada por sus constantes actualizaciones y lanzamientos en una serie de sistemas operativos, incluyendo iOS, macOS, iPadOS, watchOS, visionOS y tvOS. El énfasis estratégico de la empresa es evidente en los anuncios explícitos de nuevas versiones para estos sistemas, lo que demuestra una inversión significativa y un equipo dedicado centrado en el desarrollo de sistemas operativos. Esto resalta la alta importancia estratégica de los sistemas operativos para la empresa, reflejando una sólida posición en el mercado debido al control e integración de Apple dentro de su ecosistema.","[{'name': 'aapl-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aapl-Q325-10-Q.html'}, {'name': 'aapl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aapl-FY24-10-K.html'}]",265598,USD,AAPL,SMART,STK,True
technology,operating_systems,US02079K3059,ALPHABET INC-CL A,3,"Desarrolla y proporciona sistemas operativos móviles y de escritorio ampliamente adoptados, como Android y Chrome OS, que potencian una gran cantidad de dispositivos a nivel mundial.",,,208813719,USD,GOOGL,SMART,STK,True
technology,operating_systems,KR7005930003,SAMSUNG ELECTRONICS CO LTD,4,"Desempeña un papel fundamental en la proliferación y evolución de los sistemas operativos al integrarlos y personalizarlos en su amplia cartera de productos electrónicos de consumo, incluidos teléfonos inteligentes, tabletas y televisores inteligentes.",,,17382528,KRW,005930,KSE,STK,False
technology,operating_systems,CA09228F1036,BLACKBERRY LTD,5,"Desarrolla sistemas operativos seguros, en particular QNX, que potencia sistemas integrados críticos en industrias como la automotriz, médica y de automatización industrial.","La participación de BlackBerry en el tema de los Sistemas Operativos se realiza principalmente a través de su subsidiaria QNX, un proveedor de confianza de sistemas operativos, hipervisores, frameworks y herramientas de desarrollo. La tecnología de QNX impulsa más de 255 millones de vehículos y admite la virtualización y la contenerización de sistemas operativos. La participación de BlackBerry se extiende a tecnologías patentadas, incluidos los sistemas operativos, y colaboraciones con empresas como Microsoft, Vector y TTTech Auto para desarrollar plataformas de software para vehículos. Además, QNX ha sido seleccionado por Hyundai Mobis y FERNRIDE para sus soluciones de cabina digital y tractores terminales autónomos, respectivamente.","[{'name': 'bb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bb-Q125-10-Q.html'}, {'name': 'bb-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bb-FY25-10-K.html'}]",131217645,CAD,BB,SMART,STK,False
technology,operating_systems,US77543R1023,ROKU INC,6,"Desarrolla y mantiene un sistema operativo propietario que impulsa sus dispositivos de streaming y televisores inteligentes, sirviendo como plataforma central para la entrega de contenido y la interacción del usuario.","El sistema operativo (SO) de Roku es fundamental para su estrategia, impulsando la participación en The Roku Channel (TRC) a través de reproductores de streaming, televisores propios y asociaciones de licencias de televisores de terceros. La dirección de la empresa enfatiza el papel del SO en la generación de suscripciones, publicidad y el crecimiento general de la plataforma. Este énfasis, junto con su estrategia de distribución diversificada, subraya la importancia del SO para el modelo de negocio de Roku.",,290651477,USD,ROKU,SMART,STK,False
technology,operating_systems,US30303M1027,META PLATFORMS INC-CLASS A,7,"Contribuye al panorama de los sistemas operativos desarrollando sistemas propietarios para su hardware de realidad virtual y aumentada, además de integrar sus diversas plataformas de software en entornos operativos de terceros líderes.",,,107113386,USD,META,SMART,STK,True
technology,operating_systems,US0231351067,AMAZON.COM INC,8,Participa en actividades relacionadas con el tema de Sistemas Operativos.,,,3691937,USD,AMZN,SMART,STK,True
technology,operating_systems,US68389X1054,ORACLE CORP,9,"Desarrolla y soporta sistemas operativos de nivel empresarial, incluyendo Oracle Linux y Oracle Solaris, optimizados para entornos cloud, on-premises y sistemas de ingeniería.","La participación de Oracle en la industria de los sistemas operativos se realiza principalmente a través de su negocio de hardware, que ofrece una gama de productos de hardware empresarial y software relacionado. Esto incluye sistemas operativos junto con Oracle Engineered Systems, servidores, almacenamiento y soluciones de virtualización. Si bien los sistemas operativos forman parte de las ofertas de hardware de Oracle, el negocio de hardware constituye un porcentaje relativamente pequeño de los ingresos totales de Oracle. En consecuencia, los sistemas operativos no son un enfoque estratégico principal para la empresa.","[{'name': 'orcl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orcl-Q125-10-Q.html'}, {'name': 'orcl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orcl-Q225-10-Q.html'}, {'name': 'orcl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orcl-Q324-10-Q.html'}]",272800,USD,ORCL,SMART,STK,True
technology,operating_systems,US4592001014,INTL BUSINESS MACHINES CORP,10,Desarrolla y mantiene sistemas operativos que son fundamentales para la computación empresarial y la infraestructura de nube híbrida.,,,8314,USD,IBM,SMART,STK,True
