type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
other,optoelectronics,US55024U1097,LUMENTUM HOLDINGS INC,1,Desarrolla y fabrica productos y soluciones ópticos y fotónicos que son integrales para los avances de la industria optoelectrónica.,"El compromiso de Lumentum con el tema de la industria de la Optoelectrónica es evidente a través de su posición como proveedor líder de productos ópticos y fotónicos, incluyendo chips, componentes, módulos y subsistemas. El enfoque de la empresa se extiende a la habilitación de la infraestructura de IA de próxima generación con tecnologías como EML de 200 gigabits, transceptores de 1.6T, conmutadores de circuitos ópticos y láseres de ultra alta potencia para óptica empaquetada en cojunto, junto con su producción de EML, láseres CW, componentes coherentes y láseres de línea estrecha. Lumentum también está aumentando la producción de láseres CW para aplicaciones de transceptores de fotónica de silicio y enviando EML con velocidad de línea de 200 gigabits a múltiples clientes, demostrando EML de unidad diferencial que mejoran la integridad de la señal y la eficiencia energética.","[{'name': 'lite-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lite-Q325-10-Q.html'}, {'name': 'lite-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lite-FY25-10-K.html'}, {'name': 'lite-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lite-Q225-10-Q.html'}, {'name': 'lite-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lite-Q125-10-Q.html'}]",201113895,USD,LITE,SMART,STK,True,OPT
other,optoelectronics,US19247G1076,COHERENT CORP,2,"Desarrolla y fabrica una amplia cartera de productos y soluciones optoelectrónicas avanzadas, cruciales para diversas aplicaciones de alta tecnología.","El compromiso de Coherent Corp con la optoelectrónica es evidente a través de su desarrollo, fabricación y comercialización de componentes y dispositivos optoelectrónicos, posicionándolos como un líder mundial en este espacio. Su amplia cartera de tecnologías fotónicas, incluidos los láseres EML y VCSEL, y la fotónica de silicio, se muestra por sus capacidades de fosfuro de indio durante más de 20 años. Esto se demuestra además por la introducción de nuevos productos y tecnologías de redes ópticas, como los diseños de transceptores 1.6T basados en diferentes tecnologías láser, lo que resalta su compromiso de proporcionar a los clientes la mejor tecnología para sus aplicaciones específicas, y sus ingresos del tercer trimestre aumentaron un 54% interanual debido a la fuerte demanda de centros de datos de IA.","[{'name': 'cohr-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cohr-Q325-10-Q.html'}]",584127832,USD,COHR,SMART,STK,True,OPT
other,optoelectronics,US11135F1012,BROADCOM INC,3,Proporciona componentes y soluciones ópticas críticas que permiten la transmisión de datos de alta velocidad y la conectividad en centros de datos y entornos de red.,,,313130367,USD,AVGO,SMART,STK,True,OPT
other,optoelectronics,US0382221051,APPLIED MATERIALS INC,4,Facilita los procesos de desarrollo y fabricación dentro del sector Optoelectrónico.,"La participación de Applied Materials en la optoelectrónica es evidente a través de su enfoque en las inflexiones de la arquitectura de dispositivos futuros, particularmente la fotónica de silicio, que la empresa identifica como un área clave en la que tiene una posición de liderazgo. Esto está respaldado además por la participación de la empresa en la fotónica de silicio, siendo la fotónica de silicio una de las principales innovaciones arquitectónicas en dispositivos de lógica, computación, memoria, empaquetado y energía. Adicionalmente, una parte del negocio de 200 mm de la empresa está relacionada con la electrónica de potencia, un área conectada a la optoelectrónica.",,266093,USD,AMAT,SMART,STK,True,OPT
other,optoelectronics,JP3435000009,SONY GROUP CORP,5,"Desarrolla y fabrica sensores de imagen avanzados para diversas aplicaciones, junto con tecnologías de discos ópticos y componentes de visualización, contribuyendo significativamente a la industria optoelectrónica.",,,13905705,JPY,6758,SMART,STK,False,OPT
other,optoelectronics,DE000LED4000,OSRAM LICHT AG,6,Se dedica al desarrollo y producción de componentes y sistemas para optoelectrónica.,,,130526820,EUR,OSR,VALUE,STK,False,OPT
other,optoelectronics,US2193501051,CORNING INC,7,"Desarrolla y fabrica fibra óptica avanzada y vidrio especial, sirviendo como un habilitador crítico para la transmisión de luz, tecnologías de visualización y diversas otras aplicaciones optoelectrónicas.",,,7655,USD,GLW,SMART,STK,True,OPT
other,optoelectronics,US5738741041,MARVELL TECHNOLOGY INC,8,"Desempeña un papel fundamental dentro de la industria optoelectrónica, influyendo en sus avances tecnológicos y aplicaciones de mercado.","El compromiso de Marvell con la optoelectrónica es evidente en su cartera de interconexiones electroópticas, que es un motor clave para los ingresos de los centros de datos, particularmente para aplicaciones de IA y nube. La empresa está innovando activamente en este espacio, como lo demuestra el desarrollo de motores de luz de fotónica de silicio que escalan hasta 6,4 T y módulos ópticos enchufables de accionamiento lineal de 1,6 T. Marvell también se enfoca en la transición de interconexiones de cobre a fibra óptica para escalar clústeres de IA, como lo destaca su plataforma de óptica copackaged que integra motores de luz de fotónica de silicio en aceleradores de IA personalizados y DSP PAM de 1,6 T por carril de 200 gig de próxima generación.","[{'name': 'mrvl-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mrvl-Q325-10-Q.html'}]",483492393,USD,MRVL,SMART,STK,False,OPT
other,optoelectronics,US91347P1057,UNIVERSAL DISPLAY CORP,9,"Desarrolla y comercializa tecnologías y materiales patentados de diodos orgánicos emisores de luz (OLED), que son componentes críticos para pantallas y iluminación avanzadas en la industria optoelectrónica.","El compromiso de Universal Display Corporation con el tema de la Optoelectrónica es evidente en su papel de liderazgo en la investigación, el desarrollo y la comercialización de tecnologías y materiales de diodos orgánicos emisores de luz (OLED). El enfoque de la empresa en los OLED, que son dispositivos de estado sólido delgados, livianos y eficientes energéticamente que emiten luz, la posiciona como un actor clave en las aplicaciones de pantallas e iluminación de estado sólido. Además, la idoneidad de los OLED para la fabricación tanto en sustratos flexibles como rígidos subraya la importante asignación de recursos de la empresa a la optoelectrónica.","[{'name': 'oled-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oled-Q125-10-Q.html'}, {'name': 'oled-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/oled-FY24-10-K.html'}]",4816201,USD,OLED,SMART,STK,True,OPT
other,optoelectronics,US17275R1023,CISCO SYSTEMS INC,10,"Integra componentes optoelectrónicos avanzados en sus soluciones de infraestructura de redes, facilitando la transmisión de datos de alta velocidad e impulsando avances en las tecnologías de comunicación por fibra óptica.","La participación de Cisco en la optoelectrónica se demuestra a través del despliegue de sus Cisco 8000, ópticas Silicon One y sistemas ópticos por parte de los principales webscalers en sus redes de entrenamiento de back-end. La oportunidad de IA de Cisco incluye infraestructura de entrenamiento de IA para clientes webscale. Además, Cisco ofrece ópticas integradas, ópticas independientes, sistemas ópticos y silicio a estos webscalers, destacando su papel en el suministro de componentes esenciales para infraestructura de red avanzada.",,268084,USD,CSCO,SMART,STK,True,OPT
