symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
MDT,HE,PAI,health,pain_management,IE00BTN1Y115,MEDTRONIC PLC,1,"Desarrolla y proporciona dispositivos y terapias médicas avanzadas para aliviar el dolor crónico, ofreciendo soluciones para diversas afecciones de dolor.","El compromiso de Medtronic con el tema de Manejo del Dolor es evidente a través de su misión de aliviar el dolor y los productos fabricados por su división de Neurociencia. La compañía ofrece terapias de neuroestimulación implantables y sistemas de administración de fármacos específicamente para el tratamiento del dolor crónico. Este enfoque se destaca aún más por el crecimiento del negocio de Neuromodulación de Medtronic, particularmente en Estimulación del Dolor, impulsado por el estimulador de médula espinal de circuito cerrado Inceptiv, que ha impulsado a la compañía a una posición de liderazgo mundial en SCS.","[{'name': 'mdt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q225-10-Q.html'}, {'name': 'mdt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q125-10-Q.html'}, {'name': 'mdt-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mdt-FY25-10-K.html'}, {'name': 'mdt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q325-10-Q.html'}]",181387075,USD,SMART,STK
KVUE,HE,PAI,health,pain_management,US49177J1025,KENVUE INC,2,"Es un proveedor significativo de productos de venta libre para aliviar el dolor, abordando diversas necesidades de los consumidores en la categoría de manejo del dolor.","La participación de Kenvue en la industria del manejo del dolor es evidente a través de su segmento de Autocuidado, que incluye productos para el manejo del dolor. Marcas importantes como Tylenol y Motrin son centrales para este segmento, y la empresa destaca los aumentos de volumen impulsados por estrategias promocionales efectivas e innovación de productos en América del Norte. Kenvue también se enfoca en expandir su posición de liderazgo con Tylenol e innovar dentro de la línea de productos para el manejo del dolor, lo que demuestra una inversión sostenida y un énfasis estratégico en esta área.","[{'name': 'kvue-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kvue-Q324-10-Q.html'}, {'name': 'kvue-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kvue-Q125-10-Q.html'}, {'name': 'kvue-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kvue-FY24-10-K.html'}]",629043863,USD,SMART,STK
PCRX,HE,PAI,health,pain_management,US6951271005,PACIRA BIOSCIENCES INC,3,"Desarrolla y comercializa soluciones no opioides para el manejo del dolor, incluido su producto estrella Exparel, que proporciona analgesia postoperatoria prolongada para reducir la necesidad de opioides.","Pacira BioSciences demuestra un fuerte compromiso con la industria del manejo del dolor, principalmente a través de su misión de ofrecer terapias innovadoras y no opioides para el dolor. Este compromiso se refleja en su cartera de productos, que incluye EXPAREL para el dolor posquirúrgico, ZILRETTA para el dolor de rodilla por osteoartritis e iovera° para el alivio específico del dolor nervioso. El enfoque de la empresa se extiende al desarrollo de intervenciones novedosas para afecciones como el dolor crónico y la inversión en ensayos clínicos para expandir el uso de sus productos, incluido PCRX-201, una terapia génica para la osteoartritis, y un nuevo iovera° Smart Tip para el dolor lumbar crónico.","[{'name': 'pcrx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pcrx-Q125-10-Q.html'}, {'name': 'pcrx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pcrx-Q324-10-Q.html'}, {'name': 'pcrx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pcrx-FY24-10-K.html'}, {'name': 'pcrx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pcrx-Q225-10-Q.html'}]",83635951,USD,SMART,STK
ABBV,HE,PAI,health,pain_management,US00287Y1091,ABBVIE INC,4,"Desarrolla y comercializa una gama de productos farmacéuticos centrados en aliviar condiciones de dolor crónico y agudo, contribuyendo significativamente a la atención del paciente dentro del sector del manejo del dolor.",,,118089500,USD,SMART,STK
LLY,HE,PAI,health,pain_management,US5324571083,ELI LILLY & CO,5,"Se dedica a la investigación, desarrollo y comercialización de tratamientos dirigidos a abordar diversas afecciones dentro del sector de Control del Dolor.","La participación de Lilly en el manejo del dolor es evidente a través de adquisiciones estratégicas y avances clínicos. La adquisición de SiteOne Therapeutics amplió significativamente la cartera de dolor de Lilly al incorporar un programa de dolor no opioide en etapa clínica. Subrayando aún más este compromiso, Lilly inició un ensayo de Fase III para retatrutide centrado en el dolor lumbar crónico en personas con sobrepeso u obesidad, conocido como TRIUMPH-7. Además, la cartera de neurociencia de Lilly se ha ampliado con STC-004, un inhibidor de Nav1.8 que demuestra datos iniciales prometedores para el tratamiento del dolor, y la empresa también está avanzando con Epiregulin Ab, Mazisotine e Inhibidor de P2X7 en ensayos de Fase 2 para el dolor.","[{'name': 'lly-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lly-Q324-10-Q.html'}, {'name': 'lly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lly-FY24-10-K.html'}, {'name': 'lly-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lly-Q225-10-Q.html'}]",9160,USD,SMART,STK
JNJ,HE,PAI,health,pain_management,US4781601046,JOHNSON & JOHNSON,6,"Desarrolla y proporciona una amplia cartera de soluciones farmacéuticas y de venta libre para el alivio y manejo del dolor, abordando diversos tipos de dolor agudo y crónico.",,,8719,USD,SMART,STK
COLL,HE,PAI,health,pain_management,US19459J1043,COLLEGIUM PHARMACEUTICAL INC,7,Se enfoca en el desarrollo y comercialización de productos farmacéuticos para abordar las necesidades de pacientes que sufren de dolor severo y que altera la vida.,"El compromiso de Collegium con el tema de la Gestión del Dolor es significativo, impulsado por su ambición de ser un líder en la gestión responsable del dolor. La empresa ha construido una cartera de gestión del dolor líder que genera fuertes flujos de efectivo, lo que permite la inversión en el crecimiento futuro. La cartera de productos de Collegium incluye Belbuca, Xtampza ER y Nucynta Products, todos indicados para diversos tipos de manejo del dolor, y Belbuca, Xtampza ER y Nucynta ER representan colectivamente más de la mitad del mercado de ER de marca.","[{'name': 'coll-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/coll-FY24-10-K.html'}, {'name': 'coll-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/coll-Q125-10-Q.html'}, {'name': 'coll-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/coll-Q225-10-Q.html'}, {'name': 'coll-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/coll-Q324-10-Q.html'}]",193626569,USD,SMART,STK
PFE,HE,PAI,health,pain_management,US7170811035,PFIZER INC,8,"Avanza en la investigación y el desarrollo farmacéutico para ofrecer una cartera de medicamentos que aborden diversos tipos de dolor agudo y crónico, contribuyendo a la comodidad del paciente y a mejores resultados de salud.",,,11031,USD,SMART,STK
VRTX,HE,PAI,health,pain_management,US92532F1003,VERTEX PHARMACEUTICALS INC,9,"Desarrolla y comercializa terapias diseñadas específicamente para tratar diversas formas de dolor, contribuyendo significativamente a los avances en el manejo del dolor.","Vertex demuestra su enfoque en el manejo del dolor a través de la comercialización de JOURNAVX, un tratamiento no opioide para el dolor agudo de moderado a grave, y está recopilando activamente más datos a través de ensayos clínicos de Fase 4. La empresa también está avanzando suzetrigine, actualmente en ensayos de Fase 3 para la neuropatía diabética periférica, e innovando diseños de ensayos clínicos para el dolor crónico. Además, Vertex está desarrollando inhibidores de NaV1.7 y NaV1.8, lo que demuestra un compromiso para expandir su cartera de manejo del dolor, aunque VX-993 no se avanzará como monoterapia para el dolor agudo.","[{'name': 'vrtx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrtx-Q125-10-Q.html'}, {'name': 'vrtx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vrtx-FY24-10-K.html'}, {'name': 'vrtx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrtx-Q324-10-Q.html'}, {'name': 'vrtx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrtx-Q225-10-Q.html'}]",275850,USD,SMART,STK
SYK,HE,PAI,health,pain_management,US8636671013,STRYKER CORP,10,"Ofrece una gama de tecnologías y soluciones médicas críticas para el diagnóstico, tratamiento y manejo a largo plazo de afecciones de dolor agudo y crónico.",,,4430948,USD,SMART,STK
