symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
ZTS,health,pet_care_products,US98978V1035,ZOETIS INC,1,"Desempeña un papel fundamental en la industria mundial de productos para el cuidado de mascotas, siendo un contribuyente principal a su desarrollo y suministro.","Zoetis demuestra un fuerte enfoque en productos para el cuidado de mascotas, como lo demuestra los ingresos sustanciales generados por su cartera de Animales de Compañía. Esta cartera, que incluye productos clave como la franquicia Simparica, los mAbs para el dolor de OA (Librela y Solensia) y la franquicia de Dermatología, ha mostrado un crecimiento operativo significativo y contribuye en gran medida a los ingresos generales de la empresa. Además, Zoetis enfatiza la innovación y la confianza del cliente, manteniendo una ventaja de ser el primero en moverse en ciertas categorías y expandiendo su alcance a través de estrategias omnicanal, solidificando su posición en el mercado del cuidado de mascotas.","[{'name': 'zts-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/zts-Q125-10-Q.html'}, {'name': 'zts-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/zts-Q225-10-Q.html'}, {'name': 'zts-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/zts-Q324-10-Q.html'}, {'name': 'zts-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/zts-FY24-10-K.html'}]",121665622,USD,SMART,STK,True,PET
CHWY,health,pet_care_products,US16679L1098,CHEWY INC - CLASS A,2,"Opera como un minorista en línea líder que ofrece una selección completa de alimentos para mascotas, suministros, medicamentos y otros productos y servicios relacionados con mascotas directamente a los consumidores.","El negocio de Chewy se centra en gran medida en la industria de productos para el cuidado de mascotas, ya que se identifica como el minorista en línea de mascotas más grande de los Estados Unidos, ofreciendo prácticamente todos los productos que una mascota necesita, incluyendo alimentos para mascotas de marcas de terceros y marcas propias, medicamentos y productos para la salud. Las ventas netas de la compañía se derivan principalmente de estos productos, con una contribución creciente de su programa Autoship en categorías de consumibles y salud. Este compromiso se demuestra aún más con la expansión de las prácticas de Chewy Vet Care (CVC) y el lanzamiento de marcas propias exclusivas como el alimento fresco para perros 'Get Real', lo que refleja un enfoque estratégico en el aprovechamiento de los productos para el cuidado de mascotas para impulsar el crecimiento y la lealtad del cliente.","[{'name': 'chwy-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chwy-Q224-10-Q.html'}, {'name': 'chwy-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chwy-Q125-10-Q.html'}, {'name': 'chwy-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chwy-Q324-10-Q.html'}, {'name': 'chwy-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/chwy-FY24-10-K.html'}]",370766146,USD,SMART,STK,True,PET
ELAN,health,pet_care_products,US28414H1032,ELANCO ANIMAL HEALTH INC,3,"Se enfoca en ofrecer una amplia gama de productos diseñados para mejorar la salud, el bienestar y la longevidad de los animales de compañía, desempeñando un papel importante en la industria del cuidado de mascotas.","Elanco es un líder mundial en salud animal, con un enfoque significativo en productos para el cuidado de mascotas, sirviendo principalmente a perros y gatos. Este énfasis es evidente en su diversa cartera, que incluye productos como Credelio Quattro, AdTab y Zenrelia, diseñados para prevenir y tratar enfermedades en mascotas. El compromiso de la empresa con la salud de las mascotas se demuestra aún más con el lanzamiento de nuevos productos, la expansión geográfica a mercados clave y las inversiones estratégicas en marketing directo al consumidor, todo lo cual contribuye al liderazgo de Elanco en el sector minorista de salud para mascotas e impulsa el crecimiento de los ingresos.","[{'name': 'elan-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/elan-Q125-10-Q.html'}, {'name': 'elan-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/elan-FY24-10-K.html'}]",333848211,USD,SMART,STK,True,PET
IDXX,health,pet_care_products,US45168D1046,IDEXX LABORATORIES INC,4,"Desarrolla y comercializa productos, instrumentación y servicios de software de diagnóstico esenciales para la salud animal, particularmente en la industria del cuidado de mascotas.","La participación de Idexx en el tema de Productos para el Cuidado de Mascotas es evidente a través de su enfoque en el sector veterinario de animales de compañía. El Grupo de Animales de Compañía (CAG) de la empresa es fundamental para sus operaciones, proporcionando productos y servicios de diagnóstico y gestión de información para la industria veterinaria de animales de compañía. IDEXX ofrece una gama de productos, que incluyen productos de diagnóstico veterinario en el punto de atención, servicios de diagnóstico y consultoría de laboratorio de referencia veterinaria, y sistemas de gestión de prácticas e imágenes diagnósticas, todos adaptados para satisfacer las diversas necesidades de los veterinarios en el cuidado de mascotas. La empresa también lanzó IDEXX Cancer Dx, un panel de diagnóstico para la detección temprana del linfoma canino, y está expandiendo su huella comercial en regiones como Corea del Sur, demostrando un compromiso con el avance de la atención médica de las mascotas.","[{'name': 'idxx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/idxx-Q225-10-Q.html'}, {'name': 'idxx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/idxx-Q125-10-Q.html'}, {'name': 'idxx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/idxx-FY24-10-K.html'}, {'name': 'idxx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/idxx-Q324-10-Q.html'}]",270413,USD,SMART,STK,True,PET
CL,health,pet_care_products,US1941621039,COLGATE-PALMOLIVE CO,5,"Fabrica y comercializa una amplia gama de productos premium de nutrición para mascotas, contribuyendo a la salud y el bienestar de los animales de compañía a través de sus marcas especializadas.","La empresa demuestra un fuerte enfoque en la industria de Productos para el Cuidado de Mascotas, principalmente a través de su segmento Hill's Pet Nutrition, que representó una parte significativa de las ventas netas de la empresa en 2024. Esto está respaldado además por la adquisición de Prime100, la marca de alimentos frescos para mascotas #1 recomendada por veterinarios en Australia. El compromiso de la empresa es evidente en su estrategia de centrarse en productos de uso diario, incluidos alimentos para mascotas, y su salida de las marcas blancas para concentrarse en su negocio principal, con un énfasis específico en el crecimiento de Hill's tanto en categorías terapéuticas como de bienestar, respaldado por una inversión continua en I+D.","[{'name': 'cl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cl-FY24-10-K.html'}]",5749,USD,SMART,STK,True,PET
NESN,health,pet_care_products,CH0038863350,NESTLE SA-REG,6,"Ofrece una cartera integral de productos de alimentos para mascotas, que incluyen nutrición especializada y dietas veterinarias, para satisfacer una amplia gama de necesidades de salud y dietéticas de mascotas a nivel mundial.",,,52238348,CHF,SMART,STK,False,PET
SJM,health,pet_care_products,US8326964058,JM SMUCKER CO/THE,7,"Es un contribuyente clave al sector de productos para el cuidado de mascotas, ofreciendo una amplia gama de marcas populares de alimentos y golosinas para mascotas que satisfacen las necesidades nutricionales de los animales domésticos.","La empresa mantiene una presencia en el mercado de cuidado de mascotas a través de su segmento de Alimentos para Mascotas Minoristas de EE. UU., que incluye marcas conocidas como Meow Mix, Milk-Bone, Pup-Peroni y Canine Carry Outs. La empresa lidera en las categorías de snacks para perros y comida para gatos. Si bien la empresa ha desinvertido ciertas marcas de alimentos para mascotas, continúa centrándose en la innovación y la construcción de marca para su cartera de mascotas restante, particularmente con Meow Mix y Milk-Bone, y reconoce las tendencias positivas en el crecimiento de la población de mascotas y la humanización de la categoría.","[{'name': 'sjm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sjm-Q225-10-Q.html'}, {'name': 'sjm-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sjm-Q325-10-Q.html'}, {'name': 'sjm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sjm-Q125-10-Q.html'}, {'name': 'sjm-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sjm-FY25-10-K.html'}]",15130038,USD,SMART,STK,True,PET
MRK,health,pet_care_products,US58933Y1055,MERCK & CO INC,8,"Desarrolla y proporciona una amplia gama de productos farmacéuticos y vacunas para la salud animal, contribuyendo al bienestar de las mascotas.","El segmento de Salud Animal de Merck juega un papel en el mercado de productos para el cuidado de mascotas, centrándose en productos farmacéuticos veterinarios, vacunas y soluciones de gestión de la salud para animales de compañía. Esto se demuestra por el crecimiento en las ventas de productos para animales de compañía, impulsado por el lanzamiento de nuevos productos como la formulación inyectable de Bravecto y precios más altos. Específicamente, las ventas de la línea Bravecto de productos para el control de parásitos han mostrado un crecimiento constante, alcanzando los $1.1 mil millones en 2024. El compromiso de la empresa con esta área se evidencia aún más por las aprobaciones en Europa y Estados Unidos de nuevos productos como NUMELVI y Bravecto Quantum.","[{'name': 'mrk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mrk-FY24-10-K.html'}, {'name': 'mrk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mrk-Q225-10-Q.html'}, {'name': 'mrk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mrk-Q125-10-Q.html'}, {'name': 'mrk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mrk-Q324-10-Q.html'}]",70101545,USD,SMART,STK,True,PET
FRPT,health,pet_care_products,US3580391056,FRESHPET INC,9,"Se centra en el suministro de alimentos y golosinas frescas y refrigeradas para mascotas, atendiendo a las cambiantes demandas de una nutrición más saludable y natural para mascotas dentro del mercado de productos para el cuidado de mascotas.","El negocio de Freshpet se centra en productos para el cuidado de mascotas, específicamente alimentos frescos para mascotas, con su misión enfocada en mejorar la alimentación de las mascotas a través de opciones frescas y nutritivas. Las ventas netas de la empresa se derivan de productos de alimentos frescos para mascotas vendidos a minoristas, lo que refleja un modelo de negocio diseñado para capitalizar tendencias como la creciente propiedad de mascotas y la humanización de mascotas. Freshpet enfatiza su modelo de negocio integral y difícil de replicar, que incluye Freshpet Kitchens y Fridges, para ofrecer alimentos saludables para mascotas. Compiten en la categoría de alimentos para mascotas de EE. UU. de $ 54 mil millones y están innovando activamente con nuevas ofertas de productos para satisfacer las necesidades de los consumidores, solidificando aún más su enfoque en el mercado del cuidado de mascotas.","[{'name': 'frpt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/frpt-Q125-10-Q.html'}, {'name': 'frpt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/frpt-Q225-10-Q.html'}, {'name': 'frpt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/frpt-FY24-10-K.html'}, {'name': 'frpt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/frpt-Q324-10-Q.html'}]",173148144,USD,SMART,STK,True,PET
GIS,health,pet_care_products,US3703341046,GENERAL MILLS INC,10,Fabrica y suministra productos para el mercado de cuidado de mascotas.,"General Mills demuestra un fuerte enfoque en la industria de productos para el cuidado de mascotas, subrayado por su dedicada división de mascotas de América del Norte y el nombramiento de Dana McNabb como Presidenta del Grupo de Minoristas de América del Norte y Mascotas de América del Norte. La empresa está realizando inversiones sustanciales en su negocio de mascotas, incluido el lanzamiento nacional de 'Love Made Fresh' bajo la marca Blue Buffalo, respaldado por importantes iniciativas de marketing. Este lanzamiento abarca los 50 estados y tiene como objetivo capitalizar el potencial de crecimiento del segmento de alimentos frescos para mascotas. Más allá de 'Love Made Fresh', General Mills se enfoca en hacer crecer el núcleo de su negocio Blue Buffalo, con un desempeño positivo en áreas clave como Life Protection Formula, el negocio de gatos, Tiki Cat y Edgard & Cooper, solidificando aún más su compromiso y presencia en el mercado del cuidado de mascotas.",,7616,USD,SMART,STK,True,PET
