type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
materials and mining,precious_metals,US6516391066,NEWMONT CORP,1,"Opera como líder mundial en la minería de oro, con una exposición significativa a la plata y otros metales preciosos, satisfaciendo una parte sustancial de la demanda mundial.","La participación de Newmont en el tema de la industria de metales preciosos es evidente en sus operaciones comerciales principales, que incluyen la exploración, adquisición y producción de oro y plata. El flujo de ingresos de la empresa está significativamente respaldado por metales preciosos, con una parte sustancial derivada de las ventas de oro y plata. Las actividades de Newmont se extienden a la exploración de propiedades de oro que también pueden contener otros metales como cobre, plata, plomo y zinc, lo que solidifica aún más su presencia en el mercado de metales preciosos, como lo demuestra su producción de 1.5 millones de onzas de oro y 6 millones de onzas de plata en el primer trimestre de 2025.","[{'name': 'nem-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q125-10-Q.html'}, {'name': 'nem-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q225-10-Q.html'}, {'name': 'nem-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nem-FY24-10-K.html'}, {'name': 'nem-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q324-10-Q.html'}]",10174,USD,NEM,SMART,STK,True,PRE
materials and mining,precious_metals,US12572Q1058,CME GROUP INC,2,"Opera un mercado global líder para la negociación de futuros y opciones de metales preciosos, facilitando el descubrimiento de precios, la cobertura y las oportunidades de inversión para los participantes del mercado.","El compromiso de CME Group con el tema de los metales preciosos es evidente a través de su oferta de contratos de futuros y opciones sobre metales, incluidos oro, plata y cobre. La empresa alcanzó récords de volumen trimestral en metales, y el volumen total de contratos de metales aumentó debido a la volatilidad del mercado y la incertidumbre económica. Específicamente, el aumento de los volúmenes en contratos de oro y plata se atribuye a factores como las decisiones de política de la Reserva Federal, los posibles impactos arancelarios y las tensiones geopolíticas, con el micro oro atrayendo la participación tanto minorista como de pequeñas instituciones.","[{'name': 'cme-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cme-Q324-10-Q.html'}, {'name': 'cme-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cme-Q225-10-Q.html'}, {'name': 'cme-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cme-Q125-10-Q.html'}, {'name': 'cme-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cme-FY24-10-K.html'}]",45127739,USD,CME,SMART,STK,True,PRE
materials and mining,precious_metals,US8618961085,STONEX GROUP INC,3,"Facilita una actividad sustancial en el mercado de Metales Preciosos, demostrando un papel fundamental en sus operaciones globales.","La participación de StoneX en el tema de los Metales Preciosos es multifacética, como lo demuestra su posición única como el único participante no bancario en el establecimiento de puntos de referencia de precios diarios para oro, plata, platino y paladio. Esto se ve reforzado por los ingresos operativos constantes de StoneX Metals que superan los $200 millones anuales y la presencia global de la empresa con un equipo de más de 80 profesionales. StoneX ofrece un servicio integral en los mercados de metales físicos y financieros, que incluyen comercio, almacenamiento, logística y capacidades de cobertura, y brinda a los clientes minoristas acceso a operaciones financieras e inversión física en metales preciosos. El compromiso de la empresa se ve subrayado por la adquisición de JBR Recovery, un reciclador de plata acreditado por la LBMA, y la aprobación de la CME para su bóveda de metales con sede en Nueva York, lo que mejora su oferta verticalmente integrada.","[{'name': 'snex-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snex-Q125-10-Q.html'}, {'name': 'snex-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snex-Q225-10-Q.html'}, {'name': 'snex-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/snex-FY24-10-K.html'}, {'name': 'snex-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snex-Q325-10-Q.html'}]",431495220,USD,SNEX,SMART,STK,True,PRE
materials and mining,precious_metals,CA06849F1080,BARRICK MINING CORP,4,"Opera como un importante productor de oro y cobre, contribuyendo directamente al suministro mundial de metales preciosos a través de sus extensas operaciones mineras.",,,780709680,CAD,ABX,SMART,STK,False,PRE
materials and mining,precious_metals,US7802871084,ROYAL GOLD INC,5,"Gestiona una cartera diversificada de flujos y regalías de metales preciosos, proporcionando capital a los operadores mineros a cambio de futuras entregas de metales o porcentajes de ingresos, facilitando así la producción mundial de metales preciosos.","El negocio de Royal Gold se centra en la adquisición y gestión de flujos y regalías de metales preciosos, lo que expone significativamente a la empresa al tema de la industria de los metales preciosos. Los resultados financieros de la empresa están directamente relacionados con los precios de metales como el oro y la plata, siendo el oro el mayor contribuyente a los ingresos de manera constante. Este enfoque se demuestra aún más por sus inversiones estratégicas, como el acuerdo de compra de metales preciosos con Ero Gold Corporation para el oro producido en la mina Xavantina.","[{'name': 'rgld-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rgld-FY24-10-K.html'}, {'name': 'rgld-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rgld-Q324-10-Q.html'}, {'name': 'rgld-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rgld-Q225-10-Q.html'}, {'name': 'rgld-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rgld-Q125-10-Q.html'}]",4817403,USD,RGLD,SMART,STK,True,PRE
materials and mining,precious_metals,BMG812761002,SIGNET JEWELERS LTD,6,"Opera como un destacado minorista de joyería, dedicándose a la obtención, diseño y venta de productos que incorporan metales preciosos como oro, plata y platino.","Signet Jewelers, el minorista de joyería de diamantes más grande del mundo, está significativamente involucrado con el tema de los Metales Preciosos. El negocio de la empresa se ve directamente afectado por el costo, la disponibilidad y la demanda de diamantes, oro y otros metales preciosos, que son componentes clave de sus productos de joyería. Las fluctuaciones en los precios del oro afectan la valoración del inventario y las ventas unitarias, mientras que los aranceles sobre los metales preciosos requieren negociaciones con proveedores e ingeniería de valor. Signet también monitorea eventos globales, como conflictos en Oriente Medio y el conflicto Rusia-Ucrania, por su posible impacto en el suministro de diamantes.","[{'name': 'sig-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sig-Q126-10-Q.html'}]",53747825,USD,SIG,SMART,STK,True,PRE
materials and mining,precious_metals,US35671D8570,FREEPORT-MCMORAN INC,7,"Se dedica a la minería y producción de metales preciosos, contribuyendo al suministro global de estas valiosas materias primas.","La participación de Freeport-McMoRan en la industria de Metales Preciosos es evidente a través de la operación del distrito minero de Grasberg, reconocido como uno de los depósitos de cobre y oro más grandes del mundo. La importante exposición financiera de la empresa al oro se ve aún más enfatizada por la operación de una refinería de metales preciosos, que está aumentando su capacidad total. Además, PTFI está posicionada para convertirse en un productor totalmente integrado de cobre y oro refinados, con volúmenes de ventas consolidados de PTFI que se espera que se aproximen a 1.3 millones de onzas de oro para 2025, y la empresa está trabajando activamente para extraer más oro de las operaciones mineras de cobre existentes.","[{'name': 'fcx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q324-10-Q.html'}, {'name': 'fcx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q125-10-Q.html'}, {'name': 'fcx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q225-10-Q.html'}]",7089,USD,FCX,SMART,STK,True,PRE
materials and mining,precious_metals,US1096961040,BRINK'S CO/THE,8,"Proporciona servicios de logística y almacenamiento seguros, esenciales para el movimiento y la protección de metales preciosos.","La participación de la empresa en el tema de la industria de metales preciosos es evidente a través de su negocio de servicios globales, que se beneficia del transporte de oro y plata. La empresa ha observado un aumento en el movimiento de metales preciosos, particularmente hacia los EE. UU., lo que ha generado una mejora en el crecimiento interanual, especialmente dentro del segmento del Resto del Mundo. La empresa está posicionada para capitalizar la volatilidad del mercado, aprovechando sus instalaciones de almacenamiento seguras, su red logística establecida y sus relaciones preexistentes con los clientes para gestionar los envíos de metales preciosos y beneficiarse de la recuperación de la demanda.",,11475,USD,BCO,SMART,STK,True,PRE
materials and mining,precious_metals,GB00BRXH2664,ANGLOGOLD ASHANTI PLC,9,"Opera como un importante productor mundial de oro, contribuyendo significativamente al suministro de metales preciosos en todo el mundo.",,,655276604,USD,AU,SMART,STK,False,PRE
materials and mining,precious_metals,CA4969024047,KINROSS GOLD CORP,10,"Participa en la exploración, desarrollo y producción de oro, contribuyendo directamente a la dinámica de la oferta y el mercado de metales preciosos.",,,6313288,CAD,K,SMART,STK,False,PRE
