industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
technology,privacy_compliance,US5949181045,MICROSOFT CORP,1,"Integra sólidas medidas de cumplimiento de privacidad en su extenso ecosistema de productos y servicios, garantizando el cumplimiento de las regulaciones globales de protección de datos y fomentando la confianza del cliente en sus ofertas de nube y software.",,272093,USD,MSFT,SMART,STK,True,,PRI
technology,privacy_compliance,US0231351067,AMAZON.COM INC,2,"Cumplimiento y influencia en las regulaciones globales de privacidad y los estándares de protección de datos del cliente en sus extensos servicios digitales, comercio electrónico y plataformas de computación en la nube.",,3691937,USD,AMZN,SMART,STK,True,,PRI
technology,privacy_compliance,US02079K3059,ALPHABET INC-CL A,3,"Se enfoca en el desarrollo e implementación de controles de privacidad avanzados y medidas de cumplimiento en su extenso ecosistema de productos, abordando las estrictas regulaciones globales de protección de datos y las expectativas de los usuarios.",,208813719,USD,GOOGL,SMART,STK,True,,PRI
technology,privacy_compliance,US6974351057,PALO ALTO NETWORKS INC,4,Ofrece plataformas de seguridad que permiten a las organizaciones proteger datos confidenciales y cumplir con estrictas regulaciones de privacidad.,,110619459,USD,PANW,SMART,STK,True,,PRI
technology,privacy_compliance,US6792951054,OKTA INC,5,Se enfoca en proporcionar soluciones de gestión de identidad y acceso que son cruciales para que las organizaciones cumplan con estrictas regulaciones de privacidad y mantengan entornos de datos seguros.,,272356196,USD,OKTA,SMART,STK,True,,PRI
technology,privacy_compliance,US22788C1053,CROWDSTRIKE HOLDINGS INC - A,6,Se enfoca en el Cumplimiento de Privacidad.,,370757467,USD,CRWD,SMART,STK,True,,PRI
technology,privacy_compliance,US98980G1022,ZSCALER INC,7,Proporciona servicios y tecnologías de seguridad esenciales que permiten a las organizaciones cumplir y mantener estrictos requisitos de cumplimiento de privacidad.,,310621426,USD,ZS,SMART,STK,False,,PRI
technology,privacy_compliance,US74758T3032,QUALYS INC,8,Proporciona soluciones integrales que permiten a las organizaciones lograr y mantener el cumplimiento de diversas regulaciones de privacidad a través de sólidas herramientas de seguridad de datos y gestión de riesgos.,"El compromiso de Qlyss con el cumplimiento de la privacidad se demuestra a través del lanzamiento de Policy Audit y Audit Fix, que agiliza las operaciones de auditoría al ofrecer informes de preparación para auditorías y recopilación automatizada de evidencia en numerosas tecnologías. Esta solución apoya el cumplimiento de marcos como HIPAA, DORA y PCI-NF, brindando a las organizaciones herramientas para evitar fallar auditorías. La oferta de la empresa incluye más de 1.000 procesos de auditoría listos para usar, lo que ayuda en la detección y remediación de brechas, lo que refleja un enfoque estratégico en la preparación para auditorías y el cumplimiento.",114814349,USD,QLYS,SMART,STK,True,,PRI
technology,privacy_compliance,US9222801022,VARONIS SYSTEMS INC,9,Contribuye al tema de Cumplimiento de Privacidad al proporcionar soluciones que ayudan a las organizaciones a proteger datos sensibles y cumplir con las regulaciones de privacidad en evolución.,,145409766,USD,VRNS,SMART,STK,False,,PRI
technology,privacy_compliance,US17275R1023,CISCO SYSTEMS INC,10,Desarrolla soluciones de redes y seguridad que permiten a las organizaciones proteger datos sensibles y cumplir con estrictas regulaciones de privacidad.,,268084,USD,CSCO,SMART,STK,True,,PRI
