industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
financials,private_equity,US48251W1045,KKR & CO INC,1,"Opera como una firma de inversión global líder, centrada principalmente en la industria de Private Equity a través de la gestión y el despliegue de capital en diversas estrategias de mercados privados.","El compromiso de KKR con el tema de la industria de Private Equity es sustancial, como lo demuestran su liderazgo de larga data y sus extensas actividades de inversión. La firma administra y patrocina vehículos de inversión de Private Equity, con un AUM significativo de $214.6 mil millones al 30 de junio de 2025. KKR ha completado más de 790 inversiones de Private Equity, por un valor total de transacciones superior a $815 mil millones, y su negocio de Strategic Holdings genera ingresos anuales y EBITDA sustanciales. Además, la estrategia insignia de Private Equity de América del Norte de KKR, North America XIV, recaudó $14 mil millones en su cierre inicial, lo que resalta el enfoque y el éxito continuos de la firma en el sector de Private Equity.","[{'name': 'kkr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kkr-Q125-10-Q.html'}, {'name': 'kkr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kkr-FY24-10-K.html'}, {'name': 'kkr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kkr-Q225-10-Q.html'}, {'name': 'kkr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kkr-Q324-10-Q.html'}]",321328198,USD,KKR,SMART,STK,True,PRI
financials,private_equity,US09260D1072,BLACKSTONE INC,2,"Gestiona capital sustancial para inversiones de capital privado, impulsando adquisiciones estratégicas y creación de valor en diversas empresas y sectores a nivel mundial.","Blackstone mantiene una sólida posición en la industria de Capital Privado, respaldada por su organización en cuatro segmentos, uno de los cuales es Capital Privado. El segmento de Capital Privado de la firma incluye varias estrategias como Capital Privado Corporativo, Infraestructura y Secundarios, y gestiona fondos insignia de Capital Privado Corporativo, fondos enfocados sectorial y geográficamente, y fondos de capital privado centrales. Blackstone ha demostrado su compromiso a través de importantes recaudaciones de capital, incluyendo $21 mil millones para su fondo global de capital privado y más de $5.5 mil millones para su fondo de transición energética de capital privado, así como el cierre de $3.5 mil millones adicionales para su nuevo fondo insignia de capital privado en Asia.","[{'name': 'bx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bx-Q125-10-Q.html'}, {'name': 'bx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bx-Q324-10-Q.html'}, {'name': 'bx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bx-FY24-10-K.html'}]",372834689,USD,BX,SMART,STK,True,PRI
financials,private_equity,US03769M1062,APOLLO GLOBAL MANAGEMENT INC,3,"Opera como un gestor líder mundial de activos alternativos, especializándose en inversiones de capital privado para adquirir, gestionar y hacer crecer empresas en diversas industrias.","La exposición de Apollo Global Management al tema de Private Equity es evidente a través de su segmento de gestión de activos, que abarca estrategias de capital privado. El equipo de renta variable de la empresa posee experiencia en diversos sectores e industrias, incluido el capital privado, y obtiene honorarios por soluciones de capital junto con sus operaciones de capital privado. Apollo destaca el sólido desempeño de su negocio de capital privado, particularmente el Fondo X y el Fondo IX, que han demostrado un impresionante IRR neto y DPI en comparación con los promedios de la industria, y enfatiza la generación de alfa a través de estrategias de compra, construcción y salida.","[{'name': 'apo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/apo-FY24-10-K.html'}, {'name': 'apo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/apo-Q125-10-Q.html'}, {'name': 'apo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/apo-Q225-10-Q.html'}, {'name': 'apo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/apo-Q324-10-Q.html'}]",535288388,USD,APO,SMART,STK,True,PRI
financials,private_equity,US14316J1088,CARLYLE GROUP INC/THE,4,"Opera como una firma de inversión global especializada en capital privado, gestionando diversos fondos que invierten en varios sectores y geografías.","La participación de Carlyle en el tema de Private Equity es evidente a través de su estructura organizativa e iniciativas estratégicas. La empresa opera a través de tres segmentos, uno de los cuales es Global Private Equity, que asesora a diversos fondos. Carlyle también tiene el segmento Carlyle AlpInvest, que asesora programas globales de private equity. La empresa gestiona activamente fondos de private equity, como lo demuestra el récord de FRE generado por Carlyle AlpInvest en el primer trimestre y los significativos 20.000 millones de dólares en realizaciones durante los últimos 12 meses, y está devolviendo activamente capital a los inversores. Además, Carlyle se ha asociado con UBS para ofrecer soluciones secundarias de private equity a sus clientes de patrimonio internacional.","[{'name': 'cg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cg-Q324-10-Q.html'}, {'name': 'cg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cg-FY24-10-K.html'}, {'name': 'cg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cg-Q225-10-Q.html'}]",397999651,USD,CG,SMART,STK,True,PRI
financials,private_equity,US8726571016,TPG INC,5,"Opera como un gestor global de activos alternativos, especializándose en diversas estrategias de inversión de capital privado, incluyendo adquisiciones apalancadas, capital de crecimiento e inversiones en dificultades en diversas industrias.","La participación de TPG en el tema de Private Equity es evidente a través de sus diversas estrategias de inversión y plataformas dedicadas. La empresa gestiona activamente private equity a través de sus fondos TPG Capital y Healthcare Partners, y ha lanzado iniciativas como T-POP, un producto de private equity ofrecido perpetuamente. La plataforma Capital de TPG se enfoca en inversiones de private equity a gran escala y orientadas al control, mientras que TPG Growth se dirige a inversiones de capital de crecimiento y del mercado medio. Además, TPG ha establecido asociaciones estratégicas que abarcan private equity, crédito, bienes raíces e infraestructura, representando más de $4 mil millones en posible nuevo capital, y ha tenido un éxito sustancial en la recaudación de fondos, incluido el superar los objetivos de TPG Growth VI.","[{'name': 'tpg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tpg-Q125-10-Q.html'}, {'name': 'tpg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tpg-Q225-10-Q.html'}, {'name': 'tpg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tpg-FY24-10-K.html'}]",537638912,USD,TPG,SMART,STK,False,PRI
financials,private_equity,US09581B1035,BLUE OWL CAPITAL INC,6,"Gestiona y despliega capital a través de diversas estrategias de capital privado, estableciéndose como un inversor y gestor de activos prominente dentro del panorama del capital privado.","Blue Owl exhibe un fuerte enfoque en Private Equity, demostrado a través de su negocio de GP Strategic Capital, que incluye $67.0 mil millones en AUM y $37.8 mil millones en FPAUM. La empresa recauda activamente capital para su sexto producto insignia de participaciones minoritarias de capital y ha visto un crecimiento sustancial en AUM debido a su estrategia de participaciones minoritarias de GP. La estrategia de participaciones de GP de Blue Owl implica poseer participaciones en un grupo diversificado de administradores de activos alternativos de calidad, con su AUM creciendo significativamente más rápido que el promedio de la industria y generando fuertes rendimientos. Además, Blue Owl recaudó $27.5 mil millones de capital en 2024 y desplegó $52 mil millones en crédito, centrándose en préstamos directos y participaciones de GP, lo que destaca su compromiso de proporcionar capital al sector de la gestión de activos alternativos.","[{'name': 'owl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/owl-FY24-10-K.html'}, {'name': 'owl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/owl-Q125-10-Q.html'}, {'name': 'owl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/owl-Q225-10-Q.html'}]",491635677,USD,OWL,SMART,STK,False,PRI
financials,private_equity,US03990B1017,ARES MANAGEMENT CORP - A,7,"Implica la gestión e inversión de capital en una amplia gama de estrategias y fondos de capital privado, contribuyendo significativamente al crecimiento y desarrollo de empresas privadas.","Ares demuestra su compromiso con la industria de Private Equity a través de diversas iniciativas estratégicas y actividades de fondos. La empresa cuenta con un Grupo de Private Equity dedicado y gestiona importantes activos bajo gestión (AUM) en este sector, incluyendo $24.7 mil millones de AUM y $11.352 mil millones de FPAUM a 31 de marzo de 2025. Ares participa activamente en estrategias de creación de valor dentro del private equity, centrándose en mejoras operativas y transformación digital, y ha lanzado nuevos fondos, como uno enfocado en transacciones lideradas por GP y el VII Corporate Opportunities Fund, lo que indica un enfoque proactivo para mejorar el rendimiento de las empresas de la cartera y expandir sus capacidades de private equity.","[{'name': 'ares-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ares-FY24-10-K.html'}, {'name': 'ares-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ares-Q125-10-Q.html'}, {'name': 'ares-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ares-Q225-10-Q.html'}]",341904548,USD,ARES,SMART,STK,False,PRI
financials,private_equity,US46625H1005,JPMORGAN CHASE & CO,8,"Actúa como un importante financiador, asesor e inversor en el sector de capital privado, facilitando transacciones y proporcionando soluciones de capital para fondos y empresas de cartera.","La conexión de JPMorgan con el tema de Private Equity es evidente a través de varias actividades. El aumento de la actividad de los patrocinadores ha beneficiado notablemente las tarifas de asesoramiento de la empresa. Si bien JPMorgan no tiene planes inmediatos para adquirir una firma de crédito privado, se mantiene abierto a la posibilidad si el equipo y el precio adecuados se alinean, y reconocen el crecimiento del crédito privado, incluso sugiriendo que podría haber alcanzado su punto máximo.",,1520593,USD,JPM,SMART,STK,True,PRI
financials,private_equity,US4074971064,HAMILTON LANE INC-CLASS A,9,"Gestiona y asesora sobre inversiones de capital privado para clientes institucionales a nivel mundial, ofreciendo una gama de soluciones de inversión y servicios de diligencia debida dentro de los mercados privados.","El negocio de Hamilton Lane está significativamente involucrado con el tema de Private Equity, ya que operan como un proveedor global de soluciones de inversión en mercados privados, ofreciendo una variedad de soluciones en una gama de mercados privados, incluido el private equity. La compañía vio un flujo de acuerdos récord en secundarias e inversión directa en el año calendario 2024 y se está posicionando como un socio de elección. Esto se demuestra aún más por los casi $1.3 mil millones recaudados para su sexto fondo de oportunidades de capital, así como por su despliegue de capital en varios vehículos, incluidos fondos secundarios tradicionales mancomunados y productos Evergreen.","[{'name': 'hlne-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hlne-FY25-10-K.html'}, {'name': 'hlne-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlne-Q225-10-Q.html'}, {'name': 'hlne-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlne-Q126-10-Q.html'}, {'name': 'hlne-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlne-Q325-10-Q.html'}]",268212409,USD,HLNE,SMART,STK,True,PRI
financials,private_equity,SE0012853455,EQT AB,10,Participa activamente en el mercado de capital privado a través de inversiones estratégicas y asignación de capital.,,,384792914,SEK,EQT,SMART,STK,False,PRI
