type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
other,professional_visualization,US67066G1040,NVIDIA CORP,1,"Proporciona unidades de procesamiento gráfico y plataformas de software líderes que son fundamentales para aplicaciones de visualización profesional en diversas industrias, permitiendo diseño avanzado, simulación y experiencias inmersivas.","La participación de NVIDIA en el tema de Visualización Profesional es evidente en su desempeño financiero y desarrollo de productos. Los ingresos de Visualización Profesional de la empresa han aumentado consistentemente año tras año, impulsados por la adopción de estaciones de trabajo con GPU Ada RTX. Estas estaciones de trabajo abordan flujos de trabajo en aceleración de IA, renderizado de gráficos en tiempo real y simulación de datos, con aplicaciones en diseño, simulación e ingeniería impulsados por IA generativa. NVIDIA también está innovando en este espacio, introduciendo modelos de IA generativa y microservicios NIM para OpenUSD y desarrollando supercomputadoras de IA en factores de forma de escritorio con sus productos DGX Spark y Station.","[{'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}, {'name': 'nvda-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q126-10-Q.html'}]",4815747,USD,NVDA,SMART,STK,True,PRO
other,professional_visualization,US0527691069,AUTODESK INC,2,"Proporciona soluciones de software que permiten el diseño, modelado y renderizado 3D avanzados, que son integrales para los procesos de visualización profesional en los sectores de arquitectura, ingeniería y medios y entretenimiento.",,,265681,USD,ADSK,SMART,STK,True,PRO
other,professional_visualization,US00724F1012,ADOBE INC,3,"Proporciona herramientas de software líderes en la industria para diseño gráfico, edición de video, gráficos en movimiento y creación de contenido 3D, sirviendo como una plataforma fundamental para la visualización profesional en diversas industrias creativas.","La participación de Adobe en Visualización Profesional es evidente a través de su segmento de Medios Digitales, particularmente la oferta de Creative Cloud. Creative Cloud proporciona un conjunto de herramientas de escritorio, aplicaciones móviles y servicios basados en la nube adaptados para diseñar, crear y publicar contenido enriquecido y experiencias 3D inmersivas. Los productos, servicios y soluciones de Medios Digitales de la empresa permiten a los usuarios crear, diseñar y publicar contenido enriquecido y experiencias 3D, mejorando la productividad a través de métodos transformados de visualización, intercambio y colaboración de documentos y contenido.","[{'name': 'adbe-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adbe-Q324-10-Q.html'}, {'name': 'adbe-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adbe-Q125-10-Q.html'}, {'name': 'adbe-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/adbe-FY24-10-K.html'}]",265768,USD,ADBE,SMART,STK,True,PRO
other,professional_visualization,FR0014003TT8,DASSAULT SYSTEMES SE,4,"Ofrece plataformas líderes en la industria de diseño 3D, simulación y experiencia virtual esenciales para la visualización profesional y la transformación digital en diversas industrias.",,,500760943,EUR,DSY,SMART,STK,False,PRO
other,professional_visualization,DE0007236101,SIEMENS AG-REG,5,"Proporciona soluciones avanzadas de software y hardware que permiten la visualización profesional para aplicaciones de diseño industrial, ingeniería y gemelos digitales.",,,14217,EUR,SIE,SMART,STK,False,PRO
other,professional_visualization,US08265T2087,BENTLEY SYSTEMS INC-CLASS B,6,"Proporciona soluciones de software avanzadas que permiten a ingenieros, arquitectos y profesionales de la construcción crear, analizar y visualizar proyectos de infraestructura complejos.","El compromiso de Bentley Systems con la visualización profesional es evidente a través de su integración de las capacidades de iTwin en Cesium, una plataforma geoespacial 3D líder en el mercado. Esta integración, demostrada a usuarios de Bentley y líderes tecnológicos como Google y NVIDIA, incluye modelado de la realidad y servicios de detección de características basados en IA. La adquisición de Cesium por su plataforma, talento y comunidad de desarrolladores subraya aún más el enfoque de Bentley en la tecnología geoespacial 3D dentro del panorama de la visualización profesional.",,446864692,USD,BSY,SMART,STK,False,PRO
other,professional_visualization,US91332U1016,UNITY SOFTWARE INC,7,"Proporciona una plataforma de desarrollo 3D en tiempo real que permite a profesionales de diversas industrias crear visualizaciones interactivas, simulaciones y experiencias virtuales.","La participación de Unity en la visualización profesional se demuestra a través de sus tecnologías que permiten a los clientes editar, ejecutar e iterar experiencias interactivas, 3D en tiempo real y 2D. BMW utiliza Unity Asset Manager para potenciar su plataforma de gestión de activos 3D, y la tecnología 3D de Unity está integrada en el sistema operativo Mercedes-Benz para mejorar la experiencia en el automóvil. Además, Specto Medical emplea herramientas de visualización 3D inmersivas construidas sobre Unity para redefinir la planificación prequirúrgica y la comunicación con el paciente.","[{'name': 'u-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/u-Q225-10-Q.html'}, {'name': 'u-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/u-Q125-10-Q.html'}]",445423543,USD,U,SMART,STK,False,PRO
other,professional_visualization,US69370C1009,PTC INC,8,"Ofrece plataformas de software que incluyen CAD, PLM y herramientas de realidad aumentada que facilitan la visualización profesional para los procesos de diseño de productos, ingeniería y fabricación.",,,121507047,USD,PTC,SMART,STK,True,PRO
other,professional_visualization,SE0015961909,HEXAGON AB-B SHS,9,Opera dentro del dominio de la Visualización Profesional.,,,490414358,SEK,HEXA.B,SMART,STK,False,PRO
other,professional_visualization,US8962391004,TRIMBLE INC,10,"Proporciona soluciones avanzadas que permiten a los profesionales visualizar datos, diseños y modelos complejos en diversas industrias, mejorando la toma de decisiones y la ejecución de proyectos.",,,275294,USD,TRMB,SMART,STK,True,PRO
