type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
real estate,property_leasing,US12504L1098,CBRE GROUP INC - A,1,"Es un líder mundial en la prestación de servicios integrales de arrendamiento de propiedades, facilitando transacciones y asesoramiento estratégico para clientes de bienes raíces comerciales en todo el mundo.","El compromiso de CBRE con el arrendamiento de propiedades es evidente a través de su segmento de Servicios de Asesoría, que incluye servicios de arrendamiento de propiedades. La compañía ha experimentado un crecimiento en la actividad de arrendamiento, particularmente en espacios de oficinas e industriales, lo que ha contribuido significativamente a sus ingresos. Específicamente, los ingresos globales por arrendamiento han experimentado aumentos sustanciales, impulsados por un fuerte desempeño en regiones como las Américas, Estados Unidos y el Reino Unido, siendo el arrendamiento de asesoría un componente notable del flujo de ingresos.","[{'name': 'cbre-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cbre-Q225-10-Q.html'}, {'name': 'cbre-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cbre-Q125-10-Q.html'}, {'name': 'cbre-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cbre-Q324-10-Q.html'}, {'name': 'cbre-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cbre-FY24-10-K.html'}]",95514904,USD,CBRE,SMART,STK,True,PRO
real estate,property_leasing,US22160N1090,COSTAR GROUP INC,2,"Sirve como una plataforma principal para el arrendamiento de propiedades, proporcionando datos completos, análisis y mercados en línea que facilitan las decisiones y transacciones de arrendamiento para diversos tipos de propiedades.","CoStar Group demuestra su participación en el arrendamiento de propiedades a través de varios servicios y plataformas clave. LoopNet, un destacado mercado de bienes raíces comerciales, facilita la publicidad de propiedades en alquiler, mientras que Apartments.com ofrece servicios similares para unidades de alquiler. Además, CoStar Real Estate Manager y Visual Lease ofrecen soluciones tecnológicas de gestión de bienes raíces y arrendamientos, que abarcan la administración de arrendamientos, la contabilidad y la gestión de transacciones. La empresa aprovecha los datos de estos arrendamientos para proporcionar información sobre precios y ocupación, mejorando su posición en el sector inmobiliario comercial.","[{'name': 'csgp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csgp-Q125-10-Q.html'}, {'name': 'csgp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/csgp-FY24-10-K.html'}]",6726677,USD,CSGP,SMART,STK,True,PRO
real estate,property_leasing,US74340W1036,PROLOGIS INC,3,"Se especializa en el desarrollo y la gestión de propiedades industriales para arrendamiento, sirviendo como un proveedor crítico de espacio para operaciones de comercio electrónico y logística.","El arrendamiento de propiedades es fundamental para la empresa, como lo demuestran las extensas discusiones sobre la actividad de arrendamiento, las tasas de renovación y los alquileres del mercado, lo que indica un fuerte enfoque. La cartera de arrendamiento de la empresa, que está alcanzando niveles históricamente altos con 130 millones de pies cuadrados, enfatiza aún más este enfoque. Si bien el arrendamiento es una parte central del negocio, no hay mención explícita de modelos o estrategias de arrendamiento únicos o propietarios.",,88819288,USD,PLD,SMART,STK,True,PRO
real estate,property_leasing,US03027X1000,AMERICAN TOWER CORP,4,"Se enfoca en el arrendamiento de espacios en su extensa cartera de sitios de comunicaciones, sirviendo como proveedor de infraestructura crítica para operadores inalámbricos y compañías de radiodifusión.","El negocio de la empresa depende en gran medida del arrendamiento de propiedades, específicamente del arrendamiento de espacio en sitios de comunicaciones a varios inquilinos, incluidos proveedores de servicios inalámbricos y empresas de radiodifusión. Esta actividad constituye el negocio principal de la empresa, representando una parte significativa de sus ingresos totales, ya que las operaciones de propiedad representaron el 98% de los ingresos totales durante los tres y nueve meses finalizados el 30 de septiembre de 2024. Además, la empresa gestiona sitios de tejados y torres para propietarios bajo diversos acuerdos contractuales y genera ingresos sustanciales de arrendamiento de clientes no cancelables durante períodos futuros, lo que demuestra un gran enfoque en el arrendamiento de propiedades.","[{'name': 'amt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amt-Q225-10-Q.html'}, {'name': 'amt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amt-Q324-10-Q.html'}]",99831145,USD,AMT,SMART,STK,True,PRO
real estate,property_leasing,US48020Q1076,JONES LANG LASALLE INC,5,"Proporciona servicios integrales en arrendamiento de propiedades, facilitando transacciones y gestionando carteras para clientes en diversos mercados.","El compromiso de JLL con el arrendamiento de propiedades es evidente a través de su segmento de Asesoramiento de Arrendamiento, que ofrece servicios como arrendamiento de agencias y representación de inquilinos. El arrendamiento es un importante generador de ingresos dentro del segmento de Asesoramiento de Mercados, que contribuye sustancialmente a los ingresos generales de la empresa. La empresa ha experimentado un crecimiento en el arrendamiento en las principales clases de activos, particularmente en el sector industrial, y destaca el arrendamiento como un factor clave para impulsar las mejoras de ganancias y márgenes. Además, el aumento de la actividad de arrendamiento ha contribuido al crecimiento de otros segmentos, como la Gestión de Proyectos.","[{'name': 'jll-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jll-Q225-10-Q.html'}, {'name': 'jll-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jll-Q324-10-Q.html'}, {'name': 'jll-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jll-FY24-10-K.html'}]",6608072,USD,JLL,SMART,STK,True,PRO
real estate,property_leasing,GB00BFZ4N465,CUSHMAN & WAKEFIELD PLC,6,Proporciona servicios integrados que facilitan las transacciones de arrendamiento de propiedades y asesoramiento estratégico para propietarios e inquilinos en diversas carteras de bienes raíces comerciales.,"El compromiso de Cushman & Wakefield con el arrendamiento de propiedades es evidente a través de sus ofertas de servicios integrales, que incluyen el arrendamiento. El negocio de arrendamiento de la empresa ha mostrado una sólida expansión, con un crecimiento de los ingresos en todas las clases de activos importantes, incluido un aumento del 8% en el arrendamiento industrial en las Américas. Este crecimiento está respaldado además por la contratación de equipos de arrendamiento y un aumento previsto de los ingresos por arrendamiento para todo el año del 6% al 8%, impulsado por la fortaleza en los sectores de oficinas e industrial en varias regiones.","[{'name': 'cwk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cwk-Q324-10-Q.html'}, {'name': 'cwk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cwk-Q225-10-Q.html'}, {'name': 'cwk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cwk-FY24-10-K.html'}, {'name': 'cwk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cwk-Q125-10-Q.html'}]",0,,,,,True,PRO
real estate,property_leasing,US8288061091,SIMON PROPERTY GROUP INC,7,"Opera como un importante propietario, derivando sus ingresos principales del arrendamiento de espacios comerciales dentro de su extensa cartera de centros comerciales y centros de tiendas de descuento.","La participación de la empresa en el arrendamiento de propiedades es evidente a través de sus actividades operativas, donde un aumento del 5% en los ingresos por arrendamiento contribuyó significativamente al crecimiento. Esto se apoya además en la firma de aproximadamente 1.000 arrendamientos por parte de la empresa, que cubren más de 3,6 millones de pies cuadrados, con alrededor del 30% atribuido a nuevos acuerdos. Dado que los ingresos por arrendamiento y la actividad de nuevos arrendamientos son componentes clave de los ingresos y las actividades operativas de la empresa, el arrendamiento de propiedades es fundamental para el negocio de la empresa.",,2009113,USD,SPG,SMART,STK,True,PRO
real estate,property_leasing,US9256521090,VICI PROPERTIES INC,8,"Opera principalmente a través del arrendamiento de sus activos inmobiliarios a inquilinos, formando un aspecto fundamental de la industria de arrendamiento de propiedades.","El negocio de VICI está significativamente ligado a la industria de Arrendamiento de Propiedades, ya que la empresa se enfoca principalmente en poseer y adquirir destinos de juego, hotelería, bienestar, entretenimiento y ocio, todos sujetos a arrendamientos triples netos a largo plazo. Sus propiedades están arrendadas al 100%, con un plazo de arrendamiento promedio ponderado sustancial. VICI genera ingresos de arrendamiento de estos acuerdos de arrendamiento con inquilinos como Red Rock Resorts, Caesars y MGM, confiando en los arrendamientos triples netos a largo plazo como un aspecto fundamental de su generación de ingresos y modelo de negocio general.","[{'name': 'vici-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vici-Q225-10-Q.html'}, {'name': 'vici-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vici-Q324-10-Q.html'}, {'name': 'vici-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vici-FY24-10-K.html'}]",292080616,USD,VICI,SMART,STK,True,PRO
real estate,property_leasing,US74460D1090,PUBLIC STORAGE,9,Genera ingresos principalmente a través del arrendamiento de unidades de autoalmacenamiento a una amplia gama de clientes.,,,12002,USD,PSA,SMART,STK,True,PRO
real estate,property_leasing,US29444U7000,EQUINIX INC,10,"Implica el arrendamiento de propiedades especializadas de centros de datos a una base de clientes diversa, sirviendo como una función comercial principal para la generación de ingresos y el posicionamiento estratégico en el mercado.",,,181764593,USD,EQIX,SMART,STK,True,PRO
