industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
real estate,property_management,US12504L1098,CBRE GROUP INC - A,1,"Proporciona servicios integrales de gestión de propiedades en diversos tipos de activos, optimizando la eficiencia operativa y el valor para los propietarios.","CBRE muestra una fuerte conexión con el tema de Gestión de Propiedades, como lo demuestra su generación constante de ingresos y su importancia estratégica en múltiples segmentos. La gestión de propiedades es un negocio resiliente dentro del segmento de Servicios de Asesoramiento de CBRE, que contribuye significativamente a sus ingresos. La empresa también obtuvo un importante mandato de cartera de un gran inversor institucional, lo que demuestra un fuerte enfoque en esta área. Además, la gestión de propiedades es un componente clave del segmento de Operaciones y Experiencia de Edificios (BOE), con ingresos sustanciales y crecimiento de dos dígitos, lo que resalta su importancia estratégica para CBRE.","[{'name': 'cbre-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cbre-Q225-10-Q.html'}, {'name': 'cbre-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cbre-Q125-10-Q.html'}, {'name': 'cbre-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cbre-Q324-10-Q.html'}, {'name': 'cbre-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cbre-FY24-10-K.html'}]",95514904,USD,CBRE,SMART,STK,True,PR1
real estate,property_management,US03783C1009,APPFOLIO INC - A,2,"Proporciona una plataforma de software integral basada en la nube que permite a los administradores y propietarios de propiedades optimizar las operaciones, gestionar las finanzas y mejorar las experiencias de los residentes en diversos tipos de propiedades.","Las soluciones de AppFolio están diseñadas para permitir a los clientes administradores de propiedades transformar digitalmente sus negocios, abordar operaciones comerciales críticas y ofrecer una mejor experiencia al cliente. La misión de la empresa es construir la plataforma donde la industria inmobiliaria hace negocios, administrando aproximadamente 8.8 millones de unidades de 21,105 clientes. AppFolio considera su capacidad para aumentar las unidades de administración de propiedades bajo administración como un indicador de penetración en el mercado y oportunidades de negocio futuras, reportando 8.9 millones de unidades al 30 de junio de 2025. Como líder tecnológico en la industria inmobiliaria, AppFolio proporciona una plataforma basada en la nube y funcionalidades clave como selección de inquilinos, pagos y servicios de mitigación de riesgos relacionados con seguros.","[{'name': 'appf-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/appf-Q324-10-Q.html'}, {'name': 'appf-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/appf-Q125-10-Q.html'}, {'name': 'appf-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/appf-FY24-10-K.html'}, {'name': 'appf-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/appf-Q225-10-Q.html'}]",198500838,USD,APPF,SMART,STK,True,PR1
real estate,property_management,US48020Q1076,JONES LANG LASALLE INC,3,"Proporciona servicios integrales de administración de propiedades, abarcando supervisión operativa, relaciones con inquilinos y optimización del rendimiento financiero para diversas carteras inmobiliarias a nivel mundial.","La participación de JLL en la Gestión de Propiedades es evidente a través de su inclusión como servicio dentro del segmento de Asesoramiento de Mercados y su mención explícita como parte de los ingresos 'Resilientes' dentro de los Servicios de Gestión Inmobiliaria. La empresa define la Gestión de Propiedades como servicios prestados a inversores inmobiliarios no ocupantes, y se está centrando activamente en realinear el negocio en torno a una estrategia de crecimiento y rentabilidad, incluida la revisión de contratos. Además, JLL está trabajando para globalizar su negocio de gestión de propiedades, con el objetivo de capitalizar la creciente tendencia de la externalización y el mayor enfoque en las operaciones de los edificios y la experiencia del inquilino.","[{'name': 'jll-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jll-Q225-10-Q.html'}, {'name': 'jll-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jll-Q125-10-Q.html'}, {'name': 'jll-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jll-FY24-10-K.html'}, {'name': 'jll-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jll-Q324-10-Q.html'}]",6608072,USD,JLL,SMART,STK,True,PR1
real estate,property_management,US74460D1090,PUBLIC STORAGE,4,"Gestiona una amplia cartera de instalaciones de autoalmacenamiento, supervisando las operaciones, el mantenimiento y los servicios para inquilinos de propiedades en numerosas ubicaciones.","La participación de Public Storage en el tema de Gestión de Propiedades es evidente a través de sus operaciones comerciales principales y actividades de gestión de terceros. El enfoque principal de la empresa es la propiedad, operación, adquisición y expansión de instalaciones de autoalmacenamiento, lo que implica extensas actividades de gestión de propiedades como relaciones con inquilinos, mantenimiento, arrendamiento e informes financieros. Además, Public Storage gestiona un número significativo de instalaciones para terceros no relacionados, con una cantidad sustancial de pies cuadrados alquilables bajo gestión y nuevas instalaciones que se agregan al programa. Si bien la gestión de terceros se considera un negocio auxiliar en expansión, las operaciones generales y el rendimiento financiero de la empresa están fuertemente entrelazados con la gestión de propiedades.","[{'name': 'psa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psa-Q125-10-Q.html'}, {'name': 'psa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/psa-FY24-10-K.html'}, {'name': 'psa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psa-Q324-10-Q.html'}, {'name': 'psa-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psa-Q225-10-Q.html'}]",12002,USD,PSA,SMART,STK,True,PR1
real estate,property_management,US74340W1036,PROLOGIS INC,5,"Gestiona una amplia cartera de propiedades inmobiliarias industriales, supervisando todos los aspectos de su operación, mantenimiento y relaciones con los inquilinos para maximizar el valor de los activos y la eficiencia operativa.",,,88819288,USD,PLD,SMART,STK,True,PR1
real estate,property_management,JP3899600005,MITSUBISHI ESTATE CO LTD,6,"Participa en la gestión y operación integral de una cartera diversa de activos inmobiliarios, desempeñando un papel importante en la industria de la gestión de propiedades.",,,13906005,JPY,8802,SMART,STK,False,PR1
real estate,property_management,US46187W1071,INVITATION HOMES INC,7,"Gestiona una amplia cartera de viviendas de alquiler unifamiliares, proporcionando servicios integrales de gestión de propiedades que incluyen arrendamiento, mantenimiento y soporte a los residentes.","Invitation Homes participa en el tema de Gestión de Propiedades a través de varias actividades clave. La compañía administra una cartera sustancial de viviendas, incluidas 85,905 viviendas de propiedad total y 7,698 viviendas de propiedad conjunta en alquiler, y proporciona servicios profesionales de gestión de propiedades y activos a terceros para 16,785 viviendas adicionales. Su plataforma operativa verticalmente integrada les permite adquirir, renovar, alquilar, mantener y administrar propiedades de manera eficiente. Esta plataforma incluye equipos internos como ProCare, programas de mantenimiento preventivo e inversiones en tecnología destinadas a mejorar la eficiencia operativa y la satisfacción de los residentes, lo que resalta el compromiso de la empresa con una gestión de propiedades eficaz.","[{'name': 'invh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/invh-FY24-10-K.html'}, {'name': 'invh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/invh-Q225-10-Q.html'}, {'name': 'invh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/invh-Q125-10-Q.html'}, {'name': 'invh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/invh-Q324-10-Q.html'}]",264405214,USD,INVH,SMART,STK,True,PR1
real estate,property_management,US30225T1025,EXTRA SPACE STORAGE INC,8,"Gestiona una cartera sustancial de propiedades de autoalmacenamiento, abarcando todos los aspectos operativos, de mantenimiento y de arrendamiento inherentes a la gestión inmobiliaria.","La participación de la compañía en el tema de la industria de Gestión de Propiedades es evidente a través de la autogestión de sus propias propiedades de autoalmacenamiento y su gestión activa de tiendas para terceros y empresas conjuntas no consolidadas, de las cuales recauda honorarios de gestión. La compañía es un REIT totalmente integrado, autoadministrado y autogestionado, formado para poseer, operar, administrar, adquirir, desarrollar y redesarrollar propiedades de autoalmacenamiento. El programa de gestión de terceros de la compañía ha experimentado un crecimiento, agregando tiendas y expandiendo la cartera gestionada, lo que proporciona escala y eficiencia, contribuyendo a los honorarios de gestión y los ingresos por seguros de inquilinos.","[{'name': 'exr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/exr-Q225-10-Q.html'}, {'name': 'exr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/exr-Q324-10-Q.html'}, {'name': 'exr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/exr-FY24-10-K.html'}]",30351205,USD,EXR,SMART,STK,True,PR1
real estate,property_management,AU000000GMG2,GOODMAN GROUP,9,"Gestiona una importante cartera de propiedades industriales y comerciales, brindando servicios integrales de gestión de propiedades a su clientela global.",,,45079010,AUD,GMG,SMART,STK,False,PR1
real estate,property_management,US59522J1034,MID-AMERICA APARTMENT COMM,10,"Administra una cartera de comunidades de apartamentos, supervisando las operaciones, las relaciones con los inquilinos y el mantenimiento para garantizar un rendimiento eficiente y rentable de las propiedades residenciales.","El compromiso de MAA con la administración de propiedades es evidente a través de su enfoque en el servicio al cliente y la consistencia operativa, lo que contribuye a mantener una ocupación estable, lograr tasas de renovación más altas y aumentar la retención. Esta resiliencia es destacada por la compañía, que ha mantenido una ocupación estable y ha logrado tasas de renovación más altas a pesar de una oferta elevada. Además, las actividades de administración de propiedades de MAA incluyen sólidas cobranzas, bajas tasas de morosidad y esfuerzos para administrar los gastos de propiedad y operativos, como impuestos inmobiliarios y seguros, lo que demuestra un énfasis estratégico en prácticas efectivas de administración de propiedades.",,9317,USD,MAA,SMART,STK,True,PR1
