industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
real estate,property_redevelopment,US3137451015,FEDERAL REALTY INVS TRUST,1,"Sirve como impulsor principal de la reurbanización de propiedades, optimizando estratégicamente los activos para mejorar el valor y el posicionamiento en el mercado.","La empresa se enfoca en la reurbanización de propiedades, especializándose en la propiedad, gestión y reurbanización de propiedades minoristas y de uso mixto. Esto es evidente a través de sus proyectos de reurbanización en curso con una inversión de capital significativa asignada, incluida la reurbanización transformacional del Centro Comercial Andorra. Estos proyectos, con costos proyectados que alcanzan aproximadamente $307 millones, son parte de su estrategia de crecimiento a largo plazo e involucran costos externos e internos relacionados con las actividades de desarrollo y reurbanización.","[{'name': 'frt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/frt-Q225-10-Q.html'}, {'name': 'frt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/frt-Q324-10-Q.html'}]",535271300,EUR,QM1,VALUE,STK,True,PR2
real estate,property_redevelopment,US9026531049,UDR INC,2,"Participa activamente en la reurbanización de propiedades, mejorando su valor y funcionalidad dentro de su cartera de bienes raíces.","El negocio de UDR incluye la remodelación de comunidades de apartamentos multifamiliares, ya que la empresa posee, opera, adquiere, renueva, desarrolla, remodela, enajena y gestiona estas propiedades. El objetivo de la empresa al remodelar una comunidad es aumentar las tasas de alquiler y lograr la compresión de la tasa de capitalización a través de la mejora de la calidad de los activos. Si bien UDR participa en actividades de remodelación y capitaliza los costos relacionados con estos proyectos, la empresa no tenía comunidades en las que estuviera llevando a cabo actividades de remodelación sustanciales al 31 de marzo de 2025.","[{'name': 'udr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/udr-Q125-10-Q.html'}, {'name': 'udr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/udr-Q225-10-Q.html'}, {'name': 'udr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/udr-FY24-10-K.html'}, {'name': 'udr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/udr-Q324-10-Q.html'}]",43274444,USD,UDR,SMART,STK,True,PR2
real estate,property_redevelopment,US0534841012,AVALONBAY COMMUNITIES INC,3,"Lleva a cabo la reurbanización de propiedades, centrándose en transformar y mejorar los activos inmobiliarios existentes para aumentar su valor de mercado y utilidad.","AvalonBay Communities participa activamente en la reurbanización de propiedades como un aspecto clave de su negocio, desarrollando, reurbanizando, adquiriendo, poseyendo y operando comunidades de apartamentos multifamiliares. La empresa clasifica las comunidades como 'comunidades de reurbanización' cuando se está llevando a cabo o es probable una reurbanización sustancial, y define 'reurbanización sustancial' basándose en una inversión de capital que excede el menor de $5,000,000 o el 10% de la base de la comunidad antes de la reurbanización, junto con una ocupación física inferior al 90%. AvalonBay evalúa las necesidades de efectivo y el potencial operativo basándose en las actividades dentro de las comunidades de reurbanización, lo que indica la importancia estratégica de la reurbanización para la empresa.","[{'name': 'avb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/avb-FY24-10-K.html'}, {'name': 'avb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avb-Q324-10-Q.html'}]",5026974,USD,AVB,SMART,STK,True,PR2
real estate,property_redevelopment,US9290421091,VORNADO REALTY TRUST,4,Lleva a cabo amplias iniciativas de reurbanización de propiedades para optimizar sus activos inmobiliarios e impulsar el crecimiento a largo plazo.,"Vornado demuestra su enfoque en la reurbanización de propiedades a través de varios proyectos importantes. La empresa está reurbanizando activamente PENN 2, un gran edificio de oficinas, y realizando mejoras en todo el distrito dentro del PENN District, lo que implica importantes gastos de capital. Además, Vornado está transformando espacios comerciales en Seventh Avenue y reurbanizando 350 Park Avenue, todo ello con el objetivo de aumentar el valor de las propiedades y atraer inquilinos, lo que refleja un énfasis estratégico en la modernización y mejora de las propiedades existentes.","[{'name': 'vno-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vno-Q225-10-Q.html'}, {'name': 'vno-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vno-Q324-10-Q.html'}]",13535,USD,VNO,SMART,STK,True,PR2
real estate,property_redevelopment,US5543821012,MACERICH CO/THE,5,"Lleva a cabo importantes iniciativas de reurbanización de propiedades para revitalizar su cartera minorista, mejorar el valor de los activos y crear destinos modernos y atractivos.","La participación de Macerich en la reurbanización de propiedades es evidente a través de su enfoque comercial estratégico, que incluye la reurbanización y el desarrollo de centros comerciales regionales. La empresa está reurbanizando activamente el cuadrante noreste de Green Acres Mall y también está involucrada en una empresa conjunta para reurbanizar Scottsdale Fashion Square, centrándose en usos de venta minorista de lujo y restaurantes. Además, Macerich está reurbanizando y expandiendo Green Acres en Long Island, abordando espacios vacíos con demolición y nueva construcción, y está desarrollando unidades residenciales de lujo multifamiliares en FlatIron Crossing.","[{'name': 'mac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mac-Q125-10-Q.html'}, {'name': 'mac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mac-FY24-10-K.html'}, {'name': 'mac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mac-Q225-10-Q.html'}]",9322,USD,MAC,SMART,STK,True,PR2
real estate,property_redevelopment,JP3899600005,MITSUBISHI ESTATE CO LTD,6,"Lleva a cabo amplias iniciativas de reurbanización de propiedades, contribuyendo significativamente a la renovación urbana y la modernización de activos inmobiliarios.",,,13906005,JPY,8802,SMART,STK,False,PR2
real estate,property_redevelopment,US44107P1049,HOST HOTELS & RESORTS INC,7,"Se dedica a la adquisición, remodelación y reposicionamiento estratégico de propiedades hoteleras para mejorar su valor y atractivo en el mercado.","HST demuestra su enfoque en la remodelación de propiedades a través de varias iniciativas, incluidas renovaciones integrales en propiedades como el Grand Hyatt Atlanta y el New York Marriott Marquis, junto con el desarrollo de condominios en el Four Seasons Resort Orlando. Esto se ve respaldado además por su guía de gastos de capital, que asigna una parte significativa, entre $270 millones y $315 millones, a la remodelación, reposicionamiento y proyectos de ROI. HST también tiene como objetivo mejorar el valor de los activos a través de mejoras estratégicas de capital y analizando críticamente su cartera para maximizar el uso de sus bienes raíces.","[{'name': 'hst-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hst-FY24-10-K.html'}]",8057,USD,HST,SMART,STK,True,PR2
real estate,property_redevelopment,US29476L1070,EQUITY RESIDENTIAL,8,Redesarrolla activamente propiedades residenciales existentes para mejorar el valor de los activos y optimizar los ingresos por alquiler.,"Equity Residential participa en la remodelación de propiedades a través de diversas iniciativas, incluyendo gastos de renovación destinados a reposicionar unidades de apartamentos para obtener niveles de alquiler más altos y renovaciones importantes de propiedades existentes. La empresa también está participando en el programa de unidades de vivienda accesorias (ADU) de California para mantener su cartera actualizada. Además, Equity Residential está considerando convertir espacios de oficinas en Boston en unidades residenciales y reemplazar propiedades antiguas por productos más nuevos en el área de la Bahía de San Francisco.","[{'name': 'eqr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eqr-FY24-10-K.html'}]",6917,USD,EQR,SMART,STK,True,PR2
real estate,property_redevelopment,KYG2177B1014,CK ASSET HOLDINGS LTD,9,"Participa activamente en la reurbanización de propiedades, contribuyendo significativamente a la renovación urbana y la modernización de activos inmobiliarios existentes.",,,290000373,HKD,1113,SEHK,STK,False,PR2
real estate,property_redevelopment,US1331311027,CAMDEN PROPERTY TRUST,10,Redesarrolla activamente propiedades para mejorar su valor y optimizar su uso dentro de su cartera inmobiliaria.,"Camden Property Trust participa activamente en la remodelación de propiedades, centrándose en la reposición y remodelación de comunidades de apartamentos multifamiliares. Esto es evidente en sus intenciones declaradas de continuar buscando oportunidades en esta área, junto con adquisiciones y nuevos desarrollos. La empresa define la remodelación como la inversión de capital para mejorar el flujo de efectivo y la posición competitiva a través de mejoras exhaustivas en unidades, exteriores, áreas comunes y comodidades. Además, reconocen los riesgos asociados con estas actividades de remodelación, lo que indica su importancia como consideración estratégica.","[{'name': 'cpt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpt-Q125-10-Q.html'}, {'name': 'cpt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cpt-FY24-10-K.html'}]",6004,USD,CPT,SMART,STK,True,PR2
