industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
energy and utilities,public_services_infrastructure,US65339F1012,NEXTERA ENERGY INC,1,"Desarrolla, posee y opera infraestructura crítica para la generación, transmisión y distribución de electricidad, sirviendo a millones de clientes.","La participación de NextEra Energy (NEE) en el tema de Infraestructura de Servicios Públicos es evidente en las iniciativas estratégicas de Florida Power & Light (FPL). Los planes de FPL incluyen invertir casi $50 mil millones de 2025 a 2029 y agregar más de 25 gigavatios de nueva generación y almacenamiento en baterías para 2034 para acomodar el crecimiento de Florida. Estas inversiones abarcan la infraestructura de generación, transmisión y distribución, lo que se demuestra aún más por el crecimiento en la base de tarifas promedio de FPL debido a las continuas adiciones de transmisión y distribución, así como a las inversiones en plantas en servicio y otras propiedades.","[{'name': 'nee-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nee-Q324-10-Q.html'}]",75960201,USD,NEE,SMART,STK,True,EN8
energy and utilities,public_services_infrastructure,US74762E1029,QUANTA SERVICES INC,2,"Proporciona soluciones integrales de infraestructura para las industrias de energía eléctrica, oleoductos, industrial y comunicaciones, que abarcan servicios de ingeniería, adquisición y construcción vitales para el desarrollo, la mejora y el mantenimiento de redes de servicios públicos críticas.","Quanta Services demuestra una fuerte conexión con el tema de Infraestructura de Servicios Públicos a través de su participación en varios proyectos e inversiones estratégicas. La empresa apoya a las empresas de servicios públicos a través de proyectos de modernización de redes, transmisión, subestaciones e infraestructura de distribución. Este apoyo se destaca por las continuas inversiones de las empresas de servicios públicos en sistemas de suministro de energía eléctrica, incluidos programas de modernización y confiabilidad de la red, mejoras del sistema y programas de fortalecimiento. La inversión de Quanta en Bell Lumber and Pole Company solidifica aún más su posición, ampliando su cartera de equipos de infraestructura de servicios públicos esenciales y mejorando su capacidad para ofrecer soluciones de cadena de suministro de ruta crítica a los clientes de la industria de servicios públicos.","[{'name': 'pwr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q225-10-Q.html'}, {'name': 'pwr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q324-10-Q.html'}, {'name': 'pwr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q125-10-Q.html'}, {'name': 'pwr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pwr-FY24-10-K.html'}]",6608432,USD,PWR,SMART,STK,True,EN8
energy and utilities,public_services_infrastructure,US26441C2044,DUKE ENERGY CORP,3,"Se enfoca en desarrollar, mantener y actualizar infraestructura crítica para suministrar electricidad y gas natural a millones de clientes en sus territorios de servicio.","La participación de Duke Energy en el tema de Infraestructura de Servicios Públicos es evidente en su enfoque constante en el mantenimiento y la restauración de sus sistemas. La empresa enfatiza la importancia fundamental de sus instalaciones de generación de energía, su sistema de distribución eléctrica y su infraestructura de gas natural para servir a los clientes y mantener la estabilidad financiera. Tras sufrir daños significativos en sus territorios de servicio por importantes eventos de tormentas, Duke Energy ha estado activamente involucrada en la financiación de actividades de restauración y la reconstrucción de infraestructura crítica, lo que ha resultado en necesidades de financiación incrementales. Además, Duke Energy invierte en infraestructura de servicios públicos y se enfoca en la reconstrucción de infraestructura crítica.","[{'name': 'duk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/duk-Q225-10-Q.html'}, {'name': 'duk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/duk-Q324-10-Q.html'}, {'name': 'duk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/duk-FY24-10-K.html'}]",110176011,USD,DUK,SMART,STK,True,EN8
energy and utilities,public_services_infrastructure,IT0003128367,ENEL SPA,4,"Gestiona y desarrolla infraestructura de servicios públicos a nivel mundial, incluyendo generación y distribución de electricidad, y soluciones energéticas avanzadas, sirviendo a diversos mercados.",,,29816333,EUR,ENEL,SMART,STK,False,EN8
energy and utilities,public_services_infrastructure,ES0144580Y14,IBERDROLA SA.,5,"Es un actor clave en el desarrollo y operación de infraestructura esencial de servicios públicos, impulsando la entrega de servicios críticos.",,,46586284,EUR,IBE,SMART,STK,False,EN8
energy and utilities,public_services_infrastructure,US0304201033,AMERICAN WATER WORKS CO INC,6,"Desarrolla, mantiene y opera extensos sistemas de tratamiento, almacenamiento y distribución de agua y aguas residuales, garantizando servicios públicos confiables para las comunidades.","Las operaciones de la empresa se centran en gran medida en la infraestructura de servicios públicos, principalmente a través de la propiedad y operación de servicios de agua y aguas residuales. Esto se evidencia en importantes inversiones de capital, incluyendo $1.3 mil millones en proyectos de capital hasta la fecha y planes para invertir aproximadamente $3.3 mil millones en 2025. Están dedicados a mejoras y reemplazos de infraestructura dentro de sus Negocios Regulados, con expectativas de invertir entre $15.5 mil millones y $16 mil millones durante los próximos cinco años y $36 mil millones y $37 mil millones durante los próximos 10 años. La estrategia de crecimiento de la empresa también se basa en la inversión continua de capital en infraestructura para proporcionar servicios de agua y aguas residuales seguros y confiables.","[{'name': 'awk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/awk-Q125-10-Q.html'}, {'name': 'awk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/awk-Q324-10-Q.html'}, {'name': 'awk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/awk-FY24-10-K.html'}]",50530752,USD,AWK,SMART,STK,True,EN8
energy and utilities,public_services_infrastructure,US69331C1080,P G & E CORP,7,Gestiona e invierte en una extensa infraestructura de transmisión y distribución de electricidad y gas natural para prestar servicios energéticos esenciales y mejorar la fiabilidad y seguridad de la red.,"El compromiso de PG&E con el tema de Infraestructura de Servicios Públicos es evidente en sus importantes inversiones de capital, con planes de $63 mil millones hasta 2028, incluyendo la instalación subterránea en áreas de alto riesgo, para mejorar la confiabilidad y la seguridad. Estas inversiones son parte de una estrategia más amplia que se enfoca en la seguridad física y financiera, la asequibilidad para el cliente y el impulso del crecimiento de California y las ambiciones de energía limpia. Las iniciativas de mitigación de incendios forestales de la compañía, como la configuración mejorada de seguridad de las líneas eléctricas, la gestión de la vegetación, las inspecciones de activos y el endurecimiento del sistema, demuestran aún más la importancia de la infraestructura de servicios públicos para la compañía, al igual que su cumplimiento de los requisitos legales y regulatorios relacionados con estos esfuerzos.","[{'name': 'pcg-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pcg-Q224-10-Q.html'}, {'name': 'pcg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pcg-FY24-10-K.html'}]",2586035,USD,PCG,SMART,STK,True,EN8
energy and utilities,public_services_infrastructure,DE000ENAG999,E.ON SE,8,"Opera y desarrolla extensas redes e infraestructuras energéticas, desempeñando un papel crucial en la transmisión y distribución de electricidad y gas a millones de clientes.",,,53028906,EUR,EOAN,SMART,STK,False,EN8
energy and utilities,public_services_infrastructure,GB00BDR05C01,NATIONAL GRID PLC,9,"Implica la propiedad, operación y desarrollo de infraestructura de servicios públicos esencial para la transmisión y distribución de energía.",,,273234647,GBP,NG.,SMART,STK,False,EN8
energy and utilities,public_services_infrastructure,US30161N1019,EXELON CORP,10,"Gestiona y opera infraestructura de servicios públicos crítica para ofrecer servicios energéticos esenciales, contribuyendo a la fiabilidad y modernización de las redes eléctricas.","El enfoque de Exelon en la infraestructura de servicios públicos es evidente en sus inversiones estratégicas y presentaciones regulatorias, ya que la compañía planea invertir $38 mil millones en los próximos cuatro años para impulsar el crecimiento de la base tarifaria, al mismo tiempo que trabaja para recuperar las inversiones continuas en confiabilidad, como las actualizaciones de tuberías antiguas y las actualizaciones de su planta de GNL. Las empresas de servicios públicos de Exelon presentan activamente casos de tarifas base ante las comisiones reguladoras para ajustar las tarifas de transmisión y distribución de electricidad, y de distribución de gas, con el objetivo de recuperar los costos y garantizar un retorno justo sobre las inversiones en infraestructura. Además, Exelon participa en proyectos de confiabilidad y resiliencia de la red eléctrica, respaldados por la IIJA, y se enfoca en mejorar la resiliencia de la red con énfasis en comunidades desfavorecidas, alivio de restricciones de capacidad y modernización de infraestructura, implementación de tecnologías DER y microrredes, y provisión de resiliencia mejorada a través de proyectos de fortalecimiento contra tormentas.","[{'name': 'exc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/exc-FY24-10-K.html'}]",11000,USD,EXC,SMART,STK,True,EN8
