industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
real estate,real_estate_development,US23331A1097,DR HORTON INC,1,"Ocupa la posición de liderazgo dentro del tema de Desarrollo Inmobiliario, lo que refleja su considerable influencia y contribución al crecimiento y las actividades de la industria.","La participación de D.R. Horton en el Desarrollo Inmobiliario es evidente a través de sus operaciones comerciales principales, que incluyen la construcción de viviendas, propiedades de alquiler y una participación mayoritaria en Forestar, una empresa de desarrollo de lotes residenciales. La empresa gestiona activamente inversiones en lotes, terrenos y desarrollo, asignando capital significativo a lotes terminados, desarrollo de terrenos y adquisición de terrenos. Además, D.R. Horton se enfoca estratégicamente en las relaciones con los desarrolladores de terrenos y aprovecha Forestar para mejorar la eficiencia del capital y la flexibilidad operativa, construyendo viviendas en lotes desarrollados por otros.","[{'name': 'dhi-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q325-10-Q.html'}, {'name': 'dhi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q125-10-Q.html'}, {'name': 'dhi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dhi-FY24-10-K.html'}, {'name': 'dhi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q225-10-Q.html'}]",268627,USD,DHI,SMART,STK,True,REA
real estate,real_estate_development,US3462321015,FORESTAR GROUP INC,2,"Se concentra en el desarrollo de terrenos residenciales en lotes terminados para constructores de viviendas, impactando directamente la disponibilidad de nuevas viviendas y el crecimiento de áreas residenciales.","El negocio principal de Forestar Group gira en torno al desarrollo inmobiliario, específicamente el desarrollo de lotes residenciales, como lo demuestra su enfoque en la adquisición y desarrollo de terrenos para vender lotes residenciales unifamiliares terminados a constructores de viviendas. Su segmento inmobiliario genera sustancialmente todos los ingresos de la empresa a través de actividades como la adquisición de terrenos, la instalación de infraestructura y la gestión de la planificación de proyectos relacionados con el desarrollo comunitario y la venta de lotes residenciales. La empresa está expandiendo activamente sus operaciones, ingresando a nuevos mercados y aumentando su número de comunidades, con más del 80% de sus inversiones asignadas al desarrollo de terrenos. Forestar gestiona una posición sustancial de lotes y tiene como objetivo consolidar la cuota de mercado en la fragmentada industria del desarrollo de lotes, solidificando aún más su enfoque en el desarrollo inmobiliario.","[{'name': 'for-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/for-Q225-10-Q.html'}, {'name': 'for-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/for-Q325-10-Q.html'}]",290000402,USD,FOR,SMART,STK,False,REA
real estate,real_estate_development,US62944T1051,NVR INC,3,Impulsa el desarrollo inmobiliario a través de su negocio principal de construcción y venta de viviendas en diversos mercados.,"La participación de NVR en el desarrollo inmobiliario se centra principalmente en la adquisición de lotes terminados de desarrolladores externos; sin embargo, la empresa se dedica a actividades de desarrollo de terrenos en una medida limitada. En ciertas circunstancias estratégicas, NVR participa en acuerdos de empresa conjunta con desarrolladores de terrenos o adquiere directamente terrenos sin desarrollar ya zonificados para su uso previsto. NVR también puede contratar a un desarrollador para que desarrolle el terreno en su nombre. A 31 de marzo de 2025, la empresa poseía terrenos con un valor contable de aproximadamente $70,000 que pretende desarrollar en aproximadamente 2,900 lotes terminados.","[{'name': 'nvr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvr-Q225-10-Q.html'}, {'name': 'nvr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvr-Q125-10-Q.html'}, {'name': 'nvr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvr-Q324-10-Q.html'}, {'name': 'nvr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvr-FY24-10-K.html'}]",755864,USD,NVR,SMART,STK,True,REA
real estate,real_estate_development,US5260571048,LENNAR CORP-A,4,"Principalmente dedicada al desarrollo y construcción de comunidades residenciales, incluyendo casas unifamiliares, casas adosadas y condominios, en diversos mercados.","La participación de Lennar en el desarrollo inmobiliario es evidente a través de sus actividades comerciales principales, incluida la adquisición de terrenos, la construcción y las ventas. La empresa estructura estratégicamente sus adquisiciones de terrenos utilizando métodos de ""justo a tiempo"", aprovechando las relaciones con bancos de terrenos y adquisiciones por fases para minimizar los costos de mantenimiento. Además, las actividades de Lennar se extienden tanto a la construcción de viviendas como a proyectos multifamiliares, con inversiones en entidades no consolidadas que adquieren y desarrollan terrenos. La escisión de Millrose Properties, diseñada como una fuente permanente de capital para la adquisición y el desarrollo de terrenos, subraya aún más el enfoque de Lennar en el desarrollo inmobiliario.","[{'name': 'len-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/len-FY24-10-K.html'}, {'name': 'len-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/len-Q125-10-Q.html'}, {'name': 'len-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/len-Q324-10-Q.html'}]",9091,USD,LEN,SMART,STK,True,REA
real estate,real_estate_development,US44267T1025,HOWARD HUGHES HOLDINGS INC,5,"Lleva a cabo el desarrollo de propiedades inmobiliarias, contribuyendo a la expansión y evolución de los entornos construidos.","El compromiso de Howard Hughes con el tema de Desarrollo Inmobiliario es fundamental para su negocio, como lo demuestran sus Comunidades Planificadas (MPC) y proyectos de desarrollo estratégico, incluida la construcción de condominios y comerciales. El éxito de la empresa está estrechamente ligado a su segmento de negocio de desarrollo inmobiliario, con una importante cartera de condominios que representa 2.700 millones de dólares en ingresos futuros. Como evidencia de este compromiso, la empresa ha lanzado preventas de torres residenciales de lujo y tiene proyectos de construcción en curso, y la demanda de terrenos residenciales por parte de los constructores de viviendas sigue siendo sólida.","[{'name': 'hhh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hhh-Q225-10-Q.html'}, {'name': 'hhh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hhh-Q125-10-Q.html'}, {'name': 'hhh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hhh-FY24-10-K.html'}]",647324601,USD,HHH,SMART,STK,False,REA
real estate,real_estate_development,CNE100001SR9,CHINA VANKE CO LTD-H,6,"Se dedica al desarrollo y venta de propiedades residenciales y comerciales, contribuyendo significativamente al desarrollo urbano y al suministro de viviendas.",,,157951173,HKD,2202,SEHK,STK,False,REA
real estate,real_estate_development,US7458671010,PULTE GROUP INC,7,Se dedica al desarrollo de bienes raíces a través de la construcción y venta de viviendas en diversas comunidades.,"PulteGroup demuestra un compromiso significativo en el desarrollo inmobiliario a través de sus actividades de adquisición y desarrollo de terrenos, que son integrales a sus operaciones de construcción de viviendas. La compañía invierte fuertemente en terrenos, con $1.3 mil millones gastados en el segundo trimestre de 2025 y un anticipo de $5 mil millones para el año, y gestiona una cartera de terrenos sustancial de aproximadamente 250,000 lotes. PulteGroup utiliza estratégicamente opciones de terrenos y gestiona activamente sus posiciones de terrenos, incluyendo renegociación de acuerdos y venta de parcelas a terceros, enfatizando aún más la importancia del desarrollo inmobiliario para su negocio.","[{'name': 'phm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/phm-Q225-10-Q.html'}, {'name': 'phm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/phm-Q125-10-Q.html'}, {'name': 'phm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/phm-Q324-10-Q.html'}, {'name': 'phm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/phm-FY24-10-K.html'}]",11109,USD,PHM,SMART,STK,True,REA
real estate,real_estate_development,US74340W1036,PROLOGIS INC,8,"Se dedica al desarrollo de instalaciones de logística y distribución, ampliando su cartera de bienes raíces industriales para satisfacer las cambiantes demandas del mercado.",,,88819288,USD,PLD,SMART,STK,True,REA
real estate,real_estate_development,JP3893200000,MITSUI FUDOSAN CO LTD,9,"Impulsa el desarrollo de una amplia gama de propiedades inmobiliarias, incluidos proyectos residenciales, comerciales y de regeneración urbana, contribuyendo significativamente a la infraestructura urbana y regional.",,,13906000,JPY,8801,SMART,STK,False,REA
real estate,real_estate_development,US26154D1000,DREAM FINDERS HOMES INC - A,10,"Se enfoca en el desarrollo y construcción de propiedades residenciales, ampliando así las opciones de vivienda y contribuyendo al crecimiento de los mercados inmobiliarios.","El negocio principal de la empresa gira en torno al desarrollo inmobiliario, como lo demuestra su enfoque en el diseño, la construcción y la venta de viviendas en mercados de alto crecimiento. Esto está respaldado por su estrategia de adquisición de lotes con pocos activos, que incluye contratos de opción de lotes terminados y contratos de opción de reserva de terrenos, con inversiones significativas en depósitos de lotes. La empresa también expande sus operaciones a través de adquisiciones estratégicas, como la adquisición de los activos de construcción de viviendas de Green River Builders para expandirse en el mercado de Atlanta, y celebra acuerdos de desarrollo de terrenos con varias entidades.","[{'name': 'dfh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dfh-Q125-10-Q.html'}, {'name': 'dfh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dfh-Q324-10-Q.html'}, {'name': 'dfh-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dfh-Q224-10-Q.html'}]",466860974,USD,DFH,SMART,STK,True,REA
