industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
RE,RE1,PSA,real estate,real_estate_investment_fund,US74460D1090,PUBLIC STORAGE,1,"Opera como un fideicomiso de inversión inmobiliaria líder en autoalmacenamiento, centrándose en la adquisición, desarrollo y gestión de propiedades para generar ingresos para los accionistas.","Public Storage opera como un REIT a efectos del impuesto sobre la renta federal de EE. UU., un estatus que da forma significativamente a sus operaciones financieras, incluidas las obligaciones fiscales y los requisitos de distribución. Como REIT, la empresa se enfoca en instalaciones de autoalmacenamiento, con un modelo de negocio centrado en poseer, administrar y expandir su cartera de propiedades a través de adquisiciones y desarrollo. Esto se demuestra aún más en las discusiones sobre el rendimiento financiero, los fondos de operaciones (FFO) y el ingreso operativo neto (NOI), todos indicativos de las operaciones de REIT, y la intención de la empresa de continuar calificando como REIT.","[{'name': 'psa-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psa-Q225-10-Q.html'}, {'name': 'psa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/psa-FY24-10-K.html'}]",12002,USD,SMART,STK
RE,RE1,UDR,real estate,real_estate_investment_fund,US9026531049,UDR INC,2,"Opera como un Fideicomiso de Inversión Inmobiliaria, centrándose en la propiedad, operación y desarrollo de comunidades de apartamentos.","El negocio principal de UDR gira en torno a ser un Fideicomiso de Inversión en Bienes Raíces (REIT) autoadministrado, que posee, opera, adquiere, renueva, desarrolla, redesarrolla, enajena y administra comunidades de apartamentos multifamiliares. La empresa se identifica consistentemente como un REIT, lo cual es fundamental para su estructura, operaciones e informes financieros, como lo demuestran las discusiones sobre métricas de desempeño financiero como FFO (Fondos de Operaciones) e NOI (Ingresos Operativos Netos). Además, las actividades, los resultados financieros y las perspectivas futuras de UDR se presentan desde la perspectiva de un REIT, con un enfoque en la gestión y el crecimiento de su cartera de comunidades de apartamentos para generar ingresos para los inversores.","[{'name': 'udr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/udr-Q125-10-Q.html'}, {'name': 'udr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/udr-Q324-10-Q.html'}, {'name': 'udr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/udr-Q225-10-Q.html'}, {'name': 'udr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/udr-FY24-10-K.html'}]",43274444,USD,SMART,STK
RE,RE1,AMT,real estate,real_estate_investment_fund,US03027X1000,AMERICAN TOWER CORP,3,"Opera como un fideicomiso de inversión inmobiliaria (REIT), derivando su negocio principal de la propiedad y gestión de infraestructura de comunicaciones multi-inquilino.","La fuerte conexión de la empresa con el tema de los fideicomisos de inversión inmobiliaria (REIT) es evidente, ya que se identifica como uno de los REIT globales más grandes y un propietario, operador y desarrollador líder independiente de bienes raíces de comunicaciones multitenant. Esta autoidentificación como un actor importante en el panorama de los REIT resalta la importancia del tema para el modelo de negocio principal y el enfoque estratégico de la empresa. Además, el énfasis de la empresa en los bienes raíces de comunicaciones, un área especializada dentro del sector de los REIT, subraya su posición única y su dedicación a esta industria.","[{'name': 'amt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amt-Q324-10-Q.html'}, {'name': 'amt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amt-Q225-10-Q.html'}, {'name': 'amt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amt-FY24-10-K.html'}]",99831145,USD,SMART,STK
RE,RE1,AVB,real estate,real_estate_investment_fund,US0534841012,AVALONBAY COMMUNITIES INC,4,"Sirve como un fideicomiso de inversión inmobiliaria centrado en la propiedad, desarrollo y gestión de comunidades residenciales multifamiliares.","AvalonBay Communities se identifica como un fideicomiso de inversión inmobiliaria (REIT), una estructura que dicta su marco operativo y financiero. Como REIT, la empresa se enfoca en desarrollar, reurbanizar, adquirir, poseer y operar comunidades de apartamentos, con métricas clave como el crecimiento del FFO básico siendo central para su desempeño. Las llamadas de ganancias y las discusiones de la empresa con los inversores giran en torno a su desempeño y estrategias como REIT, enfatizando aún más la importancia de esta estructura para su modelo de negocio.","[{'name': 'avb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avb-Q324-10-Q.html'}, {'name': 'avb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avb-Q225-10-Q.html'}, {'name': 'avb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avb-Q125-10-Q.html'}]",5026974,USD,SMART,STK
RE,RE1,EXR,real estate,real_estate_investment_fund,US30225T1025,EXTRA SPACE STORAGE INC,5,"Opera como un fideicomiso de inversión inmobiliaria (REIT) con un negocio principal centrado en la propiedad, adquisición, desarrollo y gestión de instalaciones de autoalmacenamiento.","El fuerte alineamiento de la empresa con el tema de los fideicomisos de inversión inmobiliaria (REIT) es evidente, ya que se identifica explícitamente como un REIT totalmente integrado, autoadministrado y autogestionado formado para poseer, operar, administrar, adquirir, desarrollar y reurbanizar propiedades de autocustodia. Esto está respaldado además por el enfoque de la empresa en los Fondos de Operaciones (FFO) como métrica clave de rendimiento, con un FFO básico de 2 USD por acción, lo que representa un aumento del 2% interanual. Además, las actividades estratégicas de la empresa, como la disolución de empresas conjuntas y la realización de promociones integradas, demuestran su gestión activa y optimización de sus activos inmobiliarios.","[{'name': 'exr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/exr-Q125-10-Q.html'}, {'name': 'exr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/exr-Q324-10-Q.html'}, {'name': 'exr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/exr-Q225-10-Q.html'}]",30351205,USD,SMART,STK
RE,RE1,MAA,real estate,real_estate_investment_fund,US59522J1034,MID-AMERICA APARTMENT COMM,6,"Opera como un fideicomiso de inversión inmobiliaria centrado principalmente en la propiedad, gestión y desarrollo de comunidades de apartamentos para generar ingresos para los accionistas.","La fuerte conexión de MAA con el tema de los fideicomisos de inversión inmobiliaria es evidente, ya que la empresa se identifica explícitamente como un fideicomiso de inversión inmobiliaria (REIT) enfocado en multifamiliares, autoadministrado y autogestionado. Las operaciones y el rendimiento financiero de la empresa, incluidas las discusiones sobre Fondos de Operaciones (FFO), la gestión de carteras, las actividades de desarrollo y las estrategias de inversión, son característicos de un REIT. Este aspecto fundamental de la identidad y el modelo de negocio de MAA demuestra la importancia del tema.","[{'name': 'maa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/maa-Q125-10-Q.html'}, {'name': 'maa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/maa-Q324-10-Q.html'}, {'name': 'maa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/maa-FY24-10-K.html'}, {'name': 'maa-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/maa-Q225-10-Q.html'}]",9317,USD,SMART,STK
RE,RE1,SPG,real estate,real_estate_investment_fund,US8288061091,SIMON PROPERTY GROUP INC,7,"Opera como un fideicomiso de inversión inmobiliaria (REIT) líder centrado en la propiedad, gestión y desarrollo de destinos minoristas de primer nivel, lo que contribuye significativamente a la presencia en el mercado y las oportunidades de inversión del sector.","El negocio de Simon Property Group se centra en su operación como un fideicomiso de inversión inmobiliaria (REIT) autoadministrado y autogestionado. La estructura y las operaciones de la empresa están explícitamente definidas por su estatus como REIT según el Código de Rentas Internas, lo que indica un aspecto fundamental de su modelo de negocio. Como REIT, la empresa administra activos inmobiliarios y se adhiere a regulaciones específicas, como la distribución de una parte significativa de sus ingresos imponibles.","[{'name': 'spg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spg-Q324-10-Q.html'}, {'name': 'spg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/spg-FY24-10-K.html'}]",2009113,USD,SMART,STK
RE,RE1,PLD,real estate,real_estate_investment_fund,US74340W1036,PROLOGIS INC,8,"Funciona como un fideicomiso de inversión inmobiliaria (REIT), especializado en la propiedad, gestión y desarrollo de propiedades inmobiliarias logísticas a nivel mundial.","El fuerte compromiso de Prologis con el tema de los fideicomisos de inversión inmobiliaria (REIT) es evidente en su desempeño operativo y posicionamiento estratégico. La empresa arrendó casi un récord de 58 millones de pies cuadrados e inició aproximadamente $650 millones en nuevos desarrollos, con una parte significativa dedicada a proyectos de construcción a medida con acuerdos de arrendamiento a largo plazo. Además, Prologis enfatiza su resiliencia, su diversificada cartera de alquileres, sus ingresos contractuales y su acceso al capital global, lo que refuerza su papel como socio de confianza para clientes e inversores institucionales.",,88819288,USD,SMART,STK
RE,RE1,SLG,real estate,real_estate_investment_fund,US78440X8873,SL GREEN REALTY CORP,9,"Funciona como un fideicomiso de inversión inmobiliaria, especializado en la propiedad, gestión y desarrollo de propiedades inmobiliarias que generan ingresos dentro del sector.","SL Green Realty Corp. opera como un fideicomiso de inversión inmobiliaria (REIT) autogestionado, una designación que la empresa declara explícitamente en sus presentaciones. Como REIT, SL Green se dedica a la propiedad, gestión, operación, adquisición, desarrollo, reurbanización, reposicionamiento y financiación de propiedades inmobiliarias comerciales, principalmente propiedades de oficinas en el área metropolitana de Nueva York, especialmente Manhattan. Para mantener su estatus de REIT, la empresa debe distribuir al menos el 90% de sus ingresos imponibles de REIT a los accionistas en forma de dividendos.","[{'name': 'slg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slg-Q125-10-Q.html'}, {'name': 'slg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slg-Q225-10-Q.html'}, {'name': 'slg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slg-Q324-10-Q.html'}]",537789289,USD,SMART,STK
RE,RE1,DLR,real estate,real_estate_investment_fund,US2538681030,DIGITAL REALTY TRUST INC.,10,"Opera como un fideicomiso de inversión inmobiliaria, especializándose en la propiedad, adquisición, desarrollo y gestión de centros de datos e infraestructura digital relacionada a nivel mundial.","Digital Realty Trust se identifica como un fideicomiso de inversión inmobiliaria (REIT) a efectos del impuesto sobre la renta federal de EE. UU., con su Sociedad Operativa gestionando las operaciones comerciales y la propiedad de activos. Los objetivos comerciales principales de la empresa incluyen maximizar el crecimiento sostenible a largo plazo de las ganancias y los fondos de las operaciones por acción y unidad. Además, Digital Realty se dirige a propiedades ubicadas estratégicamente con infraestructura física y de conectividad para apoyar a los clientes de centros de datos y de la industria tecnológica, y forma empresas conjuntas, como con Bersama Digital Infrastructure Asia (BDIA), para expandir sus operaciones de centros de datos. Mantener su estatus de REIT requiere que la empresa distribuya el 90% de sus ingresos imponibles anualmente, lo que resalta la importancia de esta estructura para su modelo de negocio.","[{'name': 'dlr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dlr-Q125-10-Q.html'}, {'name': 'dlr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dlr-Q324-10-Q.html'}, {'name': 'dlr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dlr-FY24-10-K.html'}]",31832526,USD,SMART,STK
