symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
FMCC,UR3,real estate,real_estate_market_resilience,US3134003017,FREDDIE MAC,1,"Garantiza la estabilidad y liquidez en el mercado hipotecario secundario, lo que es fundamental para la resiliencia del sector de la vivienda.","La participación de Freddie Mac en el tema de la Resiliencia del Mercado de la Vivienda está profundamente arraigada en su misión principal de proporcionar liquidez, estabilidad y asequibilidad al mercado de la vivienda de EE. UU. Este compromiso se demuestra a través de sus esfuerzos para ayudar a los prestatarios en dificultades a conservar sus hogares o evitar la ejecución hipotecaria, así como a ayudar a los inquilinos a evitar el desalojo. Como GSE autorizado por el Congreso, Freddie Mac desempeña un papel crucial en la estabilización del mercado de la vivienda al comprar préstamos hipotecarios residenciales unifamiliares y multifamiliares originados por prestamistas.","[{'name': 'fmcc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmcc-Q225-10-Q.html'}, {'name': 'fmcc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmcc-Q125-10-Q.html'}]",7341,USD,SMART,STK
FNMA,UR3,real estate,real_estate_market_resilience,US3135861090,FANNIE MAE,2,"Garantiza la liquidez, estabilidad y asequibilidad en el mercado inmobiliario de EE. UU., lo que sustenta directamente su resiliencia frente a las fluctuaciones económicas.","Las operaciones de Fannie Mae están estrechamente ligadas a la estabilidad y el crecimiento del sector de la vivienda, ya que sus resultados financieros se ven directamente influenciados por la salud general y la actividad del mercado inmobiliario. Concedida por el Congreso, Fannie Mae tiene como objetivo proporcionar liquidez y estabilidad al mercado de la vivienda de EE. UU. y promover el acceso al crédito hipotecario. Este compromiso se demuestra aún más a través de la atención de la empresa a las condiciones macroeconómicas, los precios de las viviendas y la actividad de la vivienda, junto con las estrategias de gestión de riesgos y mitigación de pérdidas crediticias, todo lo cual puede afectar sus resultados financieros.","[{'name': 'fnma-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q225-10-Q.html'}, {'name': 'fnma-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fnma-FY24-10-K.html'}]",7278,USD,SMART,STK
HD,UR3,real estate,real_estate_market_resilience,US4370761029,HOME DEPOT INC,3,"Proporciona productos y servicios esenciales para la mejora del hogar, permitiendo a los propietarios y profesionales mantener, reparar y mejorar las propiedades residenciales, apoyando directamente la estabilidad y el valor del mercado de la vivienda.",,,7930,USD,SMART,STK
LOW,UR3,real estate,real_estate_market_resilience,US5486611073,LOWE'S COS INC,4,"Proporciona productos y servicios esenciales para la mejora y el mantenimiento del hogar, beneficiándose directamente de la estabilidad y el crecimiento del mercado inmobiliario y contribuyendo a ellos.","Lowe's se enfrenta a desafíos continuos en el mercado de la vivienda, lo que afecta a su negocio y a la demanda discrecional de artículos de alto valor para el bricolaje. Sin embargo, la compañía identifica impulsores centrales a mediano y largo plazo, como la apreciación del precio de la vivienda, el ingreso personal disponible y un parque de viviendas envejecido, como fortalezas. Se espera que estos factores, junto con las tendencias generacionales, respalden la demanda de mejoras en el hogar a largo plazo, a pesar de las incertidumbres macroeconómicas a corto plazo.","[{'name': 'low-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/low-Q224-10-Q.html'}, {'name': 'low-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/low-Q125-10-Q.html'}]",9199,USD,SMART,STK
DHI,UR3,real estate,real_estate_market_resilience,US23331A1097,DR HORTON INC,5,Contribuye a la estabilidad general y la recuperación del mercado de la vivienda mediante la gestión estratégica de la producción y el inventario de viviendas para satisfacer la demanda cambiante de los consumidores y los cambios económicos.,"El compromiso de D.R. Horton con el tema de la resiliencia del mercado inmobiliario es evidente en su enfoque estratégico para navegar la incertidumbre económica. La empresa mantiene una perspectiva positiva para el mercado inmobiliario a mediano y largo plazo y enfatiza su capacidad para adaptarse a las condiciones cambiantes del mercado a través de un enfoque disciplinado para equilibrar el ritmo frente al precio y la gestión del inventario según la demanda. Esto se ve respaldado además por sus tasas de cancelación consistentemente bajas, lo que indica que los compradores siguen comprometidos con la compra de sus viviendas a pesar de la volatilidad del mercado, y por su sólido balance general, que proporciona flexibilidad financiera.",,268627,USD,SMART,STK
LEN,UR3,real estate,real_estate_market_resilience,US5260571048,LENNAR CORP-A,6,"Desempeña un papel fundamental en la resiliencia del mercado de la vivienda mediante la construcción de nuevas casas y la gestión de la oferta para satisfacer la demanda cambiante, estabilizando y dando forma así al panorama inmobiliario residencial.","Las estrategias de Lennar están estrechamente ligadas a la resiliencia del mercado de la vivienda, como lo demuestran sus ajustes activos a las condiciones de mercado en desaceleración y los desafíos de asequibilidad. La empresa se enfoca en ajustar los costos de construcción para permitir las ventas y fortalecer la cuota de mercado, al tiempo que impulsa la producción para satisfacer la persistente escasez de viviendas. Lennar anticipa mejoras si las tasas hipotecarias disminuyen, lo que fortalecería la asequibilidad y la demanda, y se está posicionando con una estructura de costos más baja y ofertas de productos eficientes para satisfacer la demanda reprimida. Además, Lennar está reduciendo las expectativas de entrega para aliviar la presión sobre las ventas y las entregas para ayudar a establecer un piso en el margen.",,9091,USD,SMART,STK
PHM,UR3,real estate,real_estate_market_resilience,US7458671010,PULTE GROUP INC,7,"Como importante constructor de viviendas, la empresa contribuye directamente a la resiliencia del mercado inmobiliario al desarrollar y construir viviendas en varios segmentos, abordando así la demanda de viviendas y apoyando la estabilidad del mercado.",,,11109,USD,SMART,STK
NVR,UR3,real estate,real_estate_market_resilience,US62944T1051,NVR INC,8,"Como importante constructor de viviendas, sus operaciones en la construcción y venta de viviendas nuevas son fundamentales para la dinámica de oferta y demanda y la estabilidad general del mercado de la vivienda.",,,755864,USD,SMART,STK
WHR,UR3,real estate,real_estate_market_resilience,US9633201069,WHIRLPOOL CORP,9,"Fabrica y suministra electrodomésticos principales, un sector directamente influenciado por los nuevos inicios de viviendas, las ventas de viviendas existentes y las tendencias de renovación, lo que refleja la salud y la resiliencia generales del mercado inmobiliario.",,,13751,USD,SMART,STK
VNA,UR3,real estate,real_estate_market_resilience,DE000A1ML7J1,VONOVIA SE,10,"Gestiona extensas carteras residenciales, influyendo directamente y siendo influenciada por la estabilidad y resiliencia general del mercado de la vivienda.",,,130946869,EUR,SMART,STK
