symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
WM,industrial,recycling_services,US94106L1098,WASTE MANAGEMENT INC,1,"Sirve como un líder destacado en servicios de reciclaje, contribuyendo activamente a la desviación de residuos y la recuperación de materiales valiosos.","El compromiso de WM con los Servicios de Reciclaje es evidente a través de su posición como líder en reciclaje en EE. UU. y Canadá, manejando una variedad de materiales. La empresa está comprometida a expandir los servicios de reciclaje tradicionales, como lo demuestran las inversiones en los segmentos de Procesamiento y Ventas de Reciclaje y los proyectos de crecimiento. El enfoque de WM en la automatización y el desarrollo de plantas de reciclaje de próxima generación resalta su dedicación a mejorar la eficiencia y la sostenibilidad dentro de sus operaciones de reciclaje.","[{'name': 'wm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wm-Q125-10-Q.html'}, {'name': 'wm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wm-Q324-10-Q.html'}, {'name': 'wm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wm-Q225-10-Q.html'}, {'name': 'wm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wm-FY24-10-K.html'}]",13379,USD,SMART,STK,True,REC
RSG,industrial,recycling_services,US7607591002,REPUBLIC SERVICES INC,2,"Desempeña un papel fundamental en la industria de servicios de reciclaje al ofrecer la recolección, procesamiento y comercialización integral de materiales reciclables para impulsar la recuperación de recursos y la sostenibilidad ambiental.","Republic Services demuestra su compromiso con los Servicios de Reciclaje a través de varias iniciativas operativas y estratégicas. La empresa opera una importante red de centros de reciclaje, con recuentos recientes que oscilan entre 75 y 79 en Estados Unidos y Canadá. Estos centros, junto con las inversiones en Polymer Centers y empresas conjuntas como Blue Polymers, contribuyen a los ingresos de la empresa a través del procesamiento de reciclaje y la venta de materias primas. Además, Republic Services está mejorando activamente sus capacidades de reciclaje, como lo demuestra el inicio de la producción comercial en el Indianapolis Polymer Center y la reapertura de un centro de reciclaje en la Costa Oeste, que en conjunto han generado un aumento en los volúmenes y los ingresos.","[{'name': 'rsg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rsg-Q324-10-Q.html'}, {'name': 'rsg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rsg-Q125-10-Q.html'}, {'name': 'rsg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rsg-FY24-10-K.html'}, {'name': 'rsg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rsg-Q225-10-Q.html'}]",6478024,USD,SMART,STK,True,REC
PCT,industrial,recycling_services,US74623V1035,PURECYCLE TECHNOLOGIES INC,3,"Se centra en el desarrollo y la comercialización de una tecnología de purificación para transformar los residuos de polipropileno en resina reciclada de ultra alta pureza, lo que contribuye significativamente al reciclaje sostenible de plásticos.","PureCycle Technologies se dedica al reciclaje de polipropileno, utilizando una tecnología de disolución patentada para convertir residuos en resina reutilizable, comercializada como PureFive. El enfoque de la empresa incluye la construcción de instalaciones de reciclaje a nivel mundial, como las de Tailandia, Bélgica y Georgia, y la operación de instalaciones Feed PreP con capacidades avanzadas de clasificación para procesar diversos tipos de plásticos. El compromiso de PureCycle con el reciclaje se demuestra aún más a través de sus asociaciones, certificaciones como la Certificación de Contenido Reciclado de Green Circle y los esfuerzos para crear circularidad utilizando materiales como alfombras sin usar como materia prima, todo ello con el objetivo de ampliar la capacidad de reciclaje y cumplir los objetivos de sostenibilidad.","[{'name': 'pct-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pct-Q125-10-Q.html'}, {'name': 'pct-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pct-Q225-10-Q.html'}, {'name': 'pct-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pct-FY24-10-K.html'}]",477149077,USD,SMART,STK,False,REC
VIE,industrial,recycling_services,FR0000124141,VEOLIA ENVIRONNEMENT,4,"Proporciona soluciones integrales de gestión de residuos, incluida la recogida, clasificación y procesamiento de diversos materiales para su reutilización y recuperación, contribuyendo significativamente a las iniciativas de economía circular.",,,29612206,EUR,SMART,STK,False,REC
LKQ,industrial,recycling_services,US5018892084,LKQ CORP,5,"Se dedica al reciclaje y la remanufactura de piezas de automóviles, desempeñando un papel crucial en la provisión de soluciones sostenibles y rentables para la reparación y el mantenimiento de vehículos.","El negocio de LKQ está significativamente involucrado en servicios de reciclaje, como lo demuestra su distribución de productos reciclados obtenidos de vehículos recuperados y siniestrados. La empresa enfatiza la sostenibilidad, particularmente dentro de sus operaciones de salvamento en América del Norte y Europa, siendo las operaciones de salvamento fundamentales para su negocio. El segmento de Autoservicio de LKQ demuestra aún más este compromiso al operar instalaciones minoristas que venden productos automotrices reciclados de vehículos al final de su vida útil, y la empresa también genera ingresos por la venta de chatarra y otros metales, incluidos metales preciosos recuperados de piezas recicladas.","[{'name': 'lkq-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lkq-Q125-10-Q.html'}, {'name': 'lkq-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lkq-Q324-10-Q.html'}]",26345312,USD,SMART,STK,True,REC
WCN,industrial,recycling_services,CA94106B1013,WASTE CONNECTIONS INC,6,"Proporciona servicios esenciales de reciclaje como componente central de sus operaciones de gestión de residuos, contribuyendo a la sostenibilidad ambiental a través de la recuperación y el procesamiento de materiales.","La participación de la empresa en Servicios de Reciclaje es evidente a través de sus operaciones de recuperación de recursos. La empresa genera ingresos por la venta de productos básicos reciclados derivados de la oferta de servicios de reciclaje a clientes residenciales, comerciales, industriales y municipales, manejando materiales como compost, cartón, papel, plástico, vidrio y metales. La empresa posee y opera instalaciones de reciclaje y comercializa materiales reciclables recolectados a terceros, con ingresos por reciclaje que alcanzan los 241,8 millones de dólares en 2024.","[{'name': 'wcn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wcn-Q225-10-Q.html'}, {'name': 'wcn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wcn-Q125-10-Q.html'}, {'name': 'wcn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wcn-FY24-10-K.html'}]",235248603,CAD,SMART,STK,False,REC
CLH,industrial,recycling_services,US1844961078,CLEAN HARBORS INC,7,Proporciona servicios integrales de reciclaje cruciales para la gestión sostenible de residuos y la recuperación de recursos en diversas industrias.,"Clean Harbors se identifica como el principal proveedor de servicios ambientales e industriales de América del Norte, enfatizando su compromiso de ofrecer soluciones ecológicas. Un aspecto clave de este compromiso es el papel de la empresa como el mayor re-refinador y reciclador de aceite usado en América del Norte, utilizando un proceso de re-refinación de ciclo cerrado. El segmento de Soluciones de Sostenibilidad Safety-Kleen (SKSS) de la empresa desempeña un papel crucial, impulsado por la demanda de los clientes de productos de aceite reciclado y contribuyendo al crecimiento de los ingresos a través de la recolección de aceite usado. Además, Clean Harbors está expandiendo activamente sus capacidades de reciclaje, explorando oportunidades como el reciclaje de residuos electrónicos y optimizando su red de eliminación y reciclaje para mejorar la eficiencia del procesamiento de residuos.","[{'name': 'clh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/clh-Q225-10-Q.html'}, {'name': 'clh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/clh-FY24-10-K.html'}, {'name': 'clh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/clh-Q125-10-Q.html'}, {'name': 'clh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/clh-Q324-10-Q.html'}]",267700,USD,SMART,STK,True,REC
EMN,industrial,recycling_services,US2774321002,EASTMAN CHEMICAL CO,8,"Desarrolla e implementa tecnologías avanzadas de reciclaje molecular que transforman residuos plásticos complejos en nuevos materiales, contribuyendo a iniciativas de economía circular.","La participación de Eastman en Servicios de Reciclaje es evidente a través de la operación de una de las instalaciones de reciclaje molecular más grandes del mundo y su enfoque en tecnologías de reciclaje molecular. El modelo de crecimiento impulsado por la innovación de la empresa aprovecha plataformas tecnológicas escalables, particularmente en instalaciones de fabricación de reciclaje molecular de plástico a plástico por metanólisis, contribuyendo a una economía circular al proporcionar soluciones al final de su vida útil. La tecnología de metanólisis de Eastman aborda las limitaciones del reciclaje mecánico, especialmente para aplicaciones de envasado de grado alimenticio, demostrando una posición única en el reciclaje químico, aunque el Departamento de Energía de EE. UU. rescindió un premio relacionado con el Proyecto de Descarbonización del Reciclaje de Tereftalato de Polietileno de la empresa.","[{'name': 'emn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/emn-FY24-10-K.html'}, {'name': 'emn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/emn-Q125-10-Q.html'}, {'name': 'emn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/emn-Q225-10-Q.html'}]",6832,USD,SMART,STK,True,REC
STLD,industrial,recycling_services,US8581191009,STEEL DYNAMICS INC,9,"Utiliza chatarra metálica reciclada como insumo principal para sus procesos de producción de acero, contribuyendo significativamente a la economía circular dentro del sector de servicios de reciclaje.","El sólido compromiso de la empresa con los Servicios de Reciclaje es evidente a través de sus extensas operaciones de reciclaje de metales. Como uno de los mayores recicladores de metales en los Estados Unidos, las operaciones OmniSource de la empresa brindan servicios de procesamiento, transporte, comercialización, corretaje y gestión de chatarra ferrosa y no ferrosa en todo Estados Unidos y México. El reciclaje de metales representa una parte notable de las ventas netas consolidadas de la empresa, lo que demuestra la importancia financiera de estas operaciones.","[{'name': 'stld-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stld-Q324-10-Q.html'}, {'name': 'stld-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/stld-FY24-10-K.html'}]",6478095,USD,SMART,STK,True,REC
TREX,industrial,recycling_services,US89531P1057,TREX COMPANY INC,10,"Utiliza película de plástico reciclado y madera recuperada para fabricar productos de terrazas compuestas, contribuyendo significativamente a la reducción de residuos y la reutilización de materiales.","El compromiso de Trex con los Servicios de Reciclaje es evidente en sus procesos de fabricación, donde la empresa recupera fibras de madera y recicla películas de polietileno. Trex se identifica como uno de los mayores recicladores de películas plásticas en América del Norte, utilizando un proceso patentado para incorporar estos materiales reciclados en sus cubiertas. Apoyando aún más su papel en el reciclaje, Trex ha lanzado un directorio nacional de entrega para el reciclaje de bolsas y películas plásticas, conectando a los consumidores con socios de reciclaje locales.","[{'name': 'trex-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trex-Q125-10-Q.html'}, {'name': 'trex-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trex-Q324-10-Q.html'}]",6608603,USD,SMART,STK,True,REC
