symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
RGA,financials,reinsurance,US7593516047,REINSURANCE GROUP OF AMERICA,1,"Funciona como un proveedor global prominente de reaseguro de vida y salud, permitiendo a las compañías de seguros transferir y diversificar eficazmente sus riesgos de pólizas.","Reinsurance Group of America (RGA) es un proveedor mundial líder de reaseguro de vida y soluciones financieras, con una cartera sustancial de reaseguro de vida en vigor. La experiencia de la empresa se extiende al reaseguro tradicional, incluido el reaseguro de vida y salud individual y grupal, discapacidad y enfermedades críticas, así como soluciones financieras que abarcan el reaseguro de longevidad, el reaseguro intensivo en activos y la transferencia de riesgo de pensiones. El enfoque de RGA en la experiencia biométrica, la suscripción y la gestión de riesgos de mortalidad, morbilidad y longevidad es fundamental para sus operaciones, como se destaca en sus llamadas de resultados e iniciativas estratégicas. La participación de la empresa en transacciones de reaseguro significativas, como la transacción Equitable, subraya aún más su dedicación a la industria del reaseguro.","[{'name': 'rga-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rga-Q125-10-Q.html'}, {'name': 'rga-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rga-Q225-10-Q.html'}, {'name': 'rga-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rga-Q324-10-Q.html'}, {'name': 'rga-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rga-FY24-10-K.html'}]",55998789,USD,SMART,STK,True,REI
EG,financials,reinsurance,BMG3223R1088,EVEREST GROUP LTD,2,"Opera como un proveedor global líder de soluciones de reaseguro, desempeñando un papel central en la industria.","Everest se identifica como un líder mundial en suscripción que proporciona soluciones de reaseguro, con un historial de 50 años como socio de reaseguro preferido. Esto está respaldado por el segmento de Reaseguro de la compañía, que suscribe reaseguro de propiedad y daños a nivel mundial y líneas de negocio especializadas. La participación de la compañía en el reaseguro se demuestra aún más mediante discusiones sobre primas totales, crecimiento en líneas de propiedad y ajustes en el libro de daños, con primas de reaseguro en aumento y el negocio de reaseguro generando un beneficio de suscripción sustancial.","[{'name': 'eg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eg-Q324-10-Q.html'}, {'name': 'eg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eg-Q125-10-Q.html'}, {'name': 'eg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eg-Q225-10-Q.html'}, {'name': 'eg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eg-FY24-10-K.html'}]",6477725,USD,SMART,STK,True,REI
RNR,financials,reinsurance,BMG7496G1033,RENAISSANCERE HOLDINGS LTD,3,"Opera como un proveedor global importante de soluciones de reaseguro, facilitando la transferencia de riesgos y la optimización de capital para las compañías de seguros primarias.","El negocio de RenaissanceRe se centra en gran medida en el reaseguro, ya que la compañía se identifica como un proveedor global de reaseguro y seguros, especializado en igualar riesgos deseables con capital eficiente. La estrategia de la compañía se centra predominantemente en la suscripción de reaseguros, aplicando una lente de reaseguro al negocio de seguros. Como uno de los mayores reaseguradores de P&C a nivel mundial, RenaissanceRe tiene como objetivo resolver cualquier problema de riesgo en cualquier clase de negocio para cualquier cliente, proporcionando protección de balance a las compañías de seguros y gestionando carteras de riesgo.","[{'name': 'rnr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rnr-Q225-10-Q.html'}, {'name': 'rnr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rnr-Q125-10-Q.html'}, {'name': 'rnr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rnr-Q324-10-Q.html'}, {'name': 'rnr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rnr-FY24-10-K.html'}]",2008959,USD,SMART,STK,True,REI
ACGL,financials,reinsurance,BMG0450A1053,ARCH CAPITAL GROUP LTD,4,Funciona como un importante suscriptor global y proveedor de cobertura de reaseguro en diversas líneas de negocio.,"Arch Capital participa activamente en el mercado de reaseguros, suscribiendo reaseguros a nivel mundial a través de operaciones en Bermudas, Estados Unidos, Europa, Canadá y Australia. El segmento de reaseguros de la compañía ofrece diversos productos de reaseguros, que incluyen responsabilidad civil, marina y aviación, y catástrofes de propiedad. Este segmento ha demostrado un sólido desempeño, generando ingresos de suscripción significativos y primas netas suscritas, incluso frente a pérdidas sustanciales por catástrofes. La compañía también despliega estratégicamente capacidad adicional en líneas de catástrofes de propiedad, particularmente en Florida, centrándose en áreas donde los márgenes son atractivos y los rendimientos ajustados al riesgo son sólidos.","[{'name': 'acgl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acgl-Q125-10-Q.html'}, {'name': 'acgl-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acgl-Q224-10-Q.html'}, {'name': 'acgl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acgl-Q225-10-Q.html'}, {'name': 'acgl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/acgl-FY24-10-K.html'}]",10763362,USD,SMART,STK,True,REI
BRK B,financials,reinsurance,US0846707026,BERKSHIRE HATHAWAY INC-CL B,5,Proporciona una capacidad y cobertura sustanciales dentro del mercado de reaseguros.,"El compromiso de Berkshire Hathaway con el tema de la Reaseguro es evidente a través de sus operaciones comerciales principales. La empresa emite activamente pólizas de seguro primario y de reaseguro, cubriendo un espectro de riesgos de propiedad, responsabilidad civil, vida y salud. Este compromiso se ve aún más ejemplificado por la presencia del Berkshire Hathaway Reinsurance Group (BHRG), una división clave que ofrece coberturas de exceso de pérdida y cuota de reaseguro a aseguradores y reaseguradores a nivel mundial.","[{'name': 'brk.b-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/brk.b-Q225-10-Q.html'}, {'name': 'brkb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/brkb-Q324-10-Q.html'}, {'name': 'brkb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/brkb-FY24-10-K.html'}]",72063691,USD,SMART,STK,True,REI
APO,financials,reinsurance,US03769M1062,APOLLO GLOBAL MANAGEMENT INC,6,"Proporciona capital significativo e inversión estratégica a la industria de reaseguros, dando forma activamente a su panorama a través de diversas soluciones de gestión de activos y crédito.","El compromiso de Apollo con el tema de Reaseguros es evidente a través de su negocio de servicios de jubilación, gestionado por Athene, que se especializa en la emisión, reaseguro y adquisición de productos de ahorro para la jubilación. Athene se enfoca en proporcionar soluciones de jubilación para individuos e instituciones, con el reaseguro como un componente central de sus servicios. Los ingresos por seguros se reportan netos de los reaseguros cedidos, lo que resalta aún más la actividad de la empresa en esta área.","[{'name': 'apo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/apo-Q225-10-Q.html'}, {'name': 'apo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/apo-FY24-10-K.html'}]",535288388,USD,SMART,STK,True,REI
MMC,financials,reinsurance,US5717481023,MARSH & MCLENNAN COS,7,"Ofrece amplios servicios de corretaje y asesoramiento dentro del mercado global de reaseguros, facilitando la transferencia de riesgos y soluciones de capital estratégico para las aseguradoras.","La participación de Marsh & McLennan Companies en el reaseguro es evidente a través de su segmento de Servicios de Riesgo y Seguros (RIS), que abarca intermediación y servicios de seguros y reaseguros, realizados principalmente a través de Guy Carpenter. Guy Carpenter desarrolla estrategias avanzadas de riesgo, reaseguro y capital, con ingresos que aumentaron a $677 millones para los tres meses finalizados el 30 de junio de 2025. La compañía también discute las condiciones del mercado de reaseguros, la capacidad y las reducciones de tarifas, lo que demuestra su papel activo en el mercado de reaseguros.","[{'name': 'mmc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mmc-Q225-10-Q.html'}, {'name': 'mmc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mmc-Q324-10-Q.html'}, {'name': 'mmc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mmc-Q125-10-Q.html'}, {'name': 'mmc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mmc-FY24-10-K.html'}]",9705,USD,SMART,STK,True,REI
SREN,financials,reinsurance,CH0126881561,SWISS RE AG,8,"Funciona como un reasegurador global líder, que proporciona soluciones esenciales de transferencia de riesgos y gestión de capital a compañías de seguros en todo el mundo.",,,88414907,CHF,SMART,STK,False,REI
AXS,financials,reinsurance,BMG0692U1099,AXIS CAPITAL HOLDINGS LTD,9,"Se especializa en proporcionar soluciones de reaseguro a compañías de seguros primarias, facilitando la transferencia de riesgos y la gestión de capital en diversas líneas de negocio a nivel mundial.","AXIS Capital se identifica como un suscriptor especializado global y proveedor de soluciones de seguros y reaseguros, con operaciones que abarcan múltiples continentes. La empresa organiza sus operaciones de suscripción en torno a AXIS Insurance y AXIS Re, y el segmento de reaseguros contribuye significativamente a los ingresos de la empresa. Esto se demuestra además con la finalización de un acuerdo de reaseguro de transferencia de cartera de pérdidas con Cavello Bay Reinsurance Limited, y la gestión de su cartera de riesgos en línea con su apetito por el riesgo.","[{'name': 'axs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/axs-Q125-10-Q.html'}, {'name': 'axs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/axs-Q225-10-Q.html'}, {'name': 'axs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/axs-FY24-10-K.html'}]",18963197,USD,SMART,STK,False,REI
SPNT,financials,reinsurance,BMG8192H1060,SIRIUSPOINT LTD,10,"Proporciona cobertura esencial de reaseguro y soluciones de transferencia de riesgos, apoyando a las aseguradoras primarias a nivel mundial.","El compromiso de SiriusPoint con el tema de Reaseguro es evidente a través de sus operaciones comerciales principales, ya que la empresa se identifica como un suscriptor global de seguros y reaseguros. El segmento de Reaseguro de la empresa proporciona activamente productos de reaseguro a compañías de seguros y reaseguros, entidades gubernamentales y otros vehículos que asumen riesgos de forma facultativa o por tratado. Además, SiriusPoint participa en el mercado de reaseguros con un enfoque global, suscribiendo principalmente reaseguros por tratado y ofreciendo reaseguros facultativos en algunas líneas de negocio. Este compromiso también se refleja en el rendimiento del segmento de Reaseguro, que ha demostrado crecimiento y ha logrado una sólida relación combinada a pesar de la actividad global de catástrofes.","[{'name': 'spnt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spnt-Q324-10-Q.html'}, {'name': 'spnt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/spnt-FY24-10-K.html'}, {'name': 'spnt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spnt-Q125-10-Q.html'}, {'name': 'spnt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spnt-Q225-10-Q.html'}]",471245525,USD,SMART,STK,True,REI
