type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
real estate,residential_real_estate,US29476L1070,EQUITY RESIDENTIAL,1,"Es un propietario y operador líder de propiedades de apartamentos residenciales, desempeñando un papel central en la industria inmobiliaria residencial.","El enfoque de Equity Residential en el mercado de bienes raíces residenciales es evidente a través de sus operaciones comerciales principales, que incluyen la adquisición, el desarrollo y la gestión de propiedades residenciales. El enfoque estratégico de la empresa se destaca aún más por su cartera de unidades de apartamentos y su compromiso de crear comunidades donde las personas prosperen. Equity Residential se beneficia de las tendencias favorables en el sector de la vivienda de alquiler, incluida la escasez de viviendas de alquiler y los factores demográficos que impulsan una mayor demanda, particularmente para comunidades de mayor calidad en áreas metropolitanas deseables.","[{'name': 'eqr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqr-Q225-10-Q.html'}, {'name': 'eqr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqr-Q324-10-Q.html'}, {'name': 'eqr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eqr-FY24-10-K.html'}]",6917,USD,EQR,SMART,STK,True,RES
real estate,residential_real_estate,US46187W1071,INVITATION HOMES INC,2,"Funciona como un importante propietario y operador de viviendas de alquiler unifamiliares, influyendo directamente en el panorama inmobiliario residencial a través de su extensa cartera.","El negocio de Invitation Homes se centra en el sector inmobiliario residencial, específicamente en viviendas unifamiliares para alquilar, como lo demuestra su propiedad de una cartera sustancial, que incluye 85.905 viviendas de propiedad total y 7.698 viviendas de propiedad conjunta al 30 de junio de 2025. La empresa se enfoca en adquirir, renovar, alquilar, operar y administrar estas propiedades, y los ingresos por alquileres constituyen la mayoría de sus ingresos totales. Invitation Homes enfatiza la provisión de viviendas de alta calidad en vecindarios codiciados, lo que refleja un compromiso estratégico con el mercado inmobiliario residencial.","[{'name': 'invh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/invh-Q324-10-Q.html'}, {'name': 'invh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/invh-Q125-10-Q.html'}, {'name': 'invh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/invh-FY24-10-K.html'}, {'name': 'invh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/invh-Q225-10-Q.html'}]",264405214,USD,INVH,SMART,STK,True,RES
real estate,residential_real_estate,US0534841012,AVALONBAY COMMUNITIES INC,3,"Participa en la adquisición, desarrollo y gestión de comunidades de apartamentos de alta calidad, centrándose principalmente en mercados costeros.","El negocio de AvalonBay se centra en bienes raíces residenciales, específicamente en el desarrollo, redesarrollo, adquisición, propiedad y operación de comunidades de apartamentos multifamiliares. Este enfoque es evidente en sus sustanciales ingresos por operaciones de alquiler de apartamentos, que incluyen estacionamiento y otros ingresos residenciales auxiliares. La cartera de la empresa comprende comunidades tipo jardín, edificios de mediana altura y comunidades de gran altura, lo que demuestra un compromiso de ofrecer diversas opciones de vivienda. El énfasis estratégico de AvalonBay en propiedades residenciales se destaca aún más por su enfoque constante en las tasas de ocupación, los ingresos por alquiler y las condiciones del mercado dentro del sector residencial.","[{'name': 'avb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avb-Q324-10-Q.html'}, {'name': 'avb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avb-Q225-10-Q.html'}, {'name': 'avb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/avb-FY24-10-K.html'}]",5026974,USD,AVB,SMART,STK,True,RES
real estate,residential_real_estate,US3135861090,FANNIE MAE,4,"Proporciona liquidez y estabilidad al mercado de la vivienda de EE. UU. comprando hipotecas residenciales a los prestamistas, facilitando así la propiedad de viviendas nuevas y oportunidades de alquiler.","Las operaciones de Fannie Mae están profundamente entrelazadas con el tema de Bienes Raíces Residenciales, ya que la empresa se identifica como una fuente líder de financiación para hipotecas residenciales en los Estados Unidos, apoyando tanto viviendas unifamiliares como multifamiliares. Esto se logra mediante la adquisición de préstamos unifamiliares de prestamistas y la titulización de esos préstamos en MBS de Fannie Mae. Dado que el negocio principal de la empresa gira en torno a la provisión de financiación para bienes raíces residenciales, con segmentos de negocio dedicados a Viviendas Unifamiliares y Multifamiliares, el tema es central para las operaciones de Fannie Mae.","[{'name': 'fnma-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fnma-FY24-10-K.html'}, {'name': 'fnma-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q125-10-Q.html'}, {'name': 'fnma-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q225-10-Q.html'}]",7278,USD,FNMA,SMART,STK,False,RES
real estate,residential_real_estate,US23331A1097,DR HORTON INC,5,"Impulsa el sector inmobiliario residencial mediante la construcción y venta de una amplia gama de viviendas, satisfaciendo la demanda de vivienda en diversos rangos de precios y ubicaciones geográficas.","El compromiso de D.R. Horton con el tema de Bienes Raíces Residenciales es significativo, como lo demuestran sus operaciones comerciales principales que giran en torno a la construcción de viviendas, el alquiler y el desarrollo de lotes residenciales. Como la empresa de construcción de viviendas más grande de los Estados Unidos, D.R. Horton construye y vende viviendas en numerosos mercados en múltiples estados, con un enfoque principal en viviendas unifamiliares. Las operaciones de construcción de viviendas de la empresa, que incluyen la construcción y venta de viviendas unifamiliares, generan ingresos sustanciales, con una parte significativa derivada de viviendas unifamiliares independientes.","[{'name': 'dhi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q225-10-Q.html'}, {'name': 'dhi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dhi-FY24-10-K.html'}, {'name': 'dhi-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q325-10-Q.html'}, {'name': 'dhi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q125-10-Q.html'}]",268627,USD,DHI,SMART,STK,True,RES
real estate,residential_real_estate,US02665T3068,AMERICAN HOMES 4 RENT- A,6,"Principalmente involucrado en la propiedad, desarrollo y gestión de viviendas unifamiliares de alquiler, influyendo directamente en el panorama inmobiliario residencial.","El negocio principal de la empresa se centra en el sector inmobiliario residencial, específicamente en viviendas unifamiliares, ya que se enfoca en adquirir, desarrollar, renovar, alquilar y gestionar estas propiedades. Con una cartera significativa de más de 61.500 propiedades unifamiliares en propiedad, la empresa se dedica a proporcionar viviendas de alta calidad y bien ubicadas que son priorizadas por las familias estadounidenses. El compromiso de la empresa de abordar el mercado con déficit de oferta a través de su programa de desarrollo interno solidifica aún más su posición en el sector inmobiliario residencial.","[{'name': 'amh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amh-FY24-10-K.html'}, {'name': 'amh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amh-Q324-10-Q.html'}, {'name': 'amh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amh-Q225-10-Q.html'}]",132221970,USD,AMH,SMART,STK,True,RES
real estate,residential_real_estate,US6837121036,OPENDOOR TECHNOLOGIES INC,7,"Opera una plataforma digital que compra y vende directamente propiedades residenciales, agilizando las transacciones en el mercado inmobiliario.","La misión principal de Opendoor se centra en el sector inmobiliario residencial, con el objetivo de reinventar el proceso de compra y venta de viviendas en EE. UU. La empresa ha construido sus operaciones para convertirse en uno de los mayores compradores y vendedores de viviendas, facilitando numerosas transacciones en diversos mercados. Se centran en brindar a los clientes certeza y comodidad en el mercado inmobiliario residencial. Opendoor también está ampliando su enfoque aprovechando su plataforma y relaciones, incluido el trabajo con agentes y la prueba piloto de programas de referencia de clientes.","[{'name': 'open-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/open-Q125-10-Q.html'}, {'name': 'open-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/open-FY24-10-K.html'}, {'name': 'open-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/open-Q225-10-Q.html'}]",460320153,USD,OPEN,SMART,STK,False,RES
real estate,residential_real_estate,US98954M1018,ZILLOW GROUP INC - A,8,"Proporciona una amplia plataforma en línea que facilita la búsqueda, compra, venta y alquiler de propiedades residenciales, ofreciendo datos y herramientas integrales para consumidores y profesionales inmobiliarios.","El enfoque de Zillow en la optimización de las transacciones inmobiliarias residenciales es evidente a través de su superaplicación de vivienda y sus esfuerzos por construir una experiencia de transacción integrada y digitalizada de principio a fin. La empresa atrae a la mayor audiencia en bienes raíces residenciales, con aproximadamente dos tercios de la audiencia inmobiliaria utilizando Zillow. Esto se refleja en su posición número 1 tanto en tráfico de propiedades en venta como de alquiler, con un promedio de 243 millones de usuarios únicos mensuales. La ejecución estratégica de Zillow en el mercado de propiedades en venta ha llevado al crecimiento de los ingresos, con un aumento del 9% interanual en los ingresos de propiedades en venta y un aumento del 6% en los ingresos residenciales.",,184072087,USD,ZG,SMART,STK,False,RES
real estate,residential_real_estate,US5260571048,LENNAR CORP-A,9,"Se centra en la construcción y venta de viviendas residenciales en diversos mercados, contribuyendo directamente a la oferta y el desarrollo del sector inmobiliario residencial.","El enfoque de Lennar en la industria de Bienes Raíces Residenciales es evidente a través de su negocio principal de construcción de viviendas, con todo el documento enfatizando este sector. Los ingresos de la empresa por la venta de viviendas aumentaron a $33.8 mil millones, lo que resalta la importancia de las propiedades residenciales para su desempeño financiero. Además, Lennar se dedica a la adquisición y desarrollo de terrenos y proporciona financiamiento hipotecario y servicios de cierre principalmente para los compradores de sus viviendas, reforzando su profunda participación en el mercado de bienes raíces residenciales.","[{'name': 'len-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/len-Q324-10-Q.html'}, {'name': 'len-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/len-FY24-10-K.html'}]",9091,USD,LEN,SMART,STK,True,RES
real estate,residential_real_estate,US09260D1072,BLACKSTONE INC,10,Es un participante importante en el mercado de bienes raíces residenciales.,"La plataforma inmobiliaria de Blackstone está significativamente involucrada con el sector inmobiliario residencial, ya que la vivienda de alquiler constituye una parte sustancial, aproximadamente el 75%, de la cartera de capital global y casi el 90% de BREIT. Esto indica que la vivienda de alquiler es un componente notable de su estrategia inmobiliaria. El posicionamiento de la empresa dentro de la vivienda de alquiler sugiere su importancia para las inversiones inmobiliarias generales de Blackstone.",,372834689,USD,BX,SMART,STK,True,RES
real estate,residential_real_estate,US8894781033,TOLL BROTHERS INC,11,"Participa activamente en la construcción y venta de viviendas de lujo, desempeñando así un papel importante en la configuración y expansión de los mercados inmobiliarios residenciales.","El enfoque de Toll Brothers en el tema de Bienes Raíces Residenciales es evidente en sus operaciones comerciales principales, que abarcan el diseño, la construcción, la comercialización, la venta y la organización de la financiación de diversas comunidades residenciales de lujo. Esto se ve respaldado además por la presentación constante de informes de la empresa sobre ventas de viviendas, entregas, contratos y cartera pendiente, todo lo cual es fundamental para la industria de bienes raíces residenciales. Por ejemplo, en los tres meses finalizados el 31 de enero de 2025, Toll Brothers firmó 2.307 contratos netos por un valor agregado de 2.310 millones de dólares y reconoció ingresos por 1.860 millones de dólares, la gran mayoría provenientes de la venta de viviendas.","[{'name': 'tol-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tol-Q125-10-Q.html'}, {'name': 'tol-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tol-FY24-10-K.html'}]",12915,USD,TOL,SMART,STK,True,RES
real estate,residential_real_estate,US77311W1018,ROCKET COS INC-CLASS A,12,"Un facilitador central de la actividad inmobiliaria residencial, principalmente a través de sus extensas operaciones de préstamos hipotecarios y servicios relacionados, lo que permite la propiedad de viviendas y las transacciones de propiedades.","El enfoque de Rocket Companies en el sector inmobiliario residencial se evidencia a través de sus significativas actividades de originación de hipotecas, con la originación de $21.6 mil millones en préstamos hipotecarios residenciales. Esto se demuestra aún más por la participación de la compañía en la compra y venta de viviendas a través de la adquisición de Redfin, que proporciona acceso a una gran base de consumidores y relaciones con agentes inmobiliarios. La discusión de la compañía sobre las condiciones del mercado de la vivienda, incluidos los precios de las viviendas, el inventario y la asequibilidad, también destaca su participación en el mercado inmobiliario residencial, al igual que su enfoque en la optimización de la experiencia de propiedad de vivienda.","[{'name': 'rkt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rkt-Q125-10-Q.html'}]",438058842,USD,RKT,SMART,STK,False,RES
real estate,residential_real_estate,DE000A1ML7J1,VONOVIA SE,13,"Se centra en la propiedad, gestión y desarrollo de propiedades residenciales, desempeñando un papel central en la provisión de soluciones de vivienda.",,,130946869,EUR,VNA,SMART,STK,False,RES
