type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
consumer and retail,restaurant_expansion,US9884981013,YUM! BRANDS INC,1,Impulsa una significativa expansión global de restaurantes a través del desarrollo y apertura continuos de nuevas ubicaciones para su diversa cartera de marcas de restaurantes de servicio rápido.,"Yum! Brands está activamente involucrada en la expansión de restaurantes a través de franquicias y la apertura de nuevas ubicaciones, operando más de 61.000 restaurantes en más de 155 países. Esto se destaca por 871 aperturas brutas de unidades en un trimestre y 1.622 año hasta la fecha. El rápido crecimiento de KFC International, con 524 nuevas tiendas en más de 50 países, y los planes de Taco Bell para una rápida expansión de Live Mas Cafe, demuestran aún más este enfoque.","[{'name': 'yum-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/yum-Q324-10-Q.html'}, {'name': 'yum-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/yum-Q225-10-Q.html'}]",3206042,USD,YUM,SMART,STK,True,RES
consumer and retail,restaurant_expansion,US5801351017,MC DONALD'S-CORP,2,"Impulsa el crecimiento y la expansión global del sector de restaurantes de servicio rápido a través de su extensa red de restaurantes franquiciados y operados por la empresa, abriendo continuamente nuevas ubicaciones en diversos mercados.","La expansión de restaurantes es un elemento clave de la estrategia de la empresa, con planes de abrir aproximadamente 2.200 nuevos restaurantes a nivel mundial en 2025, lo que contribuirá a un crecimiento de nuevas unidades de más del 4%. Esta expansión forma parte de una iniciativa más amplia para alcanzar 50.000 restaurantes para finales de 2027, marcando el período de crecimiento más rápido en la historia de la empresa. Se proyecta que los gastos de capital de la empresa para 2025 se situarán entre 3.000 y 3.200 millones de dólares, y la mayor parte se asignará a la expansión de nuevas unidades de restaurantes en los mercados operados de EE. UU. e internacionales.","[{'name': 'mcd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mcd-Q324-10-Q.html'}, {'name': 'mcd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mcd-Q225-10-Q.html'}, {'name': 'mcd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mcd-Q125-10-Q.html'}]",9408,USD,MCD,SMART,STK,True,RES
consumer and retail,restaurant_expansion,US1696561059,CHIPOTLE MEXICAN GRILL INC,3,Persigue activamente el crecimiento expandiendo su huella de restaurantes a través de la apertura de nuevas tiendas y estrategias de penetración de mercado para aumentar su presencia.,"Chipotle está activamente involucrado en la expansión de restaurantes, como lo demuestra la apertura de nuevos restaurantes en América del Norte e internacionalmente, incluidas las Chipotlanes. La compañía abrió 304 restaurantes en 2024 y espera abrir entre 315 y 345 nuevos restaurantes en 2025, con una parte significativa que incluye Chipotlanes. Esta expansión incluye crecimiento internacional en Europa, Medio Oriente, Canadá y México, con el objetivo a largo plazo de alcanzar 7,000 restaurantes en los EE. UU. y Canadá, con planes de aumentar las nuevas aperturas de restaurantes entre un 8% y un 10%.","[{'name': 'cmg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmg-Q225-10-Q.html'}, {'name': 'cmg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmg-Q125-10-Q.html'}, {'name': 'cmg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cmg-FY24-10-K.html'}, {'name': 'cmg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmg-Q324-10-Q.html'}]",37655664,USD,CMG,SMART,STK,True,RES
consumer and retail,restaurant_expansion,US25754A2015,DOMINO'S PIZZA INC,4,Logra un crecimiento sustancial al expandir constantemente su huella de restaurantes a nivel mundial a través de aperturas estratégicas de nuevas tiendas y desarrollo de franquicias.,"Domino's participa activamente en la expansión de restaurantes como estrategia comercial principal. El enfoque de la empresa en 'MÁS ventas, MÁS tiendas y MÁS beneficios' se ve respaldado por su posición como la empresa de pizza más grande del mundo, con más de 21.500 locales en más de 90 mercados. Esto se demuestra aún más por el crecimiento neto global de tiendas, incluidas las aperturas en EE. UU. e internacionales, y los planes de agregar 175 nuevas tiendas netas en 2025, con una sólida cartera y un fuerte apoyo de los franquiciados.","[{'name': 'dpz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dpz-Q225-10-Q.html'}, {'name': 'dpz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dpz-Q125-10-Q.html'}]",29831612,USD,DPZ,SMART,STK,True,RES
consumer and retail,restaurant_expansion,CA76131D1033,RESTAURANT BRANDS INTERN,5,"Impulsa un crecimiento significativo en el sector de la restauración a través del establecimiento y desarrollo continuo de sus múltiples marcas globales, contribuyendo a la expansión de su huella de restaurantes en todo el mundo.","La expansión de restaurantes es central para las operaciones de la empresa, como lo demuestra su posición como una de las compañías de restaurantes de servicio rápido más grandes del mundo, con casi $45 mil millones en ventas anuales a nivel de sistema y más de 32,000 restaurantes en más de 120 países. Para respaldar esta expansión, la empresa planea asignar entre $400 y $450 millones en 2025 para gastos de capital consolidados, que incluyen incentivos para inquilinos e incentivos para franquiciados. Este crecimiento se demuestra además por un crecimiento neto de restaurantes del 3.4%, principalmente a través de franquicias, que representa aproximadamente el 95% de sus restaurantes a nivel de sistema, presentando marcas como Tim Hortons, Burger King, Popeyes y Firehouse Subs.","[{'name': 'qsr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/qsr-FY24-10-K.html'}]",176477354,CAD,QSR,SMART,STK,False,RES
consumer and retail,restaurant_expansion,US8552441094,STARBUCKS CORP,6,"Expande activamente su presencia minorista global a través de aperturas estratégicas de tiendas y penetración de mercado, contribuyendo significativamente al tema de expansión de restaurantes.",,,274105,USD,SBUX,SMART,STK,True,RES
consumer and retail,restaurant_expansion,US95058W1009,WENDY'S CO/THE,7,"Busca activamente el crecimiento a través del desarrollo y la apertura de nuevas sucursales de restaurantes, expandiendo la presencia de su marca y su alcance en el mercado tanto a nivel nacional como internacional.","Wendy's demuestra un compromiso con la expansión de restaurantes a través de diversas iniciativas estratégicas. El marco estratégico de la empresa incluye la expansión de su huella global y el impulso del crecimiento de unidades a nivel mundial, respaldado por programas de incentivos para franquiciados y acuerdos de desarrollo. Esto se evidencia además por la adición de 68 nuevos restaurantes netos en el primer trimestre de 2025 y un aumento en todo el sistema de 94 nuevos restaurantes netos en los primeros seis meses de 2025. Wendy's se centra en acelerar el desarrollo de unidades a nivel mundial, con planes de un crecimiento neto de unidades del 2% al 3% en 2025, lo que representa la tasa de crecimiento neto de unidades más alta en más de 15 años, con nuevas construcciones en marcha y compromisos de los franquiciados para añadir restaurantes adicionales.","[{'name': 'wen-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wen-Q125-10-Q.html'}, {'name': 'wen-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wen-Q324-10-Q.html'}, {'name': 'wen-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wen-FY24-10-K.html'}, {'name': 'wen-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wen-Q225-10-Q.html'}]",90655688,USD,WEN,SMART,STK,True,RES
consumer and retail,restaurant_expansion,US8718291078,SYSCO CORP,8,Facilita el crecimiento del sector de restaurantes al entregar una amplia gama de productos alimenticios y suministros operativos.,,,12581,USD,SYY,SMART,STK,True,RES
consumer and retail,restaurant_expansion,US8826811098,TEXAS ROADHOUSE INC,9,Contribuye al crecimiento del sector de restaurantes mediante la apertura constante de nuevas sucursales y la expansión de la presencia de su marca.,"Texas Roadhouse está activamente involucrada en la expansión de restaurantes, como lo demuestran sus planes de abrir aproximadamente 30 restaurantes de propiedad de la empresa este año y su reciente apertura del restaurante número 800 en todo el sistema. La empresa también se enfoca en expandir su marca Bubba's 33, con el objetivo de alcanzar 200 ubicaciones, y Jaggers, que podría ver varias ubicaciones nuevas de la empresa y franquicias. Esta expansión está respaldada además por la estrategia de la empresa de evaluar oportunidades en mercados existentes y nuevos, tanto a nivel nacional como internacional, así como su búsqueda de adquirir ubicaciones de franquicias nacionales.","[{'name': 'txrh-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/txrh-Q224-10-Q.html'}, {'name': 'txrh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/txrh-Q125-10-Q.html'}, {'name': 'txrh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/txrh-Q324-10-Q.html'}, {'name': 'txrh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/txrh-FY24-10-K.html'}]",31379441,USD,TXRH,SMART,STK,True,RES
consumer and retail,restaurant_expansion,US98850P1093,YUM CHINA HOLDINGS INC,10,"Se enfoca en expandir su presencia en restaurantes a través de la apertura de nuevas tiendas y estrategias de penetración de mercado, contribuyendo al crecimiento de la industria restaurantera.","Yum China está fuertemente comprometida con la expansión de restaurantes, impulsada por un enfoque estratégico en el aumento de su huella geográfica dentro de China, tanto en ciudades existentes como nuevas. Esto se demuestra con la apertura de 336 nuevas tiendas netas en un solo trimestre, con KFC operando más de 12.000 tiendas en más de 2.400 ciudades y Pizza Hut con más de 3.800 tiendas en 900 ciudades, y ambas marcas expandiéndose a cientos de nuevas ciudades. La empresa confía en alcanzar su objetivo de abrir entre 1.600 y 1.800 nuevas tiendas netas en 2025, respaldada por modelos innovadores como las cafeterías K-Coffee y las tiendas Pizza Hut WOW para penetrar en ciudades de nivel inferior.",,251376406,USD,YUMC,SMART,STK,False,RES
