type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
consumer and retail,retail_alliances,US0231351067,AMAZON.COM INC,1,Facilita amplias asociaciones minoristas al proporcionar una plataforma de comercio electrónico integral que permite a una vasta red de vendedores y marcas de terceros llegar a una base de clientes global.,,3691937,USD,AMZN,SMART,STK,True,,CR_RE4
consumer and retail,retail_alliances,US9311421039,WALMART INC,2,Establece y gestiona alianzas minoristas.,,13824,USD,WMT,SMART,STK,True,,CR_RE4
consumer and retail,retail_alliances,KYG017191142,ALIBABA GROUP HOLDING LTD,3,"Facilita un vasto ecosistema de asociaciones minoristas en línea y fuera de línea a través de sus plataformas de comercio electrónico, red logística y soluciones de pago digital, lo que permite a los comerciantes llegar a una amplia base de clientes.",,391638829,HKD,9988,SEHK,STK,False,,CR_RE4
consumer and retail,retail_alliances,US87612E1064,TARGET CORP,4,"Forma extensas alianzas estratégicas y colaboraciones con diversas marcas y empresas para enriquecer su oferta de productos, ampliar la disponibilidad de servicios y ampliar su atractivo para el cliente.",,6437,USD,TGT,SMART,STK,True,,CR_RE4
consumer and retail,retail_alliances,US7134481081,PEPSICO INC,5,"Mantiene asociaciones minoristas críticas que facilitan la amplia distribución, comercialización y promoción de su extensa gama de productos de alimentos y bebidas a consumidores de todo el mundo.",,11017,USD,PEP,SMART,STK,True,,CR_RE4
consumer and retail,retail_alliances,US57636Q1040,MASTERCARD INC - A,6,"Impulsa el comercio mediante el establecimiento de amplias asociaciones con minoristas de todo el mundo, lo que permite la aceptación de pagos fluida y segura y amplía las capacidades de transacciones digitales en diversos entornos minoristas.",,38685693,USD,MA,SMART,STK,True,,CR_RE4
consumer and retail,retail_alliances,US6541061031,NIKE INC -CL B,7,"Aprovecha extensas asociaciones minoristas para garantizar una distribución global generalizada y presencia en el mercado de su calzado, indumentaria y equipamiento deportivo.",,10291,USD,NKE,SMART,STK,True,,CR_RE4
consumer and retail,retail_alliances,US7427181091,PROCTER & GAMBLE CO/THE,8,Aprovecha colaboraciones estratégicas con una diversa red global de minoristas para garantizar una distribución generalizada y una ubicación destacada de su extensa cartera de productos de consumo.,,11054,USD,PG,SMART,STK,True,,CR_RE4
consumer and retail,retail_alliances,US5653941030,MAPLEBEAR INC,9,Aprovecha amplias colaboraciones con una red diversa de minoristas para facilitar servicios de entrega de comestibles y mercancías en línea.,"El modelo de negocio de Instacart está significativamente entrelazado con las asociaciones minoristas, como lo demuestran sus colaboraciones para navegar la transformación digital de los negocios minoristas. Instacart ayuda a los minoristas a llegar a los clientes a través del Instacart Marketplace y proporciona la Plataforma Empresarial para potenciar las tiendas en línea de los minoristas. La empresa está profundizando activamente estas asociaciones lanzando servicios de compra personalizados, cuentas familiares, integraciones de fidelización y folletos digitales, al mismo tiempo que incorpora nuevos socios de tiendas y expande servicios. Instacart enfatiza la profundización de las integraciones para desbloquear más selección y servicios con los minoristas, destacando la importancia estratégica de estas relaciones.",655310909,USD,CART,SMART,STK,True,"[{'name': 'cart-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cart-Q324-10-Q.html'}, {'name': 'cart-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cart-FY24-10-K.html'}]",CR_RE4
consumer and retail,retail_alliances,US4370761029,HOME DEPOT INC,10,Establece amplias alianzas con una red diversa de proveedores y prestadores de servicios para mejorar las ofertas de productos y las soluciones de servicio integrales para los clientes.,,7930,USD,HD,SMART,STK,True,,CR_RE4
