symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
AMZN,CR,RE1,consumer and retail,retail_giant,US0231351067,AMAZON.COM INC,1,"Opera como líder mundial en comercio minorista, dominando tanto el comercio electrónico como, cada vez más, los sectores minoristas físicos tradicionales, estableciendo así estándares en la industria e influyendo en el comportamiento del consumidor a nivel mundial.","La posición de Amazon como gigante minorista está respaldada por sus sustanciales ingresos, su enfoque en la experiencia del cliente y su amplia selección de productos. La empresa informó un crecimiento significativo de los ingresos y enfatiza la provisión de valor, precios bajos y entrega rápida. La capacidad de Amazon para navegar por condiciones desafiantes se deriva de su extensa selección, sus asociaciones con numerosos vendedores independientes y la confianza que ha cultivado con los clientes, lo que le permite emerger de períodos inciertos con una mayor cuota de mercado. Además, la resiliencia de Amazon a los aranceles, debido a su diversa fuente de suministro y su modelo de mercado, refuerza su posición prominente en el panorama minorista.",3691937,USD,SMART,STK,
WMT,CR,RE1,consumer and retail,retail_giant,US9311421039,WALMART INC,2,"Opera como una de las corporaciones minoristas más grandes del mundo, influyendo en los mercados de consumo globales a través de su extensa red de tiendas y plataformas de comercio electrónico.","La posición de Walmart como actor importante en la industria minorista es evidente a través de su escala, diversos formatos minoristas y competencia dentro del mercado omnicanal. El desempeño financiero de la empresa en segmentos como Walmart U.S., Walmart International y Sam's Club, junto con sus extensas operaciones e iniciativas estratégicas, solidifica su posición como minorista líder. Esto se ve reforzado aún más por el enfoque del documento en los resultados de Walmart y el reconocimiento implícito de su amplia influencia.",13824,USD,SMART,STK,"[{'name': 'wmt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmt-Q225-10-Q.html'}]"
MC,CR,RE1,consumer and retail,retail_giant,FR0000121014,LVMH MOET HENNESSY LOUIS VUI,3,"Funciona como un conglomerado dominante de venta minorista de lujo a nivel mundial, gestionando una extensa cartera de marcas prestigiosas en múltiples sectores con una presencia mundial significativa.",,29612150,EUR,SMART,STK,
HD,CR,RE1,consumer and retail,retail_giant,US4370761029,HOME DEPOT INC,4,"Opera como un minorista líder en mejoras para el hogar con una vasta huella de tiendas y una influencia significativa en el mercado, dando forma a las tendencias y experiencias del consumidor dentro del panorama minorista global.","La posición de la empresa como un gigante minorista está respaldada por su extensa red de tiendas, que incluye 2,347 tiendas, y cifras de ventas sustanciales, con $40.2 mil millones en ventas netas reportadas en el tercer trimestre del año fiscal 2024 y $159.5 mil millones en el año fiscal 2024. Estas cifras, junto con ganancias de $3.6 mil millones, o $3.67 por acción diluida, para el tercer trimestre del año fiscal 2024, resaltan la presencia e influencia significativas de la empresa en la industria minorista. La empresa continúa expandiendo su huella, abriendo nuevas tiendas en EE. UU. y México, solidificando aún más su estatus como un actor importante en el sector minorista.",7930,USD,SMART,STK,"[{'name': 'hd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hd-Q224-10-Q.html'}, {'name': 'hd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hd-Q324-10-Q.html'}, {'name': 'hd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hd-FY24-10-K.html'}]"
9988,CR,RE1,consumer and retail,retail_giant,KYG017191142,ALIBABA GROUP HOLDING LTD,5,"Opera como una fuerza dominante en el sector minorista global, impulsando la innovación en el comercio electrónico y expandiendo su presencia minorista física en varios mercados.",,391638829,HKD,SEHK,STK,
TGT,CR,RE1,consumer and retail,retail_giant,US87612E1064,TARGET CORP,6,"Mantiene una presencia significativa en el sector minorista, caracterizada por una amplia huella de tiendas y una oferta de productos diversa que contribuye a la escala y competitividad de la industria.","La posición de Target como gigante minorista es evidente a través de sus extensas operaciones, estrategias y desempeño financiero detallados en los documentos proporcionados. Con casi 2.000 tiendas en los 50 estados y una cartera de marcas propias de 31.000 millones de dólares, Target es un líder principal en el comercio minorista. Los ingresos sustanciales de la empresa, como los 25.700 millones de dólares reportados, y sus asociaciones estratégicas con marcas importantes como Apple, Starbucks y Levi's, solidifican aún más su significativa presencia e influencia en la industria minorista. Las discusiones sobre el negocio multicanal de Target, su abastecimiento global y su equipo de diseño también refuerzan su estatus como minorista líder.",6437,USD,SMART,STK,"[{'name': 'tgt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tgt-Q324-10-Q.html'}, {'name': 'tgt-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tgt-Q224-10-Q.html'}]"
COST,CR,RE1,consumer and retail,retail_giant,US22160K1051,COSTCO WHOLESALE CORP,7,"Opera como un club de almacén líder basado en membresía, contribuyendo significativamente al panorama minorista global a través de su extensa red y modelo de ventas de alto volumen.","La posición de la empresa como un gigante minorista se ve respaldada por sus importantes ventas netas, que alcanzaron los $249,625, y la expansión de su infraestructura con la apertura de 30 nuevos almacenes. Este crecimiento se refleja además en un aumento del 5% en las ventas comparables, impulsado por el rendimiento de los almacenes nuevos y existentes. La escala de la empresa, sus operaciones globales y su énfasis en aumentar las ventas y adaptarse a la competencia solidifican su posición como un actor importante en el panorama minorista.",272997,USD,SMART,STK,"[{'name': 'cost-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cost-FY24-10-K.html'}]"
ITX,CR,RE1,consumer and retail,retail_giant,ES0148396007,INDUSTRIA DE DISENO TEXTIL,8,"Opera como un minorista de moda global dominante con una extensa red de marcas y tiendas, influyendo significativamente en el panorama minorista mundial.",,162084958,EUR,SMART,STK,
LOW,CR,RE1,consumer and retail,retail_giant,US5486611073,LOWE'S COS INC,9,"Mantiene una vasta red de tiendas y una amplia oferta de productos en el sector de la mejora del hogar, consolidando su posición como un importante gigante minorista.",,9199,USD,SMART,STK,
9618,CR,RE1,consumer and retail,retail_giant,KYG8208B1014,JD.COM INC-CLASS A,10,"Opera como un importante minorista en línea, ofreciendo una gran variedad de productos y servicios en diversas categorías, consolidando su posición como una fuerza dominante en los sectores de comercio electrónico y minorista.",,426228059,HKD,SEHK,STK,
