type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
real estate,retail_reit,US8288061091,SIMON PROPERTY GROUP INC,1,"Funciona como un fideicomiso de inversión inmobiliaria minorista preeminente, poseyendo y administrando una vasta cartera de centros comerciales, outlets premium y otras propiedades minoristas, dando forma así significativamente al panorama de los REIT minoristas.","Simon Property Group opera como un fideicomiso de inversión inmobiliaria autoadministrado y autogestionado con un enfoque en bienes raíces minoristas de alta calidad, incluidos centros comerciales, Premium Outlets y The Mills. La empresa posee o tiene participaciones en numerosas propiedades que generan ingresos, que consisten principalmente en centros comerciales y Premium Outlets, tanto a nivel nacional como internacional. Simon Property Group genera la mayor parte de sus ingresos de arrendamiento de inquilinos minoristas, de restauración, de entretenimiento y de otro tipo, y mejora su plataforma de bienes raíces minoristas a través del desarrollo, la reurbanización y las adquisiciones.","[{'name': 'spg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spg-Q125-10-Q.html'}, {'name': 'spg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/spg-FY24-10-K.html'}, {'name': 'spg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spg-Q324-10-Q.html'}]",2009113,USD,SPG,SMART,STK,True
real estate,retail_reit,US5543821012,MACERICH CO/THE,2,"Se enfoca en poseer, administrar y desarrollar propiedades minoristas, principalmente centros comerciales de alta calidad, que son centrales para la industria de REIT minoristas.","El negocio de Macerich se centra en el tema de REIT minorista, como lo demuestra su operación como un fideicomiso de inversión inmobiliaria autoadministrado y autogestionado. La declaración de misión de la empresa enfatiza la propiedad y operación de centros minoristas prósperos, lo que está directamente ligado a la creación de valor a largo plazo para los accionistas. El enfoque de Macerich está en mejorar el rendimiento operativo mediante la mejora de la gestión de activos, el arrendamiento y la gestión de propiedades, con una estrategia clave para maximizar los ingresos de los espacios vacíos y submercados.","[{'name': 'mac-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mac-Q324-10-Q.html'}, {'name': 'mac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mac-Q225-10-Q.html'}, {'name': 'mac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mac-FY24-10-K.html'}]",9322,USD,MAC,SMART,STK,True
real estate,retail_reit,US7588491032,REGENCY CENTERS CORP,3,"Se especializa en la propiedad, operación y desarrollo de centros comerciales anclados en supermercados, un segmento fundamental de la industria de fideicomisos de inversión inmobiliaria minorista.","Regency Centers opera como un REIT con un enfoque dedicado a las propiedades minoristas, en particular centros comerciales de barrio y comunitarios, así como centros anclados por supermercados ubicados en áreas suburbanas. La empresa genera ingresos del alquiler de espacios a minoristas dentro de estas propiedades. Regency Centers enfatiza su posición como un propietario, operador y desarrollador preeminente a nivel nacional de estos centros comerciales, destacando su compromiso con el sector de REIT minoristas. Las métricas de rendimiento financiero de la empresa, como las tasas de ocupación, los márgenes de arrendamiento y los inquilinos ancla, están estrechamente ligadas al mercado inmobiliario minorista.","[{'name': 'reg-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/reg-Q224-10-Q.html'}, {'name': 'reg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/reg-Q125-10-Q.html'}]",11574,USD,REG,SMART,STK,True
real estate,retail_reit,US9290421091,VORNADO REALTY TRUST,4,Opera como un fideicomiso de inversión inmobiliaria centrado principalmente en la propiedad y gestión de propiedades minoristas.,"Vornado demuestra su participación en el tema de REIT minoristas a través de sus actividades de arrendamiento y ventas, así como planes de reurbanización para espacios minoristas. La empresa posee espacios minoristas, incluidos los de la calle 34, y participa activamente en la reurbanización y modernización de estas ofertas minoristas para atraer inquilinos y mejorar los ingresos, especialmente dentro del Distrito PENN. La participación de Vornado incluye la venta del condominio minorista UNIQLO en 666 Fifth Avenue, el arrendamiento de espacios minoristas dentro de sus propiedades y la gestión de vacantes minoristas.","[{'name': 'vno-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vno-Q324-10-Q.html'}, {'name': 'vno-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vno-Q125-10-Q.html'}, {'name': 'vno-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vno-FY24-10-K.html'}]",13535,USD,VNO,SMART,STK,True
real estate,retail_reit,US3137451015,FEDERAL REALTY INVS TRUST,5,"Participa en la adquisición, desarrollo y gestión de propiedades inmobiliarias minoristas, formando una parte central del sector de REIT minoristas.","Federal Realty Investment Trust está fundamentalmente vinculado a la industria de REIT minoristas, ya que opera como un fideicomiso de inversión inmobiliaria de capital especializado en propiedades minoristas. El negocio principal de la empresa implica la propiedad, gestión y reurbanización de estas propiedades, con una cartera que incluye centros comerciales comunitarios y de barrio. Según informes recientes, Federal Realty poseía o tenía una participación mayoritaria en 102 proyectos inmobiliarios predominantemente minoristas, que abarcan millones de pies cuadrados comerciales. La empresa se centra en bienes raíces minoristas, generando ingresos del alquiler de espacios e invirtiendo estratégicamente en ubicaciones con alta demanda.","[{'name': 'frt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/frt-Q324-10-Q.html'}, {'name': 'frt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/frt-FY24-10-K.html'}, {'name': 'frt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/frt-Q225-10-Q.html'}]",535271300,EUR,QM1,VALUE,STK,True
real estate,retail_reit,FR0000121964,KLEPIERRE,6,"Opera como un importante propietario y gestor de propiedades minoristas, impulsando el valor y el desarrollo dentro del sector inmobiliario comercial centrado en destinos de compras.",,,1254551,EUR,LI,SMART,STK,False
real estate,retail_reit,US49446R1095,KIMCO REALTY CORP,7,Funciona como un fideicomiso de inversión inmobiliaria especializado en la propiedad y gestión de propiedades minoristas.,"La conexión de Kimco Realty Corporation con el tema de la industria de REIT minoristas es fuerte, ya que la empresa se identifica como el principal propietario y operador de centros comerciales abiertos y anclados en supermercados y propiedades de uso mixto en los Estados Unidos. Como fideicomiso de inversión inmobiliaria (REIT) autoadministrado con más de 60 años de experiencia, Kimco concentra su cartera en los suburbios de primer anillo de los principales mercados metropolitanos, enfatizando bienes y servicios esenciales basados en la necesidad. La operación de Kimco como REIT, con sus activos y operaciones realizadas principalmente a través de Kimco OP, solidifica aún más su enfoque en el sector de REIT minoristas.","[{'name': 'kim-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kim-Q324-10-Q.html'}, {'name': 'kim-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kim-Q125-10-Q.html'}]",8845,USD,KIM,SMART,STK,True
real estate,retail_reit,US0147521092,ALEXANDER'S INC,8,"Opera como un fideicomiso de inversión inmobiliaria enfocado en adquirir, desarrollar y administrar propiedades minoristas, principalmente centros comerciales y otros espacios comerciales arrendados a inquilinos minoristas.","Alexander's, Inc. está significativamente expuesta al tema de REIT minoristas, ya que la empresa opera como un fideicomiso de inversión inmobiliaria dedicado al arrendamiento, gestión, desarrollo y redesarrollo de sus propiedades, incluidos los espacios comerciales. La empresa obtiene ingresos de inquilinos minoristas como Home Depot, Burlington y Marshalls, con actividades que incluyen la gestión de arrendamientos y la exploración de oportunidades de desarrollo para sus propiedades minoristas. Además, la empresa gestiona activamente sus inversiones minoristas a través de actividades de venta y financiación, como el préstamo hipotecario sobre el condominio minorista en 731 Lexington Avenue.","[{'name': 'alx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alx-Q225-10-Q.html'}, {'name': 'alx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/alx-FY24-10-K.html'}]",4382,USD,ALX,SMART,STK,False
real estate,retail_reit,US7561091049,REALTY INCOME CORP,9,"Contribuye al tema de los REIT minoristas al poseer y administrar una gran cartera de propiedades minoristas, generando ingresos consistentes a través de arrendamientos a largo plazo y apoyando la infraestructura operativa para numerosos negocios minoristas.","El compromiso de Realty Income con el tema de REIT minorista es evidente a través de su modelo de negocio principal de invertir y arrendar propiedades minoristas, con una parte significativa de su cartera dedicada a este sector, incluido el 65% en minoristas de EE. UU. La compañía se dirige estratégicamente a parques minoristas, particularmente en el Reino Unido e Irlanda, donde es el mayor propietario de parques minoristas en el Reino Unido. El enfoque de Realty Income se extiende a segmentos minoristas defensivos como supermercados y tiendas de conveniencia, con una cartera que comprende más de 15,600 propiedades y casi 1,600 clientes.",,10672,USD,O,SMART,STK,True
real estate,retail_reit,US0144911049,ALEXANDER & BALDWIN INC,10,"Gestiona y desarrolla una cartera de propiedades minoristas, proporcionando infraestructura esencial para diversas empresas minoristas.","El compromiso de la empresa con el tema de REIT minorista es evidente a través de su segmento de Bienes Raíces Comerciales, que incluye propiedades mejoradas en espacios minoristas e industriales, así como arrendamientos de terrenos urbanos. El enfoque de la empresa dentro de las propiedades minoristas mejoradas se centra específicamente en centros comerciales de barrio anclados por supermercados que satisfacen las necesidades diarias de las comunidades de Hawái. Sin embargo, la mención de Tom Lewis, un legendario CEO de REIT, sugiere una conexión con el sector REIT.","[{'name': 'alex-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/alex-FY24-10-K.html'}, {'name': 'alex-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alex-Q324-10-Q.html'}]",108670127,USD,ALEX,SMART,STK,True
