type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
telecommunications,satellite_technology,US6668071029,NORTHROP GRUMMAN CORP,1,"Desarrolla, fabrica e integra sistemas y naves espaciales avanzados para diversas misiones, incluida la seguridad nacional, la exploración científica y las comunicaciones.","El compromiso de Northrop Grumman con la tecnología satelital es evidente a través de su autoidentificación como proveedor líder de sistemas espaciales, que ofrece soluciones de misión de extremo a extremo para clientes de seguridad nacional, gobierno civil, comerciales e internacionales. Esto se ve respaldado además por la participación de la empresa en el diseño, desarrollo, integración, producción y operación de sistemas espaciales y satelitales, incluidos satélites y sistemas de naves espaciales, subsistemas, sensores y cargas útiles. Además, la empresa destaca que su tecnología está integrada en una gran mayoría de los satélites espaciales de seguridad nacional de EE. UU., lo que demuestra su papel fundamental en este dominio, y ha experimentado un aumento de las ventas debido a programas satelitales.","[{'name': 'noc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q324-10-Q.html'}, {'name': 'noc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q125-10-Q.html'}, {'name': 'noc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/noc-FY24-10-K.html'}, {'name': 'noc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q225-10-Q.html'}]",10376,USD,NOC,SMART,STK,True,TC_SAT
telecommunications,satellite_technology,US5398301094,LOCKHEED MARTIN CORP,2,"Desarrolla y fabrica satélites avanzados y sistemas terrestres para misiones críticas de seguridad nacional, civiles y comerciales, contribuyendo significativamente a las capacidades globales de comunicación, navegación y observación de la Tierra.","La participación de Lockheed Martin en la tecnología de satélites es evidente a través de varias iniciativas estratégicas. La adquisición de Terran Orbital, una empresa especializada en el diseño, producción y operaciones de satélites, demuestra un compromiso para ampliar sus capacidades en esta área. Esto se ve respaldado además por las modificaciones del contrato de Lockheed Martin Space para la próxima generación de disuasión estadounidense en el mar y un programa clasificado centrado en capacidades avanzadas y tecnologías de vanguardia. Además, la integración de satélites existentes y nuevos en su estrategia de seguridad del siglo XXI, junto con el desarrollo del satélite de demostración tecnológica LM 400, subraya la dedicación de la empresa a avanzar en la tecnología de satélites para aplicaciones militares, comerciales y civiles.","[{'name': 'lmt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q324-10-Q.html'}, {'name': 'lmt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lmt-FY24-10-K.html'}, {'name': 'lmt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q225-10-Q.html'}]",611191,USD,LMT,SMART,STK,True,TC_SAT
telecommunications,satellite_technology,US46269C1027,IRIDIUM COMMUNICATIONS INC,3,"Opera una constelación global de satélites para proporcionar servicios críticos de comunicaciones de voz y datos, sustentando diversas aplicaciones en diferentes sectores.","El compromiso de la empresa con la tecnología satelital es evidente a través de su negocio principal de prestación de servicios de comunicaciones de voz y datos móviles a través de una constelación de satélites en órbita. Como único proveedor comercial que ofrece una cobertura verdaderamente global, la empresa utiliza una arquitectura de malla interconectada única con enlaces cruzados de radiofrecuencia para enrutar el tráfico a través de su constelación de satélites. Este compromiso se demuestra además por la operación de una red de satélites en órbita terrestre baja, banda L, que consta de 66 satélites operativos y repuestos en órbita, así como por inversiones continuas en software satelital e infraestructura terrestre basada en la nube para implementar servicios directos al dispositivo y admitir futuras arquitecturas 5G New Radio y 6G.","[{'name': 'irdm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/irdm-Q125-10-Q.html'}, {'name': 'irdm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/irdm-FY24-10-K.html'}, {'name': 'irdm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/irdm-Q225-10-Q.html'}, {'name': 'irdm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/irdm-Q324-10-Q.html'}]",69195736,USD,IRDM,SMART,STK,True,TC_SAT
telecommunications,satellite_technology,US92552V1008,VIASAT INC,4,"Desarrolla y opera sistemas y servicios avanzados de comunicación por satélite, proporcionando conectividad de alta velocidad y soluciones de redes seguras a nivel mundial para diversos mercados.","La tecnología satelital es fundamental para las operaciones de Viasat, como lo demuestra su diseño, desarrollo y producción de soluciones de sistemas espaciales para la órbita geoestacionaria (GEO), la órbita terrestre media (MEO) y la órbita terrestre baja (LEO). La plataforma multibanda de extremo a extremo de la empresa, compuesta por satélites, infraestructura terrestre y terminales de usuario, les permite ofrecer una amplia gama de soluciones de conectividad a diversos usuarios a nivel mundial. Viasat enfatiza su liderazgo en tecnología satelital y su enfoque en expandir sus capacidades satelitales, particularmente con la serie ViaSat-3, que están diseñadas para permitir una mayor capacidad de ancho de banda que toda su flota existente.","[{'name': 'vsat-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vsat-Q225-10-Q.html'}, {'name': 'vsat-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vsat-Q325-10-Q.html'}, {'name': 'vsat-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vsat-Q126-10-Q.html'}]",6746554,USD,VSAT,SMART,STK,True,TC_SAT
telecommunications,satellite_technology,US7731211089,ROCKET LAB CORP,5,"Proporciona servicios de lanzamiento para pequeños satélites y fabrica componentes de naves espaciales y plataformas satelitales, permitiendo el acceso al espacio y las operaciones en órbita para una amplia gama de clientes.","El compromiso de Rocket Lab con la Tecnología Satelital es evidente a través de su participación integral en el diseño, fabricación y servicios de lanzamiento de naves espaciales. El vehículo de lanzamiento Electron de la compañía ha entregado más de 200 naves espaciales a órbita, y los ingresos de sistemas espaciales han aumentado significativamente debido al crecimiento en la fabricación de naves espaciales. Rocket Lab está expandiendo sus capacidades a través de adquisiciones como Mynaric, especializada en comunicaciones satelitales basadas en láser, y está construyendo y desplegando activamente sistemas satelitales completos, incluido un contrato importante con la SDA. Esto se ve respaldado además por su desarrollo de arreglos solares modulares (STARRAY) y radios satelitales avanzados, lo que demuestra un compromiso multifacético con la tecnología satelital.","[{'name': 'rklb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rklb-Q125-10-Q.html'}, {'name': 'rklb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rklb-Q225-10-Q.html'}, {'name': 'rklb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rklb-FY24-10-K.html'}]",787273575,USD,RKLB,SMART,STK,False,TC_SAT
telecommunications,satellite_technology,US0970231058,BOEING CO/THE,6,"Diseña, fabrica e integra satélites avanzados y sistemas relacionados para aplicaciones de comunicación, navegación y defensa.","La participación de Boeing en la tecnología satelital es evidente a través de su diseño, desarrollo, fabricación, venta, servicio y soporte de satélites. Esto se ve respaldado además por un contrato de $2.8 mil millones adjudicado por la Fuerza Espacial de EE. UU. para el desarrollo y producción de dos satélites, destinados a proporcionar mando y control nuclear y comunicaciones resilientes basados en el espacio. Si bien Boeing se identifica como líder del mercado global en satélites, esta actividad se sitúa principalmente dentro de su segmento de Defensa, Espacio y Seguridad, que incluye satélites comerciales y militares, así como programas de sistemas de lanzamiento espacial.","[{'name': 'ba-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q324-10-Q.html'}, {'name': 'ba-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q225-10-Q.html'}, {'name': 'ba-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ba-FY24-10-K.html'}]",4762,USD,BA,SMART,STK,True,TC_SAT
telecommunications,satellite_technology,US0231351067,AMAZON.COM INC,7,Desarrolla y opera una constelación de satélites en órbita terrestre baja para el acceso global a Internet de banda ancha y proporciona servicios de estaciones terrestres basadas en la nube para comunicaciones satelitales.,"La participación de Amazon en el tema de Tecnología Satelital está impulsada principalmente por el Proyecto Kuiper, una constelación de satélites en órbita terrestre baja destinada a proporcionar servicio de banda ancha global. La empresa ha logrado hitos significativos con el Proyecto Kuiper, incluyendo lanzamientos exitosos de satélites y la obtención de acuerdos con clientes empresariales y gubernamentales. Amazon está registrando activamente los costos asociados con el desarrollo de esta red de satélites, lo que indica una inversión sustancial en producción, lanzamiento y gastos relacionados, con planes para capitalizar estos costos una vez que se logre la viabilidad comercial. Andrew Jassy ha destacado las ventajas potenciales de rendimiento y precio de Kuiper, enfatizando su papel en la reducción de la brecha digital y la conexión perfecta con AWS.","[{'name': 'amzn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q324-10-Q.html'}]",3691937,USD,AMZN,SMART,STK,True,TC_SAT
telecommunications,satellite_technology,US5024311095,L3HARRIS TECHNOLOGIES INC,8,Desarrolla e integra sistemas y componentes avanzados cruciales para aplicaciones de tecnología satelital.,"L3Harris demuestra un enfoque significativo en la tecnología satelital a través de varias iniciativas clave. La empresa ofrece soluciones tecnológicas que conectan el dominio espacial y ha aumentado los ingresos en Electrónica de Defensa debido a una mayor demanda de electrónica avanzada para programas espaciales. L3Harris también se está preparando para desplegar una constelación completa de satélites HBTSS, escalando la fabricación de sensores espaciales y la integración de cargas útiles en Florida e Indiana y ha obtenido adjudicaciones para motores RL10 de etapa superior. Además, L3Harris se destaca como la única empresa en obtener adjudicaciones en los tres tramos de la capa de seguimiento de la Fuerza Espacial, siendo su satélite HBTSS el único sistema probado en órbita capaz de rastrear misiles hipersónicos.","[{'name': 'lhx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q125-10-Q.html'}, {'name': 'lhx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q324-10-Q.html'}, {'name': 'lhx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lhx-FY24-10-K.html'}, {'name': 'lhx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q225-10-Q.html'}]",371886040,USD,LHX,SMART,STK,True,TC_SAT
telecommunications,satellite_technology,US00217D1000,AST SPACEMOBILE INC,9,"Es pionera en el desarrollo y despliegue de redes de banda ancha celular basadas en satélites diseñadas para conectar teléfonos móviles estándar a nivel mundial, aprovechando tecnología satelital avanzada.","El negocio principal de AST SpaceMobile se centra en la tecnología satelital, como lo demuestran sus esfuerzos para diseñar, desarrollar, fabricar y lanzar la constelación de satélites BlueBird para una red de banda ancha celular basada en el espacio. El compromiso de la empresa se demuestra aún más por la operación de extensas instalaciones de ensamblaje, integración y prueba de satélites, junto con una importante cartera de propiedad intelectual. AST SpaceMobile está escalando la fabricación de satélites, apuntando a una cadencia de producción de seis satélites por mes, y ya ha lanzado múltiples satélites, incluido el satélite de prueba Blue Walker 3 y los satélites BlueBird de primera generación, con planes de desplegar más de 60 satélites en un futuro cercano.","[{'name': 'asts-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/asts-Q225-10-Q.html'}, {'name': 'asts-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/asts-Q125-10-Q.html'}]",480745767,USD,ASTS,SMART,STK,False,TC_SAT
telecommunications,satellite_technology,US72703X1063,PLANET LABS PBC,10,"Desarrolla y opera una gran constelación de satélites de observación de la Tierra, proporcionando imágenes diarias e información crucial para diversas aplicaciones.","El compromiso de Planet Labs con la Tecnología Satelital es evidente en el diseño, construcción y operación de cientos de satélites, estableciendo la flota de observación de la Tierra más grande. Su compromiso se demuestra aún más a través del desarrollo de tecnología satelital avanzada destinada a mejorar el rendimiento de los costos. Esto se ve subrayado por un acuerdo multimillonario de 230 millones de dólares con SKY Perfect JSAT para construir y operar una constelación de diez satélites de alta resolución Pelican, con planes para múltiples lanzamientos de Pelican, incluidos Pelicans adicionales para JSAT en 2027.","[{'name': 'pl-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pl-Q325-10-Q.html'}, {'name': 'pl-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pl-Q126-10-Q.html'}, {'name': 'pl-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pl-FY25-10-K.html'}]",530906124,USD,PL,SMART,STK,False,TC_SAT
