type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,semiconductor_chips,US0382221051,APPLIED MATERIALS INC,1,"Proporciona equipos, servicios y software fundamentales esenciales para la fabricación de prácticamente todos los chips nuevos y pantallas avanzadas en todo el mundo.","El negocio de Applied Materials está profundamente entrelazado con la industria de semiconductores, ya que la empresa proporciona equipos de fabricación, servicios y software a los fabricantes de semiconductores. El segmento de Sistemas de Semiconductores de la compañía, que se enfoca en equipos de capital utilizados para fabricar chips semiconductores, es un importante contribuyente a los ingresos generales. Además, la compañía enfatiza que las principales tendencias tecnológicas que remodelan la economía global están habilitadas por semiconductores avanzados, lo que resalta la importancia de este sector para su crecimiento a largo plazo y enfoque estratégico, particularmente en semiconductores que habilitan la IA.","[{'name': 'amat-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q125-10-Q.html'}, {'name': 'amat-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q225-10-Q.html'}, {'name': 'amat-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amat-FY24-10-K.html'}, {'name': 'amat-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q324-10-Q.html'}]",266093,USD,AMAT,SMART,STK,True,SEM
technology,semiconductor_chips,US4581401001,INTEL CORP,2,"Diseña y fabrica una amplia gama de chips semiconductores cruciales para la computación, centros de datos y tecnologías avanzadas, impulsando la innovación y el desarrollo dentro de la industria.","El negocio de Intel está significativamente ligado a la industria de los semiconductores, como lo demuestra su papel como diseñador y fabricante mundial de estos productos, incluidos los CPU y otras soluciones. Intel Products, que incorpora microprocesadores y chipsets, representa la mayor parte de los ingresos consolidados de Intel. La empresa se centra en avanzar en las tecnologías de procesos y empaquetado de silicio, y está invirtiendo en capacidad de fabricación geográficamente equilibrada para fortalecer la cadena de suministro mundial de semiconductores. Además, Intel Foundry se dedica a ofrecer capacidades de fundición de sistemas tanto a Intel Products como a clientes externos, lo que pone de relieve el compromiso de la empresa de dar forma a la industria de los semiconductores.","[{'name': 'intc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q125-10-Q.html'}, {'name': 'intc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q324-10-Q.html'}, {'name': 'intc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q225-10-Q.html'}, {'name': 'intc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/intc-FY24-10-K.html'}]",270639,USD,INTC,SMART,STK,True,SEM
technology,semiconductor_chips,US7475251036,QUALCOMM INC,3,"Desarrolla y suministra chips semiconductores avanzados, particularmente para las industrias móvil, automotriz y de IoT, impulsando la innovación en conectividad y procesamiento.","El compromiso de Qualcomm con el tema de la industria de chips semiconductores es evidente a través de sus operaciones comerciales principales, ya que la empresa obtiene una parte significativa de sus ingresos de la venta de productos de circuitos integrados, incluidas sus plataformas Snapdragon. Estas plataformas, que incorporan procesadores y módems, son integrales para el negocio QCT (Qualcomm CDMA Technologies) de Qualcomm, al servicio de los sectores de teléfonos móviles, automotriz y IoT. Además, el compromiso de Qualcomm con este tema se ve reforzado por sus continuas inversiones en investigación y desarrollo destinadas a avanzar en las tecnologías inalámbricas y de circuitos integrados, así como por su enfoque en la transición a nuevas generaciones de nodos de tecnología de procesos líderes.","[{'name': 'qcom-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q225-10-Q.html'}, {'name': 'qcom-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q125-10-Q.html'}, {'name': 'qcom-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q325-10-Q.html'}, {'name': 'qcom-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/qcom-FY24-10-K.html'}]",273544,USD,QCOM,SMART,STK,True,SEM
technology,semiconductor_chips,US5128073062,LAM RESEARCH CORP,4,Proporciona equipos y servicios esenciales de fabricación de obleas que permiten la producción de chips semiconductores avanzados para una amplia gama de dispositivos electrónicos.,"La importante exposición de Lam Research al tema de los Chips Semiconductores se deriva de su negocio principal como proveedor global de equipos y servicios de fabricación de obleas para la industria de semiconductores. El equipo de la empresa es esencial para la fabricación de circuitos integrados en obleas, un proceso que involucra tecnologías sofisticadas y numerosos pasos. Esto se enfatiza aún más por el hecho de que los productos de Lam permiten a los clientes construir dispositivos más pequeños y de mejor rendimiento utilizados en diversos productos electrónicos, y que la demanda de sectores como la computación en la nube, la IA y el 5G está impulsando la necesidad de semiconductores cada vez más potentes.","[{'name': 'lrcx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q125-10-Q.html'}, {'name': 'lrcx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q325-10-Q.html'}, {'name': 'lrcx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q225-10-Q.html'}, {'name': 'lrcx-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lrcx-FY25-10-K.html'}]",732440574,USD,LRCX,SMART,STK,True,SEM
technology,semiconductor_chips,US67066G1040,NVIDIA CORP,5,"Diseña y suministra chips semiconductores avanzados, incluidas las GPU, que son esenciales para la computación de alto rendimiento, la inteligencia artificial y la infraestructura de centros de datos en los mercados globales.","La participación de NVIDIA en la industria de chips semiconductores es evidente a través de su trabajo pionero en computación acelerada y arquitectura de GPU, que se ha expandido desde los gráficos de PC a diversos campos computacionalmente intensivos. Las plataformas de computación de la compañía incorporan procesadores, interconexiones, software y sistemas para proporcionar aceleración a las aplicaciones, con ingresos de computación en centros de datos que alcanzan los $27.6 mil millones. El enfoque de NVIDIA en chips semiconductores se ve aún más resaltado por la próxima arquitectura Blackwell, que se espera genere miles de millones en ingresos, y la presentación de sistemas impulsados por Blackwell con CPUs NVIDIA Grace. Sin embargo, los requisitos de licencia del gobierno de EE. UU. que afectan las exportaciones de circuitos integrados de NVIDIA a China y otras regiones también juegan un papel importante.","[{'name': 'nvda-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q126-10-Q.html'}, {'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}]",4815747,USD,NVDA,SMART,STK,True,SEM
technology,semiconductor_chips,US8825081040,TEXAS INSTRUMENTS INC,6,"Diseña y produce una amplia gama de semiconductores analógicos y de procesamiento embebido, que son fundamentales para numerosos sistemas y aplicaciones electrónicas a nivel mundial.","La participación de la empresa en el tema de la industria de semiconductores está profundamente arraigada en sus operaciones principales, ya que diseña y fabrica semiconductores que se venden a nivel mundial a diseñadores y fabricantes de productos electrónicos. Esto se declara explícitamente como la base de la empresa, con un modelo de negocio enfocado en productos de procesamiento analógico y embebido. La empresa también invierte fuertemente en equipos e instalaciones de fabricación de semiconductores, lo que demuestra un compromiso para mantener una base sólida en fabricación y tecnología.","[{'name': 'txn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/txn-Q225-10-Q.html'}, {'name': 'txn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/txn-FY24-10-K.html'}, {'name': 'txn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/txn-Q125-10-Q.html'}, {'name': 'txn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/txn-Q324-10-Q.html'}]",13096,USD,TXN,SMART,STK,True,SEM
technology,semiconductor_chips,US0079031078,ADVANCED MICRO DEVICES,7,"Desarrolla y suministra productos semiconductores avanzados, incluidas CPU, GPU de alto rendimiento y soluciones de computación adaptativa, impulsando la innovación en diversos mercados de computación y gráficos.","El negocio principal de AMD se centra en los chips semiconductores, como lo demuestra su autoidentificación como una empresa global de semiconductores y su amplia oferta, que incluye CPUs, GPUs, APUs, DPUs, FPGAs, SmartNICs, aceleradores de IA y SoC adaptables. Estos productos atienden a diversas aplicaciones en centros de datos, escritorios, portátiles y sistemas integrados. El rendimiento financiero de la empresa está impulsado significativamente por estos chips, con contribuciones sustanciales de ingresos de los segmentos de Centros de Datos y Clientes debido a las ventas de CPUs AMD EPYC, GPUs AMD Instinct y procesadores AMD Ryzen.","[{'name': 'amd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q125-10-Q.html'}, {'name': 'amd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amd-FY24-10-K.html'}, {'name': 'amd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q324-10-Q.html'}, {'name': 'amd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q225-10-Q.html'}]",4391,USD,AMD,SMART,STK,True,SEM
technology,semiconductor_chips,TW0002330008,TAIWAN SEMICONDUCTOR MANUFAC,8,"Sirve como la fundición de semiconductores independiente dedicada más grande del mundo, fabricando chips avanzados para una amplia gama de empresas tecnológicas globales.",,,37928709,TWD,2330,TWSE,STK,False,SEM
technology,semiconductor_chips,US0378331005,APPLE INC,9,"Diseña e integra chips semiconductores personalizados en su extenso ecosistema de productos, impulsando una innovación y demanda significativas dentro de la industria de fabricación de semiconductores.","La participación de Apple en la industria de los chips semiconductores es evidente a través de sus estrategias de diseño y abastecimiento, destacadas por el iPhone 16e, que funciona con el chip A18 e incluye el módem C1 diseñado por Apple. La empresa prevé obtener más de 19 mil millones de chips de varios estados, incluidos chips avanzados fabricados en Arizona. Sin embargo, las operaciones de Apple también están sujetas a factores externos, como la investigación del Departamento de Comercio de EE. UU. sobre las importaciones de semiconductores y posibles aranceles, que podrían afectar su cadena de suministro y su condición financiera.","[{'name': 'aapl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aapl-Q225-10-Q.html'}, {'name': 'aapl-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aapl-Q325-10-Q.html'}]",265598,USD,AAPL,SMART,STK,True,SEM
technology,semiconductor_chips,NL0010273215,ASML HOLDING NV,10,Proporciona sistemas y equipos avanzados de litografía cruciales para la fabricación de chips semiconductores complejos.,,,117589399,EUR,ASML,SMART,STK,False,SEM
