symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
MSFT,SER,technology,servers,US5949181045,MICROSOFT CORP,1,"Un importante proveedor de sistemas operativos de servidores e infraestructura de computación en la nube, que sustenta una gran cantidad de operaciones empresariales y de centros de datos a nivel mundial.","El compromiso de Microsoft con el tema de la industria de Servidores es evidente a través de varios factores clave. Los sustanciales ingresos de Azure, que superan los 75 mil millones de dólares anuales con una tasa de crecimiento del 34%, son un motor principal, respaldado por la extensa infraestructura de Microsoft, que incluye más de 400 centros de datos en 70 regiones e inversiones significativas en nueva capacidad. Los gastos de capital de la empresa reflejan una fuerte demanda de servidores, CPU y GPU, lo que enfatiza aún más la importancia de la infraestructura de servidores para satisfacer las necesidades de los clientes, particularmente con la creciente demanda de servicios de IA. Los crecientes ingresos de los productos de servidores y los servicios en la nube, impulsados por Azure, resaltan el enfoque de la empresa en expandir las ubicaciones de los centros de datos y aumentar la capacidad de los servidores.","[{'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}, {'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}, {'name': 'msft-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/msft-FY25-10-K.html'}]",272093,USD,SMART,STK
DELL,SER,technology,servers,US24703L2025,DELL TECHNOLOGIES -C,2,Proporciona soluciones e infraestructura de servidores críticos que son esenciales para diversos entornos informáticos.,"El compromiso de Dell con el tema de los Servidores es sustancial, impulsado por ingresos significativos, crecimiento y un énfasis estratégico tanto en soluciones de servidores optimizadas para IA como tradicionales. La empresa está experimentando una demanda sin precedentes de servidores optimizados para IA, evidenciada por pedidos en el primer trimestre de $12.1 mil millones, superando todos los envíos del año fiscal '25, y $1.8 mil millones en envíos. Dell está innovando rápidamente, diseñando soluciones personalizadas y espera enviar aproximadamente $7 mil millones en servidores de IA en el segundo trimestre. Además, los servidores tradicionales también están contribuyendo al crecimiento, con ingresos que aumentan a dos dígitos y seis trimestres consecutivos de crecimiento de la demanda año tras año, respaldado por el lanzamiento de la cartera de servidores de decimosexta generación.","[{'name': 'dell-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dell-Q126-10-Q.html'}, {'name': 'dell-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dell-Q225-10-Q.html'}, {'name': 'dell-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dell-Q325-10-Q.html'}, {'name': 'dell-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dell-FY25-10-K.html'}]",346218218,USD,SMART,STK
INTC,SER,technology,servers,US4581401001,INTEL CORP,3,Proporciona procesadores críticos y tecnologías relacionadas que impulsan una parte importante de los servidores utilizados en centros de datos y entornos de computación empresarial a nivel mundial.,"El compromiso de Intel con el tema de los Servidores es evidente a través de su segmento de Centros de Datos e IA (DCAI), donde un aumento en los ingresos de los servidores juega un papel importante. Este crecimiento está impulsado principalmente por una mayor demanda de clientes hiperscalares, lo que lleva a un aumento en el volumen de servidores. Intel mantiene una posición sólida en nodos anfitriones de IA y almacenamiento dentro de servidores tradicionales, con productos como Granite Rapids en aumento y los procesadores Xeon 6 lanzándose para impulsar las cargas de trabajo de IA; incluso una SKU de Xeon 6 fue seleccionada como nodo anfitrión para los sistemas acelerados de IA NVIDIA DGX B300.","[{'name': 'intc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q324-10-Q.html'}, {'name': 'intc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q125-10-Q.html'}]",270639,USD,SMART,STK
HPE,SER,technology,servers,US42824C1099,HEWLETT PACKARD ENTERPRISE,4,"Proporciona una cartera integral de soluciones de servidores, impulsando la innovación y apoyando la infraestructura de TI crítica para empresas de todo el mundo.","El enfoque de HPE en el tema de la industria de Servidores es evidente a través de varios factores clave. La compañía está fortaleciendo activamente sus ofertas principales de servidores y almacenamiento, expandiendo estas ofertas en la nube HPE GreenLake. El compromiso de HPE se demuestra aún más mediante la organización de sus operaciones en cinco segmentos informables, uno de los cuales está dedicado específicamente a Servidores. Este enfoque se ha traducido en resultados financieros significativos, con ingresos de servidores alcanzando un máximo histórico e impulsando el crecimiento general de los ingresos, respaldado por una fuerte demanda de sistemas de IA y servidores tradicionales, y el lanzamiento de nuevos productos de servidores con plataformas NVIDIA.","[{'name': 'hpe-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpe-Q225-10-Q.html'}, {'name': 'hpe-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpe-Q324-10-Q.html'}, {'name': 'hpe-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpe-Q125-10-Q.html'}, {'name': 'hpe-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hpe-FY24-10-K.html'}]",209411798,USD,SMART,STK
AMZN,SER,technology,servers,US0231351067,AMAZON.COM INC,5,"Aprovecha una extensa infraestructura de servidores para potenciar sus servicios globales de computación en la nube, proporcionando soluciones escalables y confiables para empresas de todo el mundo.",,,3691937,USD,SMART,STK
NVDA,SER,technology,servers,US67066G1040,NVIDIA CORP,6,"Proporciona GPUs de alto rendimiento y plataformas de red que potencian los servidores de centros de datos, permitiendo aplicaciones avanzadas de IA, computación científica y empresariales.",,,4815747,USD,SMART,STK
GOOGL,SER,technology,servers,US02079K3059,ALPHABET INC-CL A,7,"Operando centros de datos globales de gran extensión, es un motor principal de la demanda de infraestructura de servidores avanzada para dar soporte a sus plataformas de búsqueda, computación en la nube e IA.",,,208813719,USD,SMART,STK
AMAT,SER,technology,servers,US0382221051,APPLIED MATERIALS INC,8,"Proporciona equipos y servicios esenciales para la fabricación de semiconductores que permiten la producción de chips y componentes avanzados, críticos para servidores de alto rendimiento.","La participación de la empresa en el tema de Servidores es evidente a través de sus productos que se utilizan en servidores de centros de datos, así como el suministro de equipos para la fabricación de chips semiconductores utilizados en servidores. Además, la empresa está innovando en la forma en que se conectan los servidores de IA y está innovando en las arquitecturas de servidores de IA. La empresa anticipa que las arquitecturas de los servidores de IA serán muy diferentes en los próximos años.","[{'name': 'amat-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q225-10-Q.html'}, {'name': 'amat-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amat-FY24-10-K.html'}]",266093,USD,SMART,STK
SMCI,SER,technology,servers,US86800U3023,SUPER MICRO COMPUTER INC,9,"Proporciona sistemas avanzados de servidores y almacenamiento, desempeñando un papel clave en la entrega de soluciones optimizadas para centros de datos, computación en la nube y cargas de trabajo de inteligencia artificial.","SMCI se identifica como un proveedor de soluciones totales a escala de rack construidas a partir de su extensa cartera de sistemas de servidores y almacenamiento, con ventas netas que consisten principalmente en estas soluciones. Las ofertas de la empresa incluyen servidores, sistemas de IA, almacenamiento, dispositivos IoT, switches, software y servicios de soporte, y los factores clave que impactan las ventas netas son el número de servidores y racks vendidos, así como sus precios de venta promedio. Además, el aumento de las ventas de sistemas de servidores y almacenamiento está impulsado por la demanda de servidores GPU, computación de alto rendimiento y soluciones a escala de rack.","[{'name': 'smci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smci-Q125-10-Q.html'}, {'name': 'smci-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smci-Q325-10-Q.html'}, {'name': 'smci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smci-Q225-10-Q.html'}, {'name': 'smci-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/smci-FY25-10-K.html'}]",731466419,USD,SMART,STK
AMD,SER,technology,servers,US0079031078,ADVANCED MICRO DEVICES,10,"Desarrolla y proporciona procesadores de alto rendimiento para infraestructura de servidores, contribuyendo a los avances en la tecnología de centros de datos.","El enfoque de AMD en el mercado de servidores es evidente a través del desarrollo y la promoción de procesadores EPYC, diseñados específicamente para servidores, incluidos los procesadores AMD EPYC de 5.ª generación, con nombre en código ""Turin"", construidos con la arquitectura de núcleo ""Zen 5"". Estos procesadores están ganando cuota de mercado, impulsados por el lanzamiento de EPYC Turin de quinta generación, y están experimentando una fuerte demanda tanto en entornos de nube como empresariales. El segmento de centros de datos de AMD, que incluye los procesadores EPYC, contribuyó aproximadamente al 50% de los ingresos anuales, y la empresa cerró 2024 con una cuota de más del 50% en la mayoría de sus mayores clientes hiperscalares.","[{'name': 'amd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amd-FY24-10-K.html'}]",4391,USD,SMART,STK
