type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
real estate,singlefamily_home_rentals,US46187W1071,INVITATION HOMES INC,1,"Sirve como propietario y operador líder de viviendas de alquiler unifamiliares, proporcionando opciones de vivienda deseables en numerosos mercados.","El negocio de Invitation Homes se centra en alquileres de viviendas unifamiliares, ya que son un propietario y operador líder de estas propiedades, con una cartera que consta de aproximadamente 85,000 viviendas de alquiler unifamiliares. La compañía se enfoca en adquirir y administrar viviendas de alquiler unifamiliares, con una cartera de viviendas de alta calidad en vecindarios deseables, y adquieren viviendas a través de asociaciones con constructores y otros programas. Invitation Homes enfatiza la calidad de sus viviendas y la solidez de su plataforma de servicios, lo que resulta en una larga permanencia de los residentes y altas tasas de renovación. La estrategia de la compañía es ofrecer consistentemente viviendas de alta calidad en vecindarios deseables respaldadas por una plataforma de servicios que prioriza al residente.","[{'name': 'invh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/invh-Q125-10-Q.html'}, {'name': 'invh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/invh-Q324-10-Q.html'}, {'name': 'invh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/invh-Q225-10-Q.html'}, {'name': 'invh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/invh-FY24-10-K.html'}]",264405214,USD,INVH,SMART,STK,True,SIN
real estate,singlefamily_home_rentals,US02665T3068,AMERICAN HOMES 4 RENT- A,2,"Gestiona y opera una cartera sustancial de viviendas unifamiliares de alquiler en diversos mercados de EE. UU., atendiendo a la creciente demanda de opciones de arrendamiento residencial.","El negocio de la empresa se centra en alquileres de viviendas unifamiliares, ya que adquieren, desarrollan, renuevan, arriendan y gestionan estas propiedades. Con una cartera sustancial de propiedades unifamiliares, la empresa obtiene sus ingresos principalmente de los alquileres cobrados a los inquilinos. La empresa se identifica como líder del mercado en la industria de alquiler de viviendas unifamiliares, satisfaciendo la demanda de vida unifamiliar sin las cargas de ser propietario de una vivienda.","[{'name': 'amh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amh-Q125-10-Q.html'}, {'name': 'amh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amh-FY24-10-K.html'}, {'name': 'amh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amh-Q225-10-Q.html'}, {'name': 'amh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amh-Q324-10-Q.html'}]",132221970,USD,AMH,SMART,STK,True,SIN
real estate,singlefamily_home_rentals,US23331A1097,DR HORTON INC,3,"Desarrolla y construye viviendas unifamiliares, contribuyendo a la oferta de propiedades disponibles para el mercado de alquiler de viviendas unifamiliares.","D.R. Horton participa activamente en el mercado de alquiler de viviendas unifamiliares a través de su segmento de alquiler, que se enfoca en la construcción y arrendamiento de viviendas unifamiliares dentro de comunidades, comercializando posteriormente estas comunidades para ventas a granel. Sus operaciones de alquiler generan ingresos por la venta de viviendas unifamiliares de alquiler y mantienen un inventario sustancial de estas propiedades, con un enfoque en mejorar la eficiencia del capital y los rendimientos. Específicamente, la compañía construye y vende comunidades de alquiler construidas para un propósito específico, a veces monetizándolas antes de la estabilización del arrendamiento para lograr mayores rendimientos, y ha tenido éxito en la transición de varias propiedades a ventas a futuro.","[{'name': 'dhi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q125-10-Q.html'}, {'name': 'dhi-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q325-10-Q.html'}, {'name': 'dhi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q225-10-Q.html'}, {'name': 'dhi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dhi-FY24-10-K.html'}]",268627,USD,DHI,SMART,STK,True,SIN
real estate,singlefamily_home_rentals,US0389231087,ARBOR REALTY TRUST INC,4,"Financia e invierte en propiedades de alquiler unifamiliares, desempeñando un papel importante en el crecimiento y la disponibilidad de este segmento de vivienda.","El compromiso de Arbor Realty Trust con el tema de Alquileres de Viviendas Unifamiliares es evidente a través de múltiples facetas de su negocio. La empresa invierte activamente en activos de Viviendas Unifamiliares a través de su Negocio Estructurado, y su Negocio de Agencia gestiona y origina préstamos de tasa fija para Viviendas Unifamiliares. Además, Arbor ha demostrado un compromiso de crecimiento de su negocio de Viviendas Unifamiliares, destacado por la originación de 200 millones de dólares en nuevos negocios en el primer trimestre de 2025 y la captura de nuevos negocios de préstamos puente de otros prestamistas debido a su estructura verticalmente integrada, e incluso la emisión de la primera titulización de construcción para alquilar en la industria por un total de 800 millones de dólares.","[{'name': 'abr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abr-Q225-10-Q.html'}, {'name': 'abr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/abr-FY24-10-K.html'}, {'name': 'abr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abr-Q125-10-Q.html'}, {'name': 'abr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abr-Q324-10-Q.html'}]",29661257,USD,ABR,SMART,STK,True,SIN
real estate,singlefamily_home_rentals,US3135861090,FANNIE MAE,5,"Facilita la financiación y titulización de hipotecas para propiedades de alquiler unifamiliares, apoyando la expansión y estabilidad de este sector de la vivienda.","La participación de Fannie Mae en el tema de Alquileres de Viviendas Unifamiliares es evidente a través de su negocio de Viviendas Unifamiliares, que financia propiedades con cuatro o menos unidades residenciales. La provisión de liquidez de la compañía al mercado hipotecario apoya la financiación de compras de viviendas, refinanciaciones y unidades de alquiler. Si bien no se enfatiza explícitamente, las actividades de financiación de Fannie Mae incluyen alquileres de viviendas unifamiliares como parte de su apoyo más amplio a la vivienda, como se refleja en su provisión de financiación para unidades de alquiler.","[{'name': 'fnma-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q225-10-Q.html'}, {'name': 'fnma-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q125-10-Q.html'}]",7278,USD,FNMA,SMART,STK,False,SIN
real estate,singlefamily_home_rentals,US3134003017,FREDDIE MAC,6,"Apoya el mercado de alquiler de viviendas unifamiliares proporcionando liquidez y financiación a los prestamistas, facilitando la disponibilidad de viviendas de alquiler.","Freddie Mac apoya el mercado inmobiliario estadounidense proporcionando liquidez a los mercados hipotecarios de viviendas unifamiliares y multifamiliares, lo que incluye viviendas de alquiler. Este apoyo se demuestra con los 88.000 millones de dólares de liquidez proporcionados en el primer trimestre de 2025, lo que ha permitido la financiación de 313.000 compras de viviendas, refinanciaciones y unidades de alquiler. La misión de Freddie Mac incluye mantener la disponibilidad de crédito para hipotecas unifamiliares nuevas y refinanciadas, así como para viviendas de alquiler.","[{'name': 'fmcc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmcc-Q225-10-Q.html'}, {'name': 'fmcc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmcc-Q125-10-Q.html'}]",7341,USD,FMCC,SMART,STK,False,SIN
real estate,singlefamily_home_rentals,DE000A1ML7J1,VONOVIA SE,7,Se enfoca en la provisión de alquileres de viviendas unifamiliares.,,,130946869,EUR,VNA,SMART,STK,False,SIN
real estate,singlefamily_home_rentals,US64828T2015,RITHM CAPITAL CORP,8,"Se dedica ampliamente a la adquisición, financiación y gestión de propiedades de alquiler unifamiliares, lo que demuestra una participación central en el sector de la vivienda residencial.","Rithm Capital demuestra su compromiso con el tema de Alquileres de Viviendas Unifamiliares a través de sus inversiones en propiedades SFR, incluido su negocio de alquiler de viviendas unifamiliares, Adoor, que posee aproximadamente 4.000 unidades. La empresa gestiona activamente una cartera geográficamente diversificada de viviendas unifamiliares de alta calidad, alquilándolas a residentes de alta calidad, y al 31 de marzo de 2025, la cartera SFR consistía en 4.007 propiedades con un valor contable agregado de $1.0 mil millones. Rithm también se asocia con Darwin para administrar Adoor Property Management LLC (APM), a través de la cual se gestionan todas sus propiedades SFR.","[{'name': 'ritm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ritm-Q125-10-Q.html'}, {'name': 'ritm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ritm-Q225-10-Q.html'}, {'name': 'ritm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ritm-FY24-10-K.html'}]",169688387,USD,RITM,SMART,STK,False,SIN
real estate,singlefamily_home_rentals,US5260571048,LENNAR CORP-A,9,Desarrolla y construye viviendas unifamiliares para el mercado de alquiler de viviendas unifamiliares.,,,9091,USD,LEN,SMART,STK,True,SIN
real estate,singlefamily_home_rentals,US03783C1009,APPFOLIO INC - A,10,Proporciona soluciones integrales de software de gestión de propiedades diseñadas específicamente para optimizar las operaciones de negocios de alquiler de viviendas unifamiliares.,"La participación de AppFolio en el tema de Alquileres de Viviendas Unifamiliares es evidente a través de su plataforma de gestión de propiedades, que apoya a clientes como 2B Living en la gestión de más de 5,000 unidades unifamiliares. 2B Living utiliza AppFolio Property Manager Max para optimizar las operaciones en su cartera de unidades multifamiliares, unifamiliares y comerciales. La empresa gestiona más de 5,000 unidades multifamiliares, unifamiliares y comerciales en toda el Área de la Bahía.",,198500838,USD,APPF,SMART,STK,True,SIN
