symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
ITRI,IN,SMA,industrial,smart_infrastructure,US4657411066,ITRON INC,1,"Proporciona soluciones integrales para servicios públicos, que incluyen medidores inteligentes, redes de comunicación avanzadas y plataformas de software, esenciales para modernizar la infraestructura de energía y agua y permitir una gestión eficiente de los recursos.","Itron demuestra su compromiso con la infraestructura inteligente a través de sus soluciones integrales para empresas de servicios públicos y municipios, que permiten el funcionamiento seguro y fiable de infraestructuras críticas. Las ofertas de la empresa incluyen el despliegue de redes inteligentes, software, servicios, dispositivos, sensores y análisis de datos, lo que facilita la gestión de activos, la seguridad de los ingresos y la mejora de la eficiencia operativa. El segmento de Soluciones de Red de Itron incorpora iluminación inteligente de calles y sensores y aplicaciones de ciudades inteligentes, mientras que la plataforma Grid Edge Intelligence y los puntos finales de inteligencia distribuida mejoran aún más sus capacidades en este ámbito. Además, Itron apoya proyectos de modernización de redes, ofreciendo capacidades de inteligencia distribuida para mejorar la fiabilidad y la resiliencia de las operaciones.","[{'name': 'itri-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/itri-Q225-10-Q.html'}, {'name': 'itri-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/itri-Q125-10-Q.html'}, {'name': 'itri-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/itri-Q324-10-Q.html'}, {'name': 'itri-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/itri-FY24-10-K.html'}]",270760,USD,SMART,STK
XYL,IN,SMA,industrial,smart_infrastructure,US98419M1009,XYLEM INC,2,"Proporciona soluciones y tecnologías digitales avanzadas que modernizan y optimizan la infraestructura hídrica, mejorando la eficiencia, la resiliencia y la sostenibilidad en los sistemas de gestión del agua.","Xylem demuestra su compromiso con la infraestructura inteligente a través de sus segmentos de Infraestructura Hídrica y Soluciones de Medición y Control, que utilizan tecnologías de monitoreo y control, inteligentes y conectadas para el monitoreo remoto y la autooptimización. El segmento de Soluciones de Medición y Control de la empresa ofrece capacidades de comunicación, medidores inteligentes, medición y control, y tecnologías de infraestructura crítica, lo que permite a los clientes gestionar recursos como agua, electricidad y gas natural de manera más efectiva. Xylem experimenta un crecimiento de dos dígitos en medidores inteligentes y una fuerte demanda de soluciones AMI, con un crecimiento de los ingresos impulsado por las aplicaciones de medidores inteligentes.","[{'name': 'xyl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xyl-Q225-10-Q.html'}, {'name': 'xyl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xyl-Q324-10-Q.html'}, {'name': 'xyl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/xyl-FY24-10-K.html'}]",95703740,USD,SMART,STK
SU,IN,SMA,industrial,smart_infrastructure,FR0000121972,SCHNEIDER ELECTRIC SE,3,"Desarrolla e implementa soluciones digitales integrales para la gestión de energía, automatización y sostenibilidad en diversos sectores de infraestructura, mejorando la eficiencia y la resiliencia.",,,29612196,EUR,SMART,STK
JCI,IN,SMA,industrial,smart_infrastructure,IE00BY7QL619,JOHNSON CONTROLS INTERNATION,4,"Se enfoca en ofrecer soluciones de edificios inteligentes que integran tecnologías digitales para mejorar la eficiencia, la sostenibilidad y la seguridad en diversos tipos de infraestructura.","Johnson Controls demuestra su compromiso con el tema de Infraestructura Inteligente a través de su plataforma de software digital OpenBlue, que permite a las empresas mejorar la gestión de sus espacios físicos integrando productos de construcción con tecnología de vanguardia y capacidades digitales, facilitando servicios y soluciones de edificios inteligentes basados en datos. La empresa se identifica como líder mundial en edificios inteligentes, enfatizando su compromiso de mejorar la seguridad, el confort y la inteligencia de los espacios. Esto se ve respaldado además por las tendencias observadas que indican un creciente interés y demanda de los productos y servicios de la empresa que permiten edificios inteligentes, seguros, eficientes y sostenibles.","[{'name': 'jci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jci-Q225-10-Q.html'}, {'name': 'jci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jci-Q125-10-Q.html'}, {'name': 'jci-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jci-FY24-10-K.html'}, {'name': 'jci-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jci-Q325-10-Q.html'}]",244164913,USD,SMART,STK
GEV,IN,SMA,industrial,smart_infrastructure,US36828A1016,GE VERNOVA INC,5,"Proporciona tecnologías fundamentales y soluciones digitales para la electrificación, descarbonización y modernización de la infraestructura energética global, permitiendo redes inteligentes más eficientes y sostenibles.","La participación de GEV en Infraestructura Inteligente es evidente a través de su negocio de Soluciones de Redes Eléctricas, que apoya la expansión y modernización de las redes a nivel mundial. La empresa reconoce la necesidad de actualizar la infraestructura obsoleta con nuevas soluciones de integración y automatización de redes, impulsada por una mayor demanda y la integración de soluciones avanzadas de generación y almacenamiento. Esto se enfatiza aún más por el creciente enfoque en la digitalización y sostenibilidad de la infraestructura eléctrica. Además, la empresa está posicionada para apoyar las necesidades de expansión y modernización de las redes a nivel mundial, participando en los mercados de interconexión renovable en tierra y en alta mar con nuevos productos y tecnología.","[{'name': 'gev-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q324-10-Q.html'}, {'name': 'gev-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q125-10-Q.html'}, {'name': 'gev-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q225-10-Q.html'}]",691984365,USD,SMART,STK
ABBN,IN,SMA,industrial,smart_infrastructure,CH0012221716,ABB LTD-REG,6,"Proporciona soluciones de electrificación, automatización y digitalización que permiten redes inteligentes, edificios inteligentes e infraestructura urbana sostenible.",,,2682965,CHF,SMART,STK
SIE,IN,SMA,industrial,smart_infrastructure,DE0007236101,SIEMENS AG-REG,7,"Proporciona una cartera integral de tecnologías y servicios para edificios inteligentes, sistemas de energía distribuida y modernización de redes, impulsando la digitalización y la sostenibilidad de la infraestructura crítica.",,,14217,EUR,SMART,STK
6501,IN,SMA,industrial,smart_infrastructure,JP3788600009,HITACHI LTD,8,"Contribuye al desarrollo e implementación de soluciones y tecnologías digitales avanzadas para la infraestructura urbana, la gestión de la energía y los sistemas de transporte, mejorando la eficiencia y la sostenibilidad.",,,13905665,JPY,SMART,STK
HON,IN,SMA,industrial,smart_infrastructure,US4385161066,HONEYWELL INTERNATIONAL INC,9,"Desarrolla y proporciona tecnologías de construcción avanzadas, soluciones de automatización y control que mejoran la eficiencia, la seguridad y la sostenibilidad en diversos sectores de infraestructura.",,,4350,USD,SMART,STK
BDC,IN,SMA,industrial,smart_infrastructure,US0774541066,BELDEN INC,10,Proporciona soluciones de conectividad y redes fundamentales esenciales para el desarrollo y la operación de sistemas de infraestructura inteligente.,"El compromiso de Belden con la Infraestructura Inteligente es evidente a través de su organización estratégica y su oferta de soluciones. La empresa opera en torno a dos negocios globales, uno de los cuales se denomina explícitamente Soluciones de Infraestructura Inteligente, lo que demuestra un enfoque dedicado en esta área. Este compromiso se ve reforzado aún más por el cambio de nombre de un segmento reportable a Soluciones de Infraestructura Inteligente y la autoidentificación de la empresa como un proveedor global líder de soluciones de infraestructura de red y digitalización. Además, el segmento de Soluciones de Infraestructura Inteligente de Belden experimentó crecimiento e inversiones estratégicas, con la empresa posicionada para ofrecer soluciones en áreas como almacenes automatizados, manejo de materiales y transporte masivo, integrando productos de edificios inteligentes en sus Soluciones de Automatización.","[{'name': 'bdc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bdc-FY24-10-K.html'}, {'name': 'bdc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bdc-Q225-10-Q.html'}, {'name': 'bdc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bdc-Q125-10-Q.html'}, {'name': 'bdc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bdc-Q324-10-Q.html'}]",29863855,USD,SMART,STK
J,IN,SMA,industrial,smart_infrastructure,US46982L1089,JACOBS SOLUTIONS INC,11,"Proporciona servicios integrales y soluciones tecnológicas cruciales para la planificación, el diseño y la implementación de proyectos de infraestructura inteligente en diversos dominios.","La participación de Jacobs en la infraestructura inteligente se ejemplifica con su selección como ingeniero propietario para la expansión del sistema de transporte del Aeropuerto Internacional de Denver, lo que demuestra el papel de la empresa en el desarrollo de infraestructura más inteligente y conectada para el crecimiento urbano futuro. La empresa apoya a las ciudades en la preparación para el crecimiento futuro con infraestructura más inteligente y conectada. Sin embargo, la empresa tiene un papel menor en la infraestructura inteligente, pero no especifica personal dedicado.",,582332987,USD,SMART,STK
TEL1 N,IN,SMA,industrial,smart_infrastructure,IE000IVNQZ81,TE CONNECTIVITY PLC,12,"Proporciona soluciones esenciales de conectividad y sensores que permiten el desarrollo y la operación de redes eléctricas inteligentes, sistemas de transporte inteligentes y entornos urbanos conectados.",,,731466402,MXN,MEXI,STK
PWR,IN,SMA,industrial,smart_infrastructure,US74762E1029,QUANTA SERVICES INC,13,"Proporciona soluciones integrales de infraestructura que permiten la modernización y digitalización de redes críticas de energía eléctrica, comunicaciones y servicios públicos, contribuyendo al desarrollo de infraestructura inteligente.","La participación de la compañía en el tema de Infraestructura Inteligente es evidente a través de su participación en programas de modernización de redes plurianuales, mejoras de sistemas y programas de fortalecimiento dentro de los sistemas de suministro de energía eléctrica. Estas iniciativas implican indirectamente la integración de tecnologías inteligentes para la gestión de la infraestructura y están impulsadas por las inversiones de las empresas de servicios públicos en programas de modernización y confiabilidad de la red, particularmente en respuesta a eventos climáticos severos. Si bien no se detallan explícitamente, estas actividades sugieren el uso de tecnologías inteligentes para el monitoreo y la gestión, lo que refleja una inversión implícita en infraestructura inteligente.","[{'name': 'pwr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q225-10-Q.html'}, {'name': 'pwr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pwr-FY24-10-K.html'}, {'name': 'pwr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q324-10-Q.html'}]",6608432,USD,SMART,STK
CSCO,IN,SMA,industrial,smart_infrastructure,US17275R1023,CISCO SYSTEMS INC,14,"Proporciona soluciones fundamentales de redes, seguridad y gestión de datos esenciales para la construcción y operación de iniciativas de infraestructura inteligente.",,,268084,USD,SMART,STK
PSN,IN,SMA,industrial,smart_infrastructure,US70202L1026,PARSONS CORP,15,"Proporciona soluciones tecnológicas avanzadas y capacidades digitales para proyectos de infraestructura crítica, mejorando la eficiencia, la seguridad y la resiliencia en diversos sectores como el transporte, los servicios públicos y las ciudades inteligentes.","Parsons Corporation se relaciona con el tema de Infraestructura Inteligente a través de su segmento de Infraestructura Crítica, que ofrece servicios integrados de ingeniería y gestión para infraestructura física y digital a escala global. La empresa proporciona software inteligente y ágil a clientes de infraestructura crítica y es un innovador tecnológico centrado en sistemas digitales de próxima generación. Además, el negocio de Infraestructura Crítica de Parsons ofrece servicios integrados de diseño e ingeniería para infraestructura física y digital compleja, y el negocio y los resultados de las operaciones de la empresa podrían verse afectados por los cambios en el gasto gubernamental hacia la infraestructura y las comunidades conectadas.","[{'name': 'psn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psn-Q225-10-Q.html'}, {'name': 'psn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/psn-FY24-10-K.html'}, {'name': 'psn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psn-Q125-10-Q.html'}, {'name': 'psn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psn-Q324-10-Q.html'}]",365037248,USD,SMART,STK
