industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
financials,socially_responsible_investment,US09227Q1004,BLACKBAUD INC,1,"Proporciona soluciones y servicios integrales de software en la nube diseñados específicamente para organizaciones sin fines de lucro, fundaciones y otras organizaciones de impacto social, permitiendo directamente sus operaciones, recaudación de fondos y medición de impacto dentro del panorama de la inversión socialmente responsable.","La alineación de Blackbaud con la inversión socialmente responsable es evidente en su dedicación a potenciar el impacto social y servir a empresas comprometidas con la responsabilidad social. El software de la empresa está diseñado para acelerar el impacto en áreas como la responsabilidad social corporativa, la recaudación de fondos y la gestión financiera de organizaciones sin fines de lucro. Blackbaud se posiciona como el principal proveedor de software dedicado exclusivamente a potenciar el impacto social, sirviendo a los sectores sin fines de lucro y educativos, a empresas comprometidas con la responsabilidad social y a personas que generan cambios, solidificando aún más su papel en el espacio del impacto social.","[{'name': 'blkb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/blkb-Q125-10-Q.html'}, {'name': 'blkb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/blkb-Q225-10-Q.html'}, {'name': 'blkb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/blkb-FY24-10-K.html'}, {'name': 'blkb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/blkb-Q324-10-Q.html'}]",30119384,USD,BLKB,SMART,STK,True,SOC
financials,socially_responsible_investment,US65339F1012,NEXTERA ENERGY INC,2,"Demuestra un fuerte compromiso con los principios ambientales, sociales y de gobernanza, integrando prácticas sostenibles en sus operaciones para ofrecer valor a largo plazo a las partes interesadas, al tiempo que aborda los desafíos sociales y ambientales.",,,75960201,USD,NEE,SMART,STK,True,SOC
financials,socially_responsible_investment,US3142111034,FEDERATED HERMES INC,3,"Proporciona un conjunto integral de productos y servicios de inversión socialmente responsable, integrando factores ambientales, sociales y de gobernanza en sus estrategias de inversión y actividades de administración.","Federated Hermes se identifica como un líder mundial en inversión activa y responsable, gestionando importantes activos. El énfasis de la empresa en la 'inversión responsable' indica que este tema es un componente clave de su estrategia empresarial. Sin embargo, no hay mención explícita de equipos dedicados o personal específico asignado a iniciativas de ISR. Si bien Federated Hermes afirma ser un líder en inversión responsable, hay una falta de detalles adicionales sobre prácticas únicas de ISR o contribución explícita a los ingresos.","[{'name': 'fhi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fhi-Q125-10-Q.html'}, {'name': 'fhi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fhi-FY24-10-K.html'}]",6477744,USD,FHI,SMART,STK,True,SOC
financials,socially_responsible_investment,GB00B10RZP78,UNILEVER PLC,4,"Participa en amplias iniciativas ambientales, sociales y de gobernanza en todas sus operaciones y cadena de suministro, lo que la convierte en una consideración destacada para las carteras de inversión socialmente responsable.",,,39234893,GBP,ULVR.OLD,SMART,STK,False,SOC
financials,socially_responsible_investment,US2788651006,ECOLAB INC,5,"Muestra un fuerte compromiso con los factores ambientales, sociales y de gobernanza, lo que la posiciona favorablemente para estrategias de inversión socialmente responsable.",,,6682,USD,ECL,SMART,STK,True,SOC
financials,socially_responsible_investment,US88160R1014,TESLA INC,6,"Se centra en avanzar en soluciones de transporte y energía sostenibles, alineándose con la responsabilidad ambiental y atrayendo a inversores socialmente conscientes.",,,76792991,USD,TSLA,SMART,STK,True,SOC
financials,socially_responsible_investment,DE0007236101,SIEMENS AG-REG,7,Una entidad clave cuyas prácticas comerciales y divulgaciones son integrales para los procesos de evaluación y selección de Inversiones Socialmente Responsables.,,,14217,EUR,SIE,SMART,STK,False,SOC
financials,socially_responsible_investment,US8726571016,TPG INC,8,"Desempeña un papel importante en la inversión socialmente responsable, integrando factores ambientales, sociales y de gobernanza en las estrategias y decisiones de inversión en toda su cartera.",,,537638912,USD,TPG,SMART,STK,False,SOC
financials,socially_responsible_investment,US94106L1098,WASTE MANAGEMENT INC,9,"A través de sus servicios integrales de recolección, eliminación y reciclaje de residuos, contribuye activamente a la sostenibilidad ambiental y la conservación de recursos, componentes esenciales de la inversión socialmente responsable.",,,13379,USD,WM,SMART,STK,True,SOC
financials,socially_responsible_investment,US4074971064,HAMILTON LANE INC-CLASS A,10,"Integra factores ambientales, sociales y de gobernanza (ESG) en sus estrategias de inversión y marco operativo, lo que refleja un compromiso con los principios de inversión socialmente responsable.","Hamilton Lane demuestra su enfoque en la inversión socialmente responsable a través de su fondo de impacto, dedicado a invertir directamente en empresas privadas con un impacto ambiental y social medible. La empresa ofrece diversas soluciones de inversión en mercados privados, incluidas aquellas centradas en el impacto. Estas soluciones abarcan inversiones primarias, inversiones directas y participaciones secundarias, lo que indica un enfoque integral para satisfacer los objetivos de cartera específicos de los clientes en esta área.","[{'name': 'hlne-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlne-Q225-10-Q.html'}]",268212409,USD,HLNE,SMART,STK,True,SOC
financials,socially_responsible_investment,DK0062498333,NOVO NORDISK A/S-B,11,"Se enfoca en el desarrollo de medicamentos que salvan vidas, garantizando al mismo tiempo el acceso de los pacientes, operando con prácticas de investigación éticas e integrando consideraciones ambientales y sociales sostenibles en toda su cadena de valor.",,,652806383,DKK,NOVO.B,SMART,STK,False,SOC
financials,socially_responsible_investment,US4781601046,JOHNSON & JOHNSON,12,"Enfatiza la conducta ética, la sostenibilidad ambiental y el impacto social a través de sus productos sanitarios y operaciones globales, alineándose con los principios de inversión socialmente responsable.",,,8719,USD,JNJ,SMART,STK,True,SOC
financials,socially_responsible_investment,US92847W1036,VITAL FARMS INC,13,"Impulsa la inversión socialmente responsable a través de su compromiso con el bienestar animal humano, las prácticas agrícolas sostenibles y el abastecimiento transparente dentro de su producción de alimentos.","Vital Farms demuestra un fuerte compromiso con la inversión socialmente responsable a través de sus valores fundamentales y su estructura corporativa. El propósito declarado de la empresa es mejorar la vida de las personas, los animales y el planeta a través de la alimentación, enfatizando un compromiso con el ""Conscious Capitalism"" (Capitalismo Consciente) que prioriza resultados positivos a largo plazo para todas las partes interesadas. Apoyando aún más esta dedicación, Vital Farms es una corporación de beneficio público de Delaware y una Corporación B Certificada, lo que significa su adhesión a altos estándares de desempeño social y ambiental, transparencia y rendición de cuentas.","[{'name': 'vitl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vitl-Q125-10-Q.html'}, {'name': 'vitl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vitl-FY24-10-K.html'}]",437449296,USD,VITL,SMART,STK,False,SOC
