industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
entertainment and media,streaming_platforms_and_services,US64110L1061,NETFLIX INC,1,"Opera como líder mundial en plataformas de streaming por suscripción, ofreciendo una amplia biblioteca de contenido original y con licencia a una audiencia mundial.","El negocio principal de Netflix gira en torno a las plataformas y servicios de streaming, como lo demuestra su principal fuente de ingresos, las cuotas de membresía mensual por contenido de streaming. La empresa se identifica como un servicio de entretenimiento líder, que ofrece una amplia variedad de series de televisión, películas y juegos. Toda la llamada de resultados discute constantemente el rendimiento, las estrategias y los planes futuros de Netflix como servicio de streaming, enfatizando el crecimiento de suscriptores, la lista de contenido, la publicidad y el rendimiento financiero, lo que solidifica aún más el enfoque de la empresa en su plataforma de streaming.","[{'name': 'nflx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nflx-Q324-10-Q.html'}, {'name': 'nflx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nflx-FY24-10-K.html'}, {'name': 'nflx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nflx-Q125-10-Q.html'}, {'name': 'nflx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nflx-Q225-10-Q.html'}]",15124833,USD,NFLX,SMART,STK,True,ST1
entertainment and media,streaming_platforms_and_services,US2546871060,WALT DISNEY CO/THE,2,"Opera importantes plataformas de streaming como Disney+, Hulu y ESPN+, utilizando sus extensas bibliotecas de contenido y su alcance global para atraer y retener una base de suscriptores significativa.","El enfoque de Disney en Plataformas y Servicios de Streaming es evidente a través de su segmento Directo al Consumidor, que incluye Disney+ y Hulu. La compañía está fortaleciendo sus ofertas de streaming integrando completamente Hulu en Disney+ para crear una experiencia de aplicación unificada y lanzando la oferta directa al consumidor de ESPN. Esto implica una inversión significativa en tecnología y contenido, con un enfoque en mejorar la experiencia del usuario, aumentar la participación y reducir la rotación, que son pilares clave del crecimiento.","[{'name': 'dis-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q325-10-Q.html'}, {'name': 'dis-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q225-10-Q.html'}, {'name': 'dis-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q125-10-Q.html'}, {'name': 'dis-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dis-FY24-10-K.html'}]",6459,USD,DIS,SMART,STK,True,ST1
entertainment and media,streaming_platforms_and_services,US02079K3059,ALPHABET INC-CL A,3,"Opera YouTube, una plataforma global líder para la transmisión de video y la creación de contenido, que contribuye significativamente al panorama de los medios digitales.","El compromiso de Google con las Plataformas y Servicios de Streaming es evidente a través de la prominencia de YouTube, que ha liderado el tiempo de visualización de streaming en EE. UU. durante más de dos años. Esto incluye un consumo significativo de contenido deportivo, con más de 40 mil millones de horas vistas anualmente, y la próxima transmisión de partidos de la NFL. Las suscripciones de consumo de la empresa, que incluyen YouTube TV, YouTube Music, Premium y NFL Sunday Ticket, generan ingresos sustanciales. Además, YouTube cuenta con más de mil millones de usuarios mensuales activos de podcasts y ha alcanzado más de 125 millones de suscriptores para YouTube Music y Premium.","[{'name': 'googl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q225-10-Q.html'}, {'name': 'googl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/googl-FY24-10-K.html'}, {'name': 'googl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q324-10-Q.html'}]",208813719,USD,GOOGL,SMART,STK,True,ST1
entertainment and media,streaming_platforms_and_services,US0231351067,AMAZON.COM INC,4,"Proporciona un ecosistema integral de plataformas de streaming de video, música y contenido en vivo, contribuyendo significativamente a la expansión y diversificación de los servicios de entretenimiento digital.","La participación de Amazon en Plataformas y Servicios de Streaming es evidente a través de sus suscripciones de contenido digital y oportunidades publicitarias en plataformas como Prime Video y Twitch. La compañía está invirtiendo activamente en contenido deportivo en vivo, con la NASCAR atrayendo una audiencia significativa y la próxima temporada de la NBA en el horizonte. Además, Amazon está produciendo contenido original, destacado por el anuncio de Denis Villeneuve dirigiendo la próxima película de James Bond. Si bien estas actividades demuestran la participación de Amazon en el panorama del streaming, las suscripciones de contenido de medios digitales son un componente de las ventas de servicios, pero no hay un desglose de ingresos específico.","[{'name': 'amzn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q125-10-Q.html'}, {'name': 'amzn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q225-10-Q.html'}, {'name': 'amzn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amzn-FY24-10-K.html'}]",3691937,USD,AMZN,SMART,STK,True,ST1
entertainment and media,streaming_platforms_and_services,US9344231041,WARNER BROS DISCOVERY INC,5,"Opera una cartera global de plataformas de streaming, incluyendo Max y Discovery+, ofreciendo un amplio contenido de entretenimiento y noticias a suscriptores en todo el mundo.","Warner Bros. Discovery muestra una fuerte conexión con el tema Plataformas y Servicios de Streaming, como lo demuestra el énfasis estratégico de la empresa en su negocio de streaming. El segmento DTC de la empresa consta principalmente de servicios premium de televisión de pago y streaming, con un enfoque en el crecimiento de suscriptores, ingresos y EBITDA, con el objetivo de alcanzar al menos 150 millones de suscriptores para finales de 2026. La empresa opera servicios de streaming como Max y discovery+, y Max ha ganado más de 22 millones de suscriptores, y se enfoca en mejorar la personalización y el compromiso en su servicio de streaming, con una huella global y planes de expansión adicional. Además, la empresa finalizó 2024 con aproximadamente 117 millones de suscriptores directos al consumidor en más de 70 países y está planeando lanzamientos en mercados clave como el Reino Unido, Italia y Alemania.","[{'name': 'wbd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q125-10-Q.html'}, {'name': 'wbd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q324-10-Q.html'}, {'name': 'wbd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wbd-FY24-10-K.html'}, {'name': 'wbd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q224-10-Q.html'}]",554208351,USD,WBD,SMART,STK,True,ST1
entertainment and media,streaming_platforms_and_services,US77543R1023,ROKU INC,6,"Proporciona una plataforma líder de streaming y dispositivos que agregan y entregan una amplia gama de servicios de streaming, lo que permite un amplio acceso de los consumidores al entretenimiento digital.","El negocio de Roku se centra en plataformas y servicios de streaming, como lo demuestra la generación de ingresos de su segmento de plataforma a partir de la distribución de servicios de streaming, incluidas suscripciones y publicidad digital. La empresa enfatiza el crecimiento de los ingresos y la rentabilidad de la plataforma, con horas de streaming rastreadas como una métrica clave de rendimiento. Roku está estratégicamente posicionado en el centro del cambio hacia el streaming, con iniciativas para expandir las suscripciones facturadas por Roku e integrar adquisiciones como Frndly en su plataforma, lo que demuestra aún más su inversión y enfoque en este tema. El fuerte compromiso y crecimiento de The Roku Channel también resaltan el compromiso de la empresa con las plataformas y servicios de streaming.","[{'name': 'roku-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/roku-Q125-10-Q.html'}, {'name': 'roku-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/roku-Q225-10-Q.html'}, {'name': 'roku-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/roku-FY24-10-K.html'}]",290651477,USD,ROKU,SMART,STK,False,ST1
entertainment and media,streaming_platforms_and_services,US0378331005,APPLE INC,7,"Proporciona un conjunto de plataformas y servicios de streaming, incluyendo video, música y juegos, integrados en su ecosistema de dispositivos.","La participación de Apple en Plataformas y Servicios de Streaming es evidente en el éxito de Apple TV+ y Apple Music, que contribuyeron a unos ingresos por Servicios de $27.4 mil millones, lo que representa un aumento interanual del 13% y un récord histórico. Apple TV+ ha obtenido un reconocimiento significativo, incluyendo 81 nominaciones a los Premios Emmy y más de 2.700 nominaciones a premios con 585 victorias, impulsado por contenido original de alta calificación y una audiencia récord. Los servicios de streaming de la compañía también se extienden a los deportes, ofreciendo Friday Night Baseball, MLS Season Pass y contenido de Fórmula 1 a través de la aplicación Apple Sports.",,265598,USD,AAPL,SMART,STK,True,ST1
entertainment and media,streaming_platforms_and_services,US20030N1019,COMCAST CORP-CLASS A,8,"Opera su propia plataforma de streaming, Peacock, al tiempo que proporciona la infraestructura de banda ancha esencial para los servicios de streaming y licencia contenido a varias plataformas.","La participación de Comcast en Plataformas y Servicios de Streaming es evidente a través de la operación de Peacock, un componente clave de su segmento de Medios. La empresa está trabajando activamente para aumentar la base de suscriptores e ingresos de Peacock, ofreciendo una variedad de contenido, incluyendo deportes en vivo, series originales y películas. Comcast está ejecutando una estrategia de operar los activos lineales y de streaming de NBCUniversal como un negocio de medios holístico, con Peacock representando una porción significativa del volumen total de NBCUniversal y diferenciándose con ofertas de deportes en vivo, incluida la próxima adición de cobertura de la NBA. Comcast tiene como objetivo mitigar las caídas en las redes de televisión lineal mediante el crecimiento de suscriptores de pago e ingresos por publicidad en Peacock, y está invirtiendo en contenido y marketing para impulsar el crecimiento de suscriptores y mejorar la monetización.","[{'name': 'cmcsa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q125-10-Q.html'}, {'name': 'cmcsa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q324-10-Q.html'}, {'name': 'cmcsa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cmcsa-FY24-10-K.html'}]",267748,USD,CMCSA,SMART,STK,True,ST1
entertainment and media,streaming_platforms_and_services,LU1778762911,SPOTIFY TECHNOLOGY SA,9,"Opera una plataforma líder mundial de transmisión de audio, que proporciona un amplio acceso a música y podcasts, impulsando así el consumo y la accesibilidad del contenido de audio digital.","El negocio principal de Spotify gira en torno a su plataforma de streaming, ofreciendo contenido diverso como música, podcasts, video y audiolibros directamente a los consumidores. La estrategia de la compañía para mejorar el contenido y la experiencia del usuario es demostrablemente efectiva, como lo demuestran el aumento de la participación de los usuarios y una base de suscriptores en crecimiento, que incluye más de 100 millones de suscriptores en Europa. La prominencia de Spotify en el panorama del streaming se ve aún más subrayada por el hecho de que representa el 65% de las transmisiones de música de audio a nivel mundial y posee una cuota de mercado de suscriptores del 45% en las regiones donde opera, con el objetivo estratégico a largo plazo de alcanzar los mil millones de suscriptores.",,312496724,USD,SPOT,SMART,STK,False,ST1
entertainment and media,streaming_platforms_and_services,US00971T1016,AKAMAI TECHNOLOGIES INC,10,Proporciona servicios críticos de red de entrega de contenido (CDN) que permiten a las plataformas y servicios de streaming ofrecer contenido de video escalable y de alta calidad a audiencias globales.,"El compromiso de Akamai con las Plataformas y Servicios de Streaming es evidente a través de su red de entrega de contenido, que facilita la distribución de contenido de streaming y entretenimiento digital. La compañía apoya un servicio global de transmisión en vivo con cientos de millones de usuarios y ofrece un excelente rendimiento para eventos en vivo de gran magnitud. Además, Akamai se convirtió en el primer proveedor en ofrecer unidades de procesamiento de video (VPU) en la nube, que ofrecen un rendimiento muy mejorado y ahorros significativos para las empresas de medios, complementando sus relaciones con las principales empresas de medios. Si bien el crecimiento del tráfico de red de Akamai se está desacelerando en medios y juegos, los ingresos de la compañía todavía se ven afectados por el tráfico de medios, especialmente durante eventos deportivos en vivo u otros eventos.","[{'name': 'akam-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/akam-Q324-10-Q.html'}, {'name': 'akam-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/akam-FY24-10-K.html'}]",6220356,USD,AKAM,SMART,STK,True,ST1
