type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
transportation and logistics,supply_chain_management,US31428X1063,FEDEX CORPORATION,1,"Proporciona servicios integrales de transporte, comercio electrónico y empresariales que son fundamentales para las operaciones de la cadena de suministro global, permitiendo el movimiento eficiente de bienes e información a través de diversas industrias.","La participación de FedEx en la gestión de la cadena de suministro es evidente a través de su extensa red global, que conecta una parte significativa del comercio mundial. El gemelo digital de la empresa anticipa interrupciones y optimiza rutas, mientras que la plataforma de comercio FDX orquesta las cadenas de suministro de los clientes. FedEx Logistics proporciona soluciones integradas de gestión de la cadena de suministro, lo que enfatiza aún más el papel de la empresa en este dominio. Rajesh Subramaniam destaca el trabajo del equipo para hacer que las cadenas de suministro sean más inteligentes, y Best Buy utiliza las herramientas avanzadas de visibilidad de FedEx para el seguimiento en tiempo real y la mejora de la experiencia del cliente.","[{'name': 'fdx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q225-10-Q.html'}, {'name': 'fdx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q325-10-Q.html'}, {'name': 'fdx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q125-10-Q.html'}, {'name': 'fdx-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fdx-FY25-10-K.html'}]",5100583,USD,FDX,SMART,STK,True,SUP
transportation and logistics,supply_chain_management,US12541W2098,C.H. ROBINSON WORLDWIDE INC,2,"Sirve como líder mundial en gestión de la cadena de suministro, ofreciendo servicios y tecnología logística integrales para optimizar el movimiento de carga y mejorar la eficiencia en diversas industrias.","El compromiso de C.H. Robinson con la Gestión de la Cadena de Suministro es significativo, ya que la empresa declara explícitamente su papel en ayudar a los clientes a navegar por cadenas de suministro globales cada vez más complejas y resolver desafíos logísticos. Los servicios de la empresa incluyen ayudar a los clientes a diversificar sus cadenas de suministro, desarrollar estrategias de eficiencia y rentabilidad, y gestionar el flujo de mercancías entre industrias y continentes. Además, C.H. Robinson tiene como objetivo reimaginar las cadenas de suministro y avanzar en la tecnología de carga, ofreciendo soluciones integradas de cadena de suministro para clientes minoristas y de servicios de alimentos, destacando el papel central del tema en las ofertas de servicios y el modelo de negocio de la empresa.","[{'name': 'chrw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q225-10-Q.html'}, {'name': 'chrw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q125-10-Q.html'}, {'name': 'chrw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q324-10-Q.html'}, {'name': 'chrw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/chrw-FY24-10-K.html'}]",36320731,USD,CHRW,SMART,STK,True,SUP
transportation and logistics,supply_chain_management,US9113121068,UNITED PARCEL SERVICE-CL B,3,"Ofrece servicios integrales de logística, transporte y entrega a nivel mundial, lo que permite de manera crítica el flujo eficiente de bienes y optimiza las redes de la cadena de suministro para diversas industrias.","La participación de UPS en la Gestión de la Cadena de Suministro es evidente a través de sus iniciativas estratégicas y su enfoque operativo. La empresa gestiona cadenas de suministro para sus clientes, aprovechando su cartera global y su tecnología de corretaje de próxima generación para ayudarles a navegar por las cambiantes políticas comerciales, aranceles y disrupciones en las fronteras. El enfoque de UPS en mejorar la calidad de los ingresos en segmentos de mercado clave como el de la salud, el internacional, el B2B y el de las PYMES, junto con su capacidad para trasladar activos en función de las necesidades del cliente, demuestra un compromiso con la gestión de la cadena de suministro. Esto se ve aún más respaldado por el segmento de Soluciones de Cadena de Suministro de la empresa y adquisiciones como MNX Global Logistics y Frigo-Trans, destinadas a mejorar capacidades específicas como la logística con control de temperatura y la logística crítica en tiempo.","[{'name': 'ups-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ups-FY24-10-K.html'}, {'name': 'ups-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q324-10-Q.html'}]",6231002,USD,UPS,SMART,STK,True,SUP
transportation and logistics,supply_chain_management,US8718291078,SYSCO CORP,4,Impulsa la eficiencia y la confiabilidad dentro de la industria de servicios de alimentos al administrar extensas cadenas de suministro para la distribución de productos a los clientes.,"El compromiso de Sysco con la gestión de la cadena de suministro es evidente en sus iniciativas estratégicas para desarrollar una cadena de suministro más ágil, accesible y productiva para apoyar mejor a los clientes. Esto incluye esfuerzos para servir a los clientes de manera eficiente y consistente a través de un marco de entrega flexible. La empresa se centra en la expansión de la capacidad de la cadena de suministro, ejemplificada por una nueva instalación en las afueras de Londres, y en la mejora del abastecimiento estratégico para gestionar los costos y aumentar el beneficio bruto. Además, Sysco está gestionando activamente la cadena de suministro desde el abastecimiento hasta la entrega, formando a los equipos de operaciones, inventario, comercialización y ventas.","[{'name': 'syy-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/syy-FY25-10-K.html'}]",12581,USD,SYY,SMART,STK,True,SUP
transportation and logistics,supply_chain_management,US4456581077,HUNT (JB) TRANSPRT SVCS INC,5,Impulsa la eficiencia y la fiabilidad de las operaciones de la cadena de suministro a través de sus completos servicios de transporte y logística.,"El compromiso de J.B. Hunt con la Gestión de la Cadena de Suministro es evidente en sus prácticas operativas y soluciones tecnológicas. La empresa gestiona el flujo de mercancías desde la recogida hasta la entrega y controla el cumplimiento de los servicios prometidos, operando como principal en estas transacciones. J.B. Hunt 360°®, la plataforma en línea de la empresa, mejora la visibilidad y la transparencia de la cadena de suministro para expedidores y transportistas. Además, J.B. Hunt se enfoca en ayudar a los clientes a optimizar dinámicamente sus planes de cadena de suministro y capacidad para satisfacer las necesidades de servicio y los requisitos presupuestarios.","[{'name': 'jbht-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jbht-Q125-10-Q.html'}, {'name': 'jbht-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jbht-FY24-10-K.html'}]",270825,USD,JBHT,SMART,STK,True,SUP
transportation and logistics,supply_chain_management,US74340W1036,PROLOGIS INC,6,"Proporciona bienes raíces y soluciones logísticas críticas, facilitando el almacenamiento y la distribución eficientes de bienes esenciales para las operaciones modernas de la cadena de suministro.","Prologis participa activamente en la gestión de la cadena de suministro, como lo demuestran sus esfuerzos por desarrollar las cadenas de suministro de los clientes en medio de la incertidumbre macroeconómica. La empresa enfatiza su papel como socio en tiempos turbulentos, destacando que un mundo desconectado requiere un mayor espacio de almacén. Prologis también reconoce posibles interrupciones en la logística y las cadenas de suministro, abogando por un posicionamiento flexible del inventario y señalando una mayor utilización de la capacidad 3PL, lo que demuestra su apoyo a los clientes para navegar estos desafíos.",,88819288,USD,PLD,SMART,STK,True,SUP
transportation and logistics,supply_chain_management,US0231351067,AMAZON.COM INC,7,"Gestiona una red logística y de cumplimiento global vasta y tecnológicamente avanzada, influyendo significativamente y estableciendo puntos de referencia en la eficiencia de la cadena de suministro y la entrega de última milla.","El enfoque de Amazon en la gestión de la cadena de suministro es evidente en sus esfuerzos por mejorar la eficiencia y la rentabilidad de su red de cumplimiento. Esto incluye la regionalización de la red en centros regionales para almacenar artículos más cerca de los clientes, lo que permite tiempos de entrega más rápidos, reducción de embalajes y menores costos de entrega. Para optimizar aún más las operaciones, Amazon rediseñó su arquitectura de entrada para ampliar la cuota de productos que puede colocar en cada centro de cumplimiento, mejorando las velocidades de entrega y reduciendo los costos. La red de entrada recién re-arquitectada está impulsando la productividad en la red de cumplimiento y transporte, lo que lleva a una mejor colocación de inventario y mayores unidades por paquete.",,3691937,USD,AMZN,SMART,STK,True,SUP
transportation and logistics,supply_chain_management,US3848021040,WW GRAINGER INC,8,"Proporciona productos esenciales de mantenimiento, reparación y operación (MRO) industriales y soluciones de cadena de suministro, lo que permite a las empresas optimizar su eficiencia y continuidad operativa.","Grainger enfatiza su compromiso con la gestión de la cadena de suministro a través de varias estrategias clave. La empresa se enfoca en mejorar los procesos operativos para optimizar el servicio y los costos a través de la experiencia del cliente, la tecnología y la infraestructura de la cadena de suministro. Grainger colabora estrechamente con su red de proveedores para garantizar que los clientes reciban los productos correctos cuándo y dónde los necesiten, respaldado por una cadena de suministro de clase mundial e inversiones estratégicas en información de productos y capacidades digitales. Además, Grainger monitorea activamente las condiciones económicas e implementa estrategias para mitigar los desafíos de la cadena de suministro, incluidas las inversiones continuas en su capacidad de cadena de suministro en EE. UU.","[{'name': 'gww-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gww-Q125-10-Q.html'}, {'name': 'gww-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gww-FY24-10-K.html'}]",7867,USD,GWW,SMART,STK,True,SUP
transportation and logistics,supply_chain_management,US5627501092,MANHATTAN ASSOCIATES INC,9,"Desarrolla y proporciona soluciones integrales de comercio para la cadena de suministro que optimizan el inventario, agilizan el cumplimiento de pedidos y mejoran la gestión de almacenes para empresas a nivel mundial.","El negocio principal de Manhattan Associates se centra en proporcionar soluciones de software para la gestión de cadenas de suministro, inventario y operaciones omnicanal, ya que desarrollan, venden, implementan, dan servicio y mantienen estas soluciones para una variedad de organizaciones. Su modelo de negocio se centra exclusivamente en el desarrollo e implementación de complejas soluciones de software de habilitación de comercio diseñadas para optimizar las cadenas de suministro. Las soluciones de la compañía son de misión crítica, respaldan complejas cadenas de suministro globales y ofrecen lo que creen que es la cartera de soluciones más amplia en el mercado de soluciones de cadena de suministro, abordando todos los aspectos de la optimización de inventario, la gestión del transporte, la gestión de la distribución y la planificación.","[{'name': 'manh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/manh-Q125-10-Q.html'}, {'name': 'manh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/manh-Q225-10-Q.html'}, {'name': 'manh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/manh-Q324-10-Q.html'}, {'name': 'manh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/manh-FY24-10-K.html'}]",4814485,USD,MANH,SMART,STK,True,SUP
transportation and logistics,supply_chain_management,US6795801009,OLD DOMINION FREIGHT LINE,10,"Proporciona servicios de envío de carga consolidada (LTL), que son integrales para el movimiento eficiente de bienes y la logística dentro de la gestión de la cadena de suministro global.","Old Dominion Freight Line (ODFL) integra consideraciones de la cadena de suministro en sus operaciones al enfatizar la importancia de su red en las cadenas de suministro de los clientes, ayudando a los clientes a ahorrar dinero y ofreciendo consultoría de la cadena de suministro como un servicio de valor agregado. La compañía destaca la importancia de la sofisticación de la cadena de suministro, particularmente en relación con los costos de inventario en relación con las tasas de interés, y posiciona su servicio confiable y a tiempo como una propuesta de valor clave para los clientes. Además, ODFL reconoce el impacto del comercio electrónico en las cadenas de suministro, incluida la tendencia de la reducción del tamaño de los envíos y la conversión de camiones completos a LTL, y ve oportunidades potenciales en las tendencias de nearshoring y reshoring dentro de América del Norte. La compañía se enfoca en agregar valor para los clientes y ayudarlos a crear valor para sus propios clientes.","[{'name': 'odfl-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/odfl-Q224-10-Q.html'}, {'name': 'odfl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/odfl-FY24-10-K.html'}]",272667,USD,ODFL,SMART,STK,True,SUP
