symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
ISRG,health,surgical_robotics,US46120E6023,INTUITIVE SURGICAL INC,1,Desarrolla y fabrica sistemas avanzados de cirugía asistida por robot que son fundamentales para impulsar la adopción y evolución de procedimientos mínimamente invasivos dentro de la industria de la robótica quirúrgica.,"El fuerte compromiso de Intuitive Surgical con el tema de la Robótica Quirúrgica es evidente en sus sistemas quirúrgicos da Vinci, que han estado en desarrollo durante casi tres décadas y están diseñados para mejorar la precisión y los resultados quirúrgicos. El enfoque de la empresa en soluciones quirúrgicas asistidas por robots se ve subrayado por la extensa base instalada de sistemas da Vinci, que supera los 10.000 a nivel mundial, y la innovación continua observada en plataformas como da Vinci 5. Este compromiso se ve respaldado aún más por las inversiones de la empresa en desarrollo, marketing y capacitación para procedimientos que utilizan el sistema da Vinci, lo que destaca su papel central en su negocio y su contribución a una parte sustancial de sus ingresos.","[{'name': 'isrg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/isrg-FY24-10-K.html'}, {'name': 'isrg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/isrg-Q125-10-Q.html'}, {'name': 'isrg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/isrg-Q324-10-Q.html'}, {'name': 'isrg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/isrg-Q225-10-Q.html'}]",9063285,USD,SMART,STK,True,SUR
MDT,health,surgical_robotics,IE00BTN1Y115,MEDTRONIC PLC,2,"Desarrolla y comercializa sistemas avanzados de cirugía asistida por robot, mejorando la precisión y los resultados en diversos procedimientos médicos.","La participación de Medtronic en Robótica Quirúrgica es evidente a través de su plataforma robótica Hugo para tejidos blandos, que se considera un motor de crecimiento para el negocio quirúrgico y se acerca a hitos clave, incluida la entrada en el mercado estadounidense y la ampliación de indicaciones. El negocio de Tecnologías Craneales y Espinales de la empresa aprovecha el ecosistema espinal AiBLE, integrando software impulsado por IA, imágenes, robótica y navegación, respaldado por una base instalada sustancial. Además, Medtronic se centra en la adopción global de cirugía asistida por robot, incluido el sistema Hugo RAS para diversos procedimientos, y está ampliando su ecosistema Touch Surgery impulsado por IA, lo que indica un énfasis estratégico en el avance de sus capacidades quirúrgicas.","[{'name': 'mdt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q325-10-Q.html'}, {'name': 'mdt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q125-10-Q.html'}, {'name': 'mdt-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mdt-FY25-10-K.html'}, {'name': 'mdt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdt-Q225-10-Q.html'}]",181387075,USD,SMART,STK,True,SUR
JNJ,health,surgical_robotics,US4781601046,JOHNSON & JOHNSON,3,"Desarrolla y proporciona sistemas quirúrgicos robóticos avanzados, contribuyendo a la innovación y la adopción generalizada de procedimientos asistidos por robot en la atención médica.","J&J está fortaleciendo activamente su posición en robótica quirúrgica, destacada por el avance del sistema OTTAVA, que ha completado casos clínicos iniciales, incluidas cirugías de bypass gástrico, y está programado para la aprobación de novo de la FDA. El compromiso de la empresa se demuestra aún más con la integración exclusiva del engrapador quirúrgico Ethicon 4000 con el sistema OTTAVA y los ensayos clínicos en curso que respaldan la presentación a la FDA para cirugía general. Además, la solución asistida por robot VELYS contribuye al crecimiento dentro de la cartera de rodillas, lo que subraya el enfoque de la empresa en incorporar asistencia robótica en sus ofertas quirúrgicas, a pesar de las presiones competitivas.","[{'name': 'jnj-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jnj-Q125-10-Q.html'}, {'name': 'jnj-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jnj-Q324-10-Q.html'}, {'name': 'jnj-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jnj-Q225-10-Q.html'}, {'name': 'jnj-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jnj-FY24-10-K.html'}]",8719,USD,SMART,STK,True,SUR
SYK,health,surgical_robotics,US8636671013,STRYKER CORP,4,"Es un desarrollador y proveedor líder de tecnología de robótica quirúrgica, que contribuye significativamente a los avances y la adopción en el campo médico.","El compromiso de Stryker con la robótica quirúrgica es evidente a través de su liderazgo en robótica ortopédica, particularmente con el sistema Mako, que ha alcanzado un hito de 2 millones de procedimientos. La compañía continúa lanzando nuevas aplicaciones para Mako, incluyendo cadera de revisión, columna vertebral y hombro, con los mejores resultados de instalación reportados tanto en EE. UU. como a nivel mundial. Esto se ve respaldado además por el crecimiento orgánico en los negocios de rodilla y cadera en EE. UU. debido a procedimientos asistidos por robot y nuevas instalaciones de Mako, así como por el lanzamiento del sistema Mako 4 SmartRobotics de próxima generación y un acuerdo exclusivo con VB Spine en Mako Spine.","[{'name': 'syk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/syk-Q324-10-Q.html'}]",4430948,USD,SMART,STK,True,SUR
GMED,health,surgical_robotics,US3795772082,GLOBUS MEDICAL INC - A,5,Impulsa la innovación dentro del tema de Robótica Quirúrgica mediante el desarrollo y la provisión de sistemas robóticos avanzados para aplicaciones quirúrgicas.,"La participación de Globus Medical con la Robótica Quirúrgica es evidente a través de sus Tecnologías Habilitadoras, que incluyen soluciones de imagen, navegación y robótica para cirugía asistida. La empresa vende sistemas robóticos EGPS, y la retroalimentación de los cirujanos ha sido positiva, con casi 110.000 procedimientos realizados con sus robots. Globus Medical también ofrece Excelsius XR, un casco de realidad aumentada montado en la cabeza para navegación, e integra su sistema de fijación Reline con el conjunto de tecnología habilitadora Excelsius, ofreciendo una solución quirúrgica integral. La empresa anticipa que los robots y los procedimientos robóticos crecerán dentro de la cirugía de columna, y que la cirugía robótica se convertirá en el estándar de atención.","[{'name': 'gmed-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gmed-Q125-10-Q.html'}, {'name': 'gmed-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gmed-Q225-10-Q.html'}, {'name': 'gmed-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gmed-Q324-10-Q.html'}, {'name': 'gmed-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gmed-FY24-10-K.html'}]",111576465,USD,SMART,STK,True,SUR
ZBH,health,surgical_robotics,US98956P1021,ZIMMER BIOMET HOLDINGS INC,6,"Ofrece sistemas de cirugía robótica diseñados para mejorar la precisión y los resultados en procedimientos ortopédicos, contribuyendo a los avances en robótica quirúrgica.","El compromiso de Zimmer Biomet con la robótica quirúrgica es evidente a través de su desarrollo y comercialización de tecnologías digitales y robóticas integradas, incluido el robot ROSA. La compañía está innovando activamente en robótica, planeando introducir nuevas aplicaciones ROSA y expandiendo sus plataformas robóticas, además de destinar recursos comerciales adicionales a esta área. Este compromiso se demuestra aún más con la adquisición de Monogram Technologies, una empresa de robótica ortopédica, para mejorar su conjunto de tecnologías robóticas.","[{'name': 'zbh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/zbh-Q225-10-Q.html'}, {'name': 'zbh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/zbh-Q324-10-Q.html'}, {'name': 'zbh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/zbh-FY24-10-K.html'}, {'name': 'zbh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/zbh-Q125-10-Q.html'}]",12851783,USD,SMART,STK,True,SUR
SHL,health,surgical_robotics,DE000SHL1006,SIEMENS HEALTHINEERS AG,7,Contribuye a la industria de la robótica quirúrgica mediante el desarrollo y la provisión de soluciones avanzadas de tecnología médica que respaldan los procedimientos quirúrgicos asistidos por robot.,,,310520441,EUR,SMART,STK,False,SUR
NOVT,health,surgical_robotics,CA67000B1040,NOVANTA INC,8,"Desarrolla y suministra componentes y subsistemas críticos que mejoran la precisión, el rendimiento y la funcionalidad de las plataformas robóticas quirúrgicas.","Novanta se enfoca estratégicamente en la cirugía mínimamente invasiva y robótica avanzada como un área clave para el crecimiento a largo plazo, con el objetivo de superar al mercado de la salud a través del lanzamiento de nuevos productos en este sector. La estrategia de la compañía implica la introducción de nuevos productos dirigidos a aplicaciones médicas atractivas, incluida la cirugía mínimamente invasiva y robótica, para aumentar las ventas médicas como porcentaje de los ingresos totales. Este enfoque está respaldado por la exitosa escalada de lanzamientos de nuevos productos diseñados para mejorar la seguridad del paciente y la eficiencia quirúrgica, y se espera que el negocio de Cirugía Avanzada casi duplique sus ingresos para 2030. Las capacidades de detección y servomotores de Novanta, utilizadas tanto en automatización de almacenes como en robótica quirúrgica, resaltan el compromiso de la compañía con la innovación y su relevancia en el campo de la robótica quirúrgica.","[{'name': 'novt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/novt-Q125-10-Q.html'}, {'name': 'novt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/novt-Q225-10-Q.html'}, {'name': 'novt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/novt-Q324-10-Q.html'}, {'name': 'novt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/novt-FY24-10-K.html'}]",233146666,USD,SMART,STK,True,SUR
ATEC,health,surgical_robotics,US02081G2012,ALPHATEC HOLDINGS INC,9,Impulsa la innovación y proporciona soluciones dentro de la industria de la Robótica Quirúrgica.,"El compromiso de ATEC con la robótica quirúrgica es evidente a través del desarrollo e integración de su sistema de robótica de navegación Valence en sus procedimientos espinales patentados, con el objetivo de mejorar la precisión y el flujo de trabajo quirúrgicos. Actualmente en pruebas alfa, Valence está diseñado para ayudar en la colocación de tornillos, integrarse directamente en el flujo de trabajo paso a paso y minimizar la exposición a la radiación. ATEC planea integrar la navegación con la robótica, con casos planificados utilizando el sistema combinado para fin de año, y anticipa un lanzamiento completo en 2026, enfatizando la planificación automatizada de la alineación y el análisis predictivo para mejorar los resultados quirúrgicos.",,245164531,USD,SMART,STK,False,SUR
AME,health,surgical_robotics,US0311001004,AMETEK INC,10,Opera dentro de la industria de la robótica quirúrgica.,"La exposición de AME al tema de la robótica quirúrgica es evidente a través de su negocio Paragon Medical, que se especializa en instrumentos quirúrgicos de un solo uso y consumibles, así como en componentes implantables. Paragon experimentó un aumento sustancial en los pedidos, lo que indica una posición fortalecida dentro de atractivos mercados de MedTech. Además, la capacidad líder de fabricación aditiva de Paragon y la alineación de los márgenes de EBITDA con AMETEK resaltan su efectividad operativa en el espacio de instrumentos quirúrgicos consumibles.",,4392,USD,SMART,STK,True,SUR
