type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
financials,sustainable_finance,US09290D1019,BLACKROCK INC,1,"Desempeña un papel de liderazgo en la integración de factores ambientales, sociales y de gobernanza (ESG) en las estrategias de inversión y ofrece una amplia gama de productos de inversión sostenible, influyendo significativamente en la asignación de capital global hacia resultados sostenibles.",,729193719,USD,BLK,SMART,STK,True,,SUS
financials,sustainable_finance,ES0113900J37,BANCO SANTANDER SA,2,"Desarrolla y ofrece un conjunto integral de productos y servicios financieros diseñados para apoyar proyectos e inversiones ambiental y socialmente sostenibles, contribuyendo activamente a la transición hacia una economía más verde.",,30314144,EUR,SAN,SMART,STK,False,,SUS
financials,sustainable_finance,US55354G1004,MSCI INC,3,"Proporciona datos, investigación, calificaciones e índices críticos de ESG que permiten a los inversores e instituciones financieras integrar consideraciones de sostenibilidad en sus procesos de inversión y toma de decisiones.","MSCI demuestra un fuerte enfoque en Finanzas Sostenibles, destacado por su segmento dedicado de 'Sostenibilidad y Clima', que es un componente central de sus segmentos informables. Este compromiso se enfatiza aún más por el objetivo estratégico de MSCI de liderar la habilitación de la integración de inversiones en sostenibilidad y clima. La empresa reconoce los riesgos de sostenibilidad y clima como factores críticos que influyen en las decisiones de inversión, los marcos regulatorios y las estrategias corporativas. El crecimiento de los ingresos operativos de suscripciones recurrentes relacionadas con los productos de Calificaciones y Clima, así como los productos de índices ESG y climáticos, subraya aún más la importancia de este tema para el negocio de MSCI.",47101335,USD,MSCI,SMART,STK,True,"[{'name': 'msci-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msci-Q324-10-Q.html'}, {'name': 'msci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msci-Q225-10-Q.html'}, {'name': 'msci-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/msci-FY24-10-K.html'}]",SUS
financials,sustainable_finance,US46625H1005,JPMORGAN CHASE & CO,4,"Proporciona amplios servicios financieros, capital y apoyo de asesoramiento para promover el desarrollo sostenible y los objetivos ambientales en diversos sectores.",,1520593,USD,JPM,SMART,STK,True,,SUS
financials,sustainable_finance,US0605051046,BANK OF AMERICA CORP,5,"Apoya la transición hacia una economía baja en carbono y sostenible proporcionando financiación, inversión y servicios de asesoramiento para proyectos e iniciativas ambiental y socialmente responsables.",,10098,USD,BAC,SMART,STK,True,,SUS
financials,sustainable_finance,US78409V1044,S&P GLOBAL INC,6,"Proporciona datos críticos, puntos de referencia y calificaciones que permiten a los inversores evaluar factores ambientales, sociales y de gobernanza (ESG), facilitando así decisiones de inversión sostenibles y la asignación de capital.","La participación de S&P Global en Finanzas Sostenibles es evidente a través del crecimiento de los ingresos de Transición Energética y Sostenibilidad, que alcanzaron los 93 millones de dólares este trimestre. Este crecimiento se atribuye a la demanda de datos y perspectivas de Market Intelligence y de productos de sostenibilidad dentro de su división de Índices. Aunque representa una pequeña parte de los ingresos totales, el enfoque de la empresa en productos de sostenibilidad indica su importancia estratégica.",229629397,USD,SPGI,SMART,STK,True,,SUS
financials,sustainable_finance,US38141G1040,GOLDMAN SACHS GROUP INC,7,"Proporciona servicios financieros y soluciones de capital que apoyan los objetivos ambientales, sociales y de gobernanza, facilitando la transición hacia una economía más sostenible.",,4627828,USD,GS,SMART,STK,True,,SUS
financials,sustainable_finance,US6174464486,MORGAN STANLEY,8,"Proporciona servicios financieros integrales, que incluyen asesoramiento, financiación y soluciones de inversión, para apoyar y promover el desarrollo sostenible y las iniciativas ambientales, sociales y de gobernanza (ESG) en diversos sectores.",,2841574,USD,MS,SMART,STK,True,,SUS
financials,sustainable_finance,FR0000131104,BNP PARIBAS,9,Proporciona amplios servicios y soluciones financieras que apoyan la transición hacia una economía sostenible.,,29612163,EUR,BNP,SMART,STK,False,,SUS
financials,sustainable_finance,GB0005405286,HSBC HOLDINGS PLC,10,Proporciona una amplia gama de servicios y productos financieros para apoyar iniciativas de sostenibilidad ambiental y social.,,909083,GBP,HSBA,SMART,STK,False,,SUS
