type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
industrial,sustainable_products,US88160R1014,TESLA INC,1,"Desarrolla y fabrica vehículos eléctricos, sistemas de almacenamiento de energía de baterías y productos de energía solar, contribuyendo significativamente a la transición hacia una economía de energía sostenible.",,76792991,USD,TSLA,SMART,STK,True,,SUS
industrial,sustainable_products,US7427181091,PROCTER & GAMBLE CO/THE,2,"Desarrolla y ofrece activamente una amplia gama de productos diseñados teniendo en cuenta la responsabilidad ambiental y social, impulsando la innovación y la adopción por parte de los consumidores en el mercado de productos sostenibles.","P&G integra la sostenibilidad ambiental para impulsar innovaciones superiores en productos y envases, lo que indica un enfoque estratégico. Este enfoque es parte de un esfuerzo más amplio para interrumpir constructivamente la industria a través de la innovación y las nuevas tecnologías. La empresa considera el progreso hacia los objetivos de sostenibilidad ambiental entre sus riesgos e incertidumbres, lo que resalta aún más su importancia.",11054,USD,PG,SMART,STK,True,"[{'name': 'pg-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pg-FY25-10-K.html'}]",SUS
industrial,sustainable_products,JP3633400001,TOYOTA MOTOR CORP,3,"Ofrece una cartera diversa de vehículos ecológicos, incluidas tecnologías híbridas, eléctricas y de celdas de combustible, para promover el transporte sostenible en los mercados globales.",,13905804,JPY,7203,SMART,STK,False,,SUS
industrial,sustainable_products,US65339F1012,NEXTERA ENERGY INC,4,Desempeña un papel de liderazgo en el sector de Productos Sostenibles a través de su amplio desarrollo e implementación de soluciones de energía limpia.,,75960201,USD,NEE,SMART,STK,True,,SUS
industrial,sustainable_products,DK0060094928,ORSTED A/S,5,"Se enfoca en el desarrollo, construcción y operación de parques eólicos marinos y otros activos de energía renovable, proporcionando soluciones de energía sostenible a una base de clientes global.",,242060078,DKK,ORSTED,SMART,STK,False,,SUS
industrial,sustainable_products,IE00028FXN24,SMURFIT WESTROCK PLC,6,"Es un productor líder de soluciones de embalaje a base de papel, con un fuerte enfoque en materiales sostenibles y principios de diseño circular para minimizar el impacto ambiental a lo largo del ciclo de vida de sus productos.","Smurfit Westrock enfatiza su compromiso con los 'Productos Sostenibles' al asociarse con clientes para ofrecer soluciones de papel y embalaje diferenciadas y sostenibles. La compañía reconoce que los cambios en el comportamiento del consumidor y una mayor conciencia sobre las soluciones de embalaje insostenibles han sido beneficiosos para el embalaje a base de papel, que generalmente está hecho de materiales renovables y reciclables. Si bien la sostenibilidad es un enfoque, no es la única oferta de productos.",713434903,USD,SW,SMART,STK,True,"[{'name': 'sw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sw-Q125-10-Q.html'}, {'name': 'sw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sw-FY24-10-K.html'}]",SUS
industrial,sustainable_products,IE00BK9ZQ967,TRANE TECHNOLOGIES PLC,7,"Ofrece una cartera integral de productos y servicios sostenibles, que incluyen sistemas HVAC de eficiencia energética y soluciones climáticas, diseñados para reducir el impacto ambiental e impulsar los esfuerzos de descarbonización.","Trane Technologies enfatiza productos sostenibles a través de su provisión de soluciones sostenibles y eficientes para edificios, hogares y transporte a través de sus marcas estratégicas, Trane® y Thermo King®. Este enfoque se demuestra aún más a través de ambiciosos Compromisos de Sostenibilidad para 2030, incluido el Gigaton Challenge, cuyo objetivo es reducir las emisiones de carbono de los clientes en mil millones de toneladas métricas utilizando productos y servicios sostenibles. La empresa también se compromete a reducir el carbono incorporado en sus productos en un 40% y a diseñar productos para la circularidad, destacando un enfoque integral de la sostenibilidad.",406709270,USD,TT,SMART,STK,True,"[{'name': 'tt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tt-Q225-10-Q.html'}, {'name': 'tt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tt-Q125-10-Q.html'}, {'name': 'tt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tt-Q324-10-Q.html'}, {'name': 'tt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tt-FY24-10-K.html'}]",SUS
industrial,sustainable_products,ES0144580Y14,IBERDROLA SA.,8,Contribuye a la disponibilidad y adopción de productos sostenibles a través de su extensa generación de energía limpia a partir de fuentes renovables y la provisión de soluciones energéticas ambientalmente responsables.,,46586284,EUR,IBE,SMART,STK,False,,SUS
industrial,sustainable_products,JE00BJ1F3079,AMCOR PLC,9,"Se enfoca en desarrollar y proporcionar soluciones de empaque responsables que sean reciclables, reutilizables o hechas de materiales renovables, contribuyendo a una economía circular y apoyando la adopción más amplia de productos sostenibles.","El enfoque de Amcor en productos sostenibles es evidente en sus iniciativas estratégicas para impulsar el crecimiento a través de la innovación y soluciones de embalaje sostenible. La empresa aprovecha sus recursos para desarrollar estas soluciones, respaldada por una inversión sustancial en I+D de 180 millones de dólares y un equipo de más de 1.500 profesionales de I+D centrados en abordar complejos desafíos de sostenibilidad. Este compromiso se refleja en los esfuerzos de Amcor por optimizar y redirigir el gasto en I+D hacia la funcionalidad y la sostenibilidad para sus clientes.",364845429,USD,AMCR,SMART,STK,True,,SUS
industrial,sustainable_products,GB00B10RZP78,UNILEVER PLC,10,"Prioriza la creación y distribución de productos diseñados para minimizar la huella ambiental y promover el bienestar social, lo que refleja una estrategia comercial central.",,39234893,GBP,ULVR.OLD,SMART,STK,False,,SUS
industrial,sustainable_products,US2788651006,ECOLAB INC,11,"Proporciona soluciones y servicios sostenibles que ayudan a los clientes a optimizar el uso del agua, mejorar la higiene y aumentar la eficiencia energética en diversas industrias.",,6682,USD,ECL,SMART,STK,True,,SUS
