symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
PANW,THR,technology,threat_intelligence,US6974351057,PALO ALTO NETWORKS INC,1,"Es pionera en avances en el dominio de Inteligencia de Amenazas, dando forma a su evolución y aplicación en ciberseguridad.","Palo Alto Networks demuestra un fuerte enfoque en Inteligencia de Amenazas, principalmente a través de su dedicada Unit 42. Unit 42 consolida experiencia de renombre mundial en investigación de amenazas, respuesta a incidentes y consultoría de seguridad para ofrecer resultados impulsados por la inteligencia, ayudando a los clientes a gestionar los riesgos cibernéticos. Esta unidad ofrece servicios de detección y respuesta gestionadas, junto con servicios de caza de amenazas gestionadas, enfatizando aún más el compromiso de la empresa de proporcionar soluciones integrales de inteligencia de amenazas.","[{'name': 'panw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q324-10-Q.html'}, {'name': 'panw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/panw-FY24-10-K.html'}, {'name': 'panw-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q325-10-Q.html'}, {'name': 'panw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q125-10-Q.html'}]",110619459,USD,SMART,STK
MSFT,THR,technology,threat_intelligence,US5949181045,MICROSOFT CORP,2,"Proporciona capacidades avanzadas de inteligencia de amenazas y soluciones de ciberseguridad para detectar, analizar y proteger contra ciberataques sofisticados en sus plataformas en la nube y ofertas empresariales.",,,272093,USD,SMART,STK
GOOGL,THR,technology,threat_intelligence,US02079K3059,ALPHABET INC-CL A,3,"Desarrolla e integra activamente capacidades avanzadas de inteligencia de amenazas en sus productos y servicios, incluidos Google Cloud y Mandiant, para detectar, prevenir y responder a amenazas cibernéticas sofisticadas para su base global de usuarios y clientes empresariales.",,,208813719,USD,SMART,STK
CRWD,THR,technology,threat_intelligence,US22788C1053,CROWDSTRIKE HOLDINGS INC - A,4,"Aprovecha la inteligencia de amenazas en tiempo real y los conocimientos sobre adversarios para identificar, prevenir y responder de forma proactiva a ciberataques sofisticados en puntos finales, cargas de trabajo en la nube e identidades.","El compromiso de CrowdStrike con el tema de Inteligencia de Amenazas es evidente en su plataforma CrowdStrike Falcon nativa de IA y Security Cloud, que utilizan IA a escala de nube para enriquecer y correlacionar billones de eventos de ciberseguridad por semana con inteligencia de amenazas. Este proceso permite la creación de datos procesables, la identificación de cambios en las tácticas de los adversarios y la prevención automatizada de amenazas en tiempo real. La plataforma Falcon, una plataforma nativa de la nube construida con IA en su núcleo, también se utiliza para análisis forense y de malware, y análisis de atribución, lo que demuestra aún más el enfoque de la empresa en las capacidades de inteligencia de amenazas.","[{'name': 'crwd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crwd-Q225-10-Q.html'}, {'name': 'crwd-FY23-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crwd-FY23-10-K.html'}, {'name': 'crwd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crwd-Q125-10-Q.html'}, {'name': 'crwd-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crwd-Q325-10-Q.html'}]",370757467,USD,SMART,STK
CSCO,THR,technology,threat_intelligence,US17275R1023,CISCO SYSTEMS INC,5,"Aprovecha una amplia inteligencia global sobre amenazas para informar y mejorar su completa suite de productos de ciberseguridad, proporcionando protección en tiempo real y defensa proactiva contra amenazas cibernéticas en evolución para redes, puntos finales e infraestructuras en la nube.","El enfoque de Cisco en la Inteligencia de Amenazas es evidente en su categoría de productos de Seguridad, donde las ofertas de Inteligencia, Detección y Respuesta de Amenazas son componentes clave. Estas ofertas, incluidas las de Splunk, contribuyeron significativamente a un aumento sustancial de los ingresos del 54%, o $709 millones, dentro de la categoría de productos de Seguridad. Este crecimiento resalta la importancia estratégica y el impacto financiero de la inteligencia de amenazas en el rendimiento general de Cisco, siendo las ofertas de Inteligencia, Detección y Respuesta de Amenazas los principales impulsores.","[{'name': 'csco-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q325-10-Q.html'}, {'name': 'csco-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q225-10-Q.html'}]",268084,USD,SMART,STK
FTNT,THR,technology,threat_intelligence,US34959E1091,FORTINET INC,6,"Desarrolla e integra capacidades avanzadas de inteligencia de amenazas en sus plataformas de ciberseguridad, proporcionando protección proactiva contra las amenazas cibernéticas en evolución a través del análisis de datos en tiempo real y la información sobre los actores de amenazas.","Fortinet demuestra un fuerte enfoque en Inteligencia contra Amenazas a través de su organización dedicada a la inteligencia e investigación de ciberseguridad contra amenazas, FortiGuard Labs. Esta organización está compuesta por cazadores de amenazas, investigadores, analistas, ingenieros y científicos de datos experimentados que utilizan tecnologías de aprendizaje automático e IA para proporcionar actualizaciones de protección oportunas e inteligencia contra amenazas procesable. FortiGuard Labs monitorea la superficie de ataque mundial utilizando millones de sensores de red globales y emplea IA para analizar esos datos en busca de nuevas amenazas, ofreciendo detección y aplicación coordinadas en toda la superficie de ataque a través de Fortinet Security Fabric.","[{'name': 'ftnt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ftnt-Q324-10-Q.html'}, {'name': 'ftnt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ftnt-Q225-10-Q.html'}]",70236214,USD,SMART,STK
ZS,THR,technology,threat_intelligence,US98980G1022,ZSCALER INC,7,Integra inteligencia de amenazas en tiempo real en su plataforma de seguridad nativa de la nube para detectar y prevenir de forma proactiva ciberataques sofisticados.,"El enfoque de Zscaler en Inteligencia de Amenazas es evidente a través de su adquisición de Red Canary, un movimiento estratégico diseñado para mejorar sus capacidades en el mercado de SOC. Esta adquisición aporta ingenieros experimentados en inteligencia de amenazas y tecnología Agentic AI, complementando la tecnología de tejido de datos existente de Zscaler adquirida de Avalor. La integración de Red Canary permitirá a Zscaler expandirse a la detección y respuesta administradas (MDR) e Inteligencia de Amenazas, marcando un paso significativo hacia convertirse en un actor líder en operaciones de seguridad.",,310621426,USD,SMART,STK
IBM,THR,technology,threat_intelligence,US4592001014,INTL BUSINESS MACHINES CORP,8,"Ofrece soluciones y servicios integrales de inteligencia de amenazas para ayudar a las organizaciones a identificar, analizar y mitigar proactivamente los riesgos de ciberseguridad.",,,8314,USD,SMART,STK
S,THR,technology,threat_intelligence,US81730H1095,SENTINELONE INC -CLASS A,9,"Integra capacidades sofisticadas de inteligencia de amenazas para identificar, analizar y defenderse proactivamente contra las amenazas cibernéticas en evolución.","La plataforma de SentinelOne, Singularity, enfatiza la inteligencia y la IA para proporcionar seguridad contra amenazas. La seguridad impulsada por IA de la empresa está diseñada para detener las amenazas antes de que comiencen procesando datos en tiempo real, previniendo brechas. SentinelOne destaca la necesidad de ingesta y procesamiento de datos en tiempo real para contrarrestar los ataques impulsados por IA, enfatizando la importancia de la IA en el procesamiento de datos para mejorar la detección y respuesta de amenazas.",,499640681,USD,SMART,STK
AKAM,THR,technology,threat_intelligence,US00971T1016,AKAMAI TECHNOLOGIES INC,10,Contribuye y utiliza Inteligencia de Amenazas para salvaguardar activos digitales y mejorar la postura de seguridad para sus clientes.,,,6220356,USD,SMART,STK
PLTR,THR,technology,threat_intelligence,US69608A1088,PALANTIR TECHNOLOGIES INC-A,11,"Proporciona plataformas avanzadas de análisis de datos que permiten a las organizaciones detectar, analizar y responder a diversas amenazas mediante la integración y el procesamiento de grandes cantidades de información.",,,444857009,USD,SMART,STK
NET,THR,technology,threat_intelligence,US18915M1071,CLOUDFLARE INC - CLASS A,12,"Aprovecha su red global para recopilar y analizar datos de amenazas en tiempo real, contribuyendo y utilizando inteligencia de amenazas para servicios de seguridad integrales.",,,382633646,USD,SMART,STK
