type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
health,treatments_for_obesity,US5324571083,ELI LILLY & CO,1,"Es un impulsor principal en el desarrollo y comercialización de tratamientos farmacéuticos para la obesidad, ofreciendo soluciones innovadoras que abordan necesidades médicas significativas no cubiertas en el control de peso.","Lilly se centra significativamente en tratamientos para la obesidad, como lo demuestra su diversa cartera de medicamentos como Mounjaro, Zepbound, Orforglipron y Retatrutide. El compromiso de la empresa se ve aún más resaltado por los ensayos de Fase 3 en curso para orforglipron y retatrutide, dirigidos a la obesidad y afecciones relacionadas. Además, los sustanciales ingresos de Zepbound, que alcanzaron los 5.690 millones de dólares en los primeros seis meses de 2025, subrayan la importancia de los tratamientos para la obesidad en el rendimiento financiero de Lilly, con Zepbound liderando el mercado estadounidense de medicamentos de marca contra la obesidad.","[{'name': 'lly-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lly-Q324-10-Q.html'}, {'name': 'lly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lly-FY24-10-K.html'}, {'name': 'lly-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lly-Q225-10-Q.html'}]",9160,USD,LLY,SMART,STK,True
health,treatments_for_obesity,DK0062498333,NOVO NORDISK A/S-B,2,"Desarrolla y proporciona tratamientos farmacéuticos líderes para la obesidad, contribuyendo significativamente a la atención del paciente y al manejo de esta afección crónica a nivel mundial.",,,652806383,DKK,NOVO.B,SMART,STK,False
health,treatments_for_obesity,US4330001060,HIMS & HERS HEALTH INC,3,"Proporciona acceso a medicamentos recetados para la pérdida de peso y planes de atención personalizados a través de su plataforma de telesalud, abordando la creciente demanda de tratamientos para la obesidad.","El compromiso de Hims & Hers con el tema de Tratamientos para la Obesidad es significativo, como lo demuestran varios factores clave. La plataforma digital de la compañía facilita el acceso a tratamientos para la pérdida de peso, que se encuentra entre sus cinco especialidades principales. Este enfoque se ve aún más enfatizado por el objetivo estratégico de la compañía de posicionarse como líder en el abordaje de la epidemia crónica de obesidad. Además, el crecimiento de los ingresos en línea de la compañía ha sido impulsado significativamente por nuevos suscriptores a sus soluciones de pérdida de peso, incluidas las ofertas de GLP-1, y la compañía tiene un objetivo de ingresos de 725 millones de dólares este año de la categoría de pérdida de peso. Este compromiso se ve subrayado por las colaboraciones con Novo Nordisk para ampliar el acceso a Wegovy de marca y la adición de liraglutida a sus ofertas, solidificando su posición en el mercado de tratamientos para la obesidad.","[{'name': 'hims-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hims-Q125-10-Q.html'}, {'name': 'hims-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hims-Q324-10-Q.html'}]",466188387,USD,HIMS,SMART,STK,True
health,treatments_for_obesity,US76243J1051,RHYTHM PHARMACEUTICALS INC,4,Desarrolla y comercializa terapias farmacéuticas específicamente para el tratamiento de la obesidad.,"Rhythm Pharmaceuticals se dedica a desarrollar tratamientos para la obesidad, particularmente la obesidad severa causada por enfermedades genéticas y neuroendocrinas raras. El enfoque de la empresa es evidente a través de su trabajo con agonistas del receptor de melanocortina-4 (MC4R), incluido IMCIVREE (setmelanotida), diseñado como medicina de precisión para la hiperfagia y la obesidad severa. IMCIVREE ya está aprobado por la FDA para afecciones genéticas específicas que causan obesidad, y la empresa está buscando activamente la aprobación regulatoria para la setmelanotida en la obesidad hipotalámica adquirida, respaldada por resultados positivos de ensayos de Fase 3. Además, Rhythm Pharmaceuticals está desarrollando compuestos de próxima generación como bivamelagón y RM-718 para afecciones relacionadas con la obesidad, lo que demuestra un compromiso sostenido con esta área terapéutica.","[{'name': 'rytm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rytm-Q125-10-Q.html'}, {'name': 'rytm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rytm-Q225-10-Q.html'}]",291378079,USD,RYTM,SMART,STK,False
health,treatments_for_obesity,US92686J1060,VIKING THERAPEUTICS INC,5,Está activamente involucrada en el desarrollo de candidatos terapéuticos dirigidos al tratamiento de la obesidad.,"Viking Therapeutics participa significativamente en el desarrollo de tratamientos para la obesidad, principalmente a través de su programa VK2735, que incluye formulaciones subcutáneas y orales. La compañía ha iniciado el programa de registro Fase III VANQUISH para evaluar VK2735 en adultos con obesidad y adultos con obesidad o sobrepeso y diabetes tipo 2, y ha completado la inscripción en un ensayo Fase II para la formulación oral. Viking también está avanzando en una serie de nuevos agonistas dirigidos al receptor de amilina para la regulación del apetito y el peso corporal, demostrando un enfoque amplio para abordar la obesidad.","[{'name': 'vktx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vktx-Q225-10-Q.html'}, {'name': 'vktx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vktx-FY24-10-K.html'}, {'name': 'vktx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vktx-Q125-10-Q.html'}]",192379311,USD,VKTX,SMART,STK,False
health,treatments_for_obesity,US0311621009,AMGEN INC,6,Desarrolla e investiga terapias dirigidas a abordar las complejas necesidades médicas dentro del panorama de los tratamientos para la obesidad.,"El compromiso de Amgen con los Tratamientos para la Obesidad es evidente a través del desarrollo de MariTide, una terapia para la obesidad y afecciones relacionadas, con estudios de Fase 3 en curso para el control crónico del peso en adultos, tanto con como sin diabetes tipo 2. MariTide tiene un perfil único, diferenciado y altamente competitivo. Los resultados del estudio de Fase 2 demostraron una pérdida de peso significativa en comparación con el placebo, y la pérdida de peso no se había estabilizado a las 52 semanas, lo que indica el potencial de una mayor reducción de peso. Amgen se compromete a aprovechar al máximo el potencial de MariTide, considerándolo un avance prometedor en el tratamiento.","[{'name': 'amgn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amgn-Q225-10-Q.html'}, {'name': 'amgn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amgn-Q125-10-Q.html'}]",266145,USD,AMGN,SMART,STK,True
health,treatments_for_obesity,US1266501006,CVS HEALTH CORP,7,Proporciona servicios de farmacia para la dispensación de medicamentos para el tratamiento de la obesidad y ofrece apoyo sanitario para el control del peso.,"CVS Health demuestra un compromiso con los tratamientos de la obesidad a través de varias iniciativas estratégicas. La empresa se ha asociado con Novo Nordisk para mejorar el acceso a Wegovy a un costo reducido, aprovechando su posición como la primera farmacia minorista en la red de farmacias Novo Care y ofreciendo acceso conveniente en 9.000 centros de salud comunitarios. CVS también está abordando el creciente uso de GLP-1 al fomentar la competencia entre fabricantes para reducir los costos de los medicamentos y proporciona un programa de control de peso a través de Caremark, integrando la medicación con apoyo clínico de estilo de vida para mejorar los resultados de los pacientes, con participantes del programa que logran una pérdida de peso significativa. Este programa tiene como objetivo empoderar a los pacientes para lograr una mayor pérdida de peso que la terapia farmacológica por sí sola.",,2585769,USD,CVS,SMART,STK,True
health,treatments_for_obesity,US86366E1064,STRUCTURE THERAPEUTICS INC,8,Desarrolla soluciones terapéuticas para la obesidad.,"La empresa demuestra un fuerte enfoque en tratamientos para la obesidad, principalmente a través del desarrollo de aleniglipron, un agonista selectivo del receptor del péptido similar al glucagón-1 de molécula pequeña oral, que se encuentra actualmente en estudios clínicos de Fase 2 para la obesidad, el sobrepeso y afecciones relacionadas. Su cartera de obesidad incluye ACCG-2671, un candidato en desarrollo de agonista del receptor de amilina de molécula pequeña oral, y otras moléculas dirigidas a los receptores GIP, GCG y APJ. La empresa informó datos positivos de sus estudios de Fase 2a sobre obesidad, en los que aleniglipron demostró una disminución media del peso ajustada por placebo clínicamente significativa y estadísticamente significativa, y también está explorando terapias combinadas con semaglutida para una pérdida de peso superior en comparación con la monoterapia.","[{'name': 'gpcr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gpcr-Q125-10-Q.html'}, {'name': 'gpcr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gpcr-Q225-10-Q.html'}, {'name': 'gpcr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gpcr-FY24-10-K.html'}]",611992952,USD,GPCR,SMART,STK,False
health,treatments_for_obesity,US1255231003,THE CIGNA GROUP,9,Aborda tratamientos para la obesidad.,"Cigna demuestra su compromiso con el tema de los tratamientos para la obesidad a través del lanzamiento por parte de Evernorth de una opción de beneficio pionera diseñada para reducir los gastos de los pacientes relacionados con las recetas de pérdida de peso GLP-1, ofreciendo mayor elección y previsibilidad. Este nuevo beneficio, que se basa en las ofertas de Encircle y EnReach, limita los costos de desembolso de los pacientes a no más de $200 por mes, al tiempo que también se aplica a su deducible anual. Negociado directamente con dos fabricantes de medicamentos, este beneficio brinda a los clientes la flexibilidad de cubrir estos medicamentos de múltiples maneras para servir mejor a sus clientes.",,346403540,USD,CI,SMART,STK,True
health,treatments_for_obesity,GB0009895292,ASTRAZENECA PLC,10,Está involucrada en el desarrollo de tratamientos dirigidos a la obesidad.,,,909330,GBP,AZN,SMART,STK,False
