type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
defense and aerospace,unmanned_systems,US0080731088,AEROVIRONMENT INC,1,"Desarrolla y suministra sistemas avanzados de aeronaves no tripuladas, incluidos sistemas de misiles tácticos y drones de reconocimiento, para los sectores de defensa y comercial a nivel mundial, contribuyendo significativamente a las capacidades operativas autónomas.","La empresa exhibe un fuerte enfoque en Sistemas No Tripulados (UxS), como lo demuestra su segmento dedicado a UxS, que incluye las líneas de productos SUAS, MUAS y UGV. Una parte significativa de los ingresos de la empresa se deriva de las ventas de productos y servicios de UxS, con una creciente demanda global que impulsa los envíos de productos. La empresa diseña, desarrolla, produce y apoya una cartera tecnológicamente avanzada de sistemas robóticos multidominio, suministrando aeronaves no tripuladas y sistemas de robots terrestres, así como sistemas de municiones merodeadoras, principalmente al Departamento de Defensa de EE. UU. y aliados internacionales. Además, la empresa está invirtiendo en nuevas tecnologías e introduciendo nuevos productos UAS, como el P550, para mantener su posición de liderazgo en el mercado de sistemas no tripulados.","[{'name': 'avav-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avav-Q225-10-Q.html'}, {'name': 'avav-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avav-Q325-10-Q.html'}, {'name': 'avav-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avav-Q125-10-Q.html'}, {'name': 'avav-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/avav-FY25-10-K.html'}]",42464367,USD,AVAV,SMART,STK,True
defense and aerospace,unmanned_systems,US5398301094,LOCKHEED MARTIN CORP,2,"Desarrolla, fabrica e integra sistemas avanzados no tripulados en los dominios aéreo, terrestre y marítimo, contribuyendo significativamente a las capacidades de defensa y seguridad.","El segmento de negocio de Aeronáutica de Lockheed Martin contribuye significativamente al tema de Sistemas No Tripulados a través de su investigación, diseño, desarrollo, fabricación, integración, sostenimiento, soporte y mejora de vehículos aéreos no tripulados. El enfoque de la empresa en avanzar en soluciones de misión en todos los dominios a través de inversiones en tecnologías digitales como IA/ML, Autonomía y Colaboración Tripulada/No Tripulada subraya aún más su compromiso. Si bien la empresa participa en vehículos aéreos no tripulados, no hay una mención explícita de la contribución a los ingresos.","[{'name': 'lmt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lmt-FY24-10-K.html'}]",611191,USD,LMT,SMART,STK,True
defense and aerospace,unmanned_systems,US6668071029,NORTHROP GRUMMAN CORP,3,"Desarrolla y fabrica una amplia cartera de sistemas aéreos, terrestres y marítimos avanzados no tripulados, contribuyendo significativamente a las capacidades de defensa e inteligencia.","El segmento de Sistemas de Aeronáutica de Northrop Grumman está significativamente involucrado en el tema de Sistemas No Tripulados, centrándose en el diseño, desarrollo, producción, integración, sostenimiento y modernización de sistemas de aeronaves militares. Un aspecto clave de este compromiso es la producción de sistemas de aeronaves autónomas no tripuladas por parte de la empresa, incluidos los sistemas estratégicos de inteligencia, vigilancia y reconocimiento (ISR) de gran altitud y larga duración (HALE), que se identifican como productos principales. Esto demuestra la importancia estratégica y la inversión en sistemas no tripulados, particularmente dentro del segmento de Sistemas de Aeronáutica, tanto para las agencias del gobierno de EE. UU. como para clientes internacionales.","[{'name': 'noc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/noc-FY24-10-K.html'}]",10376,USD,NOC,SMART,STK,True
defense and aerospace,unmanned_systems,US50077B2079,KRATOS DEFENSE & SECURITY,4,"Desarrolla y fabrica una amplia gama de sistemas aéreos, terrestres y marítimos no tripulados para aplicaciones de defensa, seguridad y comerciales, incluidos drones objetivo, UAV tácticos y plataformas autónomas.","Kratos demuestra un fuerte enfoque en Sistemas No Tripulados, como lo demuestra su segmento reportable dedicado a US que abarca sistemas aéreos, terrestres y marítimos no tripulados. Las principales áreas de negocio de la empresa incluyen sistemas de drones aéreos no tripulados propulsados por jet, y el crecimiento de la cartera de pedidos se atribuye principalmente a la adjudicación de contratos en el sector de Sistemas No Tripulados. Además, Kratos está invirtiendo activamente en aeronaves no tripuladas propulsadas por jet e iniciativas tácticas, solidificando su compromiso con este tema de la industria.","[{'name': 'ktos-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ktos-Q225-10-Q.html'}, {'name': 'ktos-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ktos-Q324-10-Q.html'}, {'name': 'ktos-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ktos-FY24-10-K.html'}]",68492173,USD,KTOS,SMART,STK,True
defense and aerospace,unmanned_systems,US5024311095,L3HARRIS TECHNOLOGIES INC,5,"Desarrolla y proporciona sistemas no tripulados avanzados y tecnologías relacionadas, mejorando las capacidades para aplicaciones de defensa, inteligencia y comerciales.","La participación de L3Harris en el tema de Sistemas No Tripulados es evidente a través de su asociación con Shield AI, centrándose en sistemas no tripulados habilitados por IA para operaciones de guerra electrónica. Esta colaboración tiene como objetivo ofrecer soluciones multiespacio escalables para el control habilitado por IA de sistemas enjambre, mejorando la toma de decisiones en entornos complejos del campo de batalla al aprovechar el ecosistema de gestión de batalla electromagnética definido por software de L3Harris con la autonomía Hivemind de Shield AI. L3Harris también aboga por prácticas comerciales más similares a las comerciales dentro del DoD, lo que refleja una estrategia más amplia que se alinea con el panorama cambiante de los sistemas no tripulados y la tecnología de defensa.",,371886040,USD,LHX,SMART,STK,True
defense and aerospace,unmanned_systems,US8793601050,TELEDYNE TECHNOLOGIES INC,6,"Desarrolla y suministra sistemas avanzados de detección, imagen y electrónica que son integrales para la navegación, la adquisición de datos y la efectividad operativa de vehículos aéreos, terrestres y submarinos no tripulados.","La participación de Teledyne en Sistemas No Tripulados es evidente a través de su diversa cartera y el aumento de las ventas. Las tecnologías de la empresa atienden a sectores en crecimiento como los sistemas aéreos y submarinos no tripulados, con productos específicos como sistemas aéreos no tripulados completos y componentes infrarrojos comerciales. Teledyne también fabrica vehículos no tripulados en los dominios aéreo, terrestre y submarino, incluidos sistemas aéreos no tripulados para el ejército de EE. UU., con un aumento de las ventas de sistemas aéreos no tripulados.","[{'name': 'tdy-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tdy-Q225-10-Q.html'}, {'name': 'tdy-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tdy-FY24-10-K.html'}, {'name': 'tdy-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tdy-Q324-10-Q.html'}]",6340773,USD,TDY,SMART,STK,True
defense and aerospace,unmanned_systems,US0970231058,BOEING CO/THE,7,"Desarrolla e integra sistemas aéreos no tripulados avanzados y plataformas autónomas para diversas aplicaciones, contribuyendo a la evolución de las tecnologías no tripuladas en el sector aeroespacial y de defensa.",,,4762,USD,BA,SMART,STK,True
defense and aerospace,unmanned_systems,US6752321025,OCEANEERING INTL INC,8,Impulsa la innovación y la aplicación dentro del tema de Sistemas No Tripulados.,"La compañía demuestra su participación en el tema de Sistemas No Tripulados a través de su línea de negocio ADTech, particularmente con Vehículos Submarinos No Tripulados (UUVs) como el vehículo submarino autónomo híbrido 'Freedom', que puede realizar diversas tareas submarinas sin piloto. El enfoque de la compañía en expandir las ofertas robóticas y autónomas para permitir la interfaz humana en entornos hostiles, aprovechando su experiencia en robótica de energía offshore, subraya aún más esta participación. Esto también se refleja en el impacto positivo anticipado del proyecto de ley de reconciliación, que aumenta la financiación para UUVs, incluido el vehículo Freedom de la compañía vendido a la Unidad de Innovación de Defensa.","[{'name': 'oii-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oii-Q125-10-Q.html'}, {'name': 'oii-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/oii-FY24-10-K.html'}]",10780,USD,OII,SMART,STK,True
defense and aerospace,unmanned_systems,US3695501086,GENERAL DYNAMICS CORP,9,"Desarrolla e integra sistemas no tripulados avanzados, incluidos vehículos y plataformas autónomos, para apoyar diversas operaciones militares y de defensa.","La participación de General Dynamics en sistemas no tripulados se refleja en las inversiones de Mission Systems en esta área. Estas inversiones se centran en plataformas y capacidades no tripuladas que permiten a los clientes aprovechar las tecnologías de IA, ciberseguridad y software de misión. Si bien Mission Systems está invirtiendo en plataformas no tripuladas, no hay evidencia que sugiera sistemas no tripulados únicos o propietarios.",,7496,USD,GD,SMART,STK,True
defense and aerospace,unmanned_systems,FR0000121329,THALES SA,10,Desarrolla e integra tecnologías para Sistemas No Tripulados.,,,917799,EUR,HO,SMART,STK,False
