industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
RE,UR5,DHI,real estate,urban_housing,US23331A1097,DR HORTON INC,1,Impulsa el tema de Vivienda Urbana a través del extenso desarrollo y construcción de propiedades residenciales en entornos urbanos.,,268627,USD,SMART,STK,
RE,UR5,VNA,real estate,urban_housing,DE000A1ML7J1,VONOVIA SE,2,"Desarrolla, posee y gestiona una importante cartera de propiedades residenciales en zonas urbanas, contribuyendo a la provisión y gestión de soluciones de vivienda.",,130946869,EUR,SMART,STK,
RE,UR5,LEN,real estate,urban_housing,US5260571048,LENNAR CORP-A,3,"Se enfoca en la construcción de propiedades residenciales en entornos urbanos, contribuyendo al desarrollo y la disponibilidad de viviendas en áreas metropolitanas.",,9091,USD,SMART,STK,
RE,UR5,1113,real estate,urban_housing,KYG2177B1014,CK ASSET HOLDINGS LTD,4,"Se dedica al desarrollo, inversión y gestión de propiedades residenciales en entornos urbanos.",,290000373,HKD,SEHK,STK,
RE,UR5,EQR,real estate,urban_housing,US29476L1070,EQUITY RESIDENTIAL,5,"Se enfoca en la propiedad y gestión de propiedades de apartamentos de alta calidad en mercados costeros urbanos y suburbanos deseables, contribuyendo significativamente al suministro de viviendas en las principales áreas metropolitanas.",,6917,USD,SMART,STK,
RE,UR5,8801,real estate,urban_housing,JP3893200000,MITSUI FUDOSAN CO LTD,6,"Desarrolla, gestiona y vende una amplia gama de propiedades residenciales en áreas urbanas, desempeñando un papel importante en la configuración y mejora de los entornos de vida urbanos.",,13906000,JPY,SMART,STK,
RE,UR5,AVB,real estate,urban_housing,US0534841012,AVALONBAY COMMUNITIES INC,7,"Opera como un proveedor líder de vivienda urbana, poseyendo y administrando comunidades de apartamentos en mercados con alta barrera de entrada.",,5026974,USD,SMART,STK,
RE,UR5,CPT,real estate,urban_housing,US1331311027,CAMDEN PROPERTY TRUST,8,"Contribuye significativamente al mercado de la vivienda urbana a través de su enfoque en el desarrollo, propiedad y gestión de propiedades residenciales multifamiliares en áreas metropolitanas.","La empresa demuestra un enfoque en la vivienda urbana a través del desarrollo y operación de comunidades de apartamentos dentro de los límites de la ciudad, particularmente propiedades multifamiliares. Esto está respaldado además por sus inversiones estratégicas en mercados caracterizados por condiciones económicas de alto crecimiento, fuerte empleo y atractiva calidad de vida, que se espera que impulsen la demanda y la retención. Los desarrollos de la empresa en varios mercados urbanos, incluidas las ubicaciones del Sunbelt y proyectos como Camden Village District en Raleigh, resaltan su contribución a abordar la necesidad de viviendas accesibles y sostenibles en áreas densamente pobladas.",6004,USD,SMART,STK,"[{'name': 'cpt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cpt-FY24-10-K.html'}]"
RE,UR5,UDR,real estate,urban_housing,US9026531049,UDR INC,9,"Se enfoca en la propiedad, operación y desarrollo de comunidades de apartamentos de alta calidad principalmente en mercados urbanos y suburbanos en todo Estados Unidos.","El enfoque de UDR en propiedades residenciales multifamiliares, particularmente en viviendas de apartamentos en áreas urbanas, destaca su participación en el tema de la vivienda urbana. La empresa está desarrollando activamente nuevas comunidades de apartamentos, como la comunidad de 300 viviendas en Riverside, California, y se enfoca en innovar y brindar servicios de valor agregado a los residentes. UDR enfatiza la escasez de viviendas en los Estados Unidos y la fuerte demanda de apartamentos, viendo las perspectivas de crecimiento a largo plazo para la industria multifamiliar de manera optimista, lo que convierte a la vivienda urbana en un componente clave de sus operaciones.",43274444,USD,SMART,STK,
RE,UR5,LLC,real estate,urban_housing,AU000000LLC3,LENDLEASE GROUP,10,"Desarrolla, construye y gestiona desarrollos integrados de vivienda urbana, contribuyendo a la creación de entornos de vida urbanos sostenibles y vibrantes.",,4109651,AUD,SMART,STK,
