type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
real estate,urban_property_development,US3434121022,FLUOR CORP,1,Proporciona servicios y soluciones integrales esenciales para la ejecución y el crecimiento del Desarrollo de Propiedades Urbanas.,"La participación de Fluor en el Desarrollo de Propiedades Urbanas se demuestra a través de su segmento 'Soluciones Urbanas', que contribuye significativamente a los ingresos de la compañía. Este segmento se enfoca en proyectos dentro de entornos urbanos, incluidos proyectos de ciencias de la vida, proyectos de metales, proyectos de minería y proyectos de carreteras. La compañía obtuvo importantes adjudicaciones en Soluciones Urbanas, incluidos proyectos de ciencias de la vida, y anticipa más trabajo farmacéutico. Además, Fluor obtuvo un contrato de construcción para TxDOT que involucra el ensanchamiento de carreteras dentro de su segmento de Soluciones Urbanas.","[{'name': 'flr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flr-Q125-10-Q.html'}]",11218575,USD,FLR,SMART,STK,True,UR2
real estate,urban_property_development,CNE100001SR9,CHINA VANKE CO LTD-H,2,"Se enfoca en el desarrollo y gestión de propiedades urbanas, desempeñando un papel central en la configuración de paisajes y la infraestructura de las ciudades.",,,157951173,HKD,2202,SEHK,STK,False,UR2
real estate,urban_property_development,US00766T1007,AECOM,3,"Proporciona servicios integrales de diseño, ingeniería y gestión de programas, esenciales para la planificación y ejecución de proyectos de desarrollo inmobiliario urbano a gran escala a nivel mundial.","La participación de AECOM en el desarrollo de propiedades urbanas es evidente a través de AECOM Capital (ACAP), que invierte y desarrolla principalmente proyectos inmobiliarios. AECOM Capital obtiene sus ingresos de las ventas de desarrollo inmobiliario y las tarifas de gestión. Si bien la participación de AECOM Capital indica cierta exposición al desarrollo de propiedades urbanas, no se detallan los aspectos específicos sobre la naturaleza y la escala de estos proyectos en entornos urbanos.","[{'name': 'acm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acm-Q125-10-Q.html'}, {'name': 'acm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/acm-FY24-10-K.html'}]",43980401,USD,ACM,SMART,STK,True,UR2
real estate,urban_property_development,US0534841012,AVALONBAY COMMUNITIES INC,4,"Desarrolla y opera comunidades de apartamentos principalmente en mercados urbanos y de alta barrera de entrada, desempeñando un papel importante en la provisión de soluciones de vivienda dentro de estos entornos densos.","La participación de AvalonBay en el tema de Desarrollo de Propiedades Urbanas es evidente a través del desarrollo y la reurbanización de comunidades de apartamentos multifamiliares, particularmente en las principales áreas metropolitanas. La empresa tiene proyectos de desarrollo en curso por valor de 3 mil millones de dólares que se espera que generen un flujo de ganancias incremental significativo. AvalonBay completó la construcción de nueve comunidades de propiedad total que contienen 2.981 viviendas y comenzó la construcción de nueve comunidades de propiedad total que se espera que contengan 2.921 viviendas cuando se completen durante 2024, lo que demuestra un compromiso de expandir su huella urbana.","[{'name': 'avb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avb-Q324-10-Q.html'}, {'name': 'avb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avb-Q225-10-Q.html'}, {'name': 'avb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/avb-FY24-10-K.html'}]",5026974,USD,AVB,SMART,STK,True,UR2
real estate,urban_property_development,US1011211018,BXP INC,5,"Se enfoca en el desarrollo y propiedad de propiedades en los principales centros urbanos, contribuyendo a la infraestructura y vitalidad económica de estas áreas metropolitanas.","El compromiso de BXP con el desarrollo de propiedades urbanas es evidente a través de su enfoque en el desarrollo, propiedad y gestión de lugares de trabajo de primer nivel principalmente en seis mercados clave dinámicos dentro de los EE. UU., incluyendo Boston, Los Ángeles, Nueva York, San Francisco, Seattle y Washington, D.C. La empresa participa en proyectos de desarrollo urbano, como el desarrollo de 290 Coles Street, un proyecto residencial a precio de mercado en Jersey City, Nueva Jersey. Además, un componente significativo de la cartera regional de BXP en Washington, D.C. se encuentra en Reston Town Center, un desarrollo de uso mixto en el norte de Virginia, y la empresa está persiguiendo adyacencias atractivas de clases de activos, como el desarrollo residencial.","[{'name': 'bxp-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bxp-Q324-10-Q.html'}, {'name': 'bxp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bxp-Q125-10-Q.html'}, {'name': 'bxp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bxp-FY24-10-K.html'}]",5021340,USD,BXP,SMART,STK,True,UR2
real estate,urban_property_development,JP3893200000,MITSUI FUDOSAN CO LTD,6,"Se especializa en el desarrollo de propiedades urbanas, desde complejos comerciales hasta áreas residenciales, dando forma a paisajes urbanos e infraestructuras.",,,13906000,JPY,8801,SMART,STK,False,UR2
real estate,urban_property_development,US70202L1026,PARSONS CORP,7,Proporciona infraestructura crítica y soluciones de ciudad inteligente que permiten el desarrollo y la modernización de entornos urbanos.,"Parsons demuestra su compromiso con el tema de Desarrollo de Propiedades Urbanas a través de su experiencia y capacidades en desarrollo urbano, como se destaca en múltiples fuentes. La compañía está experimentando un crecimiento en los mercados de desarrollo urbano, particularmente en los EAU, donde Abu Dhabi está implementando su programa de evolución urbana y Dubai está promulgando su plan maestro 2040. Además, Parsons está involucrada en proyectos importantes en todo el Reino de Arabia Saudita, ayudando a lograr la Visión Saudita 2030 y preparándose para próximos eventos mundiales, incluidos los Juegos Asiáticos, la Copa del Mundo y la Expo. La participación de Parsons se extiende a proyectos de carreteras en Riad, un contrato de gestión de tráfico para el King Abdullah Financial District, Qiddiya y gestión de programas para el nuevo estadio en Jeddah City para la Copa del Mundo.","[{'name': 'psn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/psn-FY24-10-K.html'}]",365037248,USD,PSN,SMART,STK,True,UR2
real estate,urban_property_development,US9026531049,UDR INC,8,"Se enfoca en la adquisición, desarrollo y gestión de comunidades de apartamentos de alta calidad en mercados urbanos y suburbanos, contribuyendo al crecimiento y revitalización de áreas metropolitanas.","La participación de UDR en el desarrollo de propiedades urbanas es evidente a través de sus actividades en el desarrollo y redesarrollo de comunidades de apartamentos multifamiliares en mercados específicos de los Estados Unidos. El negocio principal de la empresa incluye poseer, operar, adquirir, renovar y administrar estas comunidades, con una cartera que comprende 169 comunidades en 13 estados y el Distrito de Columbia, con un total de 55.699 apartamentos. El compromiso de UDR se demuestra aún más a través de su cartera de desarrollo, que incluye proyectos como la comunidad de propiedad total con 300 apartamentos y un presupuesto de $133.6 millones, así como desarrollos completados en Tampa, Florida, y Addison, Texas, que cuentan con un total de 415 apartamentos.","[{'name': 'udr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/udr-Q125-10-Q.html'}, {'name': 'udr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/udr-Q225-10-Q.html'}, {'name': 'udr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/udr-Q324-10-Q.html'}, {'name': 'udr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/udr-FY24-10-K.html'}]",43274444,USD,UDR,SMART,STK,True,UR2
real estate,urban_property_development,US8288061091,SIMON PROPERTY GROUP INC,9,"Se enfoca en el desarrollo, propiedad y gestión de diversas propiedades minoristas, incluidos centros comerciales, centros outlet premium y destinos de uso mixto, que son integrales a los paisajes urbanos y suburbanos.","La participación de Simon Property Group en el Desarrollo de Propiedades Urbanas es evidente a través de su propiedad, desarrollo y gestión de destinos de uso mixto, que consisten principalmente en centros comerciales, Premium Outlets y The Mills. La empresa participa activamente en proyectos de reurbanización y expansión en América del Norte, Europa y Asia, que incluyen la adición de anclas, grandes tiendas y restaurantes. Además, estos proyectos incorporan espacios de oficinas y usos residenciales, lo que demuestra el interés estratégico de Simon en desarrollos de uso mixto en entornos urbanos. Simon también desarrolla selectivamente nuevas propiedades en mercados que se cree que están desatendidos por el comercio minorista existente, lo que solidifica aún más su papel en el desarrollo de propiedades urbanas.","[{'name': 'spg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spg-Q324-10-Q.html'}, {'name': 'spg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/spg-FY24-10-K.html'}]",2009113,USD,SPG,SMART,STK,True,UR2
real estate,urban_property_development,US29476L1070,EQUITY RESIDENTIAL,10,"Desarrolla y gestiona una cartera de propiedades residenciales ubicadas principalmente en mercados urbanos y suburbanos de alta densidad, contribuyendo al crecimiento y la evolución de los entornos de vida urbanos.","La empresa demuestra su compromiso con el desarrollo de propiedades urbanas a través de la adquisición, desarrollo y gestión de propiedades residenciales en ciudades dinámicas, centrándose en atraer inquilinos adinerados a largo plazo. Esto se evidencia en el inicio de la construcción de una propiedad de apartamentos en Boston, que consta de 440 unidades, y en inversiones en empresas conjuntas para el desarrollo de parcelas de terrenos baldíos en Boston y Seattle, que se espera que contengan un total de 639 unidades de apartamentos. Las actividades de la empresa también incluyen inversiones en propiedades de apartamentos y parcelas de terrenos consolidadas y no consolidadas dentro de mercados urbanos como Atlanta, Denver, Dallas/Ft. Worth y Washington, D.C.","[{'name': 'eqr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqr-Q324-10-Q.html'}, {'name': 'eqr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eqr-FY24-10-K.html'}]",6917,USD,EQR,SMART,STK,True,UR2
