industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
real estate,urban_real_estate,HK0016000132,SUN HUNG KAI PROPERTIES,1,"Desempeña un papel fundamental en el desarrollo integral, la inversión y la gestión de bienes raíces urbanos, dando forma significativa a los paisajes y la infraestructura metropolitanos.",,1616470,HKD,16,SEHK,STK,False,,UR1
real estate,urban_real_estate,US9290421091,VORNADO REALTY TRUST,2,"Se centra en la propiedad, gestión y desarrollo de activos inmobiliarios urbanos de primer nivel, contribuyendo a la vitalidad y la infraestructura de las áreas metropolitanas.","El negocio de Vornado se centra en gran medida en bienes raíces urbanos, particularmente en el área metropolitana de Nueva York, donde posee y opera propiedades de oficinas y minoristas. La cartera de la empresa se concentra en los principales centros urbanos como la ciudad de Nueva York, Chicago y San Francisco, con una parte significativa de sus ingresos operativos netos derivados del área metropolitana de la ciudad de Nueva York. Este énfasis se ve aún más subrayado por el enfoque de Vornado en ubicaciones privilegiadas y propiedades de Clase A dentro de Manhattan, incluidos proyectos notables como la reurbanización del PENN District, lo que solidifica su posición en el desarrollo y la planificación urbana.",13535,USD,VNO,SMART,STK,True,"[{'name': 'vno-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vno-Q324-10-Q.html'}, {'name': 'vno-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vno-Q225-10-Q.html'}, {'name': 'vno-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vno-FY24-10-K.html'}]",UR1
real estate,urban_real_estate,KYG2177B1014,CK ASSET HOLDINGS LTD,3,"Opera como un importante desarrollador e inversor global en bienes raíces urbanos, centrándose en diversas carteras de propiedades que incluyen activos residenciales, comerciales e industriales.",,290000373,HKD,1113,SEHK,STK,False,,UR1
real estate,urban_real_estate,US74340W1036,PROLOGIS INC,4,"Se enfoca en el desarrollo y la gestión de bienes raíces logísticos, que son esenciales para las cadenas de suministro urbanas y el cumplimiento de comercio electrónico dentro de las áreas metropolitanas.",,88819288,USD,PLD,SMART,STK,True,,UR1
real estate,urban_real_estate,US0534841012,AVALONBAY COMMUNITIES INC,5,"Se concentra en el desarrollo, adquisición y gestión de comunidades de apartamentos en mercados urbanos y suburbanos.","El enfoque de AvalonBay en viviendas de alta calidad en los principales mercados de apartamentos de todo el país demuestra un compromiso significativo con el sector inmobiliario urbano, con propiedades ubicadas principalmente en las principales áreas metropolitanas de 12 estados y el Distrito de Columbia. El énfasis estratégico de la empresa es evidente a través de su importante cartera de comunidades y la construcción en curso de nuevas viviendas de apartamentos, particularmente en regiones establecidas en las costas Este y Oeste. Las actividades de AvalonBay, incluida la optimización de su cartera para obtener rendimientos futuros, subrayan su compromiso con los mercados urbanos, incluso mientras asignan estratégicamente capital a submercados suburbanos.",5026974,USD,AVB,SMART,STK,True,"[{'name': 'avb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/avb-FY24-10-K.html'}]",UR1
real estate,urban_real_estate,US78440X8873,SL GREEN REALTY CORP,6,"Se enfoca en la propiedad, gestión y desarrollo de propiedades inmobiliarias comerciales urbanas, particularmente en el área metropolitana de Nueva York, contribuyendo significativamente al paisaje urbano.","La participación de la empresa en el tema de Bienes Raíces Urbanos es evidente en su concentración en propiedades comerciales dentro del área metropolitana de Nueva York, especialmente Manhattan. Como REIT, la empresa participa en la propiedad, gestión, operación, adquisición, desarrollo, reurbanización, reposicionamiento y financiación de estas propiedades. La cartera de la empresa se compone principalmente de propiedades comerciales ubicadas en el área metropolitana de Nueva York, principalmente Manhattan.",537789289,USD,SLG,SMART,STK,True,"[{'name': 'slg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slg-Q324-10-Q.html'}, {'name': 'slg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slg-Q225-10-Q.html'}]",UR1
real estate,urban_real_estate,US76169C1009,REXFORD INDUSTRIAL REALTY IN,7,"Se enfoca en poseer, administrar y desarrollar propiedades industriales dentro de los mercados urbanos del sur de California, contribuyendo a la densificación y funcionalidad del sector inmobiliario urbano.","El negocio de Rexford Industrial Realty está significativamente ligado a los bienes raíces urbanos, ya que la compañía se enfoca en poseer y operar propiedades industriales en los mercados de relleno del sur de California. La estrategia de la compañía gira en torno a poseer propiedades en los mercados de relleno más fuertes, beneficiándose de las persistentes restricciones de oferta y sirviendo a una gran base de consumo regional. Rexford enfatiza la naturaleza irremplazable de sus ubicaciones de relleno y su resiliencia, destacando el compromiso de la compañía con los bienes raíces urbanos.",131219465,USD,REXR,SMART,STK,True,"[{'name': 'rexr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rexr-Q225-10-Q.html'}, {'name': 'rexr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rexr-FY24-10-K.html'}]",UR1
real estate,urban_real_estate,US8288061091,SIMON PROPERTY GROUP INC,8,"Sirve como un importante propietario y desarrollador de propiedades minoristas y de uso mixto destacadas dentro de entornos urbanos y suburbanos, dando forma a los paisajes comerciales.",,2009113,USD,SPG,SMART,STK,True,,UR1
real estate,urban_real_estate,US29476L1070,EQUITY RESIDENTIAL,9,"Se enfoca en la adquisición, desarrollo y gestión de propiedades de apartamentos de alta calidad en mercados costeros urbanos y suburbanos de alta densidad, desempeñando un papel importante en el sector inmobiliario urbano.","El enfoque de Equity Residential en bienes raíces urbanos es evidente en su posicionamiento estratégico y colección de activos en centros urbanos de mercados costeros, lo que lo distingue de sus competidores. La compañía está experimentando fuertes resultados de ingresos en ciudades como Nueva York y San Francisco, donde las dinámicas favorables de oferta y demanda contribuyen a una alta ocupación y crecimiento de tarifas combinadas. El liderazgo de la compañía ha enfatizado que las mejoras en la calidad de vida en los centros urbanos impulsan un crecimiento más rápido del flujo de caja, y que la alta ocupación de Nueva York y la oferta limitada de nuevas construcciones la convierten en un mercado de alto rendimiento, con tendencias similares observadas en Boston y San Francisco.",6917,USD,EQR,SMART,STK,True,,UR1
real estate,urban_real_estate,US68902V1070,OTIS WORLDWIDE CORP,10,"Proporciona soluciones esenciales de transporte vertical, incluyendo ascensores y escaleras mecánicas, que son integrales para la funcionalidad y el desarrollo de la infraestructura inmobiliaria urbana en todo el mundo.","La participación de Otis en el tema de bienes raíces urbanos se demuestra a través del suministro e instalación de sistemas de ascensores en varios desarrollos urbanos. La compañía ha fortalecido su relación con DAMAC Properties en Dubai, asegurando acuerdos para suministrar e instalar ascensores SkyRise en múltiples proyectos de gran altura. Otis también ha sido seleccionada para instalar y mantener sistemas de ascensores en The Kross, un desarrollo de uso mixto en la ciudad de Ho Chi Minh, y modernizó ascensores en la OneAmerica Tower en Indianápolis, lo que ilustra aún más su participación en bienes raíces urbanos.",410755402,USD,OTIS,SMART,STK,True,,UR1
real estate,urban_real_estate,US1011211018,BXP INC,11,"Impulsa el desarrollo, la propiedad y la gestión de importantes carteras de bienes raíces urbanos, contribuyendo a la vitalidad comercial y económica de áreas metropolitanas clave.","La participación de BXP en el tema de Bienes Raíces Urbanos es evidente en su enfoque estratégico en lugares de trabajo de primer nivel concentrados en seis mercados dinámicos clave dentro de los EE. UU., incluyendo Boston, Los Ángeles, Nueva York, San Francisco, Seattle y Washington, D.C. La empresa también está desarrollando 290 Coles Street, un proyecto residencial de mercado asequible totalmente autorizado de 670 unidades que ofrece vistas panorámicas del río Hudson y el horizonte de Manhattan en Jersey City, Nueva Jersey. Además, un componente significativo de la cartera regional de BXP en Washington, DC se encuentra en Reston Town Center, un desarrollo de uso mixto galardonado en el norte de Virginia.",5021340,USD,BXP,SMART,STK,True,"[{'name': 'bxp-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bxp-Q324-10-Q.html'}, {'name': 'bxp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bxp-Q125-10-Q.html'}, {'name': 'bxp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bxp-FY24-10-K.html'}]",UR1
real estate,urban_real_estate,JP3893200000,MITSUI FUDOSAN CO LTD,12,"Contribuye significativamente al desarrollo y la gestión de propiedades urbanas, dando forma a los paisajes urbanos a través de diversos proyectos inmobiliarios.",,13906000,JPY,8801,SMART,STK,False,,UR1
real estate,urban_real_estate,US8894781033,TOLL BROTHERS INC,13,"Desarrolla comunidades residenciales de lujo en ubicaciones urbanas y suburbanas, influyendo significativamente en el paisaje y el desarrollo del sector inmobiliario urbano.","Toll Brothers participa en el tema de bienes raíces urbanos a través del diseño, construcción, comercialización, venta y financiación de comunidades urbanas de baja, media y alta densidad. El compromiso de la empresa se extiende a condominios de lujo urbanos de alta densidad y gran altura, a veces desarrollados con socios de empresas conjuntas de terceros. Además, Toll Brothers vende propiedades comerciales y minoristas ubicadas típicamente dentro de sus comunidades de condominios de lujo urbanos, lo que contribuye a su participación en bienes raíces urbanos.",12915,USD,TOL,SMART,STK,True,"[{'name': 'tol-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tol-Q324-10-Q.html'}, {'name': 'tol-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tol-Q125-10-Q.html'}, {'name': 'tol-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tol-FY24-10-K.html'}]",UR1
real estate,urban_real_estate,US03027X1000,AMERICAN TOWER CORP,14,"Posee y opera una amplia cartera de sitios de comunicación, incluidas torres de telefonía celular y centros de datos, que son componentes críticos de la infraestructura inmobiliaria urbana que soporta la conectividad inalámbrica y los servicios digitales.",,99831145,USD,AMT,SMART,STK,True,,UR1
real estate,urban_real_estate,US2971781057,ESSEX PROPERTY TRUST INC,15,"Gestiona y desarrolla una cartera de propiedades residenciales multifamiliares ubicadas principalmente en mercados urbanos y suburbanos, influyendo directamente en la oferta y la calidad del mercado inmobiliario urbano.","El negocio de Essex se centra en bienes raíces urbanos, específicamente comunidades de apartamentos en la costa oeste de los Estados Unidos, incluidas las principales áreas metropolitanas como el norte de California, el sur de California y Seattle. La empresa se enfoca en adquirir, desarrollar, reurbanizar y administrar estas propiedades, con discusiones sobre las tendencias del mercado, la oferta y la demanda en estos mercados urbanos dominando sus llamadas de resultados. Este énfasis en propiedades multifamiliares en áreas urbanas resalta la importancia estratégica de los bienes raíces urbanos para Essex.",6946,USD,ESS,SMART,STK,True,"[{'name': 'ess-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ess-FY24-10-K.html'}, {'name': 'ess-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ess-Q324-10-Q.html'}]",UR1
real estate,urban_real_estate,US22160N1090,COSTAR GROUP INC,16,Las actividades se dirigen principalmente al sector de Bienes Raíces Urbanos.,"CoStar Group mantiene una fuerte conexión con el sector inmobiliario urbano a través de la operación de los principales mercados inmobiliarios en línea tanto en EE. UU. como en el Reino Unido. La base de datos integral de bienes raíces comerciales y el departamento de investigación de la empresa solidifican aún más esta presencia. Esto se ve reforzado por la expansión estratégica de CoStar de su producto LoopNet a Francia y España, lo que demuestra un claro enfoque en el crecimiento de su huella en los principales centros urbanos.",6726677,USD,CSGP,SMART,STK,True,"[{'name': 'csgp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csgp-Q125-10-Q.html'}]",UR1
real estate,urban_real_estate,US3137451015,FEDERAL REALTY INVS TRUST,17,"Invierte, posee y gestiona propiedades de alta calidad basadas en minoristas y de uso mixto ubicadas en comunidades urbanas densamente pobladas y prósperas.","La empresa demuestra un enfoque en bienes raíces urbanos a través de sus inversiones en propiedades ubicadas en áreas metropolitanas, incluyendo comunidades de uso mixto y activos residenciales, comerciales e industriales. Esto se ejemplifica aún más con proyectos en áreas urbanas como San José, Boston, Bethesda, Hoboken y Filadelfia, incluido un proyecto residencial sobre comercio minorista en Hoboken destinado a densificar el sector inmobiliario. La cartera de la empresa incluye el componente de oficinas de comunidades de uso mixto, lo que indica una asignación sustancial de recursos a bienes raíces urbanos.",535271300,EUR,QM1,VALUE,STK,True,,UR1
real estate,urban_real_estate,US5529531015,MGM RESORTS INTERNATIONAL,18,"Desarrolla, posee y opera propiedades de resorts integrados a gran escala, incluyendo casinos, hoteles y locales de entretenimiento, contribuyendo significativamente al paisaje económico y físico de los centros urbanos.",,9560,USD,MGM,SMART,STK,True,,UR1
real estate,urban_real_estate,US7588491032,REGENCY CENTERS CORP,19,"Se centra en la propiedad, gestión y desarrollo de centros comerciales con supermercados como ancla y otras propiedades minoristas esenciales, que forman componentes clave de la infraestructura inmobiliaria urbana.","La participación de la compañía en el tema de Bienes Raíces Urbanos es evidente a través de su enfoque en la propiedad, operación y desarrollo de centros comerciales de vecindario y comunitarios ubicados principalmente en áreas comerciales suburbanas dentro de las áreas metropolitanas más deseables del país. Si bien la compañía se enfoca en ubicaciones suburbanas, estas áreas son partes integrales de contextos urbanos y áreas metropolitanas más grandes, lo que indica un énfasis estratégico en bienes raíces urbanos. La compañía se dirige a centros comerciales de alta calidad en estas áreas comerciales suburbanas, lo que refleja un enfoque en bienes raíces urbanos, respaldado aún más por proyectos de desarrollo y redesarrollo en varios mercados urbanos como Long Island, NY, y Houston, TX.",11574,USD,REG,SMART,STK,True,"[{'name': 'reg-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/reg-Q224-10-Q.html'}, {'name': 'reg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/reg-FY24-10-K.html'}]",UR1
real estate,urban_real_estate,US22822V1017,CROWN CASTLE INC,20,"Desarrolla y gestiona una extensa infraestructura de comunicaciones, incluyendo torres de telefonía celular, small cells y redes de fibra óptica, que son activos fundamentales para la conectividad dentro de los entornos urbanos de bienes raíces.",,176571182,USD,CCI,SMART,STK,True,,UR1
real estate,urban_real_estate,US2296631094,CUBESMART,21,"Opera instalaciones de autoalmacenamiento predominantemente en mercados urbanos y suburbanos, proporcionando soluciones inmobiliarias esenciales dentro de estas áreas densamente pobladas.","El enfoque de la empresa en bienes raíces urbanos es evidente a través del sólido desempeño de sus mercados urbanos a lo largo del Corredor Acela y las tiendas en Chicago. El MSA de Nueva York también demuestra una sólida aceleración secuencial en los ingresos netos por alquiler, con los distritos a la cabeza debido a la reducción de la nueva oferta y la fuerte demanda de consumidores y pequeñas empresas, seguida de un buen desempeño en Long Island y una mejora gradual en el norte de Nueva Jersey. Si bien los mercados urbanos de la empresa son los de mejor rendimiento, la empresa también reconoce el bajo rendimiento en mercados más volátiles del Sunbelt como Florida y Arizona, que dependen más de la movilidad de la vivienda y aún están absorbiendo nueva oferta.",94153980,USD,CUBE,SMART,STK,True,,UR1
real estate,urban_real_estate,US44107P1049,HOST HOTELS & RESORTS INC,22,"Se especializa en poseer e invertir en propiedades hoteleras, desempeñando un papel central en el mercado inmobiliario urbano a través de su extensa cartera.","La participación de la empresa en el tema de Bienes Raíces Urbanos está respaldada por sus propiedades en áreas metropolitanas como Washington, D.C., Nueva York, Nueva Orleans y Los Ángeles. Esto se demuestra además por un fuerte desempeño en mercados urbanos, incluido un aumento sustancial en RevPAR en Washington, D.C. La empresa también está progresando con el desarrollo de condominios en el Four Seasons Resort Orlando, con una guía de gastos de capital que refleja inversiones en proyectos de reurbanización y reposicionamiento.",8057,USD,HST,SMART,STK,True,,UR1
real estate,urban_real_estate,US87724P1066,TAYLOR MORRISON HOME CORP,23,"Desarrolla y construye viviendas dentro de comunidades urbanas y suburbanas, contribuyendo a la oferta de viviendas y al crecimiento de las áreas metropolitanas.","El compromiso de TMHC con el tema de Bienes Raíces Urbanos se demuestra a través de su propiedad y operación de espacios comerciales, minoristas y propiedades multifamiliares bajo la marca 'Urban Form'. La empresa ha reconocido cargos por deterioro relacionados con estas propiedades de Urban Form, lo que indica su relevancia financiera. Esta actividad refleja la asignación de recursos de la empresa hacia bienes raíces urbanos.",125483759,USD,TMHC,SMART,STK,True,"[{'name': 'tmhc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tmhc-FY24-10-K.html'}]",UR1
real estate,urban_real_estate,US9026531049,UDR INC,24,"Gestiona y desarrolla comunidades de apartamentos multifamiliares ubicadas principalmente en mercados urbanos y suburbanos deseables, contribuyendo al panorama residencial de las áreas metropolitanas.","El negocio de UDR se centra en propiedades residenciales multifamiliares en áreas urbanas, particularmente en los mercados de la Costa Este, la Costa Oeste y el Cinturón del Sol (Sunbelt), que se mencionan constantemente en sus informes. El desempeño financiero de la empresa está estrechamente ligado a la dinámica de estos mercados inmobiliarios urbanos, incluyendo factores como la demanda, la oferta y la asequibilidad. UDR expresa optimismo sobre el potencial de crecimiento a largo plazo de la industria multifamiliar, abordando la persistente escasez de viviendas en los Estados Unidos como un factor clave.",43274444,USD,UDR,SMART,STK,True,,UR1
