type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
financials,venture_capital,JP3436100006,SOFTBANK GROUP CORP,1,"Opera como un inversor global líder en startups tecnológicas a través de sus extensos fondos de capital de riesgo, influyendo significativamente en el desarrollo y escalamiento de tecnologías emergentes en todo el mundo.",,14019490,JPY,9984,SMART,STK,False,,FI_VEN
financials,venture_capital,US09260D1072,BLACKSTONE INC,2,"Es un inversor global líder en capital de riesgo, que proporciona capital sustancial y apoyo estratégico a empresas emergentes en diversas industrias.",,372834689,USD,BX,SMART,STK,True,,FI_VEN
financials,venture_capital,US4074971064,HAMILTON LANE INC-CLASS A,3,"Sirve como una firma global de inversión en mercados privados con actividades significativas en capital de riesgo, proporcionando soluciones de inversión y gestionando capital dentro del tema.","Hamilton Lane demuestra su participación en el tema de capital de riesgo a través de la provisión de soluciones de inversión en diversos mercados privados, incluyendo explícitamente el capital de riesgo. La empresa diseña carteras personalizadas y gestiona fondos especializados que incorporan capital de riesgo, atendiendo a los objetivos específicos de los clientes. Además, Hamilton Lane lanzó un producto dedicado de capital de riesgo y crecimiento para inversores estadounidenses, lo que indica un compromiso con esta área.",268212409,USD,HLNE,SMART,STK,True,"[{'name': 'hlne-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlne-Q126-10-Q.html'}, {'name': 'hlne-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlne-Q325-10-Q.html'}, {'name': 'hlne-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hlne-FY25-10-K.html'}, {'name': 'hlne-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hlne-Q225-10-Q.html'}]",FI_VEN
financials,venture_capital,US85914M1071,STEPSTONE GROUP INC-CLASS A,4,"Asigna capital a diversas estrategias de capital de riesgo, lo que permite la financiación y expansión de empresas privadas a través de diversas etapas de crecimiento.","StepStone demuestra su compromiso con el capital de riesgo a través de varias vías, incluido un fondo global de capital de riesgo multiestratégico que recaudó $400 millones en su primer cierre y un fondo de capital de crecimiento con un cierre final de $300 millones. El producto SPRING de la firma ofrece una exposición diversificada al crecimiento de capital de riesgo, posicionado como una oferta única para inversores individuales. La estrategia de capital de riesgo y capital de crecimiento de StepStone está estructurada además a través de la Plataforma de Capital de Riesgo de StepStone, que abarca fondos mancomunados y cuentas administradas por separado, así como inversiones subyacentes de capital de riesgo y capital de crecimiento dentro de sus cuentas de capital privado más amplias.",445420003,USD,STEP,SMART,STK,True,"[{'name': 'step-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/step-Q225-10-Q.html'}, {'name': 'step-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/step-Q126-10-Q.html'}, {'name': 'step-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/step-FY25-10-K.html'}, {'name': 'step-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/step-Q325-10-Q.html'}]",FI_VEN
financials,venture_capital,US48251W1045,KKR & CO INC,5,"Es un inversor clave en la industria de Capital de Riesgo, financiando y desarrollando empresas de alto crecimiento en etapas tempranas.",,321328198,USD,KKR,SMART,STK,True,,FI_VEN
financials,venture_capital,US4270965084,HERCULES CAPITAL INC,6,"Proporciona soluciones de financiación de deuda a empresas respaldadas por capital de riesgo, apoyando su crecimiento y desarrollo en diversas etapas.","Hercules Capital demuestra una fuerte conexión con el tema de Capital de Riesgo, principalmente a través de su enfoque en proporcionar soluciones de financiación a empresas respaldadas por capital de riesgo. La empresa gestiona aproximadamente $5.0 mil millones en activos, incluso a través de su Subsidiaria Asesora, y ha originado más de $22.0 mil millones en compromisos desde su creación. Su gestión activa de fondos que invierten en deuda y capital en empresas de tecnología y ciencias de la vida, junto con relaciones informales dentro de la industria del capital de riesgo, solidifica aún más este enfoque. Esta dedicación también se refleja en la confianza que los socios de capital de riesgo y capital privado depositan en ellos, destacando el papel integral de la empresa en el ecosistema del capital de riesgo.",34822226,USD,HTGC,SMART,STK,False,"[{'name': 'htgc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/htgc-Q225-10-Q.html'}, {'name': 'htgc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/htgc-FY24-10-K.html'}, {'name': 'htgc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/htgc-Q125-10-Q.html'}]",FI_VEN
financials,venture_capital,US69376K1060,P10 INC-A,7,"Opera como un participante significativo dentro de la industria de capital de riesgo, facilitando la inversión en empresas emergentes.","El compromiso de P10 con el Capital de Riesgo es evidente a través de sus Soluciones de Capital de Riesgo (VCS), que invierte en fondos de capital de riesgo norteamericanos, apuntando a oportunidades de alto rendimiento y acceso restringido. El equipo de inversión de VCS, compuesto por 15 profesionales, se diferencia a través de asociaciones estratégicas y un punto de vista dentro de los ecosistemas de capital de riesgo y tecnología. P10 gestiona activamente y expande sus ofertas de capital de riesgo, como lo demuestra los $82 millones recaudados y desplegados en el primer trimestre y los $114 millones recaudados y desplegados en el segundo trimestre de 2025, junto con planes para futuras ofertas de TrueBridge y fondos secundarios.",522320580,USD,PX,SMART,STK,False,"[{'name': 'px-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/px-Q225-10-Q.html'}, {'name': 'px-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/px-Q125-10-Q.html'}]",FI_VEN
financials,venture_capital,US38141G1040,GOLDMAN SACHS GROUP INC,8,"Impulsa el crecimiento en el sector de capital de riesgo a través de importantes inversiones, servicios de asesoramiento estratégico y soluciones de financiación integrales para startups innovadoras y empresas emergentes.",,4627828,USD,GS,SMART,STK,True,,FI_VEN
financials,venture_capital,US6174464486,MORGAN STANLEY,9,"Proporciona capital crítico, asesoramiento estratégico y servicios financieros para apoyar a las empresas en etapa de crecimiento y a los fondos de inversión dentro del ecosistema de capital de riesgo.",,2841574,USD,MS,SMART,STK,True,,FI_VEN
financials,venture_capital,US31946M1036,FIRST CITIZENS BCSHS -CL A,10,Apoya el ecosistema de capital de riesgo proporcionando servicios financieros y soluciones de financiación a empresas respaldadas por capital de riesgo y firmas de capital de riesgo.,,269174,USD,FCNCA,SMART,STK,False,,FI_VEN
financials,venture_capital,US8964423086,TRINITY CAPITAL INC,11,"Proporciona capital de deuda y capital propio a empresas en fase de crecimiento respaldadas por capital de riesgo, desempeñando un papel crucial en el ecosistema del capital de riesgo.","Trinity Capital demuestra su enfoque en la industria de Capital de Riesgo a través de sus estrategias de inversión, dirigidas a empresas orientadas al crecimiento, que suelen ser privadas y a menudo respaldadas por inversores institucionales. La empresa se centra particularmente en empresas respaldadas por capital de riesgo en etapa avanzada en el mercado medio bajo, como lo destaca la gerencia. Además, las empresas de su cartera han recaudado colectivamente un capital social significativo, lo que demuestra su capacidad para atraer financiación. Trinity Capital también gestiona un fondo SBIC, que proporciona capital a pequeñas empresas.",468533653,USD,TRIN,SMART,STK,False,"[{'name': 'trin-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/trin-FY24-10-K.html'}]",FI_VEN
financials,venture_capital,US38173M1027,GOLUB CAPITAL BDC INC,12,"Proporciona financiación de deuda a empresas del mercado medio, incluidas aquellas respaldadas por firmas de capital de riesgo, apoyando así el crecimiento y el desarrollo dentro del ecosistema de capital de riesgo.","El compromiso de GBDC con el tema de Capital de Riesgo se refleja en su estrategia de préstamos, que incluye la concesión de préstamos integrales a empresas tecnológicas que experimentan un rápido crecimiento y expansión. Estos préstamos a menudo se dirigen a empresas respaldadas por firmas de capital de riesgo, y GBDC también busca negocios de ingresos recurrentes con una fuerte retención de clientes, una base de clientes diversa y respaldo de capital de riesgo. Si bien el respaldo de capital de riesgo es una consideración en las decisiones de inversión de GBDC, no se identifica como un enfoque estratégico principal.",74244456,USD,GBDC,SMART,STK,False,"[{'name': 'gbdc-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gbdc-Q325-10-Q.html'}]",FI_VEN
financials,venture_capital,ZAE000325783,Naspers,13,Apoya el crecimiento de empresas innovadoras a través de sus iniciativas de capital de riesgo.,,0,,,,,False,,FI_VEN
financials,venture_capital,US2003401070,COMERICA INC,14,Tiene una asociación con el tema de Capital de Riesgo.,"La compañía ha expresado una perspectiva positiva para el capital de riesgo, citando mejoras tanto en la actividad de acuerdos como en la recaudación de fondos. Si bien la compañía reconoce esta perspectiva mejorada, no destaca explícitamente ninguna posición única o métodos propietarios relacionados con el capital de riesgo. El CFO también mencionó la perspectiva mejorada para el capital de riesgo, pero no se destaca como un pilar estratégico de nivel superior, lo que sugiere que es de importancia secundaria.",5800,USD,CMA,SMART,STK,True,,FI_VEN
financials,venture_capital,US0231351067,AMAZON.COM INC,15,"Contribuye al ecosistema de capital de riesgo a través de inversiones estratégicas en startups, particularmente aquellas que aprovechan su infraestructura en la nube y se alinean con sus iniciativas de innovación.",,3691937,USD,AMZN,SMART,STK,True,,FI_VEN
