symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
ZM,VI1,technology,virtual_events_and_conference_software,US98980L1017,ZOOM COMMUNICATIONS INC,1,Proporciona soluciones líderes de software para eventos virtuales y conferencias que permiten la comunicación y colaboración global para empresas e individuos.,"El compromiso de Zoom con el tema de Software de Eventos Virtuales y Conferencias es evidente en su conjunto de productos principal, que incluye Zoom Meetings, Zoom Webinars y Zoom Events. La compañía enfatiza su papel en la redefinición del trabajo moderno a través de la innovación impulsada por IA, brindando ahorros de costos y ganancias de productividad para los clientes. Zoom está ampliando activamente los límites de la colaboración y la comunicación, como lo demuestra la introducción de funciones impulsadas por IA como Avatares personalizados para Zoom Clips, Zoom Tasks y un nuevo administrador de calendario, junto con la rápida adopción de Zoom AI Companion. Además, Zoomtopia se destaca como un evento importante para la presentación de productos, lo que subraya el compromiso de la compañía con este espacio.",361181057,USD,SMART,STK,
MSFT,VI1,technology,virtual_events_and_conference_software,US5949181045,MICROSOFT CORP,2,"Proporciona Microsoft Teams, una plataforma integral que facilita reuniones virtuales, colaboración y organización de eventos, ampliamente adoptada por empresas e instituciones educativas a nivel mundial.",,272093,USD,SMART,STK,
GOOGL,VI1,technology,virtual_events_and_conference_software,US02079K3059,ALPHABET INC-CL A,3,"Proporciona soluciones integrales de reuniones virtuales y conferencias a través de Google Meet, permitiendo una colaboración en línea fluida y la organización de eventos para empresas e individuos a nivel mundial.",,208813719,USD,SMART,STK,
CSCO,VI1,technology,virtual_events_and_conference_software,US17275R1023,CISCO SYSTEMS INC,4,"Proporciona soluciones integrales de software para eventos virtuales y conferencias, incluyendo Webex, que permiten una comunicación y colaboración fluidas para empresas a nivel mundial.","La participación de Cisco en el tema de software de eventos virtuales y conferencias se refleja en su categoría de productos de Colaboración, que incluye la Suite Webex, Dispositivos de Colaboración, Centro de Contacto y ofertas de CPaaS. Si bien la categoría de productos de Colaboración experimentó aumentos de ingresos, el crecimiento fue impulsado principalmente por Contact Center, CPaaS y Collaboration Devices, con algunas compensaciones por las caídas en las ofertas de Webex Suite On-Prem. La Suite Webex, una herramienta de comunicación, contribuye a la presencia de Cisco en el espacio de eventos virtuales.",268084,USD,SMART,STK,"[{'name': 'csco-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q125-10-Q.html'}, {'name': 'csco-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/csco-FY24-10-K.html'}, {'name': 'csco-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q225-10-Q.html'}]"
RNG,VI1,technology,virtual_events_and_conference_software,US76680R2067,RINGCENTRAL INC-CLASS A,5,Ofrece una plataforma líder de comunicaciones unificadas basada en la nube que incluye amplias funcionalidades de software para eventos virtuales y conferencias.,"El compromiso de RingCentral con el tema de Software de Eventos Virtuales y Conferencias es evidente a través de su cartera multiproducto impulsada por IA, que incluye soluciones de Video y Eventos. RingCentral Events, construido sobre la adquisición de Hopin Events y Session, sirve como una plataforma todo en uno diseñada para organizar eventos virtuales, híbridos y presenciales, equipada con herramientas de participación impulsadas por IA. Esta plataforma permite a los organizadores de eventos gestionar la experiencia del evento de principio a fin, ofreciendo personalización, marca y generación de contenido impulsada por IA para redes sociales y promoción.",135390580,USD,SMART,STK,"[{'name': 'rng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rng-FY24-10-K.html'}, {'name': 'rng-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rng-Q125-10-Q.html'}, {'name': 'rng-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rng-Q225-10-Q.html'}]"
LOGN,VI1,technology,virtual_events_and_conference_software,CH0025751329,LOGITECH INTERNATIONAL-REG,6,"Proporciona hardware esencial como cámaras web, auriculares y otros periféricos que facilitan la participación efectiva en eventos virtuales y entornos de conferencias.","El compromiso de Logitech con los eventos virtuales y el software de conferencias es evidente a través de sus líneas de productos de colaboración por video y cámaras web, que están diseñadas para mejorar las experiencias de videoconferencia tanto empresariales como de consumo. Estos productos, compatibles con plataformas como Zoom, Microsoft Teams y Google Meet, capitalizan la creciente adopción de la videoconferencia. Las ventas de Colaboración por Video representaron el 13.7% de las ventas totales de Logitech en el año fiscal 2025, lo que demuestra una contribución moderada de ingresos de esta área.",39999891,CHF,SMART,STK,"[{'name': 'logi-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/logi-FY25-10-K.html'}]"
TWLO,VI1,technology,virtual_events_and_conference_software,US90138F1021,TWILIO INC - A,7,"Ofrece API de comunicación que permiten a los desarrolladores integrar funcionalidades de voz, video y mensajería en tiempo real esenciales para eventos virtuales y plataformas de conferencias.",,237794430,USD,SMART,STK,
TMV,VI1,technology,virtual_events_and_conference_software,DE000A2YN900,TEAMVIEWER SE,8,Proporciona soluciones de conectividad remota que facilitan las reuniones virtuales y la colaboración en línea.,,384928607,EUR,SMART,STK,
ADBE,VI1,technology,virtual_events_and_conference_software,US00724F1012,ADOBE INC,9,La naturaleza específica de la participación de la empresa en el tema de Software para Eventos Virtuales y Conferencias no se puede determinar con la información proporcionada.,,265768,USD,SMART,STK,
CRM,VI1,technology,virtual_events_and_conference_software,US79466L3024,SALESFORCE INC,10,"Contribuye al ecosistema de eventos virtuales y conferencias al proporcionar plataformas para la gestión de participantes de eventos, campañas de marketing y seguimientos posteriores al evento, mejorando la participación del cliente y los procesos de ventas.",,29624264,USD,SMART,STK,
EXPI,VI1,technology,virtual_events_and_conference_software,US30212W1009,EXP WORLD HOLDINGS INC,11,Está activo en la industria de Software de Eventos Virtuales y Conferencias.,"La participación de Expi en eventos virtuales y software de conferencias es evidente a través de su cambio estratégico hacia plataformas basadas en la web. La empresa se trasladó a FrameVR.io, su metaverso propietario basado en la web, para proporcionar un espacio de trabajo virtual para el personal y los agentes, reportando más de 2 millones de visitas en 2024. Esta transición fue impulsada por la creciente demanda de plataformas accesibles desde dispositivos móviles y web, y la empresa también ha cambiado su reunión anual presencial de accionistas a un formato virtual.",143578699,USD,SMART,STK,"[{'name': 'expi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/expi-FY24-10-K.html'}]"
TEAM,VI1,technology,virtual_events_and_conference_software,US0494681010,ATLASSIAN CORP-CL A,12,"Proporciona software de colaboración y gestión de flujos de trabajo que apoya la planificación, ejecución y seguimiento de eventos virtuales y actividades de conferencias.",,589316251,USD,SMART,STK,
