industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
TL,WAR,SYM,transportation and logistics,warehouse_management,US87151X1019,SYMBOTIC INC,1,"Desarrolla e implementa soluciones de automatización avanzadas que son críticas para las operaciones modernas de almacenes, impulsando la eficiencia y la optimización en la gestión logística y de la cadena de suministro.","La compañía demuestra una fuerte conexión con el tema de la gestión de almacenes a través de sus sistemas de automatización diseñados para grandes almacenes, particularmente para los principales minoristas. Estos sistemas automatizan procesos clave como la despaletización, el almacenamiento, la selección y la paletización. El compromiso de la compañía se destaca aún más por su empresa conjunta GreenBox centrada en el almacén como servicio, y el desarrollo de estructuras de almacenamiento de próxima generación que aumentan significativamente la densidad de almacenamiento y mejoran el manejo de cajas, mostrando su enfoque en la optimización de las operaciones de almacén.","[{'name': 'sym-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sym-Q225-10-Q.html'}, {'name': 'sym-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sym-Q325-10-Q.html'}, {'name': 'sym-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sym-FY24-10-K.html'}]",566188877,USD,SMART,STK
TL,WAR,MANH,transportation and logistics,warehouse_management,US5627501092,MANHATTAN ASSOCIATES INC,2,"Desarrolla e implementa soluciones de software avanzadas que permiten a las empresas optimizar y agilizar sus operaciones de almacén, mejorando el control de inventario, la utilización de la mano de obra y los procesos de cumplimiento de pedidos.","La participación de Manhattan Associates en la Gestión de Almacenes es evidente en sus operaciones comerciales principales, ya que sus soluciones de Comercio Omnicanal Unificado y Cadena de Suministro Digital abarcan la gestión de almacenes. Una parte sustancial de los ingresos por licencias de software de la empresa se deriva consistentemente de su grupo de productos de gestión de almacenes, a menudo superando el 70% e incluso alcanzando el 90% en ciertos períodos. Este énfasis se demuestra aún más por la solución Manhattan Active Warehouse Management (MAWM) de la empresa, que ha atraído nuevos clientes y ha facilitado oportunidades de venta cruzada, con un equipo de ingeniería dedicado enfocado en construir ventajas funcionales unificadas.","[{'name': 'manh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/manh-Q125-10-Q.html'}, {'name': 'manh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/manh-Q324-10-Q.html'}, {'name': 'manh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/manh-Q225-10-Q.html'}, {'name': 'manh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/manh-FY24-10-K.html'}]",4814485,USD,SMART,STK
TL,WAR,AMZN,transportation and logistics,warehouse_management,US0231351067,AMAZON.COM INC,3,"Opera una red global de centros de distribución avanzados que aprovechan sofisticadas tecnologías de logística y automatización para una gestión eficiente de inventario y procesamiento de pedidos, estableciendo estándares de la industria en operaciones de almacén.","El compromiso de Amazon con la Gestión de Almacenes es evidente en la operación y dotación de personal de sus centros de distribución en América del Norte e Internacionales, lo que constituye una parte significativa de sus costos de cumplimiento. La empresa se enfoca en expandir su red de cumplimiento para manejar una mayor selección, inventario en stock y volúmenes de envío, incluidos los de ventas de terceros. Esta expansión está respaldada por inversiones continuas en capacidad adicional y una evaluación continua de los requisitos de las instalaciones. Además, Amazon se dedica a mejorar la eficiencia de la red de cumplimiento, incluido la reducción de los costos de transporte, lo que demuestra la importancia del tema para la empresa.","[{'name': 'amzn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q125-10-Q.html'}, {'name': 'amzn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q225-10-Q.html'}, {'name': 'amzn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q324-10-Q.html'}, {'name': 'amzn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amzn-FY24-10-K.html'}]",3691937,USD,SMART,STK
TL,WAR,GXO,transportation and logistics,warehouse_management,US36262G1013,GXO LOGISTICS INC,4,"Se especializa en proporcionar soluciones integrales de gestión de almacenes, optimizando los procesos de almacenamiento, cumplimiento y distribución para diversas industrias.","El negocio principal de GXO gira significativamente en torno a la gestión de almacenes, como lo demuestra su provisión de almacenamiento y distribución de alto valor agregado, cumplimiento de pedidos y otros servicios de la cadena de suministro. La empresa enfatiza su capacidad para ofrecer soluciones personalizadas y habilitadas por tecnología a escala, destacando la importancia de las operaciones de almacén. Para solidificar aún más su compromiso, GXO adquirió Wincanton, un proveedor de logística del Reino Unido especializado en soluciones de almacenamiento y transporte, y PFSweb, una empresa de cumplimiento de pedidos de comercio electrónico, lo que demuestra una inversión importante en la expansión de sus capacidades de gestión de almacenes.","[{'name': 'gxo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gxo-Q324-10-Q.html'}, {'name': 'gxo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gxo-Q125-10-Q.html'}, {'name': 'gxo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gxo-FY24-10-K.html'}, {'name': 'gxo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gxo-Q225-10-Q.html'}]",502252244,USD,SMART,STK
TL,WAR,PLD,transportation and logistics,warehouse_management,US74340W1036,PROLOGIS INC,5,"Proporciona una cartera global de bienes raíces logísticos, que incluyen centros de distribución y almacenes, que son fundamentales para permitir una gestión eficiente de almacenes y operaciones de la cadena de suministro.","El compromiso de Prologis con el tema de la gestión de almacenes es evidente en sus operaciones comerciales principales, que giran en torno al arrendamiento y desarrollo de almacenes, así como en su enfoque en bienes raíces logísticos. Esto se destaca por el arrendamiento casi récord de 58 millones de pies cuadrados y desarrollos de construcción a medida con clientes clave. La empresa también está abordando las crecientes demandas de energía de la automatización de almacenes y la carga de vehículos eléctricos al lanzar una nueva solución de generación de energía detrás del medidor, aprovechando su experiencia en microrredes. Además, Prologis reconoce la necesidad de más espacio de almacén en un mundo desconectado debido a las interrupciones en la cadena de suministro y la importancia del posicionamiento flexible del inventario.",,88819288,USD,SMART,STK
TL,WAR,6383,transportation and logistics,warehouse_management,JP3497400006,DAIFUKU CO LTD,6,Proporciona sistemas y soluciones automatizadas de manejo de materiales que son fundamentales para la gestión y operación eficientes de almacenes y centros de distribución modernos.,,,14016601,JPY,SMART,STK
TL,WAR,COLD,transportation and logistics,warehouse_management,US03064D1081,AMERICOLD REALTY TRUST INC,7,"Se especializa en la propiedad, operación y gestión de almacenes con temperatura controlada, proporcionando infraestructura y servicios esenciales para la industria de la logística de la cadena de frío.","El negocio de Americold está significativamente ligado a la gestión de almacenes, como lo demuestra su enfoque en la propiedad, operación, adquisición y desarrollo de almacenes con temperatura controlada. La empresa opera un número considerable de almacenes a nivel mundial, con ingresos derivados del alquiler, almacenamiento y servicios de almacén. Son reconocidos como líderes en almacenamiento con temperatura controlada y como un proveedor de 3PL de primer nivel, lo que demuestra aún más su experiencia e inversión en operaciones de almacén, incluidas mejoras en los márgenes de servicio de almacén y expansiones de instalaciones.","[{'name': 'cold-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cold-Q125-10-Q.html'}, {'name': 'cold-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cold-FY24-10-K.html'}, {'name': 'cold-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cold-Q225-10-Q.html'}]",302902503,USD,SMART,STK
TL,WAR,KGX,transportation and logistics,warehouse_management,DE000KGX8881,KION GROUP AG,8,"Proporciona soluciones integrales para la automatización de almacenes, el manejo de materiales y la optimización de la cadena de suministro, facilitando el almacenamiento, la recuperación y el movimiento eficientes de bienes dentro de las operaciones logísticas.",,,130534388,EUR,SMART,STK
TL,WAR,6201,transportation and logistics,warehouse_management,JP3634600005,TOYOTA INDUSTRIES CORP,9,"Fabrica y suministra una amplia gama de equipos de manejo de materiales, incluyendo carretillas elevadoras y vehículos guiados automatizados, que son fundamentales para operaciones eficientes de almacén y logística.",,,14016392,JPY,SMART,STK
TL,WAR,HON,transportation and logistics,warehouse_management,US4385161066,HONEYWELL INTERNATIONAL INC,10,"Proporciona soluciones integrales de automatización, software y hardware que optimizan las operaciones, mejoran la eficiencia y aumentan la productividad dentro de los sistemas de gestión de almacenes a nivel mundial.","La participación de Honeywell en la gestión de almacenes es evidente a través de su segmento de Automatización Industrial, que proporciona soluciones para clientes en almacenes y logística. El enfoque de la compañía en esta área se ve aún más resaltado por sus negocios de Soluciones de Almacén y Flujo de Trabajo, aunque Honeywell está evaluando alternativas estratégicas para estos negocios. Las ventas se han visto afectadas por una menor demanda de proyectos en este sector, y si bien las Soluciones de Almacén y Flujo de Trabajo volvieron al crecimiento, la compañía todavía está considerando su dirección estratégica, lo que indica un nivel fluctuante de compromiso con el tema de la gestión de almacenes.","[{'name': 'hon-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hon-Q225-10-Q.html'}, {'name': 'hon-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hon-Q324-10-Q.html'}, {'name': 'hon-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hon-FY24-10-K.html'}]",4350,USD,SMART,STK
TL,WAR,ZBRA,transportation and logistics,warehouse_management,US9892071054,ZEBRA TECHNOLOGIES CORP-CL A,11,"Proporciona soluciones de inteligencia de activos empresariales, que incluyen computación móvil, captura de datos y tecnologías de impresión, utilizadas para optimizar operaciones y mejorar la eficiencia en la gestión de almacenes.","El enfoque de Zebra en la gestión de almacenes es evidente a través de iniciativas estratégicas como la adquisición de Photoneo, una empresa de visión artificial 3D, con el objetivo de expandirse en la logística y automatizar flujos de trabajo. Las soluciones de Zebra son utilizadas por un minorista en línea en América del Sur para optimizar las operaciones de almacén con computadoras móviles, escáneres, quioscos, impresoras y lectores RFID. La empresa también ve oportunidades para RFID en toda la cadena de suministro.",,276304,USD,SMART,STK
TL,WAR,JUN3,transportation and logistics,warehouse_management,DE0006219934,JUNGHEINRICH - PRFD,12,"Proporciona equipos esenciales y sistemas integrados para optimizar la logística de almacén, contribuyendo al almacenamiento eficiente y al flujo de materiales dentro de la industria de Gestión de Almacenes.",,,14796,EUR,SMART,STK
TL,WAR,UPS,transportation and logistics,warehouse_management,US9113121068,UNITED PARCEL SERVICE-CL B,13,"Proporciona amplios servicios de almacenamiento y distribución, integrando tecnologías avanzadas de logística para optimizar el flujo de inventario y la eficiencia de la cadena de suministro para empresas a nivel mundial.",,,6231002,USD,SMART,STK
