symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
MS,WEA,financials,wealth_management_services,US6174464486,MORGAN STANLEY,1,"Opera una plataforma líder mundial de gestión de patrimonios, que ofrece planificación financiera integral, gestión de inversiones y servicios de asesoramiento a una base de clientes diversa.","La participación de Morgan Stanley en los Servicios de Gestión Patrimonial es significativa, como lo demuestra su completa gama de soluciones financieras ofrecidas a inversores individuales, pequeñas y medianas empresas e instituciones. La firma administra activos sustanciales de clientes, superando los $8.2 billones en Gestión Patrimonial y de Inversiones, y genera considerables beneficios, con un récord de $2.2 mil millones antes de impuestos. Este compromiso se demuestra aún más a través de inversiones continuas en su plataforma, incluido el apoyo a asesores, la expansión de las capacidades de E*TRADE y el desarrollo del canal central de lugares de trabajo, todo lo cual contribuye a fuertes nuevos activos netos y flujos excepcionales basados en comisiones.","[{'name': 'ms-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ms-Q125-10-Q.html'}, {'name': 'ms-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ms-Q324-10-Q.html'}, {'name': 'ms-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ms-FY24-10-K.html'}, {'name': 'ms-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ms-Q225-10-Q.html'}]",2841574,USD,SMART,STK
SCHW,WEA,financials,wealth_management_services,US8085131055,SCHWAB (CHARLES) CORP,2,"Ofrece un conjunto integral de servicios de gestión de patrimonio, que incluyen planificación financiera, asesoramiento de inversiones y gestión de activos, al servicio de un amplio espectro de clientes individuales e institucionales.","El compromiso de Schwab con la gestión de patrimonios es evidente a través de sus filiales, con servicios que se extienden a la intermediación de valores, la banca, la gestión de activos, la custodia y los servicios de asesoramiento financiero. Estos servicios se prestan tanto a clientes individuales como institucionales a través de los segmentos de Servicios para Inversores y Servicios para Asesores. El enfoque de Schwab en la gestión de patrimonios se ve aún más subrayado por su Schwab Wealth Advisory, que ha experimentado importantes flujos netos, y sus esfuerzos por mejorar las capacidades fiscales, fiduciarias y sucesorias, incluido el ofrecimiento de herramientas de planificación sucesoria de wealth.com a clientes minoristas. Además, la empresa pone énfasis en profundizar las relaciones con los clientes a través de consultores financieros y de patrimonio, quienes contribuyen significativamente a los nuevos activos netos y a la participación en inversiones gestionadas y ofertas bancarias.","[{'name': 'schw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/schw-Q125-10-Q.html'}, {'name': 'schw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/schw-FY24-10-K.html'}, {'name': 'schw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/schw-Q324-10-Q.html'}, {'name': 'schw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/schw-Q225-10-Q.html'}]",11905,USD,SMART,STK
BAC,WEA,financials,wealth_management_services,US0605051046,BANK OF AMERICA CORP,3,"Proporciona una suite completa de servicios de gestión de patrimonio, que incluyen gestión de inversiones, corretaje y planificación financiera, a individuos e instituciones.","El compromiso de Bank of America con los Servicios de Gestión Patrimonial es evidente a través de sus negocios de Gestión Patrimonial y de Inversiones Globales (GWIM), que ofrecen soluciones personalizadas a los clientes a través de una gama de productos de gestión de inversiones, corretaje, banca, fideicomisos y jubilación. GWIM, que incluye Merrill Wealth Management y Bank of America Private Bank, administra saldos sustanciales de clientes, alcanzando aproximadamente $4.4 billones. Los negocios de gestión patrimonial han demostrado crecimiento, agregando 7.200 nuevos hogares netos y experimentando flujos netos de AUM de $24 mil millones en un solo trimestre, con ingresos impulsados por tarifas de gestión de activos e ingresos netos por intereses.","[{'name': 'bac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q125-10-Q.html'}, {'name': 'bac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q225-10-Q.html'}, {'name': 'bac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bac-FY24-10-K.html'}]",10098,USD,SMART,STK
GS,WEA,financials,wealth_management_services,US38141G1040,GOLDMAN SACHS GROUP INC,4,"Ofrece soluciones integrales de gestión de patrimonio, que abarcan asesoramiento financiero, gestión de inversiones y banca privada, a una clientela global.","Goldman Sachs demuestra un enfoque significativo en Servicios de Gestión de Patrimonios, ofreciendo una gama de soluciones, que incluyen planificación financiera, transacciones de corretaje y servicios de asesoramiento patrimonial. El compromiso de la firma se ve subrayado por los activos récord de clientes de gestión de patrimonios, que alcanzaron los 1,7 billones de dólares, y un progreso sustancial en préstamos a clientes de patrimonio ultra alto, con saldos de préstamos de 42 mil millones de dólares. Esto está respaldado además por un equipo dedicado de más de 1.000 asesores de patrimonio privado y un crecimiento sustancial de los ingresos en gestión de patrimonios, que aumentó un 11% interanual hasta los 2.200 millones de dólares.","[{'name': 'gs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gs-Q225-10-Q.html'}, {'name': 'gs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gs-Q125-10-Q.html'}, {'name': 'gs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gs-Q324-10-Q.html'}]",4627828,USD,SMART,STK
C,WEA,financials,wealth_management_services,US1729674242,CITIGROUP INC,5,"Proporciona planificación financiera integral, gestión de inversiones y servicios de asesoramiento a clientes de alto patrimonio neto, contribuyendo significativamente al sector global de gestión de patrimonio.","La participación de Citigroup en Servicios de Gestión Patrimonial es evidente en su desempeño financiero y prioridades estratégicas. Los ingresos de patrimonio de la compañía han mostrado un crecimiento sustancial, impulsado por aumentos en Citigold, la Banca Privada y Wealth at Work, con contribuciones notables de los ingresos por comisiones de inversión y los activos de inversión de los clientes. Este crecimiento está respaldado además por un enfoque en capturar activos de clientes y profundizar las relaciones con los gestores de activos, lo que resalta la importancia de la gestión patrimonial dentro de la red más amplia de Citigroup. Adicionalmente, la asociación de la compañía con iCapital para mejorar las ofertas de inversión alternativa y su visión de ser un líder global en gestión patrimonial subrayan su compromiso con este sector.","[{'name': 'c-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q125-10-Q.html'}, {'name': 'c-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q324-10-Q.html'}, {'name': 'c-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/c-FY24-10-K.html'}]",87335484,USD,SMART,STK
LPLA,WEA,financials,wealth_management_services,US50212V1008,LPL FINANCIAL HOLDINGS INC,6,"Proporciona servicios integrales de gestión de patrimonios, apoyando a asesores financieros e instituciones con diversas soluciones de inversión y planificación financiera.","LPL Financial demuestra un fuerte enfoque en los servicios de gestión de patrimonios, con el objetivo de ser la mejor firma de la industria. Esto se evidencia en su apoyo a una vasta red de asesores financieros e instituciones, gestionando una cantidad sustancial de activos de corretaje y asesoramiento. Adquisiciones estratégicas, como las de Commonwealth y Atria Wealth Solutions, mejoran aún más sus capacidades de gestión de patrimonios y amplían su red de asesoramiento. El compromiso de LPL también se refleja en su enfoque en ofrecer una experiencia de cliente sin igual y en permitir a los asesores brindar orientación financiera personalizada.","[{'name': 'lpla-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lpla-FY24-10-K.html'}, {'name': 'lpla-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lpla-Q225-10-Q.html'}, {'name': 'lpla-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lpla-Q125-10-Q.html'}]",109435481,USD,SMART,STK
AMP,WEA,financials,wealth_management_services,US03076C1062,AMERIPRISE FINANCIAL INC,7,"Proporciona servicios integrales de gestión de patrimonio, incluida la planificación financiera, el asesoramiento de inversiones y la gestión de activos, para ayudar a los clientes a alcanzar sus objetivos financieros.","Ameriprise Financial demuestra un fuerte enfoque en Servicios de Gestión de Patrimonios, como lo demuestran sus sustanciales activos bajo gestión, que alcanzaron los 1,5 billones de dólares al 31 de marzo de 2025. El segmento de Asesoramiento y Gestión de Patrimonios de la empresa juega un papel importante, con AUM alcanzando los 611.300 millones de dólares al 30 de junio de 2025, y las comisiones de gestión y asesoramiento financiero constituyendo una fuente de ingresos significativa. Este compromiso se ve reforzado aún más por el enfoque de la empresa en la participación del cliente, la planificación financiera y el apoyo de asesoramiento, así como por las inversiones en tecnología para mejorar los sistemas de asesoramiento al cliente, reflejado en altas puntuaciones de satisfacción del cliente y reconocimiento en rankings de la industria.","[{'name': 'amp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amp-Q225-10-Q.html'}, {'name': 'amp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amp-Q125-10-Q.html'}, {'name': 'amp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amp-FY24-10-K.html'}, {'name': 'amp-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amp-Q324-10-Q.html'}]",35970258,USD,SMART,STK
JPM,WEA,financials,wealth_management_services,US46625H1005,JPMORGAN CHASE & CO,8,"Opera una división integral de gestión de patrimonios que brinda planificación financiera, gestión de inversiones y servicios de asesoramiento a personas e instituciones de alto patrimonio neto a nivel mundial.","El compromiso de JPMorgan con los Servicios de Gestión de Patrimonios es evidente en sus resultados financieros y prioridades estratégicas. Los ingresos de Banca y Gestión de Patrimonios de la empresa experimentaron un crecimiento, impulsado en gran medida por los ingresos de Gestión de Patrimonios, que compensaron la disminución de los NII de depósitos. Este crecimiento está respaldado aún más por un aumento interanual de los activos de inversión de los clientes, impulsado por el rendimiento del mercado y los flujos saludables hacia productos gestionados, así como por el crecimiento continuo de los equipos de asesores de banca privada. JPMorgan se identifica como un líder en gestión de activos, que incluye servicios de gestión de patrimonios.","[{'name': 'jpm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jpm-Q225-10-Q.html'}]",1520593,USD,SMART,STK
BX,WEA,financials,wealth_management_services,US09260D1072,BLACKSTONE INC,9,"Ofrece un conjunto integral de productos y servicios de inversión alternativos diseñados para clientes de gestión de patrimonio y asesores financieros, ampliando el acceso a los mercados privados para inversores individuales.","El compromiso de Blackstone con los Servicios de Gestión de Patrimonios es significativo, subrayado por su posición como la plataforma privada de alternativas de patrimonio más grande a nivel mundial, gestionando más de $ 270 mil millones en el canal de patrimonio privado, que comprende casi una cuarta parte de los activos totales bajo gestión de la firma. La empresa se ha dedicado a servir a inversores individuales durante casi 15 años, lo que se refleja en su equipo global de más de 300 personas centrado en la distribución. El liderazgo de Blackstone en esta área se evidencia aún más por el hecho de que una nueva generación de inversores está accediendo a los beneficios de las alternativas a través de su plataforma, con ingresos de estos vehículos que superan los $ 700 millones solo en el segundo trimestre.",,372834689,USD,SMART,STK
MSCI,WEA,financials,wealth_management_services,US55354G1004,MSCI INC,10,"Proporciona índices, análisis y herramientas de investigación esenciales que permiten a los profesionales de la gestión de patrimonio construir carteras, gestionar riesgos y optimizar estrategias de inversión para sus clientes.","La participación de MSCI en los Servicios de Gestión Patrimonial es evidente a través de varias actividades clave. La compañía experimentó un crecimiento del 17% en la tasa de suscripción impulsado por índices y análisis de administradores de patrimonio y finalizó su mayor acuerdo de gestión de patrimonio de MSCI con un importante banco regional de EE. UU. Este crecimiento está respaldado además por un aumento del 20% en los activos bajo gestión de indexación directa basados en índices de MSCI, alcanzando los 135 mil millones de dólares a nivel mundial. Además, MSCI adquirió Fabric, una plataforma de tecnología de gestión de patrimonio especializada en diseño de carteras, personalización y análisis para administradores y asesores de patrimonio, para mejorar sus ofertas en este sector.","[{'name': 'msci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msci-Q225-10-Q.html'}, {'name': 'msci-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msci-Q324-10-Q.html'}, {'name': 'msci-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/msci-FY24-10-K.html'}]",47101335,USD,SMART,STK
