industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,wearable_devices,US0378331005,APPLE INC,1,Ofrece un ecosistema integral de dispositivos portátiles que influyen significativamente en los avances tecnológicos y la evolución del mercado dentro de la industria de Wearables.,"La participación de Apple en el tema de los wearables es evidente a través de la mención constante de la categoría 'Wearables, Home and Accessories' en sus informes financieros. El Apple Watch sigue siendo un producto clave, con la introducción de la Serie 10 y la celebración de su décimo aniversario; la base instalada también alcanzó un máximo histórico. A pesar de estos aspectos positivos, la empresa ha informado de una disminución en las ventas netas de Wearables, Home and Accessories, atribuida principalmente a menores ventas de Wearables y Accessories.","[{'name': 'aapl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aapl-Q125-10-Q.html'}, {'name': 'aapl-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aapl-Q325-10-Q.html'}, {'name': 'aapl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aapl-FY24-10-K.html'}, {'name': 'aapl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aapl-Q225-10-Q.html'}]",265598,USD,AAPL,SMART,STK,True,WEA
technology,wearable_devices,US30303M1027,META PLATFORMS INC-CLASS A,2,"Desarrolla y fabrica dispositivos de realidad virtual y aumentada, contribuyendo al avance y la adopción de tecnologías vestibles inmersivas.","El compromiso de Meta con el tema de los Wearables es evidente a través de su segmento Reality Labs, que incluye hardware, software y contenido de consumo de realidad virtual, aumentada y mixta. La empresa está realizando inversiones significativas en sus esfuerzos de metaverso y wearables, particularmente en el desarrollo de dispositivos como las gafas Ray-Ban Meta AI. Estas gafas han demostrado un fuerte impulso, con ventas que se aceleran y usuarios activos mensuales que aumentan significativamente, lo que contribuye al crecimiento de los ingresos de Reality Labs.","[{'name': 'meta-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meta-Q125-10-Q.html'}, {'name': 'meta-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/meta-FY24-10-K.html'}, {'name': 'meta-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meta-Q225-10-Q.html'}]",107113386,USD,META,SMART,STK,True,WEA
technology,wearable_devices,CH0114405324,GARMIN LTD,3,"Desarrolla y fabrica una diversa gama de relojes inteligentes y rastreadores de actividad física, integrando funciones avanzadas de GPS y monitoreo de la salud para satisfacer estilos de vida activos y entusiastas del aire libre.","La participación de Garmin en el tema de Vestibles es evidente a través del segmento de fitness de la empresa, donde el crecimiento de los ingresos es impulsado consistentemente por una fuerte demanda de vestibles avanzados. Este énfasis se destaca por el lanzamiento de nuevos productos vestibles, incluyendo el Forerunner 570, Forerunner 970, Venu X1, quatix 8, Monitor de Sueño Index y vívoactive 6, que incorporan nuevas funciones de entrenamiento, información de salud y pantallas mejoradas. El enfoque de la empresa en la innovación y la diferenciación en sus líneas de productos vestibles, junto con los avances en mediciones de sensores y métricas de salud, subraya aún más la importancia de los vestibles para la estrategia de crecimiento de Garmin.","[{'name': 'grmn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/grmn-Q324-10-Q.html'}, {'name': 'grmn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/grmn-Q225-10-Q.html'}, {'name': 'grmn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/grmn-Q125-10-Q.html'}, {'name': 'grmn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/grmn-FY24-10-K.html'}]",76791198,USD,GRMN,SMART,STK,True,WEA
technology,wearable_devices,KR7005930003,SAMSUNG ELECTRONICS CO LTD,4,"Desarrolla una cartera diversa de dispositivos portátiles, incluidos relojes inteligentes y auriculares inalámbricos, contribuyendo a la innovación y expansión del mercado dentro del sector de wearables.",,,17382528,KRW,005930,KSE,STK,False,WEA
technology,wearable_devices,US02079K3059,ALPHABET INC-CL A,5,Es un contribuyente clave para el mercado de Wearables.,,,208813719,USD,GOOGL,SMART,STK,True,WEA
technology,wearable_devices,US2521311074,DEXCOM INC,6,"Desarrolla y fabrica sistemas continuos de monitorización de glucosa que son utilizados por los pacientes, proporcionando datos de salud en tiempo real y contribuyendo al mercado de dispositivos médicos vestibles.","El compromiso de DexCom con el tema de los wearables es evidente en su negocio principal de desarrollo de sistemas de monitorización continua de glucosa (MCG), que son dispositivos vestibles que rastrean los niveles de glucosa en tiempo real. La línea de productos de la empresa incluye el G7 y el Stelo, ambos sensores vestibles diseñados para la monitorización continua de glucosa, y la plataforma G8 de próxima generación tiene como objetivo un tamaño más pequeño y una mayor funcionalidad. Además, DexCom está ampliando su alcance integrando sus datos de MCG con otros wearables como el Oura Ring, proporcionando a los usuarios una visión más completa de sus datos de salud.",,33837089,USD,DXCM,SMART,STK,True,WEA
technology,wearable_devices,US45784P1012,INSULET CORP,7,"Desarrolla y fabrica sistemas portátiles de administración de insulina, ofreciendo soluciones discretas y continuas de control de glucosa para personas con diabetes.","La fuerte conexión de Insulet con el tema de los wearables se debe principalmente a su sistema Omnipod, un dispositivo portátil para la administración de insulina y un foco clave de la empresa. El nuevo CEO enfatiza el creciente papel de los consumidores en las decisiones de atención médica, especialmente relevante para una tecnología portátil como Omnipod, posicionando a Insulet en la intersección de Salud del Consumidor y MedTech. Con más de 365.000 clientes conectados a la nube, Insulet se enfoca en mejorar la experiencia del paciente con Omnipod, aumentando la participación, la retención y los resultados, e integrándose con dispositivos como los sensores Dexcom G7 y Abbott FreeStyle Libre 2 Plus.",,44061838,USD,PODD,SMART,STK,True,WEA
technology,wearable_devices,US7475251036,QUALCOMM INC,8,Proporciona procesadores avanzados y soluciones de conectividad que permiten la funcionalidad y el rendimiento de varios dispositivos portátiles.,"Qualcomm ve los wearables, incluyendo gafas inteligentes, relojes inteligentes y auriculares, como dispositivos que evolucionan hacia dispositivos personales de IA, conectando a los usuarios directamente a agentes y modelos de IA. La empresa enfatiza que estos dispositivos están pasando de ser extensiones de teléfonos inteligentes a ofrecer experiencias de IA únicas y personalizadas, evolucionando independientemente de los teléfonos inteligentes. Qualcomm destaca su liderazgo tecnológico en dispositivos móviles, XR y wearables, esperando ser el proveedor de soluciones preferido en esta categoría emergente, con las gafas inteligentes Meta AI como un ejemplo principal. La empresa impulsa las gafas inteligentes de Meta y Xiaomi, lo que indica su importante papel en el mercado de wearables.",,273544,USD,QCOM,SMART,STK,True,WEA
technology,wearable_devices,US4500561067,IRHYTHM TECHNOLOGIES INC,9,Funciona como un participante clave en la industria de los dispositivos vestibles.,"La participación de la empresa en el tema de Wearables es evidente a través de su Zio System, que incorpora un biosensor portátil inalámbrico y basado en parches que registra continuamente datos de ECG durante 14 días. Este dispositivo portátil es un componente central de su oferta de servicios y ha recibido la autorización de la FDA, así como el marcado CE y la aprobación de la PMDA de Japón. La empresa también está expandiendo su programa de desarrollo de productos a otros wearables de grado clínico, lo que demuestra una inversión continua en esta área.","[{'name': 'irtc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/irtc-FY24-10-K.html'}, {'name': 'irtc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/irtc-Q125-10-Q.html'}, {'name': 'irtc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/irtc-Q225-10-Q.html'}]",252330405,USD,IRTC,SMART,STK,False,WEA
technology,wearable_devices,US5747951003,MASIMO CORPORATION,10,"Desarrolla e integra tecnologías avanzadas de monitoreo de la salud en dispositivos portátiles, mejorando la gestión de la salud personal y clínica a través de la recopilación continua y no invasiva de datos.","Masimo participa activamente en la industria de los wearables, aprovechando sus tecnologías de grado hospitalario para ampliar su gama de productos para el bienestar en el hogar. Esto incluye dispositivos como el Masimo Radius Tº®, un termómetro continuo portátil inalámbrico, y el Masimo W1® Medical Watch, que ha recibido la autorización 510(k) de la FDA para la conectividad con la solución de telemonitorización Masimo SafetyNet®. La empresa enfatiza la innovación en tecnologías portátiles como parte de su estrategia de crecimiento y tiene una sólida cartera de tecnología portátil y soluciones de telemonitorización que está pilotando.","[{'name': 'masi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/masi-Q324-10-Q.html'}, {'name': 'masi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/masi-FY24-10-K.html'}]",45441825,USD,MASI,SMART,STK,True,WEA
