symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
AMT,telecommunications,wireless_infrastructure,US03027X1000,AMERICAN TOWER CORP,1,"Proporciona la infraestructura fundamental para la comunicación inalámbrica, permitiendo la conectividad global y apoyando la expansión de las redes móviles.","El compromiso de American Tower con el tema de Infraestructura Inalámbrica es sustancial, ya que la empresa se identifica como un propietario, operador y desarrollador independiente líder de bienes raíces de comunicaciones multitenant, siendo su negocio principal el arrendamiento de espacio en sitios de comunicaciones a proveedores de servicios inalámbricos. Esto se ve respaldado además por el hecho de que las operaciones inmobiliarias representan una parte significativa de los ingresos totales de la empresa. El negocio de arrendamiento de torres de la empresa se beneficia de la creciente demanda de capacidad de red móvil y la expansión y actualización continua de las redes de los operadores, particularmente con las actualizaciones de equipos 5G. La empresa también está experimentando resiliencia en las inversiones en redes para satisfacer el crecimiento de la demanda de datos móviles.","[{'name': 'amt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amt-Q125-10-Q.html'}, {'name': 'amt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amt-Q324-10-Q.html'}, {'name': 'amt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amt-FY24-10-K.html'}]",99831145,USD,SMART,STK,True,WIR
CCI,telecommunications,wireless_infrastructure,US22822V1017,CROWN CASTLE INC,2,"Posee y opera activos críticos de infraestructura inalámbrica, incluidas torres celulares, celdas pequeñas y fibra, que respaldan la expansión y el despliegue continuos de tecnologías de redes móviles.","El negocio de Crown Castle se centra en la infraestructura inalámbrica, ya que posee, opera y arrienda infraestructura de comunicaciones compartida, incluida una red geográficamente dispersa de más de 40.000 torres y aproximadamente 105.000 nodos de celdas pequeñas en todo Estados Unidos. La empresa se enfoca en el mercado de torres de Estados Unidos, apoyando el despliegue de redes 5G, y tiene como objetivo maximizar el valor para los accionistas centrándose en el negocio de las torres. Esto se ve respaldado aún más por la creencia de la empresa de que sus torres y celdas pequeñas brindan una solución integral a las crecientes necesidades de infraestructura de comunicaciones de sus inquilinos inalámbricos, y los ingresos por alquiler de sitios representan una parte significativa de sus ingresos netos consolidados.","[{'name': 'cci-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cci-Q324-10-Q.html'}, {'name': 'cci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cci-Q125-10-Q.html'}, {'name': 'cci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cci-Q225-10-Q.html'}, {'name': 'cci-FY23-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cci-FY23-10-K.html'}]",176571182,USD,SMART,STK,True,WIR
SBAC,telecommunications,wireless_infrastructure,US78410G1040,SBA COMMUNICATIONS CORP,3,"Es un proveedor y operador clave de infraestructura esencial de comunicaciones inalámbricas, apoyando la expansión y funcionalidad de las redes móviles.","El negocio de SBA Communications está fundamentalmente vinculado al tema de Infraestructura Inalámbrica, como lo demuestra su papel como un importante propietario y operador independiente de infraestructura de comunicaciones inalámbricas, incluidas más de 44,000 torres. El enfoque principal de la compañía es el arrendamiento de espacio para antenas en estas torres a proveedores de servicios inalámbricos, lo que contribuye significativamente a sus ingresos. Además, la compañía participa en la construcción de nuevas torres y ayuda a los proveedores de servicios inalámbricos en el desarrollo y mantenimiento de sus redes, lo que demuestra su inversión continua y compromiso con el avance de la cobertura inalámbrica y el despliegue de nuevas tecnologías.","[{'name': 'sbac-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbac-Q324-10-Q.html'}, {'name': 'sbac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sbac-FY24-10-K.html'}, {'name': 'sbac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbac-Q225-10-Q.html'}, {'name': 'sbac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbac-Q125-10-Q.html'}]",262397910,USD,SMART,STK,True,WIR
TMUS,telecommunications,wireless_infrastructure,US8725901040,T-MOBILE US INC,4,"Invierte significativamente en el desarrollo y expansión de su infraestructura de red 5G, incluyendo sitios celulares, fibra óptica y tecnologías inalámbricas avanzadas, para proporcionar conectividad a nivel nacional.","El compromiso de T-Mobile con la Infraestructura Inalámbrica es significativo, impulsado por la expansión de su red 5G a nivel nacional, como lo demuestran las importantes inversiones en propiedades y equipos. Esto incluye construcciones nuevas con planes de poner en funcionamiento casi 4.000 sitios solo este año. Reforzando este enfoque, T-Mobile está adquiriendo las operaciones inalámbricas de UScellular y activos de espectro selectos por aproximadamente 4.400 millones de dólares en efectivo y la asunción de hasta 2.000 millones de dólares de deuda, con planes de arrendar espacio en las torres de UScellular por un estimado de 1.400 millones de dólares durante 15 años.","[{'name': 'tmus-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q225-10-Q.html'}, {'name': 'tmus-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q324-10-Q.html'}, {'name': 'tmus-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tmus-FY24-10-K.html'}, {'name': 'tmus-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q125-10-Q.html'}]",125980227,USD,SMART,STK,True,WIR
VZ,telecommunications,wireless_infrastructure,US92343V1044,VERIZON COMMUNICATIONS INC,5,"Opera e invierte continuamente en una vasta infraestructura inalámbrica, esencial para proporcionar su diversa gama de servicios de telecomunicaciones móviles y respaldar tecnologías de red de próxima generación.","El enfoque de Verizon en la infraestructura inalámbrica es evidente a través de su despliegue continuo de nueva arquitectura y tecnologías de red para mantener el liderazgo en redes inalámbricas 5G y 4G. Este compromiso está respaldado por importantes inversiones de capital, incluidos 17.100 millones de dólares en gastos de capital durante 2024, destinados a adquirir espectro inalámbrico y mejorar la capacidad de la red. La estrategia de la empresa implica la densificación de las redes utilizando tecnología de macroceldas y celdas pequeñas, soluciones para interiores y sistemas de antenas distribuidas para abordar el creciente consumo de video móvil y la demanda de productos y servicios de IoT; sin embargo, Verizon celebró un acuerdo con Vertical Bridge REIT, LLC, otorgándoles derechos exclusivos para arrendar, operar y administrar más de 6.000 torres inalámbricas de subsidiarias de Verizon.","[{'name': 'vz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q125-10-Q.html'}, {'name': 'vz-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q324-10-Q.html'}, {'name': 'vz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q225-10-Q.html'}, {'name': 'vz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vz-FY24-10-K.html'}]",4901,USD,SMART,STK,True,WIR
T,telecommunications,wireless_infrastructure,US00206R1023,AT&T INC,6,"Desarrolla, mantiene y expande su extensa infraestructura de red inalámbrica para proporcionar servicios integrales de comunicación móvil y datos.","El compromiso de AT&T con la Infraestructura Inalámbrica es evidente a través de su despliegue continuo de 5G en varias bandas de espectro y su papel activo en los esfuerzos de densificación de red y expansión de tecnología 5G en toda la industria, incluido el despliegue de equipos de celdas pequeñas. La empresa está desplegando activamente Open RAN para construir un ecosistema más robusto de proveedores y suministradores de infraestructura de red, cuyo objetivo es reducir los costos de la red y mejorar la eficiencia operativa. Este programa de modernización de la red, que implica Open RAN a escala comercial, está llevando a un reemplazo más temprano de equipos inalámbricos y a un aumento de los gastos de depreciación, lo que demuestra una inversión y un enfoque significativos en la mejora de su infraestructura inalámbrica.","[{'name': 't-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q324-10-Q.html'}, {'name': 't-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/t-FY24-10-K.html'}]",37018770,USD,SMART,STK,True,WIR
ERIC,telecommunications,wireless_infrastructure,US2948216088,ERICSSON (LM) TEL-SP ADR,7,"Proporciona equipos y servicios de telecomunicaciones integrales, incluida infraestructura de red 5G avanzada, para permitir la conectividad móvil global.",,,268977,USD,SMART,STK,False,WIR
NOKIA,telecommunications,wireless_infrastructure,FI0009000681,NOKIA OYJ,8,"Desarrolla y proporciona equipos de red, software y servicios críticos que forman la columna vertebral de los sistemas de comunicación inalámbrica a nivel mundial.",,,29816875,EUR,HEX,STK,False,WIR
QCOM,telecommunications,wireless_infrastructure,US7475251036,QUALCOMM INC,9,"Desarrolla y suministra tecnologías y conjuntos de chips fundamentales esenciales para la construcción y mejora de la infraestructura inalámbrica global, particularmente en redes 5G y de futuras generaciones.","La participación de Qualcomm en el tema de Infraestructura Inalámbrica es evidente a través de su desarrollo y comercialización de tecnologías y productos fundamentales utilizados en dispositivos móviles y otros productos inalámbricos. La empresa enfatiza su papel como líder en el desarrollo de tecnología 5G, estandarización, creación y licenciamiento de propiedad intelectual, y como proveedor de productos de circuitos integrados 5G. Esto se ve respaldado aún más por el lanzamiento de la plataforma Dragon Wing de acceso inalámbrico fijo Gen 4 elite, la primera plataforma 5G avanzada FWA del mundo. Los ingresos de QCT de Qualcomm también están vinculados a las ventas de productos RFFE 4G, 5G sub 6 y 5G de onda milimétrica, lo que destaca la importancia de la infraestructura inalámbrica para su negocio.","[{'name': 'qcom-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q325-10-Q.html'}, {'name': 'qcom-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q225-10-Q.html'}]",273544,USD,SMART,STK,True,WIR
CSCO,telecommunications,wireless_infrastructure,US17275R1023,CISCO SYSTEMS INC,10,"Proporciona una cartera integral de hardware, software y servicios de red que habilitan y aseguran la infraestructura de red inalámbrica para empresas y proveedores de servicios a nivel mundial.","La participación de Cisco en la Infraestructura Inalámbrica es evidente a través de su categoría de productos de Redes, que incluye tecnologías inalámbricas como componente central junto con switching, enrutamiento y servidores. Si bien la categoría de Redes experimentó una disminución general, el crecimiento en inalámbrico y switching compensó parcialmente una disminución en servidores, con pedidos de switching de campus mostrando un crecimiento de dos dígitos y expectativas de que los puntos de acceso WiFi 7 ganen impulso. Sin embargo, una disminución en los ingresos inalámbricos, particularmente de los productos WiFi-6 y las ofertas de Meraki, indica un rendimiento mixto en esta área.","[{'name': 'csco-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q125-10-Q.html'}, {'name': 'csco-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q325-10-Q.html'}, {'name': 'csco-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/csco-FY24-10-K.html'}]",268084,USD,SMART,STK,True,WIR
